,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,HOUSTON_ACTION,MINNESOTA_SCORE,HOUSTON_SCORE
0,1,11:43.0,D. Šarić misses 2-pt jump shot from 20 ft,,0,0
1,1,11:40.0,,Defensive rebound by P. Tucker,0,0
2,1,11:32.0,,J. Harden misses 2-pt jump shot from 14 ft,0,0
3,1,11:30.0,Defensive rebound by T. Jones,,0,0
4,1,11:13.0,K. Towns misses 3-pt jump shot from 27 ft,,0,0
5,1,11:10.0,,Defensive rebound by C. Capela,0,0
6,1,11:02.0,,C. Capela makes 2-pt dunk from 1 ft (assist by J. Harden),0,2
7,1,10:46.0,D. Šarić makes 2-pt layup from 3 ft (assist by K. Towns),,2,2
8,1,10:29.0,,C. Capela makes 2-pt dunk from 1 ft (assist by J. Harden),2,4
9,1,10:09.0,D. Šarić misses 2-pt hook shot from 5 ft,,2,4
10,1,10:06.0,Offensive rebound by D. Šarić,,2,4
11,1,10:05.0,D. Šarić makes 2-pt jump shot from 5 ft,,4,4
12,1,9:46.0,,E. Gordon misses 3-pt jump shot from 26 ft,4,4
13,1,9:42.0,Defensive rebound by D. Šarić,,4,4
14,1,9:36.0,J. Okogie misses 3-pt jump shot from 26 ft,,4,4
15,1,9:34.0,Offensive rebound by D. Šarić,,4,4
16,1,9:34.0,Turnover by D. Šarić (bad pass),,4,4
17,1,9:27.0,,P. Tucker makes 3-pt jump shot from 27 ft (assist by C. Paul),4,7
18,1,9:07.0,T. Jones misses 2-pt jump shot from 13 ft,,4,7
19,1,9:06.0,,Defensive rebound by J. Harden,4,7
20,1,9:05.0,,Turnover by J. Harden (lost ball; steal by D. Šarić),4,7
21,1,9:02.0,K. Towns misses 2-pt jump shot from 6 ft,,4,7
22,1,9:00.0,Offensive rebound by J. Okogie,,4,7
23,1,8:58.0,J. Okogie makes 2-pt jump shot from 14 ft,,6,7
24,1,8:50.0,,C. Capela makes 2-pt layup from 2 ft (assist by J. Harden),6,9
25,1,8:36.0,A. Wiggins makes 2-pt layup from 2 ft (assist by K. Towns),,8,9
26,1,8:18.0,,J. Harden makes 3-pt jump shot from 26 ft (assist by C. Paul),8,12
27,1,8:06.0,Personal foul by J. Harden (drawn by D. Šarić),,8,12
28,1,7:57.0,A. Wiggins misses 3-pt jump shot from 25 ft,,8,12
29,1,7:55.0,,Defensive rebound by C. Capela,8,12
30,1,7:44.0,,P. Tucker misses 3-pt jump shot from 24 ft,8,12
31,1,7:42.0,Defensive rebound by T. Jones,,8,12
32,1,7:38.0,J. Okogie makes 2-pt layup from 2 ft (assist by A. Wiggins),,10,12
33,1,7:22.0,,E. Gordon misses 3-pt jump shot from 24 ft,10,12
34,1,7:20.0,Defensive rebound by K. Towns,,10,12
35,1,7:12.0,T. Jones misses 3-pt jump shot from 27 ft,,10,12
36,1,7:11.0,,Defensive rebound by C. Paul,10,12
37,1,7:03.0,,Turnover by P. Tucker (bad pass; steal by A. Wiggins),10,12
38,1,6:53.0,Shooting foul by P. Tucker (drawn by K. Towns),,10,12
39,1,6:53.0,,Houston full timeout,10,12
40,1,6:53.0,,D. House enters the game for E. Gordon,10,12
41,1,6:53.0,,I. Shumpert enters the game for C. Paul,10,12
42,1,6:53.0,K. Towns misses free throw 1 of 2,,10,12
43,1,6:53.0,Offensive rebound by Team,,10,12
44,1,6:53.0,K. Towns makes free throw 2 of 2,,11,12
45,1,6:39.0,,D. House misses 3-pt jump shot from 22 ft,11,12
46,1,6:37.0,Defensive rebound by T. Jones,,11,12
47,1,6:34.0,A. Wiggins makes 2-pt layup from 1 ft (assist by T. Jones),,13,12
48,1,6:21.0,Violation by Team (kicked ball),,13,12
49,1,6:06.0,,J. Harden misses 3-pt jump shot from 29 ft,13,12
50,1,6:04.0,,Offensive rebound by C. Capela,13,12
51,1,5:57.0,,J. Harden misses 2-pt jump shot from 1 ft,13,12
52,1,5:53.0,,Offensive rebound by C. Capela,13,12
53,1,5:53.0,,C. Capela misses 2-pt layup from 1 ft,13,12
54,1,5:53.0,,Offensive rebound by C. Capela,13,12
55,1,5:45.0,,J. Harden misses 3-pt jump shot from 24 ft,13,12
56,1,5:41.0,,Offensive rebound by D. House,13,12
57,1,5:39.0,,C. Capela makes 2-pt layup from 2 ft (assist by D. House),13,14
58,1,5:39.0,Minnesota full timeout,,13,14
59,1,5:28.0,A. Wiggins misses 2-pt jump shot from 19 ft,,13,14
60,1,5:25.0,Offensive rebound by D. Šarić,,13,14
61,1,5:19.0,J. Okogie misses 3-pt jump shot from 24 ft,,13,14
62,1,5:17.0,Offensive rebound by J. Okogie,,13,14
63,1,5:14.0,Turnover by J. Okogie (bad pass; steal by P. Tucker),,13,14
64,1,4:49.0,,I. Shumpert misses 3-pt jump shot from 26 ft,13,14
65,1,4:46.0,Defensive rebound by D. Šarić,,13,14
66,1,4:39.0,A. Wiggins makes 2-pt jump shot from 22 ft,,15,14
67,1,4:33.0,,Shooting foul by K. Towns (drawn by D. House),15,14
68,1,4:33.0,,D. House misses free throw 1 of 2,15,14
69,1,4:33.0,,Offensive rebound by Team,15,14
70,1,4:33.0,K. Bates-Diop enters the game for D. Šarić,,15,14
71,1,4:33.0,T. Gibson enters the game for A. Wiggins,,15,14
72,1,4:33.0,,G. Green enters the game for P. Tucker,15,14
73,1,4:33.0,,D. House makes free throw 2 of 2,15,15
74,1,4:19.0,K. Towns makes 2-pt dunk from 2 ft (assist by T. Jones),,17,15
75,1,4:03.0,,J. Harden misses 2-pt layup from 9 ft (block by T. Gibson),17,15
