,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,TORONTO_ACTION,CHARLOTTE_SCORE,TORONTO_SCORE
0,1,11:42.0,,K. Lowry makes 3-pt jump shot from 28 ft (assist by D. Green),0,3
1,1,11:26.0,C. Zeller misses 2-pt layup from 3 ft,,0,3
2,1,11:24.0,,Defensive rebound by D. Green,0,3
3,1,11:11.0,,S. Ibaka misses 3-pt jump shot from 27 ft,0,3
4,1,11:09.0,,Offensive rebound by P. Siakam,0,3
5,1,11:07.0,,K. Lowry misses 3-pt jump shot from 27 ft,0,3
6,1,11:04.0,Defensive rebound by J. Lamb,,0,3
7,1,10:55.0,M. Williams misses 2-pt layup from 2 ft (block by S. Ibaka),,0,3
8,1,10:52.0,,Defensive rebound by K. Leonard,0,3
9,1,10:48.0,,K. Leonard makes 3-pt jump shot from 27 ft,0,6
10,1,10:29.0,K. Walker makes 2-pt jump shot from 12 ft,,2,6
11,1,10:14.0,,K. Leonard makes 2-pt jump shot from 12 ft (assist by K. Lowry),2,8
12,1,9:56.0,C. Zeller makes 2-pt hook shot from 4 ft (assist by K. Walker),,4,8
13,1,9:46.0,,P. Siakam makes 2-pt dunk from 1 ft (assist by K. Lowry),4,10
14,1,9:44.0,Charlotte full timeout,,4,10
15,1,9:26.0,J. Lamb misses 2-pt jump shot from 10 ft,,4,10
16,1,9:23.0,,Defensive rebound by D. Green,4,10
17,1,9:10.0,,S. Ibaka makes 2-pt hook shot from 4 ft (assist by D. Green),4,12
18,1,8:49.0,J. Lamb makes 2-pt jump shot from 17 ft (assist by N. Batum),,6,12
19,1,8:28.0,,S. Ibaka misses 3-pt jump shot from 26 ft,6,12
20,1,8:25.0,Defensive rebound by J. Lamb,,6,12
21,1,8:11.0,M. Williams misses 2-pt hook shot from 9 ft,,6,12
22,1,8:07.0,,Defensive rebound by K. Leonard,6,12
23,1,7:48.0,,Turnover by P. Siakam (lost ball; steal by M. Williams),6,12
24,1,7:43.0,Personal foul by P. Siakam (drawn by K. Walker),,6,12
25,1,7:35.0,K. Walker misses 2-pt layup from 5 ft,,6,12
26,1,7:32.0,Offensive rebound by C. Zeller,,6,12
27,1,7:29.0,J. Lamb misses 2-pt jump shot from 21 ft,,6,12
28,1,7:26.0,,Defensive rebound by S. Ibaka,6,12
29,1,7:23.0,,K. Lowry makes 2-pt layup from 3 ft,6,14
30,1,7:23.0,,Shooting foul by N. Batum (drawn by K. Lowry),6,14
