,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,ORLANDO_ACTION,BROOKLYN_SCORE,ORLANDO_SCORE
0,1,11:45.0,D. Russell makes 2-pt layup from 3 ft (assist by J. Allen),,2,0
1,1,11:28.0,,A. Gordon makes 2-pt layup from 2 ft (assist by N. Vučević),2,2
2,1,11:21.0,Turnover by D. Russell (lost ball; steal by N. Vučević),,2,2
3,1,11:09.0,,N. Vučević misses 2-pt jump shot from 10 ft,2,2
4,1,11:06.0,Defensive rebound by J. Allen,,2,2
5,1,11:00.0,T. Graham makes 3-pt jump shot from 27 ft (assist by D. Russell),,5,2
6,1,10:39.0,,N. Vučević misses 2-pt jump shot from 21 ft,5,2
7,1,10:37.0,Defensive rebound by R. Kurucs,,5,2
8,1,10:27.0,Turnover by R. Kurucs (bad pass; steal by J. Isaac),,5,2
9,1,10:21.0,,A. Gordon misses 3-pt jump shot from 27 ft,5,2
10,1,10:18.0,Defensive rebound by T. Graham,,5,2
11,1,10:10.0,J. Harris misses 3-pt jump shot from 26 ft,,5,2
12,1,10:08.0,Offensive rebound by J. Allen,,5,2
13,1,9:56.0,R. Kurucs misses 2-pt jump shot from 5 ft,,5,2
14,1,9:54.0,,Defensive rebound by N. Vučević,5,2
15,1,9:52.0,,A. Gordon misses 2-pt layup from 3 ft (block by D. Russell),5,2
16,1,9:52.0,,Offensive rebound by Team,5,2
17,1,9:49.0,,Offensive foul by N. Vučević (drawn by J. Harris),5,2
18,1,9:49.0,,Turnover by N. Vučević (offensive foul),5,2
19,1,9:37.0,R. Kurucs misses 2-pt layup from 4 ft (block by N. Vučević),,5,2
20,1,9:37.0,Offensive rebound by Team,,5,2
21,1,9:26.0,T. Graham misses 2-pt hook shot from 8 ft,,5,2
22,1,9:26.0,Offensive rebound by Team,,5,2
23,1,9:25.0,Turnover by Team (shot clock),,5,2
24,1,9:17.0,,Personal foul by T. Graham (drawn by A. Gordon),5,2
25,1,9:05.0,,A. Gordon misses 2-pt jump shot from 16 ft,5,2
26,1,9:02.0,,Offensive rebound by J. Isaac,5,2
27,1,9:01.0,,J. Isaac makes 2-pt layup from 2 ft,5,4
28,1,8:53.0,J. Allen makes 2-pt dunk from 3 ft (assist by D. Russell),,7,4
29,1,8:36.0,,J. Isaac makes 3-pt jump shot from 28 ft (assist by D. Augustin),7,7
30,1,8:20.0,R. Kurucs misses 2-pt layup from 5 ft (block by J. Isaac),,7,7
31,1,8:17.0,,Defensive rebound by N. Vučević,7,7
32,1,8:15.0,,A. Gordon makes 2-pt dunk from 3 ft (assist by D. Augustin),7,9
33,1,7:55.0,D. Russell makes 2-pt layup from 5 ft (assist by J. Allen),,9,9
34,1,7:42.0,,E. Fournier makes 2-pt jump shot from 15 ft (assist by D. Augustin),9,11
35,1,7:29.0,J. Harris misses 2-pt layup from 2 ft (block by N. Vučević),,9,11
36,1,7:25.0,,Defensive rebound by J. Isaac,9,11
37,1,7:18.0,,E. Fournier misses 3-pt jump shot from 26 ft,9,11
38,1,7:16.0,Defensive rebound by J. Allen,,9,11
39,1,7:10.0,D. Russell misses 3-pt jump shot from 27 ft,,9,11
40,1,7:06.0,Offensive rebound by T. Graham,,9,11
41,1,7:04.0,Turnover by J. Harris (bad pass; steal by A. Gordon),,9,11
42,1,6:55.0,,N. Vučević misses 2-pt hook shot from 7 ft,9,11
43,1,6:53.0,Defensive rebound by T. Graham,,9,11
44,1,6:48.0,T. Graham misses 3-pt jump shot from 27 ft,,9,11
45,1,6:45.0,,Defensive rebound by E. Fournier,9,11
46,1,6:43.0,,Personal foul by T. Graham (drawn by E. Fournier),9,11
47,1,6:43.0,,Orlando full timeout,9,11
48,1,6:29.0,,J. Isaac makes 2-pt layup from 3 ft (assist by A. Gordon),9,13
49,1,6:15.0,J. Allen makes 2-pt dunk from 2 ft (assist by J. Harris),,11,13
50,1,6:00.0,,N. Vučević misses 2-pt hook shot from 6 ft,11,13
51,1,5:57.0,Defensive rebound by R. Kurucs,,11,13
52,1,5:50.0,R. Kurucs misses 3-pt jump shot from 27 ft,,11,13
53,1,5:48.0,,Defensive rebound by D. Augustin,11,13
54,1,5:34.0,,A. Gordon makes 3-pt jump shot from 26 ft (assist by N. Vučević),11,16
55,1,5:25.0,Turnover by T. Graham (bad pass),,11,16
56,1,5:25.0,S. Napier enters the game for D. Russell,,11,16
57,1,5:25.0,,W. Iwundu enters the game for A. Gordon,11,16
58,1,5:10.0,,N. Vučević makes 2-pt layup from 5 ft (assist by E. Fournier),11,18
59,1,4:58.0,J. Harris misses 2-pt jump shot from 8 ft,,11,18
60,1,4:55.0,,Defensive rebound by N. Vučević,11,18
61,1,4:49.0,,D. Augustin misses 2-pt layup from 4 ft,11,18
62,1,4:46.0,Defensive rebound by R. Kurucs,,11,18
63,1,4:42.0,R. Kurucs misses 2-pt layup from 5 ft (block by J. Isaac),,11,18
64,1,4:42.0,Offensive rebound by Team,,11,18
65,1,4:42.0,D. Carroll enters the game for R. Kurucs,,11,18
66,1,4:42.0,,I. Briscoe enters the game for D. Augustin,11,18
67,1,4:28.0,D. Carroll makes 2-pt jump shot from 14 ft (assist by J. Allen),,13,18
68,1,4:14.0,,E. Fournier makes 3-pt jump shot from 27 ft,13,21
69,1,3:59.0,S. Napier misses 3-pt jump shot from 26 ft,,13,21
70,1,3:59.0,,Defensive rebound by Team,13,21
71,1,3:59.0,E. Davis enters the game for J. Allen,,13,21
72,1,3:59.0,R. Hollis-Jefferson enters the game for T. Graham,,13,21
73,1,3:59.0,,T. Ross enters the game for E. Fournier,13,21
74,1,3:39.0,,W. Iwundu misses 2-pt hook shot from 7 ft,13,21
75,1,3:37.0,Defensive rebound by E. Davis,,13,21
76,1,3:33.0,Personal foul by I. Briscoe (drawn by S. Napier),,13,21
77,1,3:33.0,D. Russell enters the game for J. Harris,,13,21
78,1,3:25.0,S. Napier misses 2-pt jump shot from 15 ft,,13,21
79,1,3:23.0,,Defensive rebound by J. Isaac,13,21
80,1,3:17.0,,J. Isaac misses 3-pt jump shot from 26 ft,13,21
81,1,3:15.0,Defensive rebound by D. Carroll,,13,21
82,1,3:04.0,D. Russell misses 2-pt jump shot from 7 ft,,13,21
83,1,3:02.0,,Defensive rebound by J. Isaac,13,21
84,1,2:54.0,,Turnover by I. Briscoe (bad pass),13,21
85,1,2:54.0,Brooklyn full timeout,,13,21
86,1,2:54.0,,K. Birch enters the game for J. Isaac,13,21
87,1,2:54.0,,A. Gordon enters the game for N. Vučević,13,21
88,1,2:43.0,D. Russell misses 3-pt jump shot from 27 ft,,13,21
89,1,2:40.0,,Defensive rebound by K. Birch,13,21
90,1,2:31.0,,A. Gordon makes 3-pt jump shot from 26 ft,13,24
91,1,2:16.0,R. Hollis-Jefferson misses 2-pt jump shot from 13 ft,,13,24
92,1,2:13.0,,Defensive rebound by I. Briscoe,13,24
93,1,2:13.0,,Personal foul by D. Carroll (drawn by I. Briscoe),13,24
94,1,1:59.0,,T. Ross makes 2-pt jump shot from 20 ft,13,26
95,1,1:49.0,D. Carroll misses 2-pt layup from 5 ft (block by K. Birch),,13,26
96,1,1:49.0,Offensive rebound by Team,,13,26
97,1,1:41.0,D. Russell makes 2-pt jump shot from 17 ft (assist by E. Davis),,15,26
98,1,1:22.0,,T. Ross misses 3-pt jump shot from 27 ft,15,26
99,1,1:20.0,Defensive rebound by E. Davis,,15,26
100,1,1:14.0,Personal foul by W. Iwundu (drawn by E. Davis),,15,26
101,1,1:09.0,Personal foul by W. Iwundu (drawn by D. Russell),,15,26
102,1,1:09.0,D. Russell makes free throw 1 of 2,,16,26
103,1,1:09.0,D. Russell makes free throw 2 of 2,,17,26
104,1,0:51.0,,A. Gordon misses 2-pt jump shot from 12 ft,17,26
105,1,0:48.0,Defensive rebound by E. Davis,,17,26
106,1,0:34.0,D. Carroll makes 2-pt jump shot from 11 ft (assist by S. Napier),,19,26
107,1,0:23.0,,T. Ross misses 2-pt jump shot from 21 ft,19,26
108,1,0:23.0,Defensive rebound by D. Carroll,,19,26
109,1,0:01.0,D. Russell makes 2-pt jump shot from 20 ft,,21,26
110,1,0:00.0,,T. Ross misses 3-pt jump shot from 55 ft,21,26
111,1,0:00.0,,Offensive rebound by Team,21,26
112,2,11:37.0,,K. Birch misses 2-pt hook shot from 5 ft,21,26
113,2,11:35.0,Defensive rebound by E. Davis,,21,26
114,2,11:23.0,Turnover by R. Hollis-Jefferson (lost ball; steal by K. Birch),,21,26
115,2,11:18.0,,A. Gordon misses 3-pt jump shot from 26 ft,21,26
116,2,11:16.0,Defensive rebound by S. Napier,,21,26
117,2,11:12.0,Shooting foul by K. Birch (drawn by S. Napier),,21,26
118,2,11:12.0,S. Napier makes free throw 1 of 2,,22,26
119,2,11:12.0,S. Napier makes free throw 2 of 2,,23,26
120,2,11:02.0,,Shooting foul by E. Davis (drawn by I. Briscoe),23,26
121,2,11:02.0,,I. Briscoe makes free throw 1 of 2,23,27
122,2,11:02.0,,I. Briscoe makes free throw 2 of 2,23,28
123,2,10:48.0,E. Davis makes 2-pt layup from 4 ft (assist by D. Russell),,25,28
124,2,10:33.0,,I. Briscoe misses 3-pt jump shot from 26 ft,25,28
125,2,10:31.0,Defensive rebound by E. Davis,,25,28
126,2,10:16.0,S. Napier misses 3-pt jump shot from 27 ft,,25,28
127,2,10:13.0,,Defensive rebound by T. Ross,25,28
128,2,9:59.0,,E. Fournier makes 2-pt jump shot from 20 ft,25,30
129,2,9:44.0,R. Hollis-Jefferson misses 2-pt layup from 5 ft,,25,30
130,2,9:38.0,Offensive rebound by E. Davis,,25,30
131,2,9:38.0,E. Davis makes 2-pt layup at rim,,27,30
132,2,9:25.0,,T. Ross makes 3-pt jump shot from 26 ft,27,33
133,2,9:23.0,Brooklyn full timeout,,27,33
134,2,9:23.0,R. Kurucs enters the game for S. Napier,,27,33
135,2,9:01.0,Shooting foul by I. Briscoe (drawn by E. Davis),,27,33
136,2,9:01.0,E. Davis makes free throw 1 of 2,,28,33
137,2,9:01.0,E. Davis makes free throw 2 of 2,,29,33
138,2,8:45.0,,T. Ross misses 3-pt jump shot from 26 ft,29,33
139,2,8:43.0,Defensive rebound by D. Carroll,,29,33
140,2,8:39.0,Turnover by D. Russell (bad pass; steal by I. Briscoe),,29,33
141,2,8:28.0,,A. Gordon misses 2-pt jump shot from 17 ft,29,33
142,2,8:26.0,Defensive rebound by R. Kurucs,,29,33
143,2,8:17.0,D. Russell misses 2-pt jump shot from 19 ft,,29,33
144,2,8:15.0,,Defensive rebound by I. Briscoe,29,33
145,2,8:10.0,,K. Birch makes 2-pt layup from 3 ft (assist by A. Gordon),29,35
146,2,7:59.0,D. Carroll misses 3-pt jump shot from 26 ft,,29,35
147,2,7:55.0,,Defensive rebound by I. Briscoe,29,35
148,2,7:49.0,,T. Ross misses 3-pt jump shot from 25 ft,29,35
149,2,7:47.0,Defensive rebound by E. Davis,,29,35
150,2,7:47.0,,J. Isaac enters the game for E. Fournier,29,35
151,2,7:47.0,,W. Iwundu enters the game for A. Gordon,29,35
152,2,7:36.0,D. Carroll misses 3-pt jump shot from 25 ft,,29,35
153,2,7:34.0,,Defensive rebound by K. Birch,29,35
154,2,7:27.0,,Offensive foul by J. Isaac (drawn by R. Hollis-Jefferson),29,35
155,2,7:27.0,,Turnover by J. Isaac (offensive foul),29,35
156,2,7:18.0,D. Russell makes 3-pt jump shot from 26 ft (assist by E. Davis),,32,35
157,2,6:58.0,,T. Ross misses 2-pt jump shot from 14 ft,32,35
158,2,6:56.0,Defensive rebound by E. Davis,,32,35
159,2,6:39.0,D. Russell misses 2-pt jump shot from 13 ft,,32,35
160,2,6:37.0,,Defensive rebound by W. Iwundu,32,35
161,2,6:31.0,,W. Iwundu misses 2-pt layup from 3 ft (block by R. Kurucs),32,35
162,2,6:27.0,Defensive rebound by R. Kurucs,,32,35
163,2,6:25.0,E. Davis misses 2-pt layup from 1 ft,,32,35
164,2,6:25.0,Offensive rebound by D. Carroll,,32,35
165,2,6:25.0,Turnover by D. Carroll (traveling),,32,35
166,2,6:25.0,,D. Augustin enters the game for K. Birch,32,35
167,2,6:25.0,,N. Vučević enters the game for I. Briscoe,32,35
168,2,6:08.0,,N. Vučević misses 2-pt jump shot from 22 ft,32,35
169,2,6:00.0,,Offensive rebound by J. Isaac,32,35
170,2,6:00.0,,J. Isaac misses 2-pt layup from 1 ft,32,35
171,2,5:59.0,Defensive rebound by R. Hollis-Jefferson,,32,35
172,2,5:46.0,R. Kurucs misses 2-pt layup from 5 ft,,32,35
