,QUARTER,TIME_REMAINING,HOUSTON_ACTION,BOSTON_ACTION,HOUSTON_SCORE,BOSTON_SCORE
0,1,11:44.0,,K. Irving makes 2-pt jump shot from 18 ft,0,2
1,1,11:30.0,,Violation by Team (kicked ball),0,2
2,1,11:21.0,C. Paul misses 2-pt jump shot from 12 ft,,0,2
3,1,11:19.0,,Defensive rebound by M. Morris,0,2
4,1,11:08.0,,Turnover by A. Horford (bad pass; steal by C. Capela),0,2
5,1,10:58.0,J. Harden makes 2-pt layup from 3 ft,,2,2
6,1,10:46.0,,A. Horford makes 2-pt jump shot from 15 ft (assist by K. Irving),2,4
7,1,10:38.0,Personal foul by K. Irving (drawn by C. Paul),,2,4
8,1,10:27.0,E. Gordon makes 3-pt jump shot from 23 ft (assist by C. Paul),,5,4
9,1,10:10.0,,J. Tatum makes 2-pt jump shot from 8 ft,5,6
10,1,9:49.0,C. Paul misses 3-pt jump shot from 26 ft,,5,6
11,1,9:47.0,,Defensive rebound by K. Irving,5,6
12,1,9:33.0,,Turnover by M. Morris (lost ball; steal by J. Harden),5,6
13,1,9:29.0,J. Harden makes 2-pt layup from 2 ft,,7,6
14,1,9:11.0,,Turnover by K. Irving (lost ball; steal by C. Paul),7,6
15,1,9:07.0,E. Gordon makes 2-pt layup from 1 ft (assist by C. Paul),,9,6
16,1,8:50.0,,M. Smart misses 3-pt jump shot from 25 ft,9,6
17,1,8:48.0,Defensive rebound by C. Capela,,9,6
18,1,8:37.0,E. Gordon misses 3-pt jump shot from 23 ft,,9,6
19,1,8:35.0,,Defensive rebound by M. Morris,9,6
20,1,8:26.0,,Turnover by M. Smart (bad pass),9,6
21,1,8:22.0,Shooting foul by J. Tatum (drawn by E. Gordon),,9,6
22,1,8:22.0,E. Gordon makes free throw 1 of 2,,10,6
23,1,8:22.0,E. Gordon misses free throw 2 of 2,,10,6
24,1,8:22.0,,Defensive rebound by J. Tatum,10,6
25,1,8:08.0,,J. Tatum misses 3-pt jump shot from 23 ft,10,6
26,1,8:06.0,Defensive rebound by C. Capela,,10,6
27,1,7:54.0,C. Capela makes 2-pt dunk from 1 ft (assist by E. Gordon),,12,6
28,1,7:54.0,,Boston full timeout,12,6
29,1,7:43.0,,Turnover by M. Morris (lost ball; steal by C. Paul),12,6
30,1,7:39.0,J. Harden makes 3-pt jump shot from 26 ft (assist by C. Paul),,15,6
31,1,7:15.0,,A. Horford makes 2-pt hook shot from 12 ft (assist by M. Smart),15,8
32,1,6:59.0,C. Capela makes 2-pt dunk from 2 ft (assist by J. Harden),,17,8
33,1,6:46.0,,A. Horford makes 2-pt jump shot from 16 ft (assist by J. Tatum),17,10
34,1,6:22.0,J. Harden misses 2-pt jump shot from 4 ft,,17,10
35,1,6:21.0,,Defensive rebound by M. Morris,17,10
36,1,6:19.0,,J. Tatum makes 2-pt dunk from 1 ft (assist by K. Irving),17,12
37,1,6:02.0,E. Gordon makes 3-pt jump shot from 28 ft (assist by C. Paul),,20,12
38,1,5:41.0,,J. Tatum misses 2-pt jump shot from 14 ft,20,12
39,1,5:40.0,Defensive rebound by C. Paul,,20,12
40,1,5:33.0,C. Paul misses 3-pt jump shot from 27 ft,,20,12
41,1,5:30.0,,Defensive rebound by M. Smart,20,12
42,1,5:20.0,,K. Irving makes 2-pt jump shot from 10 ft,20,14
43,1,5:10.0,E. Gordon makes 2-pt layup from 2 ft,,22,14
44,1,5:03.0,,Personal foul by C. Paul (drawn by K. Irving),22,14
45,1,5:03.0,G. Green enters the game for E. Gordon,,22,14
46,1,5:03.0,A. Rivers enters the game for C. Paul,,22,14
47,1,5:03.0,,A. Baynes enters the game for A. Horford,22,14
48,1,5:03.0,,J. Brown enters the game for M. Morris,22,14
49,1,5:03.0,,G. Hayward enters the game for M. Smart,22,14
50,1,4:54.0,,G. Hayward misses 2-pt jump shot from 12 ft,22,14
51,1,4:52.0,Defensive rebound by G. Green,,22,14
52,1,4:36.0,J. Harden misses 3-pt jump shot from 24 ft,,22,14
53,1,4:34.0,Offensive rebound by P. Tucker,,22,14
54,1,4:32.0,G. Green misses 3-pt jump shot from 26 ft,,22,14
55,1,4:30.0,Offensive rebound by C. Capela,,22,14
56,1,4:19.0,J. Harden makes 2-pt layup from 3 ft,,24,14
57,1,3:54.0,,K. Irving makes 3-pt jump shot from 26 ft (assist by J. Tatum),24,17
58,1,3:38.0,Shooting foul by J. Brown (drawn by J. Harden),,24,17
59,1,3:38.0,J. Harden makes free throw 1 of 2,,25,17
60,1,3:38.0,N. Hilário enters the game for C. Capela,,25,17
61,1,3:38.0,J. Harden makes free throw 2 of 2,,26,17
62,1,3:28.0,,K. Irving misses 2-pt jump shot from 7 ft (block by A. Rivers),26,17
63,1,3:25.0,Defensive rebound by A. Rivers,,26,17
64,1,3:15.0,J. Harden makes 2-pt layup from 3 ft,,28,17
65,1,3:02.0,,Personal foul by A. Rivers (drawn by A. Baynes),28,17
66,1,2:55.0,,J. Brown misses 3-pt jump shot from 25 ft,28,17
67,1,2:53.0,Defensive rebound by A. Rivers,,28,17
68,1,2:45.0,J. Harden misses 3-pt jump shot from 28 ft,,28,17
69,1,2:42.0,,Defensive rebound by A. Baynes,28,17
70,1,2:26.0,,J. Tatum misses 2-pt layup from 1 ft,28,17
71,1,2:23.0,Defensive rebound by G. Green,,28,17
72,1,2:18.0,P. Tucker makes 3-pt jump shot from 26 ft (assist by J. Harden),,31,17
73,1,1:58.0,,Offensive foul by A. Baynes (drawn by N. Hilário),31,17
74,1,1:58.0,,Turnover by A. Baynes (offensive foul),31,17
75,1,1:58.0,Houston full timeout,,31,17
76,1,1:58.0,C. Paul enters the game for J. Harden,,31,17
77,1,1:58.0,,T. Rozier enters the game for J. Tatum,31,17
78,1,1:36.0,G. Green misses 2-pt jump shot from 23 ft,,31,17
79,1,1:34.0,Offensive rebound by P. Tucker,,31,17
80,1,1:34.0,Turnover by P. Tucker (bad pass),,31,17
81,1,1:19.0,,Shooting foul by N. Hilário (drawn by A. Baynes),31,17
82,1,1:19.0,,A. Baynes makes free throw 1 of 2,31,18
83,1,1:19.0,,A. Baynes makes free throw 2 of 2,31,19
84,1,1:07.0,Turnover by C. Paul (bad pass; steal by J. Brown),,31,19
85,1,1:03.0,,T. Rozier misses 2-pt layup from 2 ft,31,19
86,1,1:01.0,,Offensive rebound by A. Baynes,31,19
87,1,1:00.0,,A. Baynes makes 2-pt dunk from 1 ft,31,21
88,1,0:50.0,A. Rivers misses 3-pt jump shot from 26 ft,,31,21
89,1,0:48.0,,Defensive rebound by K. Irving,31,21
90,1,0:38.0,,J. Brown makes 2-pt jump shot from 6 ft (assist by K. Irving),31,23
91,1,0:27.0,N. Hilário makes 2-pt layup from 1 ft (assist by C. Paul),,33,23
92,1,0:27.0,Shooting foul by J. Brown (drawn by N. Hilário),,33,23
93,1,0:27.0,,A. Horford enters the game for A. Baynes,33,23
94,1,0:27.0,N. Hilário misses free throw 1 of 1,,33,23
95,1,0:27.0,,Defensive rebound by J. Brown,33,23
96,1,0:18.0,,G. Hayward misses 2-pt jump shot from 13 ft,33,23
97,1,0:14.0,Defensive rebound by G. Green,,33,23
98,1,0:00.0,Turnover by G. Green (traveling),,33,23
99,2,11:35.0,Turnover by C. Paul (bad pass; steal by G. Hayward),,33,23
100,2,11:34.0,,Turnover by J. Brown (traveling),33,23
101,2,11:19.0,C. Paul makes 2-pt jump shot from 19 ft,,35,23
102,2,10:57.0,,G. Hayward misses 3-pt jump shot from 27 ft,35,23
103,2,10:56.0,Defensive rebound by C. Paul,,35,23
104,2,10:42.0,A. Rivers makes 2-pt layup from 3 ft (assist by C. Paul),,37,23
105,2,10:30.0,,Personal foul by G. Clark (drawn by M. Smart),37,23
106,2,10:20.0,,A. Horford makes 2-pt layup from 2 ft (assist by G. Hayward),37,25
107,2,10:09.0,C. Paul makes 3-pt jump shot from 28 ft,,40,25
108,2,9:57.0,,T. Rozier makes 2-pt layup at rim (assist by M. Smart),40,27
109,2,9:34.0,A. Rivers misses 3-pt jump shot from 23 ft,,40,27
110,2,9:32.0,,Defensive rebound by A. Horford,40,27
111,2,9:29.0,,M. Smart misses 3-pt jump shot from 25 ft,40,27
112,2,9:28.0,Defensive rebound by C. Paul,,40,27
113,2,9:19.0,E. Gordon makes 3-pt jump shot from 26 ft (assist by C. Paul),,43,27
114,2,9:00.0,,G. Hayward misses 2-pt layup from 2 ft,43,27
115,2,8:59.0,Defensive rebound by G. Clark,,43,27
116,2,8:52.0,Turnover by C. Paul (bad pass),,43,27
117,2,8:52.0,C. Capela enters the game for N. Hilário,,43,27
118,2,8:52.0,,M. Morris enters the game for G. Hayward,43,27
119,2,8:52.0,,Technical foul by M. Morris,43,27
120,2,8:52.0,C. Paul makes technical free throw,,44,27
121,2,8:52.0,G. Green enters the game for G. Clark,,44,27
122,2,8:52.0,J. Harden enters the game for A. Rivers,,44,27
123,2,8:36.0,,J. Brown makes 2-pt jump shot from 10 ft,44,29
124,2,8:23.0,Personal foul by T. Rozier (drawn by C. Capela),,44,29
125,2,8:09.0,J. Harden misses 3-pt jump shot from 26 ft,,44,29
126,2,8:07.0,,Defensive rebound by T. Rozier,44,29
127,2,7:54.0,,T. Rozier makes 2-pt jump shot from 19 ft,44,31
128,2,7:29.0,Turnover by C. Capela (bad pass; steal by M. Morris),,44,31
129,2,7:24.0,,T. Rozier misses 3-pt jump shot from 26 ft,44,31
130,2,7:21.0,,Offensive rebound by J. Brown,44,31
131,2,7:21.0,,J. Brown makes 2-pt layup from 1 ft,44,33
132,2,7:07.0,J. Harden misses 3-pt jump shot from 27 ft,,44,33
133,2,7:05.0,,Defensive rebound by A. Horford,44,33
134,2,7:01.0,,J. Brown misses 3-pt jump shot from 25 ft,44,33
135,2,7:00.0,Defensive rebound by C. Capela,,44,33
136,2,6:51.0,Personal foul by M. Smart (drawn by C. Paul),,44,33
137,2,6:51.0,,Boston full timeout,44,33
138,2,6:51.0,P. Tucker enters the game for C. Paul,,44,33
139,2,6:51.0,,K. Irving enters the game for J. Brown,44,33
140,2,6:37.0,J. Harden makes 3-pt jump shot from 27 ft,,47,33
141,2,6:16.0,,A. Horford makes 2-pt layup from 2 ft (assist by M. Smart),47,35
