,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,PHOENIX_ACTION,CHARLOTTE_SCORE,PHOENIX_SCORE
0,1,11:47.0,Personal foul by D. Melton (drawn by K. Walker),,0,0
1,1,11:42.0,Offensive foul by B. Biyombo (drawn by D. Melton),,0,0
2,1,11:42.0,Turnover by B. Biyombo (offensive foul),,0,0
3,1,11:24.0,,D. Ayton makes 2-pt jump shot from 11 ft (assist by D. Booker),0,2
4,1,10:59.0,K. Walker makes 2-pt layup from 1 ft,,2,2
5,1,10:48.0,,D. Booker misses 2-pt jump shot from 8 ft,2,2
6,1,10:45.0,Defensive rebound by B. Biyombo,,2,2
7,1,10:30.0,B. Biyombo makes 2-pt dunk from 1 ft (assist by D. Graham),,4,2
8,1,10:09.0,,D. Booker misses 3-pt jump shot from 26 ft,4,2
9,1,10:08.0,Defensive rebound by B. Biyombo,,4,2
10,1,10:00.0,K. Walker misses 3-pt jump shot from 25 ft,,4,2
11,1,9:56.0,,Defensive rebound by D. Ayton,4,2
12,1,9:36.0,,D. Ayton makes 2-pt jump shot from 22 ft (assist by D. Melton),4,4
13,1,9:20.0,M. Williams misses 2-pt jump shot from 6 ft,,4,4
14,1,9:18.0,,Defensive rebound by D. Ayton,4,4
15,1,9:09.0,,Turnover by D. Booker (bad pass; steal by D. Graham),4,4
16,1,9:02.0,Personal foul by T. Warren (drawn by M. Williams),,4,4
17,1,8:54.0,Turnover by K. Walker (lost ball; steal by M. Bridges),,4,4
18,1,8:50.0,,T. Warren makes 2-pt dunk from 1 ft (assist by D. Melton),4,6
19,1,8:37.0,N. Batum misses 3-pt jump shot from 26 ft,,4,6
20,1,8:35.0,Offensive rebound by B. Biyombo,,4,6
21,1,8:32.0,B. Biyombo misses 2-pt hook shot from 4 ft,,4,6
22,1,8:30.0,,Defensive rebound by D. Ayton,4,6
23,1,8:27.0,,Offensive foul by D. Booker (drawn by N. Batum),4,6
24,1,8:27.0,,Turnover by D. Booker (offensive foul),4,6
25,1,8:09.0,B. Biyombo misses 2-pt layup from 1 ft,,4,6
26,1,8:07.0,,Defensive rebound by D. Ayton,4,6
27,1,7:55.0,,M. Bridges makes 3-pt jump shot from 24 ft (assist by T. Warren),4,9
