,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,DENVER_ACTION,LA CLIPPERS_SCORE,DENVER_SCORE
0,1,11:40.0,M. Gortat makes 2-pt jump shot from 10 ft (assist by D. Gallinari),,2,0
1,1,11:20.0,,Turnover by N. Jokić (bad pass),2,0
2,1,11:08.0,T. Harris misses 2-pt jump shot from 12 ft,,2,0
3,1,11:04.0,,Defensive rebound by P. Millsap,2,0
4,1,10:58.0,,P. Millsap makes 2-pt hook shot from 4 ft,2,2
5,1,10:49.0,Personal foul by N. Jokić (drawn by S. Gilgeous-Alexander),,2,2
6,1,10:41.0,D. Gallinari misses 2-pt jump shot from 18 ft,,2,2
7,1,10:38.0,,Defensive rebound by J. Murray,2,2
8,1,10:25.0,,Shooting foul by M. Gortat (drawn by N. Jokić),2,2
9,1,10:25.0,,N. Jokić misses free throw 1 of 2,2,2
10,1,10:25.0,,Offensive rebound by Team,2,2
11,1,10:25.0,,N. Jokić makes free throw 2 of 2,2,3
12,1,10:04.0,S. Gilgeous-Alexander makes 3-pt jump shot from 23 ft (assist by A. Bradley),,5,3
13,1,9:47.0,,T. Craig makes 3-pt jump shot from 22 ft (assist by M. Beasley),5,6
14,1,9:29.0,Turnover by S. Gilgeous-Alexander (bad pass; steal by T. Craig),,5,6
15,1,9:24.0,,T. Craig makes 2-pt dunk at rim (assist by J. Murray),5,8
16,1,9:10.0,D. Gallinari misses 2-pt layup from 4 ft (block by N. Jokić),,5,8
17,1,9:10.0,Offensive rebound by Team,,5,8
18,1,9:00.0,T. Harris makes 2-pt jump shot from 12 ft (assist by S. Gilgeous-Alexander),,7,8
19,1,8:41.0,,J. Murray makes 2-pt layup from 2 ft (assist by N. Jokić),7,10
20,1,8:31.0,T. Harris misses 3-pt jump shot from 24 ft,,7,10
21,1,8:29.0,,Defensive rebound by P. Millsap,7,10
22,1,8:21.0,,P. Millsap misses 2-pt jump shot from 11 ft,7,10
23,1,8:19.0,Defensive rebound by T. Harris,,7,10
24,1,8:11.0,D. Gallinari makes 3-pt jump shot from 24 ft (assist by T. Harris),,10,10
25,1,7:52.0,,M. Beasley makes 3-pt jump shot from 26 ft (assist by N. Jokić),10,13
26,1,7:37.0,Turnover by S. Gilgeous-Alexander (bad pass; steal by M. Beasley),,10,13
27,1,7:28.0,,M. Beasley makes 2-pt jump shot from 6 ft,10,15
28,1,7:28.0,LA Clippers full timeout,,10,15
29,1,7:11.0,D. Gallinari makes 3-pt jump shot from 25 ft (assist by A. Bradley),,13,15
30,1,6:46.0,,N. Jokić misses 2-pt jump shot from 5 ft,13,15
31,1,6:42.0,,Offensive rebound by N. Jokić,13,15
32,1,6:42.0,,N. Jokić makes 2-pt layup from 1 ft,13,17
33,1,6:28.0,A. Bradley misses 2-pt jump shot from 3 ft (block by M. Beasley),,13,17
34,1,6:27.0,,Defensive rebound by P. Millsap,13,17
35,1,6:19.0,,M. Beasley makes 3-pt jump shot from 23 ft (assist by N. Jokić),13,20
36,1,5:55.0,T. Harris misses 3-pt jump shot from 24 ft,,13,20
37,1,5:53.0,,Defensive rebound by T. Craig,13,20
38,1,5:46.0,,Shooting foul by T. Harris (drawn by P. Millsap),13,20
39,1,5:46.0,,P. Millsap makes free throw 1 of 2,13,21
40,1,5:46.0,P. Beverley enters the game for S. Gilgeous-Alexander,,13,21
41,1,5:46.0,M. Harrell enters the game for M. Gortat,,13,21
42,1,5:46.0,,J. Hernangómez enters the game for T. Craig,13,21
43,1,5:46.0,,P. Millsap makes free throw 2 of 2,13,22
44,1,5:30.0,D. Gallinari misses 2-pt jump shot from 13 ft,,13,22
45,1,5:25.0,Offensive rebound by T. Harris,,13,22
46,1,5:24.0,D. Gallinari makes 3-pt jump shot from 25 ft (assist by T. Harris),,16,22
47,1,5:11.0,,M. Beasley makes 3-pt jump shot from 25 ft (assist by N. Jokić),16,25
48,1,4:56.0,Turnover by P. Beverley (out of bounds lost ball),,16,25
49,1,4:37.0,,J. Murray makes 2-pt jump shot from 18 ft (assist by N. Jokić),16,27
50,1,4:15.0,Turnover by D. Gallinari (lost ball; steal by P. Millsap),,16,27
51,1,4:13.0,,Turnover by J. Murray (out of bounds lost ball),16,27
52,1,4:13.0,L. Williams enters the game for A. Bradley,,16,27
53,1,4:13.0,,M. Morris enters the game for M. Beasley,16,27
54,1,4:02.0,T. Harris misses 2-pt jump shot from 9 ft,,16,27
55,1,4:00.0,,Defensive rebound by P. Millsap,16,27
56,1,3:54.0,,N. Jokić misses 3-pt jump shot from 22 ft,16,27
57,1,3:51.0,Defensive rebound by T. Harris,,16,27
58,1,3:39.0,Turnover by M. Harrell (bad pass),,16,27
59,1,3:23.0,,N. Jokić misses 3-pt jump shot from 25 ft,16,27
60,1,3:18.0,Defensive rebound by T. Harris,,16,27
61,1,3:14.0,Shooting foul by N. Jokić (drawn by T. Harris),,16,27
62,1,3:14.0,T. Harris makes free throw 1 of 2,,17,27
63,1,3:14.0,T. Wallace enters the game for D. Gallinari,,17,27
64,1,3:14.0,,T. Craig enters the game for N. Jokić,17,27
65,1,3:14.0,,M. Plumlee enters the game for J. Murray,17,27
66,1,3:14.0,T. Harris makes free throw 2 of 2,,18,27
67,1,2:58.0,,P. Millsap misses 2-pt layup from 3 ft,18,27
68,1,2:58.0,,Offensive rebound by P. Millsap,18,27
69,1,2:58.0,,P. Millsap misses 2-pt layup from 2 ft,18,27
70,1,2:56.0,,Offensive rebound by P. Millsap,18,27
71,1,2:56.0,,Shooting foul by M. Harrell (drawn by P. Millsap),18,27
72,1,2:56.0,,Denver full timeout,18,27
73,1,2:56.0,M. Scott enters the game for T. Harris,,18,27
74,1,2:56.0,,P. Millsap makes free throw 1 of 2,18,28
75,1,2:56.0,,P. Millsap makes free throw 2 of 2,18,29
76,1,2:47.0,L. Williams makes 2-pt layup from 3 ft,,20,29
77,1,2:27.0,,Personal foul by L. Williams (drawn by J. Hernangómez),20,29
78,1,2:27.0,,T. Lyles enters the game for P. Millsap,20,29
79,1,2:17.0,,M. Morris makes 2-pt jump shot from 4 ft,20,31
80,1,2:07.0,P. Beverley makes 2-pt layup from 1 ft (assist by L. Williams),,22,31
81,1,1:47.0,,M. Plumlee makes 2-pt hook shot from 2 ft,22,33
82,1,1:38.0,Turnover by L. Williams (bad pass),,22,33
83,1,1:28.0,,Offensive foul by M. Plumlee (drawn by P. Beverley),22,33
84,1,1:28.0,,Turnover by M. Plumlee (offensive foul),22,33
85,1,1:17.0,Personal foul by T. Craig (drawn by L. Williams),,22,33
86,1,1:03.0,M. Harrell misses 2-pt jump shot from 10 ft,,22,33
87,1,1:00.0,,Defensive rebound by Team,22,33
