,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,OKLAHOMA CITY_ACTION,PHILADELPHIA_SCORE,OKLAHOMA CITY_SCORE
0,1,11:43.0,,P. George misses 2-pt jump shot from 6 ft,0,0
1,1,11:43.0,,Offensive rebound by Team,0,0
2,1,11:43.0,Loose ball foul by D. Šarić (drawn by S. Adams),,0,0
3,1,11:33.0,,C. Anthony misses 2-pt jump shot from 12 ft,0,0
4,1,11:31.0,,Offensive rebound by S. Adams,0,0
5,1,11:31.0,,S. Adams misses 2-pt layup at rim,0,0
6,1,11:28.0,,Offensive rebound by Team,0,0
7,1,11:25.0,,R. Westbrook misses 3-pt jump shot from 25 ft,0,0
8,1,11:25.0,Defensive rebound by D. Šarić,,0,0
9,1,11:17.0,Shooting foul by P. George (drawn by B. Simmons),,0,0
10,1,11:17.0,B. Simmons misses free throw 1 of 2,,0,0
11,1,11:17.0,B. Simmons makes free throw 2 of 2,,1,0
12,1,11:04.0,,P. George makes 2-pt layup from 1 ft,1,2
13,1,10:42.0,D. Šarić misses 2-pt layup at rim,,1,2
14,1,10:41.0,,Defensive rebound by P. George,1,2
15,1,10:27.0,,R. Westbrook misses 2-pt jump shot from 3 ft (block by B. Simmons),1,2
16,1,10:25.0,Defensive rebound by B. Simmons,,1,2
17,1,10:20.0,T. Luwawu-Cabarrot makes 3-pt jump shot from 26 ft (assist by B. Simmons),,4,2
18,1,10:05.0,,P. George makes 3-pt jump shot from 25 ft (assist by S. Adams),4,5
19,1,9:54.0,Personal foul by T. Ferguson (drawn by T. Luwawu-Cabarrot),,4,5
20,1,9:49.0,B. Simmons misses 2-pt layup from 1 ft,,4,5
21,1,9:45.0,,Defensive rebound by T. Ferguson,4,5
22,1,9:43.0,,P. George makes 2-pt dunk at rim (assist by R. Westbrook),4,7
23,1,9:22.0,J. Embiid makes 3-pt jump shot from 25 ft (assist by R. Covington),,7,7
24,1,9:11.0,,C. Anthony makes 2-pt jump shot from 16 ft,7,9
25,1,9:10.0,Philadelphia full timeout,,7,9
26,1,8:56.0,Turnover by J. Embiid (lost ball; steal by P. George),,7,9
27,1,8:50.0,,R. Westbrook misses 2-pt layup at rim,7,9
28,1,8:48.0,,Offensive rebound by S. Adams,7,9
29,1,8:47.0,,S. Adams makes 2-pt layup at rim,7,11
30,1,8:41.0,R. Covington misses 3-pt jump shot from 25 ft,,7,11
31,1,8:37.0,Offensive rebound by J. Embiid,,7,11
32,1,8:36.0,T. Luwawu-Cabarrot makes 3-pt jump shot from 22 ft (assist by J. Embiid),,10,11
33,1,8:34.0,,Oklahoma City full timeout,10,11
34,1,8:20.0,,S. Adams makes 2-pt dunk from 1 ft (assist by R. Westbrook),10,13
35,1,7:54.0,T. Luwawu-Cabarrot misses 2-pt jump shot from 23 ft,,10,13
36,1,7:53.0,Offensive rebound by Team,,10,13
37,1,7:53.0,Turnover by Team (shot clock),,10,13
38,1,7:53.0,J. Anderson enters the game for R. Covington,,10,13
