,QUARTER,TIME_REMAINING,NEW YORK_ACTION,PHILADELPHIA_ACTION,NEW YORK_SCORE,PHILADELPHIA_SCORE
0,1,11:41.0,M. Beasley misses 3-pt jump shot from 25 ft,,0,0
1,1,11:39.0,,Defensive rebound by J. Embiid,0,0
2,1,11:34.0,,R. Covington makes 3-pt jump shot from 26 ft (assist by B. Simmons),0,3
3,1,11:16.0,T. Hardaway misses 3-pt jump shot from 25 ft,,0,3
4,1,11:12.0,,Defensive rebound by D. Šarić,0,3
5,1,11:00.0,,J. Embiid misses 2-pt jump shot from 4 ft,0,3
6,1,10:58.0,Defensive rebound by E. Freedom,,0,3
7,1,10:50.0,M. Beasley makes 2-pt jump shot from 6 ft,,2,3
8,1,10:39.0,,D. Šarić misses 3-pt jump shot from 25 ft,2,3
9,1,10:36.0,Defensive rebound by E. Freedom,,2,3
10,1,10:29.0,E. Freedom makes 2-pt layup from 1 ft (assist by M. Beasley),,4,3
11,1,10:29.0,Shooting foul by J. Redick (drawn by E. Freedom),,4,3
12,1,10:29.0,E. Freedom makes free throw 1 of 1,,5,3
13,1,10:16.0,,Turnover by J. Embiid (bad pass; steal by T. Burke),5,3
14,1,10:13.0,T. Burke makes 2-pt layup from 1 ft,,7,3
15,1,10:13.0,,Philadelphia full timeout,7,3
16,1,10:09.0,,J. Redick misses 3-pt jump shot from 24 ft,7,3
17,1,10:08.0,Defensive rebound by Team,,7,3
18,1,10:08.0,,Loose ball foul by J. Embiid (drawn by E. Freedom),7,3
19,1,9:56.0,M. Beasley misses 2-pt layup from 5 ft,,7,3
20,1,9:54.0,,Defensive rebound by D. Šarić,7,3
21,1,9:49.0,,R. Covington makes 2-pt layup from 3 ft (assist by J. Redick),7,5
22,1,9:29.0,M. Beasley misses 2-pt jump shot from 7 ft,,7,5
23,1,9:27.0,,Defensive rebound by B. Simmons,7,5
24,1,9:22.0,,J. Redick makes 3-pt jump shot from 23 ft (assist by D. Šarić),7,8
25,1,9:06.0,T. Burke makes 2-pt jump shot from 9 ft,,9,8
26,1,8:56.0,,J. Redick makes 2-pt jump shot from 19 ft (assist by B. Simmons),9,10
27,1,8:41.0,E. Freedom misses 2-pt jump shot from 16 ft,,9,10
28,1,8:38.0,,Defensive rebound by D. Šarić,9,10
29,1,8:32.0,,D. Šarić makes 3-pt jump shot from 24 ft (assist by B. Simmons),9,13
30,1,8:09.0,T. Hardaway misses 3-pt jump shot from 25 ft,,9,13
31,1,8:07.0,,Defensive rebound by B. Simmons,9,13
32,1,8:00.0,,J. Redick misses 3-pt jump shot from 25 ft,9,13
33,1,7:57.0,Defensive rebound by M. Beasley,,9,13
34,1,7:54.0,T. Hardaway misses 2-pt layup from 3 ft (block by R. Covington),,9,13
35,1,7:54.0,,Defensive rebound by Team,9,13
36,1,7:41.0,,J. Redick makes 2-pt jump shot from 17 ft (assist by B. Simmons),9,15
37,1,7:32.0,New York full timeout,,9,15
38,1,7:32.0,,T. McConnell enters the game for R. Covington,9,15
39,1,7:15.0,T. Hardaway makes 3-pt jump shot from 24 ft (assist by E. Freedom),,12,15
40,1,7:01.0,,J. Embiid misses 2-pt hook shot from 4 ft (block by E. Freedom),12,15
41,1,7:00.0,,Offensive rebound by J. Embiid,12,15
42,1,6:59.0,,Shooting foul by L. Thomas (drawn by J. Embiid),12,15
43,1,6:59.0,,J. Embiid makes free throw 1 of 2,12,16
44,1,6:59.0,,M. Belinelli enters the game for J. Redick,12,16
45,1,6:59.0,,J. Embiid misses free throw 2 of 2,12,16
46,1,6:45.0,,Offensive rebound by D. Šarić,12,16
47,1,6:43.0,,D. Šarić makes 2-pt jump shot from 16 ft,12,18
48,1,6:21.0,E. Freedom misses 2-pt hook shot from 4 ft,,12,18
49,1,6:19.0,,Defensive rebound by D. Šarić,12,18
50,1,6:09.0,,J. Embiid misses 2-pt jump shot from 4 ft,12,18
51,1,6:07.0,,Offensive rebound by J. Embiid,12,18
52,1,6:06.0,,J. Embiid makes 2-pt layup from 2 ft,12,20
53,1,5:52.0,T. Burke makes 2-pt layup from 3 ft,,14,20
54,1,5:44.0,,J. Embiid misses 3-pt jump shot from 26 ft,14,20
55,1,5:44.0,,Offensive rebound by B. Simmons,14,20
56,1,5:39.0,,M. Belinelli makes 2-pt layup from 2 ft (assist by B. Simmons),14,22
57,1,5:25.0,T. Burke misses 2-pt jump shot from 16 ft,,14,22
58,1,5:23.0,,Defensive rebound by D. Šarić,14,22
59,1,5:15.0,,D. Šarić makes 2-pt layup from 1 ft (assist by B. Simmons),14,24
60,1,4:50.0,T. Burke misses 2-pt jump shot from 4 ft,,14,24
61,1,4:46.0,Offensive rebound by E. Freedom,,14,24
