,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,MILWAUKEE_ACTION,BROOKLYN_SCORE,MILWAUKEE_SCORE
0,1,11:45.0,,G. Antetokounmpo makes 2-pt jump shot from 19 ft (assist by J. Henson),0,2
1,1,11:28.0,T. Zeller misses 2-pt layup from 1 ft,,0,2
2,1,11:26.0,,Defensive rebound by J. Henson,0,2
3,1,11:17.0,,J. Henson makes 2-pt hook shot from 6 ft (assist by E. Bledsoe),0,4
4,1,10:54.0,S. Dinwiddie misses 3-pt jump shot from 27 ft,,0,4
5,1,10:51.0,,Defensive rebound by G. Antetokounmpo,0,4
6,1,10:49.0,,Shooting foul by R. Hollis-Jefferson (drawn by G. Antetokounmpo),0,4
7,1,10:49.0,,G. Antetokounmpo makes free throw 1 of 2,0,5
8,1,10:49.0,,G. Antetokounmpo makes free throw 2 of 2,0,6
9,1,10:29.0,R. Hollis-Jefferson misses 3-pt jump shot from 25 ft,,0,6
10,1,10:26.0,,Defensive rebound by J. Henson,0,6
11,1,10:11.0,,G. Antetokounmpo misses 2-pt jump shot from 12 ft,0,6
12,1,10:09.0,Defensive rebound by D. Carroll,,0,6
13,1,10:01.0,Turnover by R. Hollis-Jefferson (lost ball; steal by G. Antetokounmpo),,0,6
14,1,9:43.0,,E. Bledsoe misses 2-pt jump shot from 14 ft,0,6
15,1,9:40.0,Defensive rebound by D. Carroll,,0,6
16,1,9:33.0,A. Crabbe misses 3-pt jump shot from 25 ft,,0,6
17,1,9:29.0,,Defensive rebound by G. Antetokounmpo,0,6
18,1,9:18.0,,K. Middleton makes 2-pt jump shot from 16 ft,0,8
19,1,9:02.0,A. Crabbe makes 2-pt layup at rim,,2,8
20,1,8:44.0,,G. Antetokounmpo makes 3-pt jump shot from 26 ft (assist by J. Henson),2,11
21,1,8:26.0,D. Carroll misses 3-pt jump shot from 26 ft,,2,11
22,1,8:22.0,,Defensive rebound by K. Middleton,2,11
23,1,8:20.0,,K. Middleton misses 2-pt jump shot from 2 ft,2,11
24,1,8:20.0,Defensive rebound by S. Dinwiddie,,2,11
25,1,8:14.0,R. Hollis-Jefferson misses 2-pt layup from 1 ft (block by G. Antetokounmpo),,2,11
26,1,8:14.0,Offensive rebound by T. Zeller,,2,11
27,1,8:05.0,T. Zeller misses 3-pt jump shot from 24 ft,,2,11
28,1,8:02.0,,Defensive rebound by G. Antetokounmpo,2,11
29,1,7:55.0,,E. Bledsoe misses 2-pt jump shot from 19 ft,2,11
30,1,7:53.0,Defensive rebound by R. Hollis-Jefferson,,2,11
31,1,7:45.0,D. Carroll misses 3-pt jump shot from 25 ft,,2,11
32,1,7:42.0,,Defensive rebound by J. Henson,2,11
33,1,7:31.0,,G. Antetokounmpo makes 2-pt layup from 1 ft,2,13
34,1,7:31.0,Brooklyn full timeout,,2,13
35,1,7:20.0,Turnover by A. Crabbe (bad pass; steal by K. Middleton),,2,13
36,1,7:14.0,,T. Snell makes 3-pt jump shot from 22 ft (assist by K. Middleton),2,16
37,1,6:56.0,A. Crabbe makes 3-pt jump shot from 27 ft (assist by R. Hollis-Jefferson),,5,16
38,1,6:38.0,,Shooting foul by A. Crabbe (drawn by J. Henson),5,16
39,1,6:38.0,,J. Henson makes free throw 1 of 2,5,17
40,1,6:38.0,J. Allen enters the game for T. Zeller,,5,17
41,1,6:38.0,J. Harris enters the game for A. Crabbe,,5,17
42,1,6:38.0,,J. Henson misses free throw 2 of 2,5,17
43,1,6:35.0,Defensive rebound by Team,,5,17
44,1,6:25.0,Def 3 sec tech foul by J. Henson,,5,17
45,1,6:25.0,S. Dinwiddie makes technical free throw,,6,17
46,1,6:25.0,,S. Brown enters the game for G. Antetokounmpo,6,17
47,1,6:12.0,Shooting foul by E. Bledsoe (drawn by S. Dinwiddie),,6,17
48,1,6:12.0,S. Dinwiddie misses free throw 1 of 3,,6,17
49,1,6:12.0,Offensive rebound by Team,,6,17
50,1,6:12.0,S. Dinwiddie makes free throw 2 of 3,,7,17
51,1,6:12.0,Q. Acy enters the game for R. Hollis-Jefferson,,7,17
52,1,6:12.0,S. Dinwiddie makes free throw 3 of 3,,8,17
53,1,6:00.0,,J. Henson misses 2-pt layup from 2 ft,8,17
54,1,5:57.0,Defensive rebound by D. Carroll,,8,17
55,1,5:55.0,J. Allen makes 2-pt dunk at rim (assist by D. Carroll),,10,17
56,1,5:42.0,,K. Middleton makes 3-pt jump shot from 27 ft,10,20
57,1,5:28.0,S. Dinwiddie misses 3-pt jump shot from 27 ft,,10,20
58,1,5:25.0,,Defensive rebound by T. Snell,10,20
59,1,5:14.0,,T. Snell misses 2-pt jump shot from 20 ft,10,20
60,1,5:11.0,Defensive rebound by J. Allen,,10,20
61,1,5:01.0,Personal foul by K. Middleton (drawn by D. Carroll),,10,20
62,1,5:01.0,,T. Maker enters the game for E. Bledsoe,10,20
63,1,5:01.0,,M. Dellavedova enters the game for J. Henson,10,20
64,1,5:01.0,C. LeVert enters the game for S. Dinwiddie,,10,20
65,1,5:01.0,D. Russell enters the game for D. Carroll,,10,20
66,1,4:47.0,D. Russell misses 2-pt jump shot from 18 ft,,10,20
67,1,4:47.0,Offensive rebound by Team,,10,20
68,1,4:35.0,Q. Acy misses 3-pt jump shot from 23 ft,,10,20
69,1,4:33.0,,Defensive rebound by S. Brown,10,20
70,1,4:29.0,,K. Middleton makes 3-pt jump shot from 27 ft (assist by M. Dellavedova),10,23
71,1,4:11.0,Q. Acy misses 3-pt jump shot from 26 ft,,10,23
72,1,4:07.0,,Defensive rebound by M. Dellavedova,10,23
73,1,4:03.0,,S. Brown misses 2-pt layup from 2 ft (block by J. Allen),10,23
74,1,3:58.0,Defensive rebound by D. Russell,,10,23
75,1,3:56.0,Turnover by D. Russell (bad pass; steal by M. Dellavedova),,10,23
76,1,3:45.0,,T. Maker makes 2-pt jump shot from 19 ft (assist by M. Dellavedova),10,25
77,1,3:25.0,D. Russell misses 2-pt jump shot from 5 ft,,10,25
78,1,3:23.0,Offensive rebound by J. Allen,,10,25
79,1,3:22.0,J. Allen misses 2-pt hook shot from 2 ft,,10,25
80,1,3:22.0,,Defensive rebound by S. Brown,10,25
81,1,3:04.0,,T. Maker misses 2-pt hook shot from 3 ft,10,25
82,1,3:01.0,Defensive rebound by C. LeVert,,10,25
83,1,2:59.0,D. Russell misses 3-pt jump shot from 27 ft,,10,25
84,1,2:55.0,,Defensive rebound by T. Maker,10,25
85,1,2:44.0,,K. Middleton misses 2-pt jump shot from 16 ft,10,25
86,1,2:40.0,Defensive rebound by C. LeVert,,10,25
87,1,2:25.0,C. LeVert misses 2-pt jump shot from 14 ft,,10,25
88,1,2:22.0,,Defensive rebound by S. Brown,10,25
89,1,2:14.0,,T. Snell makes 2-pt jump shot from 17 ft,10,27
90,1,1:57.0,Turnover by D. Russell (bad pass; steal by T. Maker),,10,27
91,1,1:57.0,,Personal foul by D. Russell (drawn by S. Brown),10,27
92,1,1:57.0,,Milwaukee full timeout,10,27
93,1,1:57.0,,J. Terry enters the game for T. Snell,10,27
94,1,1:49.0,,T. Maker makes 2-pt jump shot from 16 ft (assist by S. Brown),10,29
95,1,1:32.0,D. Russell makes 2-pt jump shot from 6 ft,,12,29
96,1,1:20.0,,Personal foul by J. Harris (drawn by T. Maker),12,29
97,1,1:20.0,,T. Maker makes free throw 1 of 2,12,30
98,1,1:20.0,,G. Antetokounmpo enters the game for K. Middleton,12,30
99,1,1:20.0,R. Hollis-Jefferson enters the game for Q. Acy,,12,30
100,1,1:20.0,,T. Maker makes free throw 2 of 2,12,31
101,1,1:02.0,D. Russell misses 3-pt jump shot from 26 ft,,12,31
102,1,0:58.0,,Defensive rebound by S. Brown,12,31
103,1,0:56.0,,S. Brown misses 2-pt jump shot from 16 ft,12,31
104,1,0:52.0,Defensive rebound by J. Allen,,12,31
105,1,0:48.0,Turnover by D. Russell (bad pass),,12,31
106,1,0:48.0,S. Dinwiddie enters the game for D. Russell,,12,31
107,1,0:28.0,,Turnover by J. Terry (bad pass),12,31
108,1,0:28.0,D. Russell enters the game for S. Dinwiddie,,12,31
109,1,0:18.0,J. Allen misses 2-pt layup from 3 ft (block by T. Maker),,12,31
110,1,0:14.0,,Defensive rebound by T. Maker,12,31
111,1,0:05.0,,G. Antetokounmpo makes 2-pt layup from 2 ft,12,33
112,1,0:00.0,R. Hollis-Jefferson makes 3-pt jump shot from 26 ft (assist by C. LeVert),,15,33
113,1,0:00.0,,T. Maker misses 3-pt jump shot from 66 ft,15,33
114,1,0:00.0,,Offensive rebound by Team,15,33
115,2,11:47.0,J. Harris makes 3-pt jump shot from 27 ft (assist by J. Okafor),,18,33
116,2,11:22.0,,G. Antetokounmpo misses 2-pt hook shot from 4 ft,18,33
117,2,11:19.0,,Offensive rebound by G. Antetokounmpo,18,33
118,2,11:18.0,,G. Antetokounmpo makes 2-pt layup from 1 ft,18,35
119,2,11:02.0,J. Harris misses 2-pt layup from 2 ft (block by T. Maker),,18,35
120,2,10:59.0,,Defensive rebound by J. Terry,18,35
121,2,10:56.0,,G. Antetokounmpo makes 2-pt layup at rim (assist by J. Terry),18,37
122,2,10:29.0,C. LeVert misses 2-pt jump shot from 18 ft,,18,37
123,2,10:27.0,,Defensive rebound by G. Antetokounmpo,18,37
124,2,10:14.0,,T. Maker misses 2-pt jump shot from 17 ft,18,37
125,2,10:12.0,Defensive rebound by C. LeVert,,18,37
126,2,9:58.0,Turnover by D. Russell (bad pass; steal by G. Antetokounmpo),,18,37
127,2,9:55.0,,Shooting foul by R. Hollis-Jefferson (drawn by S. Brown),18,37
128,2,9:55.0,,S. Brown makes free throw 1 of 2,18,38
129,2,9:55.0,,S. Brown makes free throw 2 of 2,18,39
130,2,9:43.0,Personal foul by J. Terry (drawn by J. Okafor),,18,39
131,2,9:38.0,R. Hollis-Jefferson makes 2-pt jump shot from 15 ft (assist by J. Harris),,20,39
132,2,9:21.0,,G. Antetokounmpo misses 2-pt jump shot from 19 ft,20,39
133,2,9:18.0,Defensive rebound by J. Okafor,,20,39
134,2,9:10.0,R. Hollis-Jefferson misses 2-pt layup from 2 ft (block by G. Antetokounmpo),,20,39
135,2,9:05.0,Offensive rebound by J. Harris,,20,39
136,2,8:56.0,J. Okafor makes 2-pt dunk at rim (assist by C. LeVert),,22,39
137,2,8:32.0,,T. Maker makes 2-pt jump shot from 13 ft (assist by J. Terry),22,41
138,2,8:21.0,R. Hollis-Jefferson misses 2-pt jump shot from 6 ft,,22,41
139,2,8:17.0,,Defensive rebound by T. Maker,22,41
140,2,8:13.0,,G. Antetokounmpo makes 2-pt layup at rim (assist by M. Dellavedova),22,43
141,2,8:13.0,Brooklyn full timeout,,22,43
142,2,7:54.0,D. Russell misses 2-pt jump shot from 17 ft,,22,43
143,2,7:51.0,,Defensive rebound by S. Brown,22,43
144,2,7:44.0,,S. Brown misses 3-pt jump shot from 27 ft,22,43
145,2,7:41.0,Defensive rebound by C. LeVert,,22,43
146,2,7:29.0,C. LeVert misses 2-pt layup from 2 ft,,22,43
147,2,7:28.0,Offensive rebound by Team,,22,43
148,2,7:28.0,,Loose ball foul by S. Brown (drawn by J. Okafor),22,43
149,2,7:28.0,,E. Bledsoe enters the game for M. Dellavedova,22,43
150,2,7:28.0,A. Crabbe enters the game for D. Russell,,22,43
151,2,7:16.0,Shooting foul by S. Brown (drawn by A. Crabbe),,22,43
152,2,7:16.0,A. Crabbe makes free throw 1 of 3,,23,43
153,2,7:16.0,A. Crabbe makes free throw 2 of 3,,24,43
154,2,7:16.0,A. Crabbe makes free throw 3 of 3,,25,43
155,2,7:01.0,,G. Antetokounmpo misses 2-pt jump shot from 8 ft,25,43
156,2,6:58.0,Defensive rebound by A. Crabbe,,25,43
157,2,6:44.0,Turnover by A. Crabbe (traveling),,25,43
158,2,6:44.0,,T. Snell enters the game for J. Terry,25,43
159,2,6:44.0,S. Dinwiddie enters the game for J. Harris,,25,43
160,2,6:44.0,D. Carroll enters the game for C. LeVert,,25,43
161,2,6:29.0,,Turnover by E. Bledsoe (bad pass; steal by R. Hollis-Jefferson),25,43
