,QUARTER,TIME_REMAINING,CHICAGO_ACTION,ATLANTA_ACTION,CHICAGO_SCORE,ATLANTA_SCORE
0,1,11:45.0,Personal foul by E. İlyasova (drawn by L. Markkanen),,0,0
1,1,11:32.0,Shooting foul by T. Prince (drawn by J. Holiday),,0,0
2,1,11:32.0,J. Holiday makes free throw 1 of 2,,1,0
3,1,11:32.0,J. Holiday makes free throw 2 of 2,,2,0
4,1,11:15.0,,E. İlyasova misses 3-pt jump shot from 23 ft,2,0
5,1,11:11.0,Defensive rebound by Z. LaVine,,2,0
6,1,11:02.0,R. Lopez makes 2-pt layup from 2 ft (assist by Z. LaVine),,4,0
7,1,10:46.0,,Personal foul by Z. LaVine (drawn by K. Bazemore),4,0
8,1,10:37.0,,T. Prince misses 3-pt jump shot from 24 ft,4,0
9,1,10:34.0,Defensive rebound by J. Grant,,4,0
10,1,10:26.0,J. Grant makes 3-pt jump shot from 23 ft,,7,0
11,1,10:05.0,,M. Plumlee misses 2-pt jump shot from 7 ft,7,0
12,1,10:00.0,Defensive rebound by Z. LaVine,,7,0
13,1,9:57.0,Z. LaVine misses 2-pt jump shot from 21 ft,,7,0
14,1,9:55.0,,Defensive rebound by D. Schröder,7,0
15,1,9:44.0,,E. İlyasova makes 2-pt jump shot from 12 ft (assist by D. Schröder),7,2
16,1,9:27.0,L. Markkanen makes 2-pt dunk from 1 ft (assist by J. Grant),,9,2
17,1,9:10.0,,K. Bazemore misses 2-pt jump shot from 7 ft,9,2
18,1,9:07.0,Defensive rebound by R. Lopez,,9,2
19,1,8:58.0,Z. LaVine misses 3-pt jump shot from 23 ft,,9,2
20,1,8:55.0,,Defensive rebound by K. Bazemore,9,2
21,1,8:50.0,,Shooting foul by R. Lopez (drawn by K. Bazemore),9,2
22,1,8:50.0,,K. Bazemore misses free throw 1 of 2,9,2
23,1,8:50.0,,Offensive rebound by Team,9,2
24,1,8:50.0,,K. Bazemore makes free throw 2 of 2,9,3
25,1,8:39.0,L. Markkanen misses 2-pt jump shot from 11 ft,,9,3
26,1,8:37.0,,Defensive rebound by Team,9,3
27,1,8:29.0,,D. Schröder misses 3-pt jump shot from 24 ft,9,3
28,1,8:25.0,Defensive rebound by J. Holiday,,9,3
29,1,8:16.0,L. Markkanen makes 2-pt dunk at rim (assist by R. Lopez),,11,3
30,1,8:16.0,Shooting foul by D. Schröder (drawn by L. Markkanen),,11,3
31,1,8:16.0,,Atlanta full timeout,11,3
32,1,8:16.0,L. Markkanen makes free throw 1 of 1,,12,3
33,1,8:03.0,,K. Bazemore misses 2-pt jump shot from 8 ft,12,3
34,1,8:00.0,Defensive rebound by J. Grant,,12,3
35,1,7:49.0,R. Lopez makes 2-pt dunk from 1 ft (assist by J. Grant),,14,3
36,1,7:30.0,,Turnover by T. Prince (bad pass; steal by J. Holiday),14,3
37,1,7:25.0,Turnover by Z. LaVine (step out of bounds),,14,3
38,1,7:25.0,,D. Dedmon enters the game for M. Plumlee,14,3
39,1,7:07.0,,Shooting foul by J. Holiday (drawn by K. Bazemore),14,3
40,1,7:07.0,,K. Bazemore misses free throw 1 of 2,14,3
41,1,7:07.0,,Offensive rebound by Team,14,3
42,1,7:07.0,,M. Belinelli enters the game for T. Prince,14,3
43,1,7:07.0,D. Valentine enters the game for Z. LaVine,,14,3
44,1,7:07.0,,K. Bazemore makes free throw 2 of 2,14,4
45,1,6:52.0,L. Markkanen misses 2-pt hook shot from 10 ft,,14,4
46,1,6:49.0,,Defensive rebound by D. Dedmon,14,4
47,1,6:44.0,,K. Bazemore makes 3-pt jump shot from 25 ft (assist by D. Schröder),14,7
48,1,6:29.0,R. Lopez makes 2-pt dunk at rim (assist by D. Valentine),,16,7
49,1,6:16.0,,D. Schröder misses 2-pt jump shot from 15 ft,16,7
50,1,6:13.0,Defensive rebound by R. Lopez,,16,7
51,1,6:08.0,J. Grant misses 3-pt jump shot from 25 ft,,16,7
52,1,6:03.0,Offensive rebound by R. Lopez,,16,7
53,1,5:56.0,R. Lopez makes 2-pt layup from 1 ft (assist by D. Valentine),,18,7
54,1,5:42.0,,Turnover by K. Bazemore (bad pass; steal by J. Holiday),18,7
55,1,5:36.0,L. Markkanen makes 2-pt dunk at rim (assist by J. Holiday),,20,7
56,1,5:36.0,,Atlanta full timeout,20,7
57,1,5:36.0,,J. Collins enters the game for E. İlyasova,20,7
58,1,5:36.0,,M. Delaney enters the game for K. Bazemore,20,7
59,1,5:20.0,,D. Dedmon misses 3-pt jump shot from 23 ft,20,7
60,1,5:19.0,,Offensive rebound by Team,20,7
61,1,5:19.0,Loose ball foul by J. Grant (drawn by J. Collins),,20,7
62,1,5:11.0,,M. Delaney misses 3-pt jump shot from 25 ft,20,7
63,1,5:07.0,Defensive rebound by R. Lopez,,20,7
64,1,4:59.0,R. Lopez misses 2-pt jump shot from 19 ft,,20,7
65,1,4:56.0,,Defensive rebound by J. Collins,20,7
66,1,4:42.0,,D. Schröder makes 2-pt jump shot from 13 ft,20,9
67,1,4:17.0,L. Markkanen misses 2-pt layup from 2 ft (block by D. Dedmon),,20,9
68,1,4:13.0,,Defensive rebound by D. Dedmon,20,9
69,1,4:07.0,,M. Belinelli makes 2-pt jump shot from 21 ft (assist by D. Dedmon),20,11
