,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,TORONTO_ACTION,CHARLOTTE_SCORE,TORONTO_SCORE
0,1,11:37.0,,K. Lowry misses 2-pt jump shot from 15 ft,0,0
1,1,11:31.0,Defensive rebound by M. Williams,,0,0
2,1,11:17.0,M. Kidd-Gilchrist misses 2-pt jump shot from 8 ft,,0,0
3,1,11:13.0,,Defensive rebound by O. Anunoby,0,0
4,1,11:08.0,,J. Valančiūnas misses 2-pt layup from 2 ft,0,0
5,1,11:04.0,,Offensive rebound by J. Valančiūnas,0,0
6,1,10:59.0,,D. DeRozan makes 2-pt jump shot from 15 ft,0,2
7,1,10:38.0,N. Batum misses 2-pt jump shot from 6 ft,,0,2
8,1,10:37.0,,Defensive rebound by S. Ibaka,0,2
9,1,10:30.0,,D. DeRozan makes 2-pt jump shot from 13 ft,0,4
10,1,10:07.0,D. Howard makes 2-pt jump shot from 17 ft (assist by N. Batum),,2,4
11,1,9:55.0,,D. DeRozan makes 2-pt layup from 3 ft (assist by K. Lowry),2,6
12,1,9:42.0,Shooting foul by D. DeRozan (drawn by N. Batum),,2,6
13,1,9:42.0,N. Batum makes free throw 1 of 3,,3,6
14,1,9:42.0,N. Batum makes free throw 2 of 3,,4,6
15,1,9:42.0,N. Batum makes free throw 3 of 3,,5,6
16,1,9:30.0,,D. DeRozan misses 3-pt jump shot from 23 ft,5,6
17,1,9:27.0,,Offensive rebound by S. Ibaka,5,6
18,1,9:26.0,,S. Ibaka misses 2-pt layup from 2 ft,5,6
19,1,9:26.0,,Offensive rebound by J. Valančiūnas,5,6
20,1,9:18.0,,J. Valančiūnas misses 2-pt layup at rim,5,6
21,1,9:15.0,,Offensive rebound by J. Valančiūnas,5,6
22,1,9:15.0,,J. Valančiūnas makes 2-pt layup at rim,5,8
23,1,9:07.0,M. Carter-Williams misses 2-pt jump shot from 17 ft,,5,8
24,1,9:05.0,,Defensive rebound by S. Ibaka,5,8
25,1,8:56.0,,J. Valančiūnas misses 2-pt jump shot from 4 ft,5,8
26,1,8:56.0,,Offensive rebound by Team,5,8
27,1,8:53.0,,D. DeRozan misses 2-pt jump shot from 10 ft,5,8
28,1,8:53.0,,Offensive rebound by Team,5,8
29,1,8:35.0,,Turnover by S. Ibaka (lost ball; steal by M. Williams),5,8
30,1,8:27.0,M. Kidd-Gilchrist misses 2-pt jump shot from 7 ft (block by S. Ibaka),,5,8
31,1,8:27.0,Offensive rebound by Team,,5,8
32,1,8:21.0,M. Williams makes 3-pt jump shot from 25 ft (assist by N. Batum),,8,8
33,1,8:08.0,,J. Valančiūnas misses 2-pt jump shot from 13 ft,8,8
34,1,8:05.0,Defensive rebound by D. Howard,,8,8
35,1,8:00.0,Turnover by N. Batum (bad pass; steal by S. Ibaka),,8,8
36,1,7:53.0,,D. DeRozan makes 2-pt jump shot from 6 ft,8,10
37,1,7:39.0,N. Batum misses 2-pt jump shot from 14 ft,,8,10
38,1,7:36.0,,Defensive rebound by S. Ibaka,8,10
39,1,7:29.0,,K. Lowry misses 2-pt jump shot from 11 ft,8,10
40,1,7:26.0,Defensive rebound by M. Williams,,8,10
41,1,7:21.0,Turnover by M. Carter-Williams (bad pass),,8,10
