,QUARTER,TIME_REMAINING,UTAH_ACTION,PHILADELPHIA_ACTION,UTAH_SCORE,PHILADELPHIA_SCORE
0,1,11:39.0,,J. Embiid makes 2-pt jump shot from 12 ft,0,2
1,1,11:16.0,D. Favors makes 2-pt layup from 2 ft (assist by D. Mitchell),,2,2
2,1,11:00.0,,Turnover by D. Šarić (bad pass; steal by R. Rubio),2,2
3,1,10:52.0,D. Mitchell misses 3-pt jump shot from 26 ft,,2,2
4,1,10:49.0,,Defensive rebound by Team,2,2
5,1,10:40.0,,J. Redick misses 2-pt jump shot from 20 ft,2,2
6,1,10:36.0,Defensive rebound by R. Rubio,,2,2
7,1,10:23.0,Turnover by D. Favors (lost ball; steal by B. Simmons),,2,2
8,1,10:11.0,,B. Simmons misses 2-pt jump shot from 3 ft,2,2
9,1,10:09.0,Defensive rebound by D. Mitchell,,2,2
10,1,10:00.0,R. Rubio makes 2-pt jump shot from 17 ft (assist by D. Favors),,4,2
11,1,9:46.0,,J. Redick misses 2-pt jump shot from 15 ft,4,2
12,1,9:44.0,Defensive rebound by J. Jerebko,,4,2
13,1,9:38.0,Turnover by R. Rubio (bad pass; steal by D. Šarić),,4,2
14,1,9:36.0,,Shooting foul by D. Mitchell (drawn by B. Simmons),4,2
15,1,9:36.0,,B. Simmons misses free throw 1 of 2,4,2
16,1,9:36.0,,Offensive rebound by Team,4,2
17,1,9:36.0,,B. Simmons makes free throw 2 of 2,4,3
18,1,9:23.0,Personal foul by B. Simmons (drawn by J. Ingles),,4,3
19,1,9:21.0,Turnover by R. Rubio (bad pass; steal by B. Simmons),,4,3
20,1,9:15.0,,R. Covington misses 2-pt jump shot from 2 ft,4,3
21,1,9:12.0,Defensive rebound by D. Mitchell,,4,3
22,1,9:08.0,J. Jerebko misses 3-pt jump shot from 26 ft,,4,3
23,1,9:08.0,,Defensive rebound by J. Embiid,4,3
24,1,8:56.0,,B. Simmons makes 2-pt layup from 2 ft,4,5
25,1,8:43.0,R. Rubio misses 2-pt jump shot from 18 ft,,4,5
26,1,8:39.0,Offensive rebound by J. Jerebko,,4,5
27,1,8:37.0,R. Rubio makes 3-pt jump shot from 26 ft (assist by J. Jerebko),,7,5
