,QUARTER,TIME_REMAINING,UTAH_ACTION,MILWAUKEE_ACTION,UTAH_SCORE,MILWAUKEE_SCORE
0,1,11:41.0,,K. Middleton misses 3-pt jump shot from 23 ft,0,0
1,1,11:38.0,Defensive rebound by R. Rubio,,0,0
2,1,11:27.0,D. Favors makes 3-pt jump shot from 23 ft (assist by R. Rubio),,3,0
3,1,11:13.0,,E. Bledsoe misses 2-pt jump shot from 19 ft,3,0
4,1,11:10.0,Defensive rebound by R. Gobert,,3,0
5,1,11:03.0,Turnover by D. Mitchell (bad pass),,3,0
6,1,10:41.0,,G. Antetokounmpo makes 2-pt jump shot from 17 ft (assist by J. Henson),3,2
7,1,10:17.0,Turnover by D. Favors (offensive goaltending),,3,2
8,1,10:02.0,,K. Middleton makes 2-pt jump shot from 8 ft (assist by G. Antetokounmpo),3,4
9,1,9:56.0,Turnover by R. Rubio (bad pass; steal by G. Antetokounmpo),,3,4
10,1,9:50.0,,G. Antetokounmpo misses 2-pt layup from 1 ft,3,4
11,1,9:48.0,,Offensive rebound by G. Antetokounmpo,3,4
12,1,9:44.0,,G. Antetokounmpo makes 2-pt layup from 1 ft,3,6
13,1,9:24.0,D. Mitchell misses 2-pt layup from 2 ft (block by J. Henson),,3,6
14,1,9:21.0,,Defensive rebound by G. Antetokounmpo,3,6
15,1,9:21.0,,G. Payton makes 2-pt dunk from 1 ft,3,8
16,1,9:21.0,Utah full timeout,,3,8
17,1,8:59.0,D. Favors misses 3-pt jump shot from 22 ft,,3,8
18,1,8:55.0,,Defensive rebound by E. Bledsoe,3,8
19,1,8:51.0,,J. Henson makes 2-pt jump shot from 19 ft (assist by G. Payton),3,10
20,1,8:27.0,D. Favors makes 2-pt jump shot from 7 ft (assist by R. Rubio),,5,10
21,1,8:15.0,,G. Antetokounmpo misses 2-pt jump shot from 19 ft,5,10
22,1,8:11.0,Defensive rebound by R. Gobert,,5,10
23,1,7:52.0,D. Favors misses 2-pt layup from 2 ft (block by J. Henson),,5,10
24,1,7:50.0,,Defensive rebound by G. Payton,5,10
25,1,7:50.0,,Personal take foul by D. Mitchell (drawn by E. Bledsoe),5,10
26,1,7:41.0,,J. Henson makes 2-pt dunk from 1 ft (assist by G. Antetokounmpo),5,12
27,1,7:20.0,J. Ingles misses 3-pt jump shot from 26 ft,,5,12
28,1,7:17.0,,Defensive rebound by E. Bledsoe,5,12
29,1,7:04.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by G. Payton),5,14
30,1,6:47.0,D. Mitchell misses 2-pt jump shot from 14 ft,,5,14
31,1,6:44.0,,Defensive rebound by J. Henson,5,14
32,1,6:44.0,,Shooting foul by J. Ingles (drawn by E. Bledsoe),5,14
33,1,6:44.0,,E. Bledsoe makes free throw 1 of 2,5,15
34,1,6:44.0,J. Jerebko enters the game for D. Favors,,5,15
35,1,6:44.0,,E. Bledsoe makes free throw 2 of 2,5,16
36,1,6:29.0,Turnover by R. Rubio (bad pass; steal by E. Bledsoe),,5,16
37,1,6:24.0,,E. Bledsoe misses 2-pt layup from 1 ft,5,16
38,1,6:21.0,Defensive rebound by R. Gobert,,5,16
39,1,6:15.0,R. Rubio misses 2-pt layup from 3 ft,,5,16
40,1,6:15.0,,Defensive rebound by G. Antetokounmpo,5,16
41,1,6:09.0,,E. Bledsoe makes 2-pt layup at rim (assist by G. Antetokounmpo),5,18
42,1,6:09.0,Utah full timeout,,5,18
43,1,6:09.0,A. Burks enters the game for R. Rubio,,5,18
44,1,5:47.0,A. Burks makes 3-pt jump shot from 26 ft (assist by R. Gobert),,8,18
45,1,5:29.0,,E. Bledsoe makes 2-pt dunk from 1 ft (assist by G. Antetokounmpo),8,20
46,1,5:11.0,D. Mitchell misses 3-pt jump shot from 27 ft,,8,20
47,1,5:07.0,,Defensive rebound by K. Middleton,8,20
48,1,4:57.0,,K. Middleton makes 2-pt jump shot from 12 ft,8,22
49,1,4:41.0,A. Burks makes 2-pt layup at rim (assist by J. Jerebko),,10,22
50,1,4:28.0,,G. Payton misses 2-pt layup at rim,10,22
51,1,4:28.0,Defensive rebound by Team,,10,22
52,1,4:28.0,Personal foul by J. Henson (drawn by R. Gobert),,10,22
53,1,4:28.0,,T. Maker enters the game for G. Payton,10,22
54,1,4:28.0,,R. Vaughn enters the game for J. Henson,10,22
55,1,4:28.0,D. Favors enters the game for R. Gobert,,10,22
56,1,4:06.0,D. Mitchell misses 3-pt jump shot from 25 ft,,10,22
57,1,4:01.0,Offensive rebound by J. Jerebko,,10,22
58,1,3:57.0,J. Jerebko makes 2-pt hook shot from 7 ft,,12,22
59,1,3:42.0,,T. Maker makes 2-pt jump shot from 8 ft (assist by R. Vaughn),12,24
60,1,3:23.0,D. Mitchell misses 2-pt layup from 1 ft,,12,24
61,1,3:23.0,,Defensive rebound by T. Maker,12,24
62,1,3:02.0,,E. Bledsoe misses 3-pt jump shot from 26 ft,12,24
63,1,3:02.0,Defensive rebound by A. Burks,,12,24
64,1,2:47.0,A. Burks makes 3-pt jump shot from 26 ft,,15,24
