,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,CLEVELAND_ACTION,WASHINGTON_SCORE,CLEVELAND_SCORE
0,1,11:41.0,M. Gortat misses 2-pt hook shot from 10 ft,,0,0
1,1,11:39.0,,Defensive rebound by L. James,0,0
2,1,11:38.0,,Shooting foul by M. Morris (drawn by R. Hood),0,0
3,1,11:38.0,,R. Hood misses free throw 1 of 2,0,0
4,1,11:38.0,,Offensive rebound by Team,0,0
5,1,11:38.0,,R. Hood makes free throw 2 of 2,0,1
6,1,11:21.0,Turnover by M. Gortat (lost ball; steal by R. Hood),,0,1
7,1,11:15.0,,J. Green makes 2-pt layup from 1 ft (assist by L. James),0,3
8,1,11:15.0,,Shooting foul by O. Porter (drawn by J. Green),0,3
9,1,11:15.0,,J. Green makes free throw 1 of 1,0,4
10,1,11:01.0,J. Wall misses 2-pt layup from 3 ft,,0,4
11,1,10:58.0,,Defensive rebound by K. Love,0,4
12,1,10:54.0,,L. James misses 2-pt layup from 1 ft,0,4
13,1,10:50.0,Defensive rebound by O. Porter,,0,4
14,1,10:49.0,M. Morris misses 2-pt dunk from 2 ft,,0,4
15,1,10:44.0,,Defensive rebound by K. Love,0,4
16,1,10:43.0,,Turnover by L. James (lost ball; steal by J. Wall),0,4
17,1,10:30.0,M. Morris makes 2-pt jump shot from 12 ft (assist by J. Wall),,2,4
18,1,10:07.0,,C. Osman misses 3-pt jump shot from 23 ft,2,4
19,1,10:04.0,Defensive rebound by J. Wall,,2,4
20,1,9:57.0,J. Wall makes 2-pt jump shot from 1 ft,,4,4
21,1,9:40.0,,R. Hood misses 2-pt jump shot from 19 ft,4,4
22,1,9:38.0,Defensive rebound by O. Porter,,4,4
23,1,9:30.0,M. Gortat makes 2-pt layup from 1 ft (assist by J. Wall),,6,4
24,1,9:17.0,,J. Green makes 2-pt layup from 1 ft (assist by L. James),6,6
25,1,9:00.0,B. Beal misses 2-pt layup from 1 ft,,6,6
26,1,8:56.0,,Defensive rebound by C. Osman,6,6
27,1,8:55.0,,Turnover by L. James (lost ball; steal by J. Wall),6,6
28,1,8:55.0,Personal foul by C. Osman (drawn by J. Wall),,6,6
29,1,8:42.0,O. Porter makes 2-pt jump shot from 18 ft (assist by J. Wall),,8,6
30,1,8:31.0,,Shooting foul by M. Morris (drawn by K. Love),8,6
31,1,8:31.0,,K. Love makes free throw 1 of 2,8,7
32,1,8:31.0,K. Oubre enters the game for M. Morris,,8,7
33,1,8:31.0,,K. Love makes free throw 2 of 2,8,8
34,1,8:20.0,O. Porter makes 2-pt jump shot from 19 ft (assist by J. Wall),,10,8
35,1,7:59.0,,L. James makes 3-pt jump shot from 25 ft (assist by C. Osman),10,11
36,1,7:46.0,B. Beal misses 2-pt jump shot from 11 ft,,10,11
37,1,7:45.0,,Defensive rebound by Team,10,11
38,1,7:37.0,,K. Love makes 3-pt jump shot from 28 ft (assist by C. Osman),10,14
39,1,7:18.0,Turnover by J. Wall (lost ball; steal by K. Love),,10,14
40,1,7:16.0,,L. James makes 2-pt dunk at rim (assist by K. Love),10,16
41,1,7:16.0,Washington full timeout,,10,16
42,1,7:16.0,,J. Clarkson enters the game for C. Osman,10,16
43,1,7:03.0,M. Gortat makes 2-pt layup from 1 ft (assist by J. Wall),,12,16
44,1,6:50.0,,Turnover by L. James (out of bounds lost ball),12,16
45,1,6:35.0,Shooting foul by R. Hood (drawn by O. Porter),,12,16
46,1,6:35.0,O. Porter makes free throw 1 of 2,,13,16
47,1,6:35.0,O. Porter makes free throw 2 of 2,,14,16
48,1,6:22.0,,K. Love makes 3-pt jump shot from 25 ft (assist by L. James),14,19
49,1,6:06.0,O. Porter misses 2-pt jump shot from 20 ft,,14,19
50,1,6:05.0,Offensive rebound by M. Gortat,,14,19
51,1,6:00.0,K. Oubre misses 3-pt jump shot from 26 ft,,14,19
52,1,5:57.0,,Defensive rebound by L. James,14,19
53,1,5:48.0,,J. Clarkson makes 2-pt layup at rim (assist by L. James),14,21
54,1,5:40.0,J. Wall misses 2-pt jump shot from 17 ft,,14,21
55,1,5:37.0,,Defensive rebound by L. James,14,21
56,1,5:18.0,,L. James misses 3-pt jump shot from 25 ft,14,21
57,1,5:13.0,Defensive rebound by B. Beal,,14,21
58,1,5:07.0,B. Beal misses 3-pt jump shot from 24 ft,,14,21
