,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,DENVER_ACTION,CLEVELAND_SCORE,DENVER_SCORE
0,1,11:44.0,J. Smith makes 3-pt jump shot from 22 ft (assist by L. James),,3,0
1,1,11:29.0,,J. Murray misses 3-pt jump shot from 24 ft,3,0
2,1,11:26.0,Defensive rebound by J. Smith,,3,0
3,1,11:18.0,J. Smith misses 3-pt jump shot from 25 ft,,3,0
4,1,11:15.0,,Defensive rebound by J. Murray,3,0
5,1,11:08.0,,W. Chandler misses 2-pt layup from 5 ft,3,0
6,1,11:05.0,Defensive rebound by L. Nance,,3,0
7,1,11:00.0,G. Hill misses 3-pt jump shot from 22 ft,,3,0
8,1,10:56.0,Offensive rebound by R. Hood,,3,0
9,1,10:53.0,R. Hood misses 2-pt jump shot from 6 ft,,3,0
10,1,10:51.0,,Defensive rebound by P. Millsap,3,0
11,1,10:37.0,,J. Murray misses 2-pt jump shot from 13 ft,3,0
12,1,10:34.0,Defensive rebound by L. Nance,,3,0
13,1,10:27.0,L. Nance makes 2-pt layup from 2 ft (assist by L. James),,5,0
14,1,10:05.0,,N. Jokić makes 2-pt hook shot from 2 ft,5,2
15,1,9:50.0,L. Nance makes 2-pt jump shot from 9 ft (assist by L. James),,7,2
16,1,9:41.0,,G. Harris makes 2-pt jump shot from 13 ft (assist by N. Jokić),7,4
17,1,9:22.0,L. James makes 2-pt layup from 1 ft,,9,4
18,1,9:07.0,,P. Millsap makes 2-pt jump shot from 12 ft (assist by N. Jokić),9,6
19,1,8:54.0,G. Hill makes 2-pt jump shot from 5 ft,,11,6
20,1,8:41.0,,Turnover by G. Harris (bad pass; steal by R. Hood),11,6
21,1,8:37.0,R. Hood makes 2-pt dunk at rim,,13,6
22,1,8:17.0,,N. Jokić misses 2-pt hook shot from 4 ft,13,6
23,1,8:13.0,,Offensive rebound by W. Chandler,13,6
24,1,8:13.0,,W. Chandler makes 2-pt layup at rim,13,8
25,1,8:02.0,R. Hood makes 3-pt jump shot from 22 ft (assist by L. James),,16,8
26,1,8:02.0,,Denver full timeout,16,8
27,1,7:41.0,,Turnover by J. Murray (out of bounds lost ball),16,8
28,1,7:28.0,Shooting foul by J. Murray (drawn by L. James),,16,8
29,1,7:28.0,L. James makes free throw 1 of 2,,17,8
30,1,7:28.0,L. James makes free throw 2 of 2,,18,8
31,1,7:16.0,,G. Harris misses 2-pt jump shot from 10 ft,18,8
32,1,7:14.0,Defensive rebound by L. Nance,,18,8
33,1,7:10.0,Turnover by L. Nance (bad pass; steal by G. Harris),,18,8
34,1,7:04.0,,G. Harris makes 3-pt jump shot from 25 ft,18,11
35,1,6:48.0,J. Smith makes 3-pt jump shot from 24 ft (assist by L. James),,21,11
36,1,6:25.0,,Offensive foul by N. Jokić (drawn by L. Nance),21,11
37,1,6:25.0,,Turnover by N. Jokić (offensive foul),21,11
38,1,6:14.0,J. Smith misses 3-pt jump shot from 23 ft,,21,11
39,1,6:09.0,,Defensive rebound by J. Murray,21,11
40,1,6:01.0,,Away from play foul by R. Hood (drawn by N. Jokić),21,11
41,1,5:47.0,,Turnover by N. Jokić (lost ball; steal by L. Nance),21,11
42,1,5:28.0,L. James misses 2-pt layup from 4 ft (block by G. Harris),,21,11
43,1,5:23.0,,Defensive rebound by G. Harris,21,11
44,1,5:20.0,,G. Harris misses 2-pt jump shot from 22 ft,21,11
45,1,5:20.0,,Offensive rebound by Team,21,11
46,1,5:20.0,,W. Barton enters the game for P. Millsap,21,11
47,1,5:02.0,,N. Jokić makes 2-pt layup from 4 ft (assist by W. Barton),21,13
48,1,5:02.0,,Shooting foul by L. Nance (drawn by N. Jokić),21,13
49,1,5:02.0,,N. Jokić makes free throw 1 of 1,21,14
50,1,4:51.0,L. Nance misses 2-pt jump shot from 18 ft,,21,14
51,1,4:48.0,,Defensive rebound by W. Chandler,21,14
52,1,4:43.0,,Personal foul by G. Hill (drawn by N. Jokić),21,14
53,1,4:40.0,,Offensive foul by G. Harris (drawn by R. Hood),21,14
