,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,MILWAUKEE_ACTION,WASHINGTON_SCORE,MILWAUKEE_SCORE
0,1,11:39.0,M. Gortat misses 2-pt jump shot from 12 ft,,0,0
1,1,11:36.0,,Defensive rebound by G. Antetokounmpo,0,0
2,1,11:25.0,,K. Middleton misses 3-pt jump shot from 26 ft,0,0
3,1,11:22.0,Defensive rebound by M. Gortat,,0,0
4,1,11:17.0,M. Morris makes 3-pt jump shot from 27 ft (assist by O. Porter),,3,0
5,1,10:49.0,,K. Middleton misses 3-pt jump shot from 26 ft,3,0
6,1,10:46.0,Defensive rebound by T. Satoranský,,3,0
7,1,10:43.0,Personal foul by J. Henson (drawn by M. Gortat),,3,0
8,1,10:37.0,O. Porter makes 2-pt jump shot from 18 ft (assist by B. Beal),,5,0
9,1,10:23.0,,G. Antetokounmpo misses 2-pt jump shot from 8 ft,5,0
10,1,10:21.0,Defensive rebound by M. Gortat,,5,0
11,1,10:15.0,M. Gortat makes 2-pt jump shot from 8 ft (assist by O. Porter),,7,0
12,1,9:51.0,,T. Snell misses 3-pt jump shot from 26 ft,7,0
13,1,9:48.0,Defensive rebound by B. Beal,,7,0
14,1,9:32.0,B. Beal makes 3-pt jump shot from 27 ft (assist by T. Satoranský),,10,0
15,1,9:32.0,,Milwaukee full timeout,10,0
16,1,9:19.0,,G. Antetokounmpo misses 2-pt layup from 6 ft,10,0
17,1,9:16.0,Defensive rebound by B. Beal,,10,0
18,1,8:59.0,T. Satoranský makes 2-pt jump shot from 14 ft,,12,0
19,1,8:34.0,,K. Middleton misses 3-pt jump shot from 26 ft,12,0
20,1,8:31.0,Defensive rebound by M. Gortat,,12,0
21,1,8:20.0,O. Porter makes 2-pt jump shot from 18 ft (assist by M. Gortat),,14,0
22,1,8:01.0,,G. Antetokounmpo makes 2-pt layup from 1 ft (assist by T. Snell),14,2
23,1,7:43.0,O. Porter makes 3-pt jump shot from 23 ft (assist by T. Satoranský),,17,2
24,1,7:33.0,,T. Snell makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo),17,5
25,1,7:19.0,B. Beal makes 2-pt layup at rim (assist by T. Satoranský),,19,5
26,1,7:12.0,,Turnover by G. Antetokounmpo (bad pass),19,5
27,1,6:50.0,B. Beal misses 2-pt layup from 2 ft,,19,5
28,1,6:47.0,,Defensive rebound by J. Henson,19,5
29,1,6:37.0,,Turnover by T. Snell (lost ball; steal by M. Gortat),19,5
30,1,6:32.0,O. Porter makes 2-pt layup from 1 ft (assist by T. Satoranský),,21,5
31,1,6:18.0,Violation by O. Porter (kicked ball),,21,5
32,1,6:18.0,,S. Brown enters the game for T. Snell,21,5
33,1,6:11.0,,E. Bledsoe misses 2-pt layup from 3 ft (block by M. Gortat),21,5
34,1,6:10.0,Defensive rebound by O. Porter,,21,5
35,1,6:05.0,M. Morris makes 2-pt layup from 2 ft (assist by M. Gortat),,23,5
36,1,6:05.0,,Violation by G. Antetokounmpo (def goaltending),23,5
37,1,6:05.0,Shooting foul by K. Middleton (drawn by M. Morris),,23,5
38,1,6:05.0,,T. Maker enters the game for E. Bledsoe,23,5
39,1,6:05.0,,J. Terry enters the game for J. Henson,23,5
40,1,6:05.0,M. Morris makes free throw 1 of 1,,24,5
41,1,5:37.0,,S. Brown misses 3-pt jump shot from 23 ft,24,5
42,1,5:35.0,Defensive rebound by M. Morris,,24,5
43,1,5:27.0,Turnover by T. Satoranský (bad pass; steal by G. Antetokounmpo),,24,5
44,1,5:25.0,,Personal take foul by T. Satoranský (drawn by G. Antetokounmpo),24,5
45,1,5:18.0,,Turnover by T. Maker (bad pass; steal by T. Satoranský),24,5
46,1,5:15.0,B. Beal makes 2-pt layup from 1 ft (assist by T. Satoranský),,26,5
47,1,5:15.0,Shooting foul by S. Brown (drawn by B. Beal),,26,5
48,1,5:15.0,,Milwaukee full timeout,26,5
49,1,5:15.0,B. Beal misses free throw 1 of 1,,26,5
50,1,5:12.0,,Defensive rebound by T. Maker,26,5
51,1,5:06.0,,Shooting foul by M. Morris (drawn by K. Middleton),26,5
52,1,5:06.0,,K. Middleton makes free throw 1 of 2,26,6
53,1,5:06.0,,K. Middleton makes free throw 2 of 2,26,7
54,1,4:41.0,Turnover by Team (shot clock),,26,7
55,1,4:34.0,,Personal foul by M. Gortat (drawn by T. Maker),26,7
56,1,4:29.0,,G. Antetokounmpo makes 3-pt jump shot from 25 ft (assist by K. Middleton),26,10
57,1,4:09.0,M. Morris makes 2-pt jump shot from 1 ft,,28,10
58,1,3:56.0,,Turnover by G. Antetokounmpo (bad pass; steal by B. Beal),28,10
59,1,3:52.0,B. Beal misses 2-pt layup from 2 ft (block by G. Antetokounmpo),,28,10
60,1,3:48.0,Offensive rebound by O. Porter,,28,10
61,1,3:47.0,O. Porter misses 2-pt jump shot from 1 ft,,28,10
62,1,3:47.0,Offensive rebound by B. Beal,,28,10
63,1,3:43.0,B. Beal makes 2-pt layup at rim,,30,10
64,1,3:35.0,,S. Brown makes 2-pt jump shot from 14 ft (assist by G. Antetokounmpo),30,12
65,1,3:17.0,B. Beal makes 2-pt jump shot from 18 ft,,32,12
66,1,3:04.0,,T. Maker makes 2-pt layup from 1 ft (assist by G. Antetokounmpo),32,14
67,1,2:52.0,B. Beal misses 3-pt jump shot from 26 ft,,32,14
68,1,2:50.0,,Defensive rebound by K. Middleton,32,14
69,1,2:48.0,,Shooting foul by T. Satoranský (drawn by G. Antetokounmpo),32,14
70,1,2:48.0,,G. Antetokounmpo makes free throw 1 of 2,32,15
71,1,2:48.0,,J. Parker enters the game for T. Maker,32,15
72,1,2:48.0,M. Scott enters the game for M. Morris,,32,15
73,1,2:48.0,K. Oubre enters the game for M. Gortat,,32,15
74,1,2:48.0,I. Mahinmi enters the game for O. Porter,,32,15
75,1,2:48.0,T. Frazier enters the game for T. Satoranský,,32,15
76,1,2:48.0,,G. Antetokounmpo makes free throw 2 of 2,32,16
77,1,2:38.0,I. Mahinmi misses 2-pt layup from 5 ft (block by G. Antetokounmpo),,32,16
78,1,2:38.0,Offensive rebound by Team,,32,16
79,1,2:24.0,I. Mahinmi makes 2-pt layup from 2 ft (assist by M. Scott),,34,16
80,1,2:14.0,,J. Parker makes 2-pt layup from 1 ft (assist by G. Antetokounmpo),34,18
81,1,1:56.0,M. Scott misses 2-pt layup from 2 ft,,34,18
82,1,1:56.0,,Defensive rebound by Team,34,18
83,1,1:49.0,,J. Terry misses 3-pt jump shot from 22 ft,34,18
84,1,1:47.0,Defensive rebound by M. Scott,,34,18
85,1,1:36.0,Personal foul by K. Middleton (drawn by I. Mahinmi),,34,18
86,1,1:36.0,,T. Maker enters the game for K. Middleton,34,18
87,1,1:36.0,,E. Bledsoe enters the game for G. Antetokounmpo,34,18
88,1,1:36.0,J. Meeks enters the game for B. Beal,,34,18
89,1,1:22.0,M. Scott misses 2-pt jump shot from 16 ft,,34,18
90,1,1:20.0,,Defensive rebound by S. Brown,34,18
91,1,1:14.0,,Turnover by S. Brown (bad pass; steal by K. Oubre),34,18
92,1,1:14.0,Personal foul by S. Brown (drawn by K. Oubre),,34,18
93,1,1:14.0,K. Oubre makes free throw 1 of 2,,35,18
94,1,1:14.0,K. Oubre makes free throw 2 of 2,,36,18
95,1,1:01.0,,J. Parker makes 2-pt jump shot from 14 ft,36,20
96,1,0:47.0,Personal foul by E. Bledsoe (drawn by T. Frazier),,36,20
97,1,0:47.0,T. Frazier makes free throw 1 of 2,,37,20
98,1,0:47.0,T. Frazier makes free throw 2 of 2,,38,20
99,1,0:35.0,,T. Maker misses 2-pt layup from 2 ft (block by T. Frazier),38,20
100,1,0:32.0,Defensive rebound by I. Mahinmi,,38,20
101,1,0:32.0,K. Oubre makes 2-pt layup at rim (assist by T. Frazier),,40,20
102,1,0:24.0,,Shooting foul by M. Scott (drawn by S. Brown),40,20
103,1,0:24.0,,S. Brown makes free throw 1 of 2,40,21
104,1,0:24.0,,S. Brown makes free throw 2 of 2,40,22
105,1,0:06.0,Turnover by T. Frazier (traveling),,40,22
106,1,0:00.0,,S. Brown misses 3-pt jump shot from 23 ft,40,22
107,1,0:00.0,,Offensive rebound by Team,40,22
108,2,11:45.0,,J. Parker makes 2-pt jump shot from 19 ft (assist by J. Terry),40,24
109,2,11:27.0,K. Oubre misses 2-pt jump shot from 19 ft,,40,24
110,2,11:24.0,,Defensive rebound by J. Terry,40,24
111,2,11:19.0,,Turnover by E. Bledsoe (bad pass),40,24
112,2,10:57.0,M. Scott misses 2-pt layup from 3 ft,,40,24
113,2,10:56.0,Offensive rebound by Team,,40,24
114,2,10:55.0,Shooting foul by J. Terry (drawn by J. Meeks),,40,24
115,2,10:55.0,J. Meeks misses free throw 1 of 2,,40,24
116,2,10:55.0,Offensive rebound by Team,,40,24
117,2,10:55.0,J. Meeks makes free throw 2 of 2,,41,24
