,QUARTER,TIME_REMAINING,TORONTO_ACTION,BROOKLYN_ACTION,TORONTO_SCORE,BROOKLYN_SCORE
0,1,11:48.0,,D. Cunningham misses 2-pt layup at rim (block by J. Valančiūnas),0,0
1,1,11:48.0,,Offensive rebound by Team,0,0
2,1,11:43.0,,D. Russell makes 3-pt jump shot from 23 ft (assist by S. Dinwiddie),0,3
3,1,11:24.0,J. Valančiūnas makes 2-pt layup from 7 ft (assist by K. Lowry),,2,3
4,1,10:58.0,,D. Carroll misses 2-pt jump shot from 18 ft,2,3
5,1,10:55.0,Defensive rebound by N. Powell,,2,3
6,1,10:44.0,N. Powell makes 2-pt jump shot from 6 ft (assist by J. Valančiūnas),,4,3
7,1,10:19.0,,D. Russell makes 3-pt jump shot from 23 ft (assist by S. Dinwiddie),4,6
8,1,10:00.0,Turnover by D. DeRozan (lost ball; steal by A. Crabbe),,4,6
9,1,9:55.0,,S. Dinwiddie makes 2-pt layup at rim (assist by A. Crabbe),4,8
10,1,9:47.0,Personal foul by S. Dinwiddie (drawn by K. Lowry),,4,8
11,1,9:41.0,D. DeRozan misses 3-pt jump shot from 25 ft,,4,8
12,1,9:38.0,,Defensive rebound by D. Carroll,4,8
13,1,9:31.0,,D. Russell makes 3-pt jump shot from 25 ft (assist by A. Crabbe),4,11
14,1,9:10.0,K. Lowry makes 2-pt layup from 1 ft,,6,11
15,1,8:59.0,,S. Dinwiddie misses 3-pt jump shot from 26 ft,6,11
16,1,8:55.0,,Offensive rebound by D. Russell,6,11
17,1,8:42.0,,D. Russell makes 3-pt jump shot from 24 ft,6,14
18,1,8:30.0,J. Valančiūnas misses 3-pt jump shot from 24 ft,,6,14
19,1,8:27.0,,Defensive rebound by A. Crabbe,6,14
20,1,8:16.0,,D. Carroll makes 3-pt jump shot from 25 ft (assist by A. Crabbe),6,17
21,1,8:13.0,Toronto full timeout,,6,17
22,1,7:52.0,K. Lowry makes 2-pt layup from 1 ft,,8,17
23,1,7:38.0,,Personal foul by S. Ibaka (drawn by D. Russell),8,17
24,1,7:26.0,,A. Crabbe misses 3-pt jump shot from 24 ft,8,17
25,1,7:22.0,Defensive rebound by J. Valančiūnas,,8,17
26,1,7:18.0,N. Powell makes 3-pt jump shot from 25 ft (assist by K. Lowry),,11,17
27,1,6:56.0,,Turnover by D. Russell (out of bounds lost ball),11,17
28,1,6:39.0,J. Valančiūnas makes 2-pt layup from 2 ft (assist by S. Ibaka),,13,17
29,1,6:27.0,,Shooting foul by N. Powell (drawn by D. Russell),13,17
30,1,6:27.0,,D. Russell makes free throw 1 of 3,13,18
31,1,6:27.0,,D. Russell makes free throw 2 of 3,13,19
32,1,6:27.0,,D. Russell makes free throw 3 of 3,13,20
