,QUARTER,TIME_REMAINING,DALLAS_ACTION,PHOENIX_ACTION,DALLAS_SCORE,PHOENIX_SCORE
0,1,11:38.0,,D. Booker makes 3-pt jump shot from 25 ft (assist by M. Chriss),0,3
1,1,11:19.0,W. Matthews misses 3-pt jump shot from 25 ft,,0,3
2,1,11:15.0,,Defensive rebound by T. Chandler,0,3
3,1,11:09.0,,Turnover by D. Booker (lost ball; steal by D. Nowitzki),0,3
4,1,11:05.0,H. Barnes makes 2-pt dunk from 1 ft (assist by D. Nowitzki),,2,3
5,1,10:43.0,,J. Jackson makes 2-pt layup from 9 ft (assist by T. Warren),2,5
6,1,10:22.0,D. Smith misses 2-pt jump shot from 21 ft,,2,5
7,1,10:19.0,,Defensive rebound by J. Jackson,2,5
8,1,10:17.0,,M. Chriss makes 2-pt dunk at rim (assist by J. Jackson),2,7
9,1,9:52.0,Personal foul by T. Chandler (drawn by D. Nowitzki),,2,7
10,1,9:41.0,D. Nowitzki misses 3-pt jump shot from 25 ft,,2,7
11,1,9:36.0,Offensive rebound by D. Powell,,2,7
12,1,9:28.0,W. Matthews misses 2-pt jump shot from 22 ft,,2,7
13,1,9:27.0,,Defensive rebound by M. Chriss,2,7
14,1,9:14.0,,D. Booker misses 2-pt jump shot from 13 ft,2,7
15,1,9:11.0,Defensive rebound by D. Powell,,2,7
16,1,9:04.0,D. Smith makes 2-pt layup from 1 ft,,4,7
17,1,8:41.0,,M. Chriss misses 2-pt dunk at rim,4,7
18,1,8:37.0,Defensive rebound by D. Powell,,4,7
19,1,8:29.0,H. Barnes misses 3-pt jump shot from 22 ft,,4,7
20,1,8:27.0,,Defensive rebound by T. Warren,4,7
21,1,8:23.0,,T. Warren makes 2-pt layup at rim,4,9
22,1,8:09.0,H. Barnes misses 3-pt jump shot from 22 ft,,4,9
23,1,8:07.0,,Defensive rebound by M. Chriss,4,9
24,1,8:00.0,,M. Chriss misses 3-pt jump shot from 24 ft,4,9
25,1,7:56.0,Defensive rebound by D. Nowitzki,,4,9
26,1,7:34.0,H. Barnes misses 2-pt jump shot from 18 ft,,4,9
