,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,SACRAMENTO_ACTION,CHARLOTTE_SCORE,SACRAMENTO_SCORE
0,1,11:41.0,D. Howard misses 2-pt hook shot from 5 ft,,0,0
1,1,11:39.0,,Defensive rebound by Z. Randolph,0,0
2,1,11:24.0,,Turnover by D. Fox (bad pass; steal by K. Walker),0,0
3,1,11:19.0,M. Williams makes 2-pt layup at rim,,2,0
4,1,11:08.0,,G. Temple makes 3-pt jump shot from 25 ft (assist by G. Hill),2,3
5,1,10:48.0,M. Kidd-Gilchrist makes 2-pt hook shot from 8 ft (assist by N. Batum),,4,3
6,1,10:42.0,,Turnover by D. Fox (out of bounds lost ball),4,3
7,1,10:32.0,D. Howard makes 2-pt dunk at rim (assist by K. Walker),,6,3
8,1,10:05.0,,G. Hill misses 2-pt jump shot from 14 ft,6,3
9,1,10:00.0,,Offensive rebound by S. Labissière,6,3
10,1,9:59.0,,S. Labissière makes 2-pt layup at rim,6,5
11,1,9:48.0,K. Walker makes 3-pt jump shot from 25 ft,,9,5
12,1,9:36.0,,G. Temple misses 3-pt jump shot from 24 ft,9,5
13,1,9:32.0,Defensive rebound by K. Walker,,9,5
14,1,9:27.0,K. Walker makes 2-pt layup at rim,,11,5
15,1,9:10.0,,Z. Randolph makes 2-pt jump shot from 17 ft (assist by G. Temple),11,7
16,1,8:54.0,D. Howard makes 2-pt hook shot from 7 ft,,13,7
17,1,8:36.0,,Z. Randolph makes 2-pt jump shot from 18 ft,13,9
18,1,8:19.0,N. Batum misses 3-pt jump shot from 24 ft,,13,9
19,1,8:16.0,,Defensive rebound by Z. Randolph,13,9
20,1,8:04.0,,Turnover by Z. Randolph (out of bounds lost ball),13,9
21,1,7:51.0,K. Walker misses 3-pt jump shot from 25 ft,,13,9
22,1,7:47.0,,Defensive rebound by S. Labissière,13,9
23,1,7:43.0,,D. Fox misses 2-pt layup from 2 ft,13,9
24,1,7:36.0,,Offensive rebound by S. Labissière,13,9
25,1,7:36.0,,S. Labissière makes 2-pt dunk at rim,13,11
26,1,7:23.0,D. Howard makes 2-pt hook shot from 6 ft,,15,11
27,1,7:03.0,,D. Fox makes 2-pt layup from 2 ft,15,13
28,1,6:44.0,N. Batum makes 2-pt jump shot from 9 ft,,17,13
29,1,6:44.0,Shooting foul by G. Temple (drawn by N. Batum),,17,13
30,1,6:44.0,,Sacramento full timeout,17,13
31,1,6:44.0,N. Batum misses free throw 1 of 1,,17,13
32,1,6:41.0,,Defensive rebound by Z. Randolph,17,13
33,1,6:25.0,,Z. Randolph makes 2-pt jump shot from 6 ft,17,15
34,1,6:09.0,M. Williams misses 3-pt jump shot from 22 ft,,17,15
35,1,6:05.0,,Defensive rebound by D. Fox,17,15
36,1,5:56.0,,S. Labissière makes 2-pt hook shot from 7 ft,17,17
37,1,5:42.0,N. Batum makes 3-pt jump shot from 25 ft (assist by K. Walker),,20,17
38,1,5:33.0,,Z. Randolph misses 3-pt jump shot from 24 ft,20,17
39,1,5:29.0,Defensive rebound by N. Batum,,20,17
40,1,5:23.0,K. Walker misses 2-pt layup from 1 ft,,20,17
41,1,5:21.0,,Defensive rebound by S. Labissière,20,17
42,1,5:08.0,,G. Temple misses 2-pt jump shot from 11 ft,20,17
43,1,5:02.0,Defensive rebound by M. Kidd-Gilchrist,,20,17
44,1,4:53.0,Shooting foul by G. Temple (drawn by N. Batum),,20,17
45,1,4:53.0,N. Batum makes free throw 1 of 2,,21,17
46,1,4:53.0,,W. Cauley-Stein enters the game for S. Labissière,21,17
47,1,4:53.0,,B. Bogdanović enters the game for G. Hill,21,17
48,1,4:53.0,J. Lamb enters the game for M. Kidd-Gilchrist,,21,17
49,1,4:53.0,F. Kaminsky enters the game for M. Williams,,21,17
50,1,4:53.0,N. Batum makes free throw 2 of 2,,22,17
51,1,4:43.0,,D. Fox misses 2-pt jump shot from 17 ft,22,17
52,1,4:38.0,Defensive rebound by N. Batum,,22,17
53,1,4:32.0,Turnover by N. Batum (bad pass),,22,17
54,1,4:20.0,,W. Cauley-Stein misses 2-pt hook shot from 7 ft,22,17
55,1,4:16.0,Defensive rebound by N. Batum,,22,17
56,1,4:12.0,J. Lamb makes 3-pt jump shot from 24 ft (assist by N. Batum),,25,17
57,1,3:58.0,,D. Fox makes 2-pt layup from 1 ft,25,19
58,1,3:41.0,F. Kaminsky misses 2-pt jump shot from 4 ft,,25,19
59,1,3:38.0,,Defensive rebound by Z. Randolph,25,19
60,1,3:29.0,,Z. Randolph makes 2-pt jump shot from 20 ft (assist by G. Temple),25,21
61,1,3:12.0,D. Howard makes 2-pt layup from 5 ft (assist by K. Walker),,27,21
62,1,2:57.0,,Z. Randolph makes 2-pt jump shot from 22 ft (assist by B. Bogdanović),27,23
63,1,2:47.0,Charlotte full timeout,,27,23
64,1,2:47.0,,B. Hield enters the game for D. Fox,27,23
65,1,2:47.0,M. Carter-Williams enters the game for K. Walker,,27,23
66,1,2:36.0,D. Howard misses 2-pt dunk from 2 ft,,27,23
67,1,2:32.0,,Defensive rebound by B. Hield,27,23
68,1,2:18.0,,Shooting foul by J. Lamb (drawn by W. Cauley-Stein),27,23
69,1,2:18.0,,W. Cauley-Stein misses free throw 1 of 2,27,23
70,1,2:18.0,,Offensive rebound by Team,27,23
71,1,2:18.0,,W. Cauley-Stein misses free throw 2 of 2,27,23
72,1,2:16.0,Defensive rebound by D. Howard,,27,23
73,1,1:55.0,M. Carter-Williams makes 2-pt layup from 2 ft,,29,23
74,1,1:34.0,,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by G. Temple),29,25
75,1,1:15.0,Shooting foul by W. Cauley-Stein (drawn by D. Howard),,29,25
76,1,1:15.0,D. Howard misses free throw 1 of 2,,29,25
