,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,INDIANA_ACTION,MINNESOTA_SCORE,INDIANA_SCORE
0,1,11:44.0,,Turnover by M. Turner (lost ball; steal by K. Towns),0,0
1,1,11:28.0,K. Towns makes 2-pt jump shot from 10 ft,,2,0
2,1,11:16.0,,Turnover by L. Stephenson (bad pass; steal by J. Butler),2,0
3,1,11:12.0,T. Jones misses 2-pt layup from 1 ft (block by M. Turner),,2,0
4,1,11:09.0,,Defensive rebound by L. Stephenson,2,0
5,1,11:00.0,,L. Stephenson misses 2-pt jump shot from 18 ft,2,0
6,1,10:58.0,Defensive rebound by K. Towns,,2,0
7,1,10:41.0,K. Towns misses 3-pt jump shot from 26 ft,,2,0
8,1,10:39.0,,Defensive rebound by L. Stephenson,2,0
9,1,10:27.0,,M. Turner misses 2-pt jump shot from 16 ft,2,0
10,1,10:24.0,Defensive rebound by T. Jones,,2,0
11,1,10:08.0,T. Gibson makes 2-pt layup from 1 ft (assist by J. Butler),,4,0
12,1,9:59.0,,B. Bogdanović misses 3-pt jump shot from 26 ft,4,0
13,1,9:55.0,Defensive rebound by K. Towns,,4,0
14,1,9:46.0,Turnover by K. Towns (out of bounds lost ball),,4,0
15,1,9:28.0,,T. Young misses 2-pt jump shot from 15 ft,4,0
16,1,9:25.0,Defensive rebound by K. Towns,,4,0
17,1,9:20.0,Turnover by A. Wiggins (lost ball; steal by B. Bogdanović),,4,0
18,1,9:11.0,,M. Turner misses 2-pt jump shot from 20 ft,4,0
19,1,9:08.0,Defensive rebound by K. Towns,,4,0
20,1,8:56.0,J. Butler makes 2-pt jump shot from 6 ft,,6,0
21,1,8:39.0,,M. Turner misses 3-pt jump shot from 26 ft,6,0
22,1,8:37.0,Defensive rebound by A. Wiggins,,6,0
23,1,8:17.0,A. Wiggins misses 2-pt jump shot from 20 ft,,6,0
24,1,8:14.0,,Defensive rebound by L. Stephenson,6,0
25,1,8:04.0,,T. Young misses 2-pt layup from 6 ft (block by K. Towns),6,0
26,1,8:04.0,,Offensive rebound by Team,6,0
27,1,7:55.0,,D. Collison misses 2-pt jump shot from 20 ft (block by K. Towns),6,0
28,1,7:52.0,Defensive rebound by T. Gibson,,6,0
29,1,7:41.0,T. Jones makes 2-pt layup from 1 ft (assist by K. Towns),,8,0
30,1,7:40.0,,Indiana full timeout,8,0
31,1,7:17.0,,L. Stephenson misses 2-pt layup from 4 ft,8,0
32,1,7:15.0,Defensive rebound by T. Gibson,,8,0
33,1,7:09.0,J. Butler makes 2-pt jump shot from 10 ft,,10,0
34,1,7:09.0,,Violation by T. Young (def goaltending),10,0
35,1,7:09.0,Shooting foul by D. Collison (drawn by J. Butler),,10,0
36,1,7:09.0,,D. Sabonis enters the game for M. Turner,10,0
37,1,7:09.0,J. Butler makes free throw 1 of 1,,11,0
38,1,6:50.0,,D. Sabonis misses 2-pt jump shot from 11 ft (block by K. Towns),11,0
39,1,6:45.0,,Offensive rebound by D. Sabonis,11,0
40,1,6:45.0,,D. Sabonis misses 2-pt jump shot from 12 ft,11,0
41,1,6:45.0,,Offensive rebound by Team,11,0
42,1,6:45.0,,Turnover by Team (shot clock),11,0
43,1,6:45.0,,C. Joseph enters the game for D. Collison,11,0
44,1,6:24.0,J. Butler misses 2-pt jump shot from 16 ft,,11,0
45,1,6:21.0,,Defensive rebound by D. Sabonis,11,0
46,1,6:15.0,,Turnover by C. Joseph (bad pass; steal by J. Butler),11,0
47,1,6:10.0,A. Wiggins makes 2-pt jump shot from 8 ft,,13,0
48,1,5:56.0,,L. Stephenson misses 2-pt layup from 3 ft (block by K. Towns),13,0
49,1,5:54.0,Defensive rebound by T. Gibson,,13,0
50,1,5:50.0,J. Butler makes 2-pt dunk from 1 ft (assist by A. Wiggins),,15,0
51,1,5:33.0,,Turnover by C. Joseph (bad pass; steal by T. Jones),15,0
52,1,5:28.0,T. Gibson makes 2-pt dunk at rim (assist by T. Jones),,17,0
53,1,5:28.0,,Indiana full timeout,17,0
54,1,5:28.0,,A. Jefferson enters the game for L. Stephenson,17,0
55,1,5:28.0,,D. Wilkins enters the game for T. Young,17,0
56,1,5:15.0,,D. Sabonis makes 2-pt hook shot from 7 ft (assist by B. Bogdanović),17,2
57,1,4:48.0,K. Towns misses 2-pt jump shot from 18 ft,,17,2
58,1,4:44.0,,Defensive rebound by D. Sabonis,17,2
59,1,4:26.0,,D. Sabonis makes 2-pt layup from 1 ft,17,4
60,1,4:11.0,Turnover by J. Butler (lost ball; steal by D. Sabonis),,17,4
61,1,4:06.0,,B. Bogdanović misses 3-pt jump shot from 23 ft,17,4
62,1,4:03.0,Defensive rebound by J. Butler,,17,4
63,1,3:54.0,T. Gibson misses 2-pt dunk from 1 ft,,17,4
64,1,3:52.0,Offensive rebound by J. Butler,,17,4
65,1,3:52.0,Shooting foul by A. Jefferson (drawn by J. Butler),,17,4
66,1,3:52.0,J. Butler makes free throw 1 of 2,,18,4
67,1,3:52.0,G. Dieng enters the game for K. Towns,,18,4
68,1,3:52.0,J. Butler makes free throw 2 of 2,,19,4
69,1,3:37.0,,Turnover by D. Wilkins (out of bounds lost ball),19,4
70,1,3:37.0,J. Crawford enters the game for J. Butler,,19,4
71,1,3:24.0,A. Wiggins misses 2-pt jump shot from 17 ft,,19,4
72,1,3:20.0,,Defensive rebound by A. Jefferson,19,4
73,1,3:19.0,,Personal foul by T. Jones (drawn by D. Wilkins),19,4
74,1,3:19.0,,J. Young enters the game for B. Bogdanović,19,4
75,1,3:11.0,,D. Sabonis misses 3-pt jump shot from 28 ft,19,4
76,1,3:07.0,,Offensive rebound by D. Wilkins,19,4
77,1,3:04.0,,Turnover by C. Joseph (bad pass),19,4
78,1,2:47.0,T. Gibson makes 2-pt layup from 1 ft (assist by T. Jones),,21,4
79,1,2:27.0,,C. Joseph misses 2-pt layup from 2 ft,21,4
80,1,2:24.0,,Offensive rebound by J. Young,21,4
81,1,2:21.0,,J. Young makes 2-pt layup from 1 ft,21,6
82,1,2:01.0,J. Crawford misses 3-pt jump shot from 25 ft,,21,6
83,1,1:59.0,Offensive rebound by T. Gibson,,21,6
84,1,1:55.0,A. Wiggins misses 3-pt jump shot from 28 ft,,21,6
85,1,1:52.0,,Defensive rebound by A. Jefferson,21,6
