,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,PORTLAND_ACTION,GOLDEN STATE_SCORE,PORTLAND_SCORE
0,1,11:35.0,,D. Lillard makes 2-pt jump shot from 15 ft,0,2
1,1,11:16.0,J. McGee misses 2-pt layup from 1 ft,,0,2
2,1,11:14.0,,Defensive rebound by J. Nurkić,0,2
3,1,11:09.0,,J. Nurkić makes 2-pt layup from 1 ft (assist by D. Lillard),0,4
4,1,11:03.0,Turnover by K. Thompson (step out of bounds),,0,4
5,1,10:52.0,,Turnover by D. Lillard (bad pass),0,4
6,1,10:36.0,Shooting foul by M. Harkless (drawn by K. Durant),,0,4
7,1,10:36.0,K. Durant makes free throw 1 of 2,,1,4
8,1,10:36.0,K. Durant makes free throw 2 of 2,,2,4
9,1,10:22.0,,Turnover by A. Aminu (traveling),2,4
10,1,10:13.0,Q. Cook makes 2-pt jump shot from 16 ft,,4,4
11,1,9:54.0,,M. Harkless makes 3-pt jump shot from 24 ft,4,7
12,1,9:42.0,K. Durant makes 3-pt jump shot from 25 ft (assist by D. Green),,7,7
13,1,9:27.0,,Shooting foul by Q. Cook (drawn by C. McCollum),7,7
14,1,9:27.0,,C. McCollum misses free throw 1 of 2,7,7
15,1,9:27.0,,Offensive rebound by Team,7,7
16,1,9:27.0,,C. McCollum makes free throw 2 of 2,7,8
17,1,9:19.0,K. Thompson makes 3-pt jump shot from 26 ft (assist by K. Durant),,10,8
18,1,9:08.0,,J. Nurkić makes 2-pt layup at rim (assist by D. Lillard),10,10
19,1,8:53.0,J. McGee misses 2-pt hook shot from 2 ft,,10,10
20,1,8:51.0,,Defensive rebound by A. Aminu,10,10
21,1,8:47.0,,D. Lillard makes 3-pt jump shot from 30 ft,10,13
22,1,8:26.0,K. Thompson misses 2-pt jump shot from 12 ft,,10,13
23,1,8:24.0,,Defensive rebound by A. Aminu,10,13
24,1,8:17.0,,Turnover by D. Lillard (bad pass; steal by D. Green),10,13
25,1,7:55.0,K. Thompson misses 3-pt jump shot from 23 ft,,10,13
26,1,7:54.0,,Defensive rebound by D. Lillard,10,13
27,1,7:46.0,,Turnover by D. Lillard (bad pass; steal by J. McGee),10,13
28,1,7:42.0,Q. Cook makes 2-pt jump shot from 20 ft,,12,13
29,1,7:21.0,,C. McCollum makes 2-pt jump shot from 11 ft,12,15
30,1,7:05.0,K. Thompson misses 3-pt jump shot from 24 ft,,12,15
31,1,7:04.0,,Defensive rebound by J. Nurkić,12,15
32,1,6:45.0,,J. Nurkić misses 2-pt hook shot from 1 ft,12,15
33,1,6:42.0,,Offensive rebound by J. Nurkić,12,15
34,1,6:41.0,,Portland full timeout,12,15
35,1,6:38.0,,Turnover by J. Nurkić (turnover; steal by D. Green),12,15
36,1,6:21.0,K. Thompson misses 2-pt hook shot from 3 ft,,12,15
37,1,6:19.0,,Defensive rebound by A. Aminu,12,15
38,1,6:09.0,,Personal foul by K. Thompson (drawn by A. Aminu),12,15
39,1,6:03.0,,D. Lillard misses 3-pt jump shot from 25 ft,12,15
40,1,6:01.0,Defensive rebound by K. Durant,,12,15
41,1,5:49.0,Turnover by K. Durant (lost ball; steal by M. Harkless),,12,15
42,1,5:42.0,,C. McCollum makes 3-pt jump shot from 24 ft,12,18
43,1,5:26.0,Shooting foul by M. Harkless (drawn by K. Durant),,12,18
44,1,5:26.0,K. Durant makes free throw 1 of 2,,13,18
45,1,5:26.0,,E. Turner enters the game for M. Harkless,13,18
46,1,5:26.0,K. Durant makes free throw 2 of 2,,14,18
47,1,5:10.0,,E. Turner misses 3-pt jump shot from 22 ft,14,18
48,1,5:05.0,,Offensive rebound by D. Lillard,14,18
49,1,5:02.0,,E. Turner makes 3-pt jump shot from 24 ft (assist by D. Lillard),14,21
50,1,4:43.0,J. McGee makes 2-pt hook shot from 2 ft,,16,21
51,1,4:27.0,,C. McCollum misses 3-pt jump shot from 24 ft,16,21
52,1,4:25.0,Defensive rebound by D. Green,,16,21
53,1,4:19.0,Q. Cook misses 3-pt jump shot from 22 ft,,16,21
54,1,4:16.0,,Defensive rebound by J. Nurkić,16,21
55,1,4:02.0,,A. Aminu misses 2-pt layup from 1 ft,16,21
56,1,3:59.0,,Offensive rebound by J. Nurkić,16,21
57,1,3:59.0,,J. Nurkić misses 2-pt layup at rim,16,21
58,1,3:59.0,,Offensive rebound by A. Aminu,16,21
59,1,3:57.0,,A. Aminu makes 2-pt hook shot from 3 ft,16,23
60,1,3:56.0,Golden State full timeout,,16,23
61,1,3:56.0,,Z. Collins enters the game for A. Aminu,16,23
62,1,3:56.0,,E. Davis enters the game for J. Nurkić,16,23
63,1,3:56.0,O. Casspi enters the game for J. McGee,,16,23
64,1,3:56.0,K. Looney enters the game for K. Thompson,,16,23
65,1,3:56.0,N. Young enters the game for D. Green,,16,23
66,1,3:38.0,K. Durant misses 2-pt jump shot from 4 ft,,16,23
67,1,3:37.0,,Defensive rebound by E. Davis,16,23
68,1,3:30.0,,C. McCollum misses 2-pt jump shot from 16 ft,16,23
69,1,3:26.0,,Offensive rebound by E. Davis,16,23
70,1,3:12.0,,Z. Collins misses 3-pt jump shot from 24 ft,16,23
71,1,3:10.0,Defensive rebound by Team,,16,23
72,1,3:10.0,,P. Connaughton enters the game for C. McCollum,16,23
73,1,3:01.0,Shooting foul by E. Davis (drawn by K. Durant),,16,23
74,1,3:01.0,K. Durant makes free throw 1 of 2,,17,23
75,1,3:01.0,K. Durant makes free throw 2 of 2,,18,23
76,1,2:45.0,,Z. Collins makes 2-pt layup at rim (assist by D. Lillard),18,25
77,1,2:33.0,K. Durant makes 3-pt jump shot from 25 ft,,21,25
78,1,2:22.0,,Personal foul by Q. Cook (drawn by D. Lillard),21,25
79,1,2:15.0,,D. Lillard makes 3-pt jump shot from 27 ft,21,28
80,1,2:11.0,Golden State full timeout,,21,28
81,1,2:11.0,S. Livingston enters the game for Q. Cook,,21,28
82,1,1:58.0,Personal foul by Z. Collins (drawn by O. Casspi),,21,28
83,1,1:44.0,K. Durant makes 2-pt jump shot from 8 ft (assist by O. Casspi),,23,28
84,1,1:29.0,,E. Turner misses 3-pt jump shot from 24 ft,23,28
85,1,1:27.0,,Offensive rebound by E. Davis,23,28
86,1,1:26.0,,E. Davis makes 2-pt layup from 1 ft,23,30
87,1,1:26.0,,Shooting foul by K. Looney (drawn by E. Davis),23,30
88,1,1:26.0,,E. Davis makes free throw 1 of 1,23,31
89,1,1:16.0,Shooting foul by Z. Collins (drawn by O. Casspi),,23,31
90,1,1:16.0,O. Casspi makes free throw 1 of 2,,24,31
91,1,1:16.0,O. Casspi misses free throw 2 of 2,,24,31
92,1,1:13.0,,Defensive rebound by E. Davis,24,31
93,1,0:59.0,,Z. Collins makes 2-pt jump shot from 7 ft,24,33
94,1,0:50.0,K. Durant misses 2-pt hook shot from 2 ft,,24,33
95,1,0:49.0,Offensive rebound by K. Looney,,24,33
96,1,0:48.0,K. Looney makes 2-pt hook shot from 2 ft,,26,33
97,1,0:36.0,Violation by S. Livingston (kicked ball),,26,33
98,1,0:36.0,,C. McCollum enters the game for Z. Collins,26,33
99,1,0:36.0,D. Green enters the game for K. Looney,,26,33
100,1,0:27.0,,P. Connaughton misses 3-pt jump shot from 26 ft,26,33
101,1,0:23.0,Defensive rebound by Team,,26,33
102,1,0:23.0,,Z. Collins enters the game for C. McCollum,26,33
103,1,0:23.0,K. Thompson enters the game for O. Casspi,,26,33
104,1,0:04.0,Shooting foul by D. Lillard (drawn by K. Thompson),,26,33
105,1,0:04.0,K. Thompson makes free throw 1 of 2,,27,33
106,1,0:04.0,,C. McCollum enters the game for E. Turner,27,33
107,1,0:04.0,K. Looney enters the game for K. Durant,,27,33
108,1,0:04.0,K. Thompson misses free throw 2 of 2,,27,33
109,1,0:02.0,,Defensive rebound by E. Davis,27,33
110,1,0:00.0,,Turnover by C. McCollum (lost ball; steal by K. Thompson),27,33
111,2,11:45.0,D. Green misses 2-pt jump shot from 16 ft,,27,33
112,2,11:41.0,,Defensive rebound by C. McCollum,27,33
113,2,11:25.0,,Z. Collins makes 2-pt layup from 2 ft (assist by E. Turner),27,35
114,2,11:25.0,,Shooting foul by Z. Pachulia (drawn by Z. Collins),27,35
115,2,11:25.0,,Z. Collins makes free throw 1 of 1,27,36
116,2,11:11.0,D. Green misses 3-pt jump shot from 24 ft,,27,36
117,2,11:09.0,,Defensive rebound by E. Davis,27,36
118,2,10:53.0,,C. McCollum makes 3-pt jump shot from 24 ft (assist by E. Turner),27,39
119,2,10:30.0,S. Livingston misses 2-pt jump shot from 6 ft,,27,39
120,2,10:24.0,,Defensive rebound by E. Davis,27,39
121,2,10:16.0,,E. Turner misses 2-pt jump shot at rim,27,39
122,2,10:16.0,,Offensive rebound by Team,27,39
123,2,10:12.0,,E. Davis makes 2-pt hook shot from 4 ft (assist by E. Turner),27,41
124,2,9:55.0,Z. Pachulia misses 2-pt jump shot from 17 ft,,27,41
125,2,9:52.0,Offensive rebound by Z. Pachulia,,27,41
126,2,9:50.0,Z. Pachulia misses 2-pt layup from 2 ft,,27,41
127,2,9:48.0,,Defensive rebound by E. Davis,27,41
128,2,9:27.0,,Turnover by Z. Collins (turnover; steal by D. Green),27,41
129,2,9:24.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by D. Green),,30,41
130,2,9:05.0,,C. McCollum makes 2-pt jump shot from 16 ft,30,43
131,2,8:46.0,Turnover by K. Thompson (out of bounds lost ball),,30,43
132,2,8:37.0,,S. Napier misses 2-pt jump shot from 20 ft,30,43
133,2,8:34.0,Defensive rebound by N. Young,,30,43
134,2,8:25.0,K. Thompson misses 2-pt jump shot from 22 ft,,30,43
135,2,8:22.0,,Defensive rebound by E. Turner,30,43
136,2,8:04.0,,E. Turner makes 2-pt layup from 1 ft,30,45
137,2,7:44.0,K. Thompson makes 3-pt jump shot from 24 ft (assist by S. Livingston),,33,45
138,2,7:23.0,,C. McCollum makes 2-pt layup at rim,33,47
139,2,7:02.0,K. Thompson makes 2-pt jump shot from 6 ft,,35,47
140,2,6:43.0,,C. McCollum misses 3-pt jump shot from 25 ft,35,47
141,2,6:41.0,Defensive rebound by D. Green,,35,47
142,2,6:32.0,Turnover by Z. Pachulia (lost ball; steal by E. Davis),,35,47
143,2,6:14.0,,E. Davis misses 2-pt jump shot from 3 ft,35,47
144,2,6:11.0,Defensive rebound by D. Green,,35,47
145,2,6:01.0,N. Young makes 3-pt jump shot from 22 ft (assist by S. Livingston),,38,47
146,2,5:44.0,,E. Turner misses 3-pt jump shot from 24 ft,38,47
147,2,5:41.0,Defensive rebound by D. Green,,38,47
148,2,5:39.0,Personal foul by S. Napier (drawn by K. Thompson),,38,47
149,2,5:39.0,,Portland full timeout,38,47
150,2,5:39.0,,M. Harkless enters the game for C. McCollum,38,47
151,2,5:39.0,,D. Lillard enters the game for E. Turner,38,47
152,2,5:39.0,K. Durant enters the game for K. Thompson,,38,47
153,2,5:39.0,K. Looney enters the game for Z. Pachulia,,38,47
154,2,5:32.0,N. Young misses 3-pt jump shot from 25 ft,,38,47
155,2,5:30.0,Offensive rebound by K. Durant,,38,47
156,2,5:29.0,K. Durant makes 2-pt layup at rim,,40,47
157,2,5:18.0,,Personal foul by D. Green (drawn by E. Davis),40,47
158,2,5:18.0,,A. Aminu enters the game for E. Davis,40,47
159,2,5:18.0,,J. Nurkić enters the game for Z. Collins,40,47
160,2,5:13.0,,S. Napier makes 2-pt jump shot from 20 ft,40,49
161,2,4:59.0,K. Durant makes 2-pt jump shot from 16 ft,,42,49
162,2,4:46.0,,M. Harkless misses 3-pt jump shot from 24 ft,42,49
163,2,4:44.0,Defensive rebound by N. Young,,42,49
164,2,4:33.0,D. Green makes 2-pt layup at rim (assist by K. Durant),,44,49
165,2,4:12.0,,Turnover by J. Nurkić (bad pass),44,49
166,2,4:12.0,Q. Cook enters the game for S. Livingston,,44,49
167,2,4:03.0,K. Durant makes 2-pt jump shot from 17 ft,,46,49
168,2,3:42.0,,M. Harkless makes 3-pt jump shot from 23 ft (assist by D. Lillard),46,52
169,2,3:31.0,K. Durant misses 3-pt jump shot from 25 ft,,46,52
170,2,3:29.0,,Defensive rebound by S. Napier,46,52
171,2,3:25.0,,D. Lillard misses 3-pt jump shot from 28 ft,46,52
172,2,3:22.0,Defensive rebound by K. Durant,,46,52
173,2,3:07.0,Q. Cook makes 2-pt jump shot from 12 ft,,48,52
174,2,2:37.0,,S. Napier misses 2-pt jump shot from 20 ft,48,52
175,2,2:35.0,Defensive rebound by K. Durant,,48,52
176,2,2:28.0,K. Durant misses 2-pt jump shot from 14 ft,,48,52
177,2,2:25.0,Offensive rebound by D. Green,,48,52
178,2,2:25.0,D. Green misses 2-pt layup at rim,,48,52
179,2,2:24.0,,Defensive rebound by J. Nurkić,48,52
180,2,2:19.0,,S. Napier misses 3-pt jump shot from 23 ft,48,52
181,2,2:17.0,Defensive rebound by K. Durant,,48,52
182,2,2:13.0,Golden State full timeout,,48,52
183,2,2:13.0,K. Thompson enters the game for N. Young,,48,52
184,2,2:05.0,,Violation by A. Aminu (kicked ball),48,52
185,2,2:05.0,,C. McCollum enters the game for S. Napier,48,52
186,2,1:56.0,K. Looney misses 2-pt layup from 2 ft (block by C. McCollum),,48,52
187,2,1:48.0,Offensive rebound by K. Looney,,48,52
188,2,1:48.0,K. Looney makes 2-pt layup at rim,,50,52
189,2,1:34.0,,A. Aminu misses 3-pt jump shot from 24 ft,50,52
190,2,1:33.0,,Offensive rebound by Team,50,52
191,2,1:33.0,Loose ball foul by K. Looney (drawn by J. Nurkić),,50,52
192,2,1:28.0,,Personal foul by K. Looney (drawn by D. Lillard),50,52
193,2,1:28.0,,D. Lillard makes free throw 1 of 2,50,53
194,2,1:28.0,N. Young enters the game for K. Looney,,50,53
195,2,1:28.0,Technical foul by D. Green,,50,53
196,2,1:28.0,,D. Lillard makes technical free throw,50,54
197,2,1:28.0,,D. Lillard makes free throw 2 of 2,50,55
