,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,DALLAS_ACTION,MINNESOTA_SCORE,DALLAS_SCORE
0,1,11:45.0,K. Towns misses 2-pt hook shot from 8 ft,,0,0
1,1,11:44.0,,Defensive rebound by Team,0,0
2,1,11:34.0,,D. Nowitzki makes 2-pt jump shot from 18 ft (assist by D. Smith),0,2
3,1,11:16.0,A. Wiggins misses 2-pt jump shot from 18 ft,,0,2
4,1,11:14.0,,Defensive rebound by D. Nowitzki,0,2
5,1,11:05.0,,H. Barnes misses 2-pt jump shot from 19 ft,0,2
6,1,11:00.0,Defensive rebound by J. Teague,,0,2
7,1,10:51.0,Shooting foul by D. Nowitzki (drawn by T. Gibson),,0,2
8,1,10:51.0,T. Gibson makes free throw 1 of 2,,1,2
9,1,10:51.0,T. Gibson makes free throw 2 of 2,,2,2
10,1,10:27.0,,H. Barnes misses 2-pt jump shot from 6 ft,2,2
11,1,10:25.0,Defensive rebound by K. Towns,,2,2
12,1,10:20.0,J. Teague misses 3-pt jump shot from 24 ft,,2,2
13,1,10:14.0,,Defensive rebound by D. Nowitzki,2,2
14,1,10:06.0,,D. Nowitzki misses 3-pt jump shot from 25 ft,2,2
15,1,10:04.0,Defensive rebound by K. Towns,,2,2
16,1,9:59.0,Turnover by J. Teague (bad pass; steal by D. Smith),,2,2
17,1,9:54.0,,Turnover by D. Smith (bad pass),2,2
18,1,9:30.0,Turnover by Team (shot clock),,2,2
19,1,9:20.0,,D. Smith makes 2-pt layup from 1 ft (assist by D. Powell),2,4
20,1,9:20.0,,Shooting foul by J. Teague (drawn by D. Smith),2,4
21,1,9:20.0,,D. Smith misses free throw 1 of 1,2,4
22,1,9:20.0,Defensive rebound by T. Gibson,,2,4
23,1,9:05.0,K. Towns misses 3-pt jump shot from 25 ft,,2,4
24,1,9:02.0,,Defensive rebound by D. Finney-Smith,2,4
25,1,8:51.0,,D. Finney-Smith misses 3-pt jump shot from 22 ft,2,4
26,1,8:48.0,Defensive rebound by K. Towns,,2,4
27,1,8:46.0,Personal foul by D. Powell (drawn by J. Teague),,2,4
28,1,8:33.0,K. Towns makes 2-pt jump shot from 20 ft,,4,4
29,1,8:13.0,,H. Barnes misses 2-pt jump shot from 2 ft,4,4
30,1,8:12.0,Defensive rebound by K. Towns,,4,4
31,1,8:07.0,A. Wiggins misses 2-pt layup from 1 ft,,4,4
32,1,8:06.0,,Defensive rebound by D. Powell,4,4
33,1,7:55.0,,Turnover by D. Smith (bad pass; steal by N. Bjelica),4,4
34,1,7:52.0,Turnover by N. Bjelica (lost ball; steal by D. Smith),,4,4
35,1,7:47.0,,D. Smith makes 2-pt layup at rim,4,6
36,1,7:30.0,J. Teague misses 3-pt jump shot from 25 ft,,4,6
37,1,7:30.0,,Defensive rebound by D. Nowitzki,4,6
38,1,7:21.0,,D. Smith misses 2-pt layup from 1 ft (block by J. Teague),4,6
39,1,7:19.0,Defensive rebound by K. Towns,,4,6
40,1,7:14.0,A. Wiggins misses 2-pt jump shot from 2 ft,,4,6
41,1,7:14.0,,Defensive rebound by D. Nowitzki,4,6
42,1,7:03.0,,Personal foul by J. Teague (drawn by D. Smith),4,6
43,1,7:03.0,T. Jones enters the game for J. Teague,,4,6
44,1,6:55.0,,D. Smith misses 2-pt jump shot from 20 ft,4,6
45,1,6:53.0,,Offensive rebound by D. Powell,4,6
46,1,6:47.0,,D. Finney-Smith misses 2-pt jump shot from 22 ft (block by N. Bjelica),4,6
47,1,6:44.0,Defensive rebound by K. Towns,,4,6
48,1,6:39.0,K. Towns misses 3-pt jump shot from 25 ft,,4,6
49,1,6:35.0,Offensive rebound by T. Gibson,,4,6
50,1,6:34.0,T. Gibson misses 2-pt layup from 1 ft,,4,6
51,1,6:32.0,,Defensive rebound by D. Nowitzki,4,6
52,1,6:18.0,,D. Finney-Smith misses 3-pt jump shot from 25 ft,4,6
53,1,6:15.0,Defensive rebound by K. Towns,,4,6
54,1,6:07.0,T. Gibson makes 2-pt dunk at rim (assist by N. Bjelica),,6,6
55,1,6:04.0,,Dallas full timeout,6,6
56,1,5:54.0,,D. Nowitzki makes 2-pt jump shot from 20 ft (assist by D. Finney-Smith),6,8
57,1,5:37.0,K. Towns misses 2-pt hook shot from 6 ft,,6,8
58,1,5:35.0,,Defensive rebound by D. Powell,6,8
59,1,5:18.0,,H. Barnes makes 2-pt layup at rim,6,10
60,1,5:03.0,A. Wiggins misses 2-pt layup from 1 ft,,6,10
61,1,5:01.0,,Defensive rebound by H. Barnes,6,10
62,1,4:57.0,,Turnover by D. Powell (bad pass; steal by T. Jones),6,10
63,1,4:54.0,Shooting block foul by D. Smith (drawn by T. Jones),,6,10
64,1,4:54.0,T. Jones makes free throw 1 of 2,,7,10
65,1,4:54.0,,M. Kleber enters the game for D. Nowitzki,7,10
66,1,4:54.0,J. Crawford enters the game for N. Bjelica,,7,10
67,1,4:54.0,T. Jones makes free throw 2 of 2,,8,10
68,1,4:30.0,,Turnover by D. Finney-Smith (lost ball; steal by T. Gibson),8,10
69,1,4:18.0,T. Gibson misses 2-pt jump shot from 9 ft,,8,10
70,1,4:14.0,Offensive rebound by K. Towns,,8,10
71,1,4:14.0,K. Towns makes 2-pt layup at rim,,10,10
72,1,3:50.0,,H. Barnes makes 2-pt hook shot from 2 ft (assist by D. Smith),10,12
73,1,3:40.0,K. Towns misses 2-pt jump shot from 1 ft,,10,12
74,1,3:38.0,,Defensive rebound by M. Kleber,10,12
75,1,3:29.0,,Shooting foul by T. Gibson (drawn by D. Powell),10,12
76,1,3:29.0,,D. Powell misses free throw 1 of 2,10,12
77,1,3:29.0,,Offensive rebound by Team,10,12
78,1,3:29.0,,Y. Ferrell enters the game for D. Smith,10,12
79,1,3:29.0,G. Dieng enters the game for K. Towns,,10,12
80,1,3:29.0,,D. Powell makes free throw 2 of 2,10,13
81,1,3:15.0,J. Crawford misses 2-pt jump shot from 19 ft,,10,13
82,1,3:12.0,,Defensive rebound by M. Kleber,10,13
83,1,3:03.0,,M. Kleber makes 3-pt jump shot from 26 ft (assist by Y. Ferrell),10,16
84,1,2:49.0,Personal block foul by D. Powell (drawn by A. Wiggins),,10,16
85,1,2:49.0,Minnesota full timeout,,10,16
86,1,2:49.0,,A. Harrison enters the game for D. Powell,10,16
87,1,2:49.0,,N. Noel enters the game for D. Finney-Smith,10,16
88,1,2:36.0,T. Gibson misses 2-pt jump shot from 15 ft,,10,16
89,1,2:32.0,,Defensive rebound by M. Kleber,10,16
90,1,2:17.0,,H. Barnes makes 2-pt jump shot from 12 ft,10,18
91,1,2:03.0,A. Wiggins makes 2-pt layup from 1 ft (assist by T. Jones),,12,18
92,1,1:42.0,,H. Barnes misses 2-pt layup from 1 ft,12,18
93,1,1:39.0,Defensive rebound by A. Wiggins,,12,18
94,1,1:35.0,T. Gibson makes 2-pt dunk at rim (assist by J. Crawford),,14,18
95,1,1:14.0,,Personal foul by G. Dieng (drawn by N. Noel),14,18
96,1,1:14.0,,D. McDermott enters the game for H. Barnes,14,18
97,1,1:14.0,N. Bjelica enters the game for T. Gibson,,14,18
98,1,1:09.0,,Y. Ferrell misses 3-pt jump shot from 25 ft,14,18
99,1,1:07.0,Defensive rebound by J. Crawford,,14,18
100,1,1:01.0,J. Crawford makes 2-pt jump shot from 4 ft,,16,18
101,1,0:42.0,,Y. Ferrell makes 2-pt layup at rim,16,20
102,1,0:38.0,T. Jones misses 3-pt jump shot from 25 ft,,16,20
103,1,0:38.0,,Defensive rebound by Y. Ferrell,16,20
