,QUARTER,TIME_REMAINING,ATLANTA_ACTION,NEW ORLEANS_ACTION,ATLANTA_SCORE,NEW ORLEANS_SCORE
51,1,6:20.0,K. Bazemore misses 2-pt layup from 1 ft (block by A. Davis),,15,9
52,1,6:18.0,,Defensive rebound by Team,15,9
53,1,6:02.0,,Offensive foul by A. Davis (drawn by D. Schröder),15,9
54,1,6:02.0,,Turnover by A. Davis (offensive foul),15,9
55,1,6:02.0,M. Belinelli enters the game for K. Bazemore,,15,9
56,1,5:48.0,Turnover by L. Babbitt (bad pass; steal by E. Moore),,15,9
57,1,5:43.0,,E. Moore misses 2-pt layup at rim (block by T. Prince),15,9
58,1,5:43.0,,D. Cunningham misses 2-pt layup from 1 ft,15,9
59,1,5:43.0,Defensive rebound by L. Babbitt,,15,9
60,1,5:38.0,,Defensive rebound by D. Cunningham,15,9
61,1,5:29.0,Turnover by D. Schröder (lost ball; steal by J. Holiday),,15,9
62,1,5:19.0,,J. Holiday misses 2-pt layup from 3 ft,15,9
63,1,5:15.0,Defensive rebound by J. Collins,,15,9
64,1,5:08.0,M. Belinelli makes 3-pt jump shot from 25 ft (assist by D. Schröder),,18,9
65,1,4:56.0,,Personal foul by J. Collins (drawn by A. Davis),18,9
66,1,4:56.0,,R. Rondo enters the game for E. Moore,18,9
67,1,4:56.0,D. Dedmon enters the game for J. Collins,,18,9
68,1,4:48.0,,R. Rondo makes 2-pt layup at rim (assist by D. Cousins),18,11
69,1,4:35.0,,Violation by D. Cousins (kicked ball),18,11
70,1,4:32.0,Turnover by M. Belinelli (bad pass; steal by D. Cunningham),,18,11
71,1,4:25.0,,D. Cousins makes 3-pt jump shot from 25 ft (assist by R. Rondo),18,14
72,1,3:57.0,D. Schröder makes 2-pt layup from 2 ft,,20,14
73,1,3:52.0,,Turnover by D. Cousins (bad pass; steal by M. Belinelli),20,14
74,1,3:48.0,T. Prince misses 3-pt jump shot from 24 ft,,20,14
75,1,3:41.0,,Defensive rebound by D. Cousins,20,14
76,1,3:40.0,,D. Cunningham makes 3-pt jump shot from 24 ft (assist by D. Cousins),20,17
77,1,3:32.0,Atlanta full timeout,,20,17
78,1,3:32.0,,C. Diallo enters the game for D. Cousins,20,17
79,1,3:32.0,,D. Miller enters the game for D. Cunningham,20,17
80,1,3:32.0,I. Taylor enters the game for T. Prince,,20,17
81,1,3:32.0,M. Delaney enters the game for D. Schröder,,20,17
82,1,3:26.0,M. Belinelli misses 2-pt jump shot from 20 ft,,20,17
83,1,3:20.0,,Defensive rebound by A. Davis,20,17
84,1,3:11.0,Offensive charge foul by R. Rondo (drawn by M. Delaney),,20,17
85,1,3:11.0,,Turnover by R. Rondo (offensive foul),20,17
86,1,3:11.0,,J. Nelson enters the game for J. Holiday,20,17
87,1,2:58.0,L. Babbitt misses 3-pt jump shot from 26 ft,,20,17
88,1,2:53.0,Offensive rebound by D. Dedmon,,20,17
89,1,2:52.0,D. Dedmon makes 2-pt layup from 2 ft,,22,17
90,1,2:39.0,,J. Nelson misses 3-pt jump shot from 23 ft,22,17
91,1,2:35.0,Defensive rebound by D. Dedmon,,22,17
92,1,2:17.0,I. Taylor misses 3-pt jump shot from 24 ft,,22,17
93,1,2:14.0,Offensive rebound by D. Dedmon,,22,17
94,1,2:04.0,D. Dedmon makes 2-pt dunk at rim (assist by L. Babbitt),,24,17
95,1,1:51.0,,D. Miller makes 2-pt jump shot from 22 ft (assist by R. Rondo),24,19
96,1,1:35.0,M. Belinelli makes 2-pt jump shot from 22 ft,,26,19
97,1,1:24.0,,Personal foul by I. Taylor (drawn by J. Nelson),26,19
98,1,1:24.0,,J. Nelson misses free throw 1 of 2,26,19
99,1,1:24.0,,Offensive rebound by Team,26,19
100,1,1:24.0,,I. Clark enters the game for C. Diallo,26,19
101,1,1:24.0,K. Bazemore enters the game for L. Babbitt,,26,19
102,1,1:24.0,,J. Nelson makes free throw 2 of 2,26,20
103,1,1:12.0,Turnover by D. Dedmon (bad pass),,26,20
104,1,1:04.0,,Shooting foul by D. Dedmon (drawn by A. Davis),26,20
105,1,1:04.0,,A. Davis makes free throw 1 of 2,26,21
106,1,1:04.0,T. Cavanaugh enters the game for D. Dedmon,,26,21
107,1,1:04.0,,A. Davis misses free throw 2 of 2,26,21
108,1,1:01.0,,Offensive rebound by Team,26,21
109,1,0:52.0,,D. Miller misses 3-pt jump shot from 26 ft,26,21
110,1,0:52.0,,Offensive rebound by Team,26,21
111,1,0:52.0,Loose ball foul by T. Cavanaugh (drawn by A. Davis),,26,21
112,1,0:52.0,,A. Davis makes free throw 1 of 2,26,22
113,1,0:52.0,,A. Davis makes free throw 2 of 2,26,23
114,1,0:32.0,M. Belinelli makes 3-pt jump shot from 25 ft,,29,23
115,1,0:25.0,,I. Clark misses 3-pt jump shot from 25 ft,29,23
116,1,0:21.0,Defensive rebound by M. Belinelli,,29,23
117,1,0:04.0,I. Taylor makes 3-pt jump shot from 23 ft (assist by M. Belinelli),,32,23
118,2,11:44.0,T. Cavanaugh misses 2-pt jump shot from 9 ft,,32,23
119,2,11:41.0,,Defensive rebound by D. Cousins,32,23
120,2,11:23.0,,I. Clark misses 3-pt jump shot from 23 ft,32,23
121,2,11:18.0,Defensive rebound by M. Belinelli,,32,23
122,2,11:15.0,Personal foul by J. Nelson (drawn by K. Bazemore),,32,23
123,2,10:58.0,M. Belinelli misses 3-pt jump shot from 25 ft,,32,23
124,2,10:55.0,,Defensive rebound by D. Cousins,32,23
125,2,10:50.0,,J. Holiday misses 3-pt jump shot from 25 ft,32,23
126,2,10:43.0,Defensive rebound by T. Cavanaugh,,32,23
127,2,10:41.0,K. Bazemore makes 2-pt layup from 3 ft (assist by I. Taylor),,34,23
128,2,10:25.0,,Turnover by D. Cousins (bad pass; steal by M. Belinelli),34,23
129,2,10:20.0,Turnover by K. Bazemore (lost ball; steal by D. Miller),,34,23
130,2,10:10.0,,Turnover by J. Holiday (bad pass; steal by M. Delaney),34,23
131,2,9:56.0,M. Delaney misses 2-pt jump shot from 6 ft,,34,23
132,2,9:51.0,,Defensive rebound by J. Nelson,34,23
133,2,9:34.0,,D. Miller makes 2-pt layup from 2 ft (assist by J. Holiday),34,25
134,2,9:26.0,Atlanta full timeout,,34,25
135,2,9:26.0,T. Prince enters the game for M. Belinelli,,34,25
136,2,9:26.0,L. Babbitt enters the game for I. Taylor,,34,25
137,2,9:26.0,D. Schröder enters the game for K. Bazemore,,34,25
138,2,9:10.0,D. Schröder makes 2-pt layup at rim,,36,25
139,2,9:00.0,,Personal foul by T. Cavanaugh (drawn by D. Cousins),36,25
140,2,8:49.0,,D. Miller makes 3-pt jump shot from 25 ft (assist by I. Clark),36,28
141,2,8:28.0,T. Prince misses 2-pt layup from 1 ft,,36,28
142,2,8:20.0,Offensive rebound by T. Cavanaugh,,36,28
143,2,8:20.0,T. Cavanaugh makes 2-pt layup at rim,,38,28
144,2,8:16.0,,Turnover by I. Clark (out of bounds lost ball),38,28
145,2,8:01.0,D. Schröder misses 2-pt layup from 1 ft,,38,28
146,2,7:58.0,,Defensive rebound by D. Cousins,38,28
147,2,7:55.0,,D. Miller misses 3-pt jump shot from 25 ft,38,28
148,2,7:50.0,Defensive rebound by T. Prince,,38,28
149,2,7:45.0,T. Cavanaugh makes 2-pt jump shot from 9 ft,,40,28
150,2,7:35.0,,J. Holiday misses 2-pt layup from 3 ft,40,28
151,2,7:29.0,Defensive rebound by T. Cavanaugh,,40,28
152,2,7:28.0,Turnover by T. Prince (bad pass; steal by D. Cousins),,40,28
153,2,7:28.0,,Shooting foul by D. Schröder (drawn by D. Cousins),40,28
154,2,7:28.0,,D. Cousins makes free throw 1 of 2,40,29
155,2,7:28.0,,A. Davis enters the game for I. Clark,40,29
156,2,7:28.0,,E. Moore enters the game for D. Miller,40,29
157,2,7:28.0,,D. Cousins misses free throw 2 of 2,40,29
158,2,7:25.0,Defensive rebound by T. Cavanaugh,,40,29
159,2,7:10.0,L. Babbitt misses 2-pt jump shot from 16 ft,,40,29
160,2,7:05.0,,Defensive rebound by A. Davis,40,29
161,2,6:59.0,,Turnover by J. Nelson (bad pass; steal by D. Schröder),40,29
162,2,6:48.0,L. Babbitt makes 3-pt jump shot from 25 ft (assist by D. Schröder),,43,29
163,2,6:30.0,,E. Moore makes 2-pt layup from 1 ft (assist by A. Davis),43,31
164,2,6:14.0,Atlanta full timeout,,43,31
165,2,6:14.0,D. Dedmon enters the game for T. Cavanaugh,,43,31
166,2,6:05.0,D. Schröder misses 3-pt jump shot from 25 ft,,43,31
167,2,6:01.0,Offensive rebound by T. Prince,,43,31
168,2,5:59.0,T. Prince misses 2-pt jump shot from 15 ft,,43,31
169,2,5:46.0,Offensive rebound by D. Dedmon,,43,31
170,2,5:46.0,D. Dedmon makes 2-pt layup from 3 ft,,45,31
171,2,5:42.0,,Personal foul by L. Babbitt (drawn by A. Davis),45,31
172,2,5:24.0,,D. Cousins misses 2-pt jump shot from 6 ft,45,31
173,2,5:21.0,Defensive rebound by D. Schröder,,45,31
174,2,5:14.0,D. Schröder misses 2-pt jump shot from 18 ft,,45,31
175,2,5:09.0,,Defensive rebound by J. Holiday,45,31
176,2,4:54.0,,D. Cousins makes 3-pt jump shot from 26 ft (assist by J. Nelson),45,34
177,2,4:40.0,Turnover by M. Delaney (bad pass),,45,34
178,2,4:40.0,K. Bazemore enters the game for M. Delaney,,45,34
179,2,4:25.0,,E. Moore misses 2-pt jump shot from 22 ft,45,34
180,2,4:20.0,Defensive rebound by D. Dedmon,,45,34
