,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,INDIANA_ACTION,BROOKLYN_SCORE,INDIANA_SCORE
0,1,11:40.0,T. Zeller makes 2-pt layup from 1 ft (assist by D. Carroll),,2,0
1,1,11:23.0,,M. Turner makes 3-pt jump shot from 26 ft (assist by V. Oladipo),2,3
2,1,10:59.0,S. Dinwiddie makes 3-pt jump shot from 28 ft (assist by R. Hollis-Jefferson),,5,3
3,1,10:42.0,,Turnover by M. Turner (traveling),5,3
4,1,10:29.0,T. Zeller makes 2-pt layup at rim (assist by A. Crabbe),,7,3
5,1,10:10.0,,Turnover by T. Young (bad pass; steal by R. Hollis-Jefferson),7,3
6,1,10:05.0,Personal foul by M. Turner (drawn by R. Hollis-Jefferson),,7,3
7,1,9:53.0,Personal foul by T. Young (drawn by R. Hollis-Jefferson),,7,3
8,1,9:46.0,A. Crabbe makes 2-pt jump shot from 18 ft (assist by T. Zeller),,9,3
9,1,9:19.0,,V. Oladipo makes 2-pt jump shot from 12 ft,9,5
10,1,8:58.0,R. Hollis-Jefferson makes 2-pt jump shot from 17 ft (assist by D. Carroll),,11,5
11,1,8:42.0,,M. Turner makes 2-pt jump shot from 21 ft (assist by V. Oladipo),11,7
12,1,8:23.0,R. Hollis-Jefferson misses 2-pt jump shot from 15 ft,,11,7
13,1,8:21.0,Offensive rebound by Team,,11,7
14,1,8:16.0,A. Crabbe misses 2-pt jump shot from 20 ft,,11,7
15,1,8:11.0,Offensive rebound by T. Zeller,,11,7
16,1,8:07.0,Personal foul by T. Young (drawn by R. Hollis-Jefferson),,11,7
17,1,8:07.0,,D. Sabonis enters the game for T. Young,11,7
18,1,7:55.0,T. Zeller makes 2-pt hook shot from 4 ft (assist by S. Dinwiddie),,13,7
19,1,7:43.0,,B. Bogdanović misses 2-pt jump shot from 12 ft,13,7
20,1,7:40.0,Defensive rebound by D. Carroll,,13,7
21,1,7:30.0,S. Dinwiddie makes 3-pt jump shot from 25 ft (assist by T. Zeller),,16,7
22,1,7:29.0,,Indiana full timeout,16,7
23,1,7:19.0,,V. Oladipo misses 2-pt jump shot from 21 ft,16,7
24,1,7:16.0,,Offensive rebound by M. Turner,16,7
25,1,7:08.0,,D. Collison misses 2-pt jump shot from 20 ft,16,7
26,1,7:04.0,Defensive rebound by T. Zeller,,16,7
27,1,6:55.0,R. Hollis-Jefferson misses 2-pt jump shot from 8 ft,,16,7
28,1,6:52.0,,Defensive rebound by D. Sabonis,16,7
29,1,6:48.0,,V. Oladipo makes 2-pt layup at rim (assist by D. Collison),16,9
30,1,6:32.0,R. Hollis-Jefferson misses 2-pt jump shot from 10 ft,,16,9
31,1,6:30.0,,Defensive rebound by M. Turner,16,9
32,1,6:19.0,,D. Sabonis misses 2-pt hook shot from 6 ft,16,9
33,1,6:17.0,Defensive rebound by D. Carroll,,16,9
34,1,6:06.0,S. Dinwiddie makes 3-pt jump shot from 27 ft (assist by R. Hollis-Jefferson),,19,9
35,1,5:45.0,,D. Sabonis misses 2-pt jump shot from 20 ft,19,9
36,1,5:43.0,Defensive rebound by A. Crabbe,,19,9
37,1,5:26.0,A. Crabbe makes 2-pt jump shot from 10 ft (assist by S. Dinwiddie),,21,9
38,1,5:09.0,,M. Turner misses 3-pt jump shot from 27 ft,21,9
39,1,5:07.0,Defensive rebound by D. Carroll,,21,9
40,1,4:59.0,D. Carroll misses 2-pt layup at rim,,21,9
41,1,4:57.0,,Defensive rebound by B. Bogdanović,21,9
42,1,4:47.0,,Shooting foul by T. Zeller (drawn by M. Turner),21,9
43,1,4:47.0,Brooklyn full timeout,,21,9
44,1,4:47.0,,C. Joseph enters the game for B. Bogdanović,21,9
45,1,4:47.0,J. Harris enters the game for A. Crabbe,,21,9
46,1,4:47.0,J. Allen enters the game for T. Zeller,,21,9
47,1,4:47.0,,M. Turner makes free throw 1 of 2,21,10
48,1,4:47.0,,M. Turner makes free throw 2 of 2,21,11
49,1,4:31.0,D. Carroll misses 3-pt jump shot from 24 ft,,21,11
50,1,4:28.0,Offensive rebound by J. Allen,,21,11
51,1,4:19.0,J. Harris misses 3-pt jump shot from 27 ft,,21,11
52,1,4:15.0,,Defensive rebound by M. Turner,21,11
53,1,4:07.0,,Shooting foul by J. Allen (drawn by D. Sabonis),21,11
54,1,4:07.0,,D. Sabonis makes free throw 1 of 2,21,12
55,1,4:07.0,N. Stauskas enters the game for S. Dinwiddie,,21,12
56,1,4:07.0,Q. Acy enters the game for D. Carroll,,21,12
