,QUARTER,TIME_REMAINING,DALLAS_ACTION,MIAMI_ACTION,DALLAS_SCORE,MIAMI_SCORE
0,1,11:40.0,,J. Richardson makes 2-pt layup from 1 ft,0,2
1,1,11:21.0,D. Nowitzki misses 3-pt jump shot from 25 ft,,0,2
2,1,11:18.0,,Defensive rebound by D. Waiters,0,2
3,1,11:09.0,,D. Waiters makes 2-pt layup from 1 ft,0,4
4,1,11:04.0,Turnover by D. Smith (bad pass; steal by D. Waiters),,0,4
5,1,11:04.0,,Turnover by D. Waiters (bad pass),0,4
6,1,10:50.0,W. Matthews misses 3-pt jump shot from 26 ft,,0,4
7,1,10:48.0,,Defensive rebound by B. Adebayo,0,4
8,1,10:41.0,,Shooting foul by D. Smith (drawn by T. Johnson),0,4
9,1,10:41.0,,T. Johnson misses free throw 1 of 2,0,4
10,1,10:41.0,,Offensive rebound by Team,0,4
11,1,10:41.0,,T. Johnson makes free throw 2 of 2,0,5
12,1,10:24.0,H. Barnes misses 2-pt jump shot from 19 ft,,0,5
13,1,10:17.0,,Defensive rebound by K. Olynyk,0,5
14,1,10:16.0,,Offensive foul by B. Adebayo (drawn by W. Matthews),0,5
15,1,10:16.0,,Turnover by B. Adebayo (offensive foul),0,5
16,1,9:59.0,D. Smith misses 2-pt jump shot from 15 ft,,0,5
17,1,9:55.0,,Defensive rebound by B. Adebayo,0,5
18,1,9:49.0,,D. Waiters makes 2-pt layup from 1 ft,0,7
19,1,9:49.0,Dallas full timeout,,0,7
20,1,9:49.0,Y. Ferrell enters the game for D. Smith,,0,7
21,1,9:24.0,Turnover by Y. Ferrell (lost ball; steal by J. Richardson),,0,7
22,1,9:11.0,,J. Richardson makes 2-pt jump shot from 14 ft,0,9
23,1,8:56.0,D. Nowitzki misses 2-pt jump shot from 19 ft,,0,9
24,1,8:53.0,,Defensive rebound by K. Olynyk,0,9
25,1,8:37.0,,K. Olynyk makes 3-pt jump shot from 23 ft (assist by J. Richardson),0,12
26,1,8:18.0,Y. Ferrell makes 2-pt jump shot from 10 ft,,2,12
27,1,7:50.0,,T. Johnson makes 3-pt jump shot from 25 ft,2,15
28,1,7:30.0,D. Nowitzki makes 3-pt jump shot from 25 ft (assist by W. Matthews),,5,15
29,1,7:18.0,,Personal foul by M. Kleber (drawn by K. Olynyk),5,15
30,1,7:18.0,D. Smith enters the game for M. Kleber,,5,15
31,1,7:18.0,S. Mejri enters the game for D. Nowitzki,,5,15
32,1,7:04.0,,Turnover by K. Olynyk (bad pass; steal by Y. Ferrell),5,15
33,1,6:55.0,H. Barnes makes 2-pt dunk at rim (assist by Y. Ferrell),,7,15
34,1,6:50.0,,Personal foul by H. Barnes (drawn by B. Adebayo),7,15
35,1,6:50.0,,W. Ellington enters the game for J. Richardson,7,15
36,1,6:50.0,,J. Mickey enters the game for B. Adebayo,7,15
37,1,6:40.0,,J. Mickey misses 2-pt jump shot from 12 ft,7,15
38,1,6:37.0,Defensive rebound by S. Mejri,,7,15
39,1,6:29.0,Shooting foul by K. Olynyk (drawn by H. Barnes),,7,15
40,1,6:29.0,H. Barnes makes free throw 1 of 2,,8,15
41,1,6:29.0,H. Barnes makes free throw 2 of 2,,9,15
42,1,6:16.0,,J. Mickey misses 2-pt hook shot from 3 ft,9,15
43,1,6:16.0,Defensive rebound by Team,,9,15
44,1,5:57.0,H. Barnes misses 2-pt jump shot from 9 ft,,9,15
45,1,5:54.0,Offensive rebound by S. Mejri,,9,15
46,1,5:50.0,S. Mejri makes 2-pt hook shot from 5 ft,,11,15
47,1,5:48.0,,Miami full timeout,11,15
48,1,5:34.0,,W. Ellington makes 3-pt jump shot from 25 ft (assist by K. Olynyk),11,18
49,1,5:18.0,W. Matthews misses 2-pt jump shot from 8 ft,,11,18
50,1,5:14.0,,Defensive rebound by K. Olynyk,11,18
51,1,5:07.0,,T. Johnson makes 3-pt jump shot from 25 ft (assist by D. Waiters),11,21
52,1,4:47.0,Y. Ferrell makes 3-pt jump shot from 25 ft (assist by D. Smith),,14,21
53,1,4:28.0,,T. Johnson misses 3-pt jump shot from 25 ft,14,21
54,1,4:26.0,Defensive rebound by D. Smith,,14,21
55,1,4:19.0,Personal foul by J. Mickey (drawn by H. Barnes),,14,21
56,1,4:07.0,H. Barnes misses 2-pt layup from 1 ft,,14,21
57,1,4:05.0,,Defensive rebound by T. Johnson,14,21
58,1,3:57.0,,K. Olynyk makes 3-pt jump shot from 24 ft (assist by D. Waiters),14,24
59,1,3:44.0,Y. Ferrell makes 3-pt jump shot from 27 ft (assist by D. Smith),,17,24
60,1,3:28.0,,J. Mickey makes 2-pt layup from 2 ft,17,26
61,1,3:26.0,Personal foul by D. Waiters (drawn by W. Matthews),,17,26
62,1,3:26.0,,B. Adebayo enters the game for D. Waiters,17,26
63,1,3:26.0,D. Nowitzki enters the game for D. Smith,,17,26
64,1,3:26.0,D. Harris enters the game for W. Matthews,,17,26
65,1,3:26.0,D. Powell enters the game for H. Barnes,,17,26
66,1,3:26.0,J. Barea enters the game for S. Mejri,,17,26
67,1,3:26.0,,J. Richardson enters the game for K. Olynyk,17,26
68,1,3:08.0,D. Powell makes 2-pt dunk from 1 ft (assist by J. Barea),,19,26
69,1,2:44.0,,B. Adebayo makes 2-pt dunk from 1 ft (assist by T. Johnson),19,28
70,1,2:28.0,D. Nowitzki makes 2-pt jump shot from 16 ft (assist by J. Barea),,21,28
71,1,2:12.0,,Turnover by J. Mickey (bad pass),21,28
72,1,1:56.0,Turnover by D. Harris (bad pass),,21,28
73,1,1:43.0,,T. Johnson makes 2-pt dunk at rim (assist by B. Adebayo),21,30
74,1,1:42.0,Dallas full timeout,,21,30
75,1,1:22.0,D. Nowitzki misses 3-pt jump shot from 25 ft,,21,30
76,1,1:22.0,Offensive rebound by Team,,21,30
77,1,1:22.0,,Loose ball foul by J. Mickey (drawn by D. Powell),21,30
78,1,1:22.0,,U. Haslem enters the game for J. Mickey,21,30
79,1,1:17.0,Y. Ferrell makes 2-pt layup from 1 ft (assist by D. Nowitzki),,23,30
80,1,0:56.0,,B. Adebayo makes 2-pt layup at rim,23,32
81,1,0:32.0,D. Nowitzki misses 3-pt jump shot from 28 ft,,23,32
82,1,0:27.0,,Defensive rebound by T. Johnson,23,32
83,1,0:15.0,,Personal foul by J. Barea (drawn by T. Johnson),23,32
84,1,0:03.0,,W. Ellington misses 3-pt jump shot from 23 ft,23,32
85,1,0:03.0,Defensive rebound by D. Nowitzki,,23,32
86,2,11:43.0,D. Smith misses 2-pt layup at rim (block by J. Richardson),,23,32
87,2,11:38.0,,Defensive rebound by D. Walton,23,32
88,2,11:26.0,,W. Ellington makes 2-pt jump shot from 15 ft,23,34
89,2,11:05.0,D. Harris makes 2-pt layup at rim (assist by D. Nowitzki),,25,34
90,2,10:49.0,,J. Richardson misses 2-pt jump shot from 18 ft,25,34
91,2,10:43.0,,Offensive rebound by B. Adebayo,25,34
92,2,10:43.0,,B. Adebayo makes 2-pt dunk at rim,25,36
93,2,10:35.0,D. Nowitzki misses 3-pt jump shot from 26 ft,,25,36
94,2,10:31.0,,Defensive rebound by B. Adebayo,25,36
95,2,10:20.0,,W. Ellington misses 2-pt jump shot from 16 ft,25,36
96,2,10:17.0,Defensive rebound by J. Barea,,25,36
97,2,10:11.0,J. Barea misses 2-pt jump shot from 17 ft,,25,36
98,2,10:08.0,,Defensive rebound by U. Haslem,25,36
99,2,10:06.0,K. Collinsworth enters the game for D. Harris,,25,36
100,2,9:55.0,,J. Richardson makes 2-pt jump shot from 14 ft (assist by U. Haslem),25,38
101,2,9:27.0,D. Smith makes 3-pt jump shot from 26 ft (assist by K. Collinsworth),,28,38
102,2,8:59.0,,D. Walton makes 2-pt jump shot from 23 ft,28,40
103,2,8:45.0,D. Nowitzki misses 3-pt jump shot from 25 ft,,28,40
104,2,8:45.0,,Defensive rebound by B. Adebayo,28,40
105,2,8:34.0,,W. Ellington misses 3-pt jump shot from 25 ft,28,40
106,2,8:32.0,Defensive rebound by D. Powell,,28,40
107,2,8:22.0,D. Powell makes 2-pt dunk from 1 ft (assist by J. Barea),,30,40
108,2,8:05.0,,J. Richardson misses 2-pt layup from 1 ft (block by D. Powell),30,40
109,2,8:01.0,Defensive rebound by J. Barea,,30,40
110,2,8:00.0,D. Powell makes 2-pt layup from 1 ft (assist by K. Collinsworth),,32,40
111,2,7:39.0,,J. Richardson makes 3-pt jump shot from 25 ft (assist by D. Walton),32,43
112,2,7:26.0,Turnover by D. Nowitzki (traveling),,32,43
113,2,7:09.0,,B. Adebayo misses 2-pt dunk from 1 ft,32,43
114,2,7:07.0,Defensive rebound by J. Barea,,32,43
