,QUARTER,TIME_REMAINING,PHOENIX_ACTION,PORTLAND_ACTION,PHOENIX_SCORE,PORTLAND_SCORE
0,1,11:42.0,D. Booker makes 2-pt jump shot from 13 ft (assist by T. Chandler),,2,0
1,1,11:23.0,,C. McCollum makes 2-pt jump shot from 5 ft,2,2
2,1,11:11.0,M. Chriss makes 3-pt jump shot from 25 ft (assist by D. Booker),,5,2
3,1,10:52.0,,M. Harkless makes 2-pt layup from 1 ft (assist by J. Nurkić),5,4
4,1,10:42.0,T. Warren misses 3-pt jump shot from 22 ft,,5,4
5,1,10:42.0,,Defensive rebound by A. Aminu,5,4
6,1,10:30.0,,A. Aminu makes 2-pt dunk at rim (assist by J. Nurkić),5,6
7,1,10:08.0,T. Warren makes 2-pt layup at rim,,7,6
8,1,9:51.0,,Shooting foul by T. Chandler (drawn by J. Nurkić),7,6
9,1,9:51.0,,J. Nurkić makes free throw 1 of 2,7,7
10,1,9:51.0,,J. Nurkić makes free throw 2 of 2,7,8
11,1,9:35.0,D. Booker misses 2-pt jump shot from 12 ft,,7,8
12,1,9:31.0,,Defensive rebound by M. Harkless,7,8
13,1,9:25.0,,J. Nurkić misses 3-pt jump shot from 25 ft,7,8
14,1,9:23.0,Defensive rebound by T. Chandler,,7,8
15,1,9:10.0,M. James misses 2-pt jump shot from 8 ft,,7,8
16,1,9:06.0,Offensive rebound by M. James,,7,8
17,1,9:05.0,M. Chriss misses 3-pt jump shot from 24 ft,,7,8
18,1,9:05.0,Offensive rebound by T. Warren,,7,8
19,1,8:59.0,T. Warren makes 2-pt jump shot from 12 ft,,9,8
20,1,8:48.0,,J. Nurkić misses 2-pt layup from 2 ft,9,8
21,1,8:45.0,Defensive rebound by T. Warren,,9,8
22,1,8:38.0,T. Warren makes 2-pt jump shot from 6 ft,,11,8
23,1,8:20.0,,Turnover by D. Lillard (bad pass),11,8
24,1,8:07.0,Personal foul by A. Aminu (drawn by M. Chriss),,11,8
25,1,8:02.0,T. Warren makes 2-pt jump shot from 14 ft (assist by D. Booker),,13,8
26,1,7:45.0,,D. Lillard misses 3-pt jump shot from 26 ft,13,8
27,1,7:44.0,Defensive rebound by D. Booker,,13,8
28,1,7:36.0,T. Chandler makes 2-pt layup at rim (assist by D. Booker),,15,8
29,1,7:19.0,,D. Lillard misses 2-pt jump shot from 9 ft (block by T. Warren),15,8
30,1,7:18.0,Defensive rebound by T. Warren,,15,8
31,1,7:14.0,T. Warren misses 2-pt layup from 1 ft (block by M. Harkless),,15,8
32,1,7:14.0,,Defensive rebound by M. Harkless,15,8
33,1,7:05.0,,Turnover by J. Nurkić (bad pass; steal by M. Chriss),15,8
34,1,7:03.0,Personal foul by M. Harkless (drawn by D. Booker),,15,8
35,1,7:03.0,,Portland full timeout,15,8
36,1,6:56.0,Personal foul by C. McCollum (drawn by D. Booker),,15,8
37,1,6:46.0,D. Booker misses 2-pt jump shot from 14 ft (block by C. McCollum),,15,8
38,1,6:43.0,,Defensive rebound by A. Aminu,15,8
39,1,6:39.0,,C. McCollum makes 2-pt jump shot from 17 ft,15,10
40,1,6:25.0,M. Chriss makes 2-pt jump shot from 19 ft (assist by D. Booker),,17,10
41,1,6:05.0,,D. Lillard makes 3-pt jump shot from 25 ft (assist by A. Aminu),17,13
42,1,5:43.0,Shooting foul by C. McCollum (drawn by M. James),,17,13
43,1,5:43.0,M. James makes free throw 1 of 2,,18,13
44,1,5:43.0,,E. Turner enters the game for M. Harkless,18,13
45,1,5:43.0,,P. Connaughton enters the game for C. McCollum,18,13
46,1,5:43.0,A. Len enters the game for T. Chandler,,18,13
47,1,5:43.0,M. James makes free throw 2 of 2,,19,13
48,1,5:26.0,,E. Turner misses 2-pt jump shot from 15 ft,19,13
49,1,5:22.0,,Offensive rebound by J. Nurkić,19,13
50,1,5:22.0,,J. Nurkić misses 2-pt layup at rim,19,13
51,1,5:21.0,Defensive rebound by T. Warren,,19,13
52,1,5:12.0,Turnover by T. Warren (traveling),,19,13
53,1,5:01.0,Violation by A. Len (kicked ball),,19,13
54,1,4:48.0,,J. Nurkić misses 2-pt layup from 6 ft,19,13
55,1,4:46.0,Defensive rebound by A. Len,,19,13
56,1,4:39.0,M. James misses 2-pt jump shot from 19 ft,,19,13
57,1,4:35.0,,Defensive rebound by D. Lillard,19,13
58,1,4:30.0,,D. Lillard misses 2-pt jump shot from 17 ft,19,13
59,1,4:29.0,,Offensive rebound by D. Lillard,19,13
60,1,4:22.0,,Shooting foul by T. Warren (drawn by D. Lillard),19,13
61,1,4:22.0,,D. Lillard misses free throw 1 of 2,19,13
62,1,4:22.0,,Offensive rebound by Team,19,13
63,1,4:22.0,,E. Davis enters the game for J. Nurkić,19,13
64,1,4:22.0,T. Daniels enters the game for D. Booker,,19,13
65,1,4:22.0,J. Jackson enters the game for T. Warren,,19,13
66,1,4:22.0,,D. Lillard makes free throw 2 of 2,19,14
67,1,3:59.0,M. Chriss misses 3-pt jump shot from 23 ft (block by A. Aminu),,19,14
68,1,3:59.0,Offensive rebound by Team,,19,14
69,1,3:59.0,Phoenix full timeout,,19,14
70,1,3:56.0,T. Daniels misses 3-pt jump shot from 25 ft,,19,14
71,1,3:54.0,,Defensive rebound by E. Turner,19,14
72,1,3:41.0,,Turnover by E. Turner (bad pass; steal by A. Len),19,14
73,1,3:28.0,A. Len misses 2-pt hook shot from 1 ft (block by E. Davis),,19,14
74,1,3:25.0,Offensive rebound by A. Len,,19,14
75,1,3:24.0,Turnover by A. Len (lost ball; steal by E. Davis),,19,14
76,1,3:16.0,,A. Aminu makes 3-pt jump shot from 23 ft (assist by D. Lillard),19,17
77,1,3:08.0,J. Jackson misses 2-pt layup from 1 ft (block by A. Aminu),,19,17
78,1,3:08.0,Offensive rebound by M. James,,19,17
79,1,3:04.0,M. James misses 2-pt jump shot from 4 ft,,19,17
80,1,3:04.0,,Defensive rebound by E. Davis,19,17
81,1,2:55.0,,E. Turner makes 2-pt jump shot from 15 ft,19,19
82,1,2:55.0,,Shooting foul by A. Len (drawn by E. Turner),19,19
83,1,2:55.0,T. Ulis enters the game for M. Chriss,,19,19
84,1,2:55.0,D. Bender enters the game for M. James,,19,19
85,1,2:55.0,,E. Turner misses free throw 1 of 1,19,19
86,1,2:55.0,,Z. Collins enters the game for A. Aminu,19,19
87,1,2:45.0,Defensive rebound by D. Bender,,19,19
88,1,2:35.0,T. Daniels misses 3-pt jump shot from 25 ft,,19,19
89,1,2:33.0,,Defensive rebound by E. Davis,19,19
90,1,2:21.0,,Z. Collins misses 2-pt layup from 2 ft (block by D. Bender),19,19
91,1,2:11.0,,Offensive rebound by E. Davis,19,19
92,1,2:11.0,,E. Davis makes 2-pt layup at rim,19,21
93,1,2:01.0,A. Len makes 2-pt layup from 1 ft (assist by T. Ulis),,21,21
94,1,2:01.0,Shooting foul by D. Lillard (drawn by A. Len),,21,21
95,1,2:01.0,,C. McCollum enters the game for D. Lillard,21,21
96,1,2:01.0,A. Len makes free throw 1 of 1,,22,21
97,1,1:46.0,,C. McCollum misses 2-pt jump shot from 19 ft,22,21
98,1,1:43.0,Defensive rebound by A. Len,,22,21
99,1,1:25.0,T. Ulis misses 2-pt jump shot from 3 ft,,22,21
100,1,1:25.0,,Defensive rebound by E. Davis,22,21
101,1,1:20.0,,P. Connaughton makes 3-pt jump shot from 26 ft (assist by Z. Collins),22,24
102,1,0:55.0,J. Jackson misses 3-pt jump shot from 26 ft,,22,24
103,1,0:55.0,Offensive rebound by T. Ulis,,22,24
104,1,0:44.0,A. Len misses 2-pt layup from 2 ft,,22,24
105,1,0:44.0,,Defensive rebound by E. Davis,22,24
106,1,0:34.0,,C. McCollum makes 2-pt jump shot from 9 ft,22,26
107,1,0:17.0,T. Ulis makes 2-pt jump shot from 14 ft,,24,26
108,1,0:00.0,,P. Connaughton makes 3-pt jump shot from 23 ft (assist by E. Davis),24,29
109,2,11:51.0,,P. Connaughton makes 2-pt dunk at rim (assist by C. McCollum),24,31
110,2,11:36.0,A. Len makes 2-pt dunk at rim (assist by T. Daniels),,26,31
111,2,11:36.0,Shooting foul by Z. Collins (drawn by A. Len),,26,31
112,2,11:36.0,A. Len makes free throw 1 of 1,,27,31
113,2,11:21.0,,E. Davis makes 2-pt layup from 1 ft (assist by C. McCollum),27,33
114,2,11:12.0,D. Bender makes 3-pt jump shot from 25 ft (assist by T. Ulis),,30,33
115,2,10:47.0,,C. McCollum misses 2-pt jump shot from 21 ft,30,33
116,2,10:46.0,Defensive rebound by D. Bender,,30,33
117,2,10:40.0,Personal foul by Z. Collins (drawn by A. Len),,30,33
118,2,10:36.0,J. Jackson misses 2-pt jump shot from 13 ft,,30,33
119,2,10:34.0,,Defensive rebound by E. Turner,30,33
120,2,10:25.0,,Turnover by P. Connaughton (bad pass; steal by T. Ulis),30,33
121,2,10:20.0,T. Daniels misses 3-pt jump shot from 25 ft,,30,33
122,2,10:18.0,,Defensive rebound by C. McCollum,30,33
123,2,10:13.0,,P. Connaughton makes 3-pt jump shot from 24 ft (assist by C. McCollum),30,36
124,2,9:54.0,T. Ulis misses 2-pt jump shot from 16 ft,,30,36
125,2,9:53.0,,Defensive rebound by E. Davis,30,36
126,2,9:46.0,,Personal foul by J. Jackson (drawn by E. Turner),30,36
127,2,9:46.0,T. Chandler enters the game for A. Len,,30,36
128,2,9:46.0,D. Booker enters the game for T. Daniels,,30,36
129,2,9:40.0,,C. McCollum makes 2-pt jump shot from 15 ft,30,38
130,2,9:25.0,D. Booker makes 2-pt jump shot from 2 ft,,32,38
131,2,9:25.0,Shooting foul by Z. Collins (drawn by D. Booker),,32,38
132,2,9:25.0,D. Booker makes free throw 1 of 1,,33,38
133,2,9:11.0,,Turnover by E. Davis (lost ball; steal by J. Jackson),33,38
134,2,8:55.0,Turnover by D. Booker (bad pass; steal by C. McCollum),,33,38
135,2,8:45.0,,Turnover by C. McCollum (bad pass; steal by J. Jackson),33,38
136,2,8:42.0,Shooting foul by E. Turner (drawn by D. Booker),,33,38
137,2,8:42.0,D. Booker makes free throw 1 of 2,,34,38
138,2,8:42.0,D. Booker makes free throw 2 of 2,,35,38
139,2,8:29.0,,C. McCollum misses 3-pt jump shot from 24 ft,35,38
