,QUARTER,TIME_REMAINING,TORONTO_ACTION,MIAMI_ACTION,TORONTO_SCORE,MIAMI_SCORE
0,1,11:44.0,K. Lowry makes 3-pt jump shot from 23 ft (assist by O. Anunoby),,3,0
1,1,11:28.0,,J. Richardson misses 2-pt jump shot from 20 ft,3,0
2,1,11:25.0,,Offensive rebound by H. Whiteside,3,0
3,1,11:08.0,,J. Johnson misses 2-pt layup from 1 ft (block by J. Valančiūnas),3,0
4,1,11:05.0,Defensive rebound by K. Lowry,,3,0
5,1,11:02.0,K. Lowry misses 3-pt jump shot from 25 ft,,3,0
6,1,10:58.0,Offensive rebound by K. Lowry,,3,0
7,1,10:56.0,K. Lowry makes 2-pt jump shot from 19 ft,,5,0
8,1,10:44.0,,J. Johnson misses 3-pt jump shot from 25 ft,5,0
9,1,10:41.0,Defensive rebound by J. Valančiūnas,,5,0
10,1,10:34.0,Shooting foul by J. Johnson (drawn by D. DeRozan),,5,0
11,1,10:34.0,D. DeRozan makes free throw 1 of 2,,6,0
12,1,10:34.0,D. DeRozan misses free throw 2 of 2,,6,0
13,1,10:31.0,,Defensive rebound by H. Whiteside,6,0
14,1,10:26.0,,J. Johnson misses 2-pt layup from 2 ft,6,0
15,1,10:25.0,,Offensive rebound by H. Whiteside,6,0
16,1,10:25.0,,H. Whiteside misses 2-pt layup from 1 ft (block by J. Valančiūnas),6,0
17,1,10:24.0,,Offensive rebound by H. Whiteside,6,0
18,1,10:23.0,,H. Whiteside misses 2-pt layup from 1 ft,6,0
19,1,10:20.0,,Offensive rebound by J. Johnson,6,0
20,1,10:13.0,,Turnover by T. Johnson (bad pass; steal by O. Anunoby),6,0
21,1,10:02.0,J. Valančiūnas misses 3-pt jump shot from 25 ft,,6,0
22,1,9:53.0,,Defensive rebound by T. Johnson,6,0
23,1,9:51.0,,T. Johnson makes 2-pt layup from 1 ft,6,2
24,1,9:45.0,K. Lowry misses 3-pt jump shot from 25 ft,,6,2
25,1,9:45.0,,Defensive rebound by J. Richardson,6,2
26,1,9:27.0,,H. Whiteside makes 2-pt jump shot from 9 ft,6,4
27,1,9:06.0,J. Valančiūnas makes 2-pt dunk from 1 ft,,8,4
28,1,8:51.0,,T. Johnson misses 3-pt jump shot from 24 ft,8,4
29,1,8:51.0,Defensive rebound by Team,,8,4
30,1,8:43.0,Personal foul by R. McGruder (drawn by D. DeRozan),,8,4
31,1,8:29.0,S. Ibaka misses 2-pt jump shot from 12 ft,,8,4
32,1,8:23.0,,Defensive rebound by H. Whiteside,8,4
33,1,8:17.0,,T. Johnson makes 3-pt jump shot from 26 ft (assist by J. Johnson),8,7
34,1,8:01.0,K. Lowry misses 2-pt layup from 1 ft,,8,7
35,1,7:59.0,,Defensive rebound by H. Whiteside,8,7
36,1,7:54.0,,H. Whiteside makes 2-pt jump shot from 2 ft,8,9
37,1,7:45.0,Shooting foul by H. Whiteside (drawn by J. Valančiūnas),,8,9
38,1,7:45.0,J. Valančiūnas makes free throw 1 of 2,,9,9
39,1,7:45.0,J. Valančiūnas makes free throw 2 of 2,,10,9
