,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,GOLDEN STATE_ACTION,SACRAMENTO_SCORE,GOLDEN STATE_SCORE
0,1,11:38.0,S. Labissière makes 2-pt hook shot from 10 ft (assist by G. Hill),,2,0
1,1,11:18.0,,D. Green makes 3-pt jump shot from 25 ft (assist by P. McCaw),2,3
2,1,10:54.0,Z. Randolph misses 2-pt jump shot from 21 ft,,2,3
3,1,10:53.0,,Defensive rebound by Team,2,3
4,1,10:35.0,,K. Thompson misses 2-pt jump shot from 19 ft,2,3
5,1,10:32.0,Defensive rebound by D. Fox,,2,3
6,1,10:30.0,G. Temple makes 2-pt layup from 1 ft (assist by D. Fox),,4,3
7,1,10:24.0,,Shooting foul by D. Fox (drawn by K. Thompson),4,3
8,1,10:24.0,,K. Thompson makes free throw 1 of 2,4,4
9,1,10:24.0,,K. Thompson makes free throw 2 of 2,4,5
10,1,10:17.0,D. Fox misses 2-pt layup from 1 ft,,4,5
11,1,10:13.0,,Defensive rebound by P. McCaw,4,5
12,1,10:10.0,,K. Thompson makes 2-pt layup from 2 ft (assist by D. Green),4,7
13,1,10:10.0,Violation by D. Fox (def goaltending),,4,7
14,1,9:52.0,G. Hill makes 3-pt jump shot from 24 ft (assist by S. Labissière),,7,7
15,1,9:37.0,,D. Green makes 3-pt jump shot from 26 ft (assist by Z. Pachulia),7,10
16,1,9:18.0,S. Labissière misses 2-pt jump shot from 11 ft,,7,10
17,1,9:15.0,Offensive rebound by Z. Randolph,,7,10
18,1,9:13.0,Z. Randolph makes 2-pt layup from 1 ft,,9,10
19,1,9:03.0,,K. Thompson misses 2-pt layup from 3 ft (block by S. Labissière),9,10
20,1,8:57.0,Defensive rebound by D. Fox,,9,10
21,1,8:51.0,G. Hill misses 2-pt jump shot from 6 ft,,9,10
22,1,8:45.0,,Defensive rebound by P. McCaw,9,10
23,1,8:39.0,,Z. Pachulia misses 2-pt layup from 3 ft (block by S. Labissière),9,10
24,1,8:36.0,Defensive rebound by Z. Randolph,,9,10
25,1,8:27.0,Z. Randolph misses 2-pt jump shot from 18 ft,,9,10
26,1,8:23.0,,Defensive rebound by O. Casspi,9,10
