,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,MIAMI_ACTION,MILWAUKEE_SCORE,MIAMI_SCORE
0,1,11:41.0,G. Antetokounmpo misses 2-pt jump shot from 9 ft,,0,0
1,1,11:38.0,,Defensive rebound by H. Whiteside,0,0
2,1,11:19.0,,J. Richardson misses 2-pt jump shot from 3 ft,0,0
3,1,11:15.0,Defensive rebound by T. Snell,,0,0
4,1,11:12.0,K. Middleton makes 3-pt jump shot from 25 ft (assist by E. Bledsoe),,3,0
5,1,10:52.0,,J. Winslow misses 2-pt layup from 2 ft (block by E. Bledsoe),3,0
6,1,10:52.0,,Offensive rebound by Team,3,0
7,1,10:46.0,,J. Richardson misses 3-pt jump shot from 25 ft,3,0
8,1,10:43.0,Defensive rebound by J. Henson,,3,0
9,1,10:28.0,T. Snell misses 3-pt jump shot from 24 ft,,3,0
10,1,10:25.0,,Defensive rebound by H. Whiteside,3,0
11,1,10:20.0,,J. Winslow misses 2-pt layup from 1 ft,3,0
12,1,10:17.0,Defensive rebound by J. Henson,,3,0
13,1,10:10.0,G. Antetokounmpo misses 2-pt layup from 1 ft (block by H. Whiteside),,3,0
14,1,10:06.0,,Defensive rebound by J. Winslow,3,0
15,1,10:04.0,,Turnover by T. Johnson (bad pass),3,0
16,1,9:53.0,E. Bledsoe makes 2-pt layup from 1 ft,,5,0
17,1,9:39.0,,T. Johnson misses 3-pt jump shot from 25 ft,5,0
18,1,9:37.0,Defensive rebound by G. Antetokounmpo,,5,0
19,1,9:27.0,E. Bledsoe makes 2-pt layup at rim,,7,0
20,1,9:05.0,,G. Dragić misses 2-pt jump shot from 13 ft (block by T. Snell),7,0
21,1,9:02.0,Defensive rebound by G. Antetokounmpo,,7,0
22,1,8:57.0,Personal foul by J. Richardson (drawn by K. Middleton),,7,0
23,1,8:47.0,G. Antetokounmpo makes 2-pt dunk from 2 ft (assist by J. Henson),,9,0
24,1,8:45.0,,Miami full timeout,9,0
25,1,8:34.0,,G. Dragić misses 2-pt jump shot from 4 ft (block by E. Bledsoe),9,0
26,1,8:33.0,,Offensive rebound by H. Whiteside,9,0
27,1,8:32.0,,Personal foul by J. Henson (drawn by H. Whiteside),9,0
28,1,8:16.0,,J. Richardson makes 3-pt jump shot from 25 ft (assist by G. Dragić),9,3
29,1,7:58.0,K. Middleton makes 2-pt jump shot from 8 ft (assist by G. Antetokounmpo),,11,3
30,1,7:37.0,,J. Winslow misses 2-pt hook shot from 7 ft,11,3
31,1,7:34.0,Defensive rebound by J. Henson,,11,3
32,1,7:26.0,Turnover by G. Antetokounmpo (step out of bounds),,11,3
33,1,7:05.0,,J. Richardson misses 2-pt layup from 1 ft,11,3
34,1,7:01.0,,Offensive rebound by J. Winslow,11,3
35,1,7:01.0,,J. Winslow misses 2-pt layup at rim,11,3
36,1,7:00.0,,Offensive rebound by T. Johnson,11,3
37,1,6:57.0,,T. Johnson makes 2-pt dunk from 1 ft,11,5
38,1,6:46.0,G. Antetokounmpo makes 2-pt dunk from 2 ft (assist by K. Middleton),,13,5
39,1,6:26.0,,T. Johnson misses 2-pt layup from 1 ft,13,5
40,1,6:26.0,,Offensive rebound by H. Whiteside,13,5
41,1,6:24.0,,H. Whiteside makes 2-pt dunk at rim,13,7
42,1,6:06.0,T. Snell misses 2-pt layup from 1 ft,,13,7
43,1,6:05.0,,Defensive rebound by Team,13,7
44,1,6:05.0,Technical foul by J. Henson,,13,7
45,1,6:05.0,,G. Dragić makes technical free throw,13,8
46,1,5:54.0,,G. Dragić misses 2-pt layup at rim (block by J. Henson),13,8
47,1,5:53.0,Defensive rebound by E. Bledsoe,,13,8
48,1,5:48.0,Turnover by E. Bledsoe (step out of bounds),,13,8
49,1,5:29.0,,G. Dragić misses 2-pt layup from 1 ft,13,8
50,1,5:25.0,Defensive rebound by G. Antetokounmpo,,13,8
51,1,5:21.0,Turnover by G. Antetokounmpo (bad pass; steal by T. Johnson),,13,8
52,1,5:19.0,,Shooting foul by T. Snell (drawn by T. Johnson),13,8
53,1,5:19.0,,T. Johnson makes free throw 1 of 2,13,9
54,1,5:19.0,,W. Ellington enters the game for J. Richardson,13,9
55,1,5:19.0,,D. Wade enters the game for G. Dragić,13,9
56,1,5:19.0,J. Parker enters the game for G. Antetokounmpo,,13,9
57,1,5:19.0,,T. Johnson makes free throw 2 of 2,13,10
58,1,4:58.0,K. Middleton misses 2-pt jump shot from 17 ft,,13,10
59,1,4:56.0,,Defensive rebound by D. Wade,13,10
60,1,4:44.0,,H. Whiteside misses 2-pt dunk from 2 ft,13,10
61,1,4:42.0,,Offensive rebound by H. Whiteside,13,10
62,1,4:41.0,,H. Whiteside makes 2-pt dunk from 1 ft,13,12
63,1,4:16.0,J. Parker misses 3-pt jump shot from 26 ft,,13,12
64,1,4:11.0,,Defensive rebound by H. Whiteside,13,12
65,1,4:05.0,,W. Ellington misses 3-pt jump shot from 23 ft,13,12
66,1,4:02.0,Defensive rebound by J. Henson,,13,12
67,1,3:59.0,,Offensive charge foul by T. Snell (drawn by J. Winslow),13,12
