,QUARTER,TIME_REMAINING,DETROIT_ACTION,WASHINGTON_ACTION,DETROIT_SCORE,WASHINGTON_SCORE
0,1,11:41.0,A. Bradley makes 3-pt jump shot from 25 ft (assist by A. Drummond),,3,0
1,1,11:24.0,,T. Frazier makes 2-pt jump shot from 21 ft (assist by M. Morris),3,2
2,1,11:07.0,T. Harris makes 3-pt jump shot from 28 ft (assist by A. Drummond),,6,2
3,1,10:54.0,,Personal foul by A. Drummond (drawn by M. Gortat),6,2
4,1,10:47.0,,B. Beal misses 3-pt jump shot from 24 ft,6,2
5,1,10:44.0,Defensive rebound by A. Drummond,,6,2
6,1,10:25.0,T. Harris misses 2-pt jump shot from 20 ft,,6,2
7,1,10:22.0,,Defensive rebound by O. Porter,6,2
8,1,10:10.0,,M. Morris makes 2-pt jump shot from 10 ft,6,4
9,1,9:48.0,A. Bradley misses 3-pt jump shot from 25 ft,,6,4
10,1,9:44.0,,Defensive rebound by T. Frazier,6,4
11,1,9:39.0,,M. Gortat makes 2-pt layup from 1 ft (assist by O. Porter),6,6
12,1,9:24.0,T. Harris makes 2-pt layup from 3 ft,,8,6
13,1,9:05.0,,M. Morris makes 2-pt jump shot from 10 ft (assist by T. Frazier),8,8
14,1,8:52.0,R. Jackson makes 2-pt dunk from 1 ft (assist by A. Drummond),,10,8
15,1,8:36.0,,Turnover by B. Beal (bad pass; steal by A. Bradley),10,8
16,1,8:35.0,Shooting foul by B. Beal (drawn by A. Drummond),,10,8
17,1,8:35.0,A. Drummond misses free throw 1 of 2,,10,8
18,1,8:35.0,Offensive rebound by Team,,10,8
19,1,8:35.0,A. Drummond makes free throw 2 of 2,,11,8
20,1,8:28.0,,Personal foul by R. Jackson (drawn by M. Morris),11,8
21,1,8:13.0,,O. Porter misses 3-pt jump shot from 25 ft,11,8
22,1,8:09.0,,Offensive rebound by B. Beal,11,8
23,1,8:07.0,,B. Beal makes 2-pt jump shot from 12 ft,11,10
24,1,7:52.0,Turnover by A. Bradley (lost ball; steal by T. Frazier),,11,10
25,1,7:47.0,,O. Porter makes 2-pt layup from 5 ft (assist by T. Frazier),11,12
26,1,7:40.0,Detroit full timeout,,11,12
27,1,7:23.0,R. Jackson misses 3-pt jump shot from 25 ft,,11,12
