,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,MILWAUKEE_ACTION,SAN ANTONIO_SCORE,MILWAUKEE_SCORE
0,1,11:46.0,L. Aldridge misses 2-pt jump shot from 16 ft,,0,0
1,1,11:42.0,Offensive rebound by K. Anderson,,0,0
2,1,11:29.0,L. Aldridge misses 2-pt jump shot from 10 ft,,0,0
3,1,11:29.0,,Defensive rebound by G. Antetokounmpo,0,0
4,1,11:11.0,,K. Middleton misses 3-pt jump shot from 26 ft,0,0
5,1,11:06.0,,Offensive rebound by J. Henson,0,0
6,1,11:02.0,,G. Antetokounmpo misses 2-pt jump shot from 6 ft,0,0
7,1,10:59.0,,Offensive rebound by K. Middleton,0,0
8,1,10:57.0,,K. Middleton makes 2-pt layup at rim,0,2
9,1,10:37.0,K. Anderson misses 2-pt hook shot from 8 ft,,0,2
10,1,10:35.0,,Defensive rebound by K. Middleton,0,2
11,1,10:32.0,,G. Antetokounmpo makes 2-pt dunk at rim (assist by K. Middleton),0,4
12,1,10:08.0,P. Mills makes 3-pt jump shot from 26 ft (assist by L. Aldridge),,3,4
13,1,9:44.0,,J. Henson misses 2-pt hook shot from 3 ft,3,4
14,1,9:42.0,Defensive rebound by D. Murray,,3,4
15,1,9:22.0,P. Mills misses 2-pt jump shot from 18 ft,,3,4
16,1,9:19.0,,Defensive rebound by K. Middleton,3,4
17,1,9:11.0,,J. Terry misses 3-pt jump shot from 26 ft,3,4
18,1,9:08.0,Defensive rebound by D. Green,,3,4
19,1,8:54.0,D. Murray misses 2-pt jump shot from 10 ft,,3,4
20,1,8:52.0,,Defensive rebound by K. Middleton,3,4
21,1,8:49.0,,G. Antetokounmpo makes 2-pt layup from 2 ft (assist by K. Middleton),3,6
22,1,8:49.0,San Antonio full timeout,,3,6
23,1,8:28.0,Turnover by D. Green (bad pass; steal by J. Henson),,3,6
24,1,8:24.0,,E. Bledsoe makes 2-pt layup from 2 ft (assist by G. Antetokounmpo),3,8
25,1,7:59.0,D. Murray misses 2-pt jump shot from 14 ft,,3,8
26,1,7:57.0,,Defensive rebound by G. Antetokounmpo,3,8
27,1,7:51.0,,K. Middleton misses 3-pt jump shot from 27 ft,3,8
28,1,7:48.0,Defensive rebound by D. Murray,,3,8
29,1,7:46.0,Turnover by D. Green (traveling),,3,8
30,1,7:36.0,,Turnover by J. Henson (bad pass),3,8
31,1,7:16.0,P. Mills misses 3-pt jump shot from 27 ft,,3,8
32,1,7:12.0,,Defensive rebound by G. Antetokounmpo,3,8
33,1,7:04.0,,Turnover by J. Henson (traveling),3,8
34,1,6:51.0,D. Green misses 3-pt jump shot from 22 ft,,3,8
35,1,6:48.0,,Defensive rebound by J. Henson,3,8
36,1,6:39.0,,T. Snell enters the game for J. Terry,3,8
37,1,6:39.0,T. Parker enters the game for D. Murray,,3,8
