,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,BOSTON_ACTION,SACRAMENTO_SCORE,BOSTON_SCORE
0,1,11:35.0,,Turnover by J. Brown (lost ball; steal by G. Temple),0,0
1,1,11:30.0,G. Hill makes 2-pt layup from 1 ft (assist by G. Temple),,2,0
2,1,11:21.0,,K. Irving makes 2-pt layup from 1 ft (assist by A. Baynes),2,2
3,1,11:02.0,Turnover by Z. Randolph (bad pass; steal by A. Horford),,2,2
4,1,10:56.0,,J. Brown makes 3-pt jump shot from 23 ft (assist by K. Irving),2,5
5,1,10:31.0,G. Hill makes 3-pt jump shot from 25 ft (assist by Z. Randolph),,5,5
6,1,10:11.0,,Shooting foul by W. Cauley-Stein (drawn by K. Irving),5,5
7,1,10:11.0,,K. Irving makes free throw 1 of 2,5,6
8,1,10:11.0,,K. Irving makes free throw 2 of 2,5,7
9,1,9:57.0,G. Temple misses 3-pt jump shot from 23 ft,,5,7
10,1,9:55.0,,Defensive rebound by A. Horford,5,7
11,1,9:48.0,,K. Irving makes 3-pt jump shot from 27 ft (assist by J. Brown),5,10
12,1,9:30.0,G. Hill makes 2-pt jump shot from 8 ft,,7,10
13,1,9:22.0,,A. Baynes makes 2-pt dunk from 1 ft (assist by K. Irving),7,12
14,1,9:04.0,G. Temple misses 2-pt jump shot from 16 ft,,7,12
15,1,9:00.0,,Defensive rebound by A. Baynes,7,12
16,1,8:47.0,,Turnover by A. Horford (bad pass; steal by B. Bogdanović),7,12
17,1,8:31.0,Z. Randolph makes 2-pt jump shot from 13 ft (assist by G. Hill),,9,12
18,1,8:12.0,,J. Tatum makes 2-pt jump shot from 17 ft,9,14
19,1,7:53.0,G. Temple makes 2-pt layup at rim (assist by W. Cauley-Stein),,11,14
20,1,7:37.0,,Offensive foul by J. Tatum (drawn by B. Bogdanović),11,14
21,1,7:37.0,,Turnover by J. Tatum (offensive foul),11,14
22,1,7:21.0,Personal foul by K. Irving (drawn by G. Hill),,11,14
23,1,7:21.0,,Turnover by K. Irving (turnover),11,14
24,1,7:14.0,G. Temple misses 3-pt jump shot from 23 ft,,11,14
25,1,7:10.0,Offensive rebound by B. Bogdanović,,11,14
26,1,7:08.0,W. Cauley-Stein misses 2-pt jump shot from 17 ft,,11,14
27,1,7:08.0,,Defensive rebound by J. Brown,11,14
28,1,6:59.0,,Shooting foul by B. Bogdanović (drawn by J. Brown),11,14
29,1,6:59.0,,Boston full timeout,11,14
30,1,6:59.0,,J. Brown misses free throw 1 of 2,11,14
31,1,6:59.0,,Offensive rebound by Team,11,14
32,1,6:59.0,,J. Brown makes free throw 2 of 2,11,15
