,QUARTER,TIME_REMAINING,UTAH_ACTION,BROOKLYN_ACTION,UTAH_SCORE,BROOKLYN_SCORE
0,1,11:42.0,,A. Crabbe misses 3-pt jump shot from 24 ft,0,0
1,1,11:40.0,Defensive rebound by D. Favors,,0,0
2,1,11:26.0,R. Hood makes 3-pt jump shot from 24 ft (assist by J. Ingles),,3,0
3,1,11:04.0,,T. Booker makes 2-pt jump shot from 17 ft,3,2
4,1,10:41.0,D. Mitchell misses 2-pt jump shot from 12 ft,,3,2
5,1,10:36.0,,Defensive rebound by A. Crabbe,3,2
6,1,10:19.0,,T. Booker makes 2-pt layup from 2 ft (assist by S. Dinwiddie),3,4
7,1,10:05.0,J. Ingles makes 3-pt jump shot from 24 ft,,6,4
8,1,9:53.0,,D. Carroll makes 2-pt jump shot from 20 ft,6,6
9,1,9:37.0,D. Mitchell makes 3-pt jump shot from 26 ft (assist by J. Jerebko),,9,6
10,1,9:20.0,,D. Carroll makes 3-pt jump shot from 23 ft (assist by S. Dinwiddie),9,9
11,1,9:04.0,J. Jerebko makes 2-pt dunk at rim (assist by D. Mitchell),,11,9
12,1,8:42.0,,T. Booker misses 3-pt jump shot from 24 ft,11,9
13,1,8:39.0,Defensive rebound by J. Jerebko,,11,9
14,1,8:18.0,J. Jerebko misses 3-pt jump shot from 24 ft,,11,9
15,1,8:15.0,,Defensive rebound by D. Carroll,11,9
16,1,8:03.0,,R. Hollis-Jefferson misses 2-pt jump shot from 14 ft,11,9
17,1,7:59.0,Defensive rebound by D. Favors,,11,9
18,1,7:51.0,Shooting foul by R. Hollis-Jefferson (drawn by D. Favors),,11,9
19,1,7:51.0,D. Favors makes free throw 1 of 2,,12,9
20,1,7:51.0,D. Favors makes free throw 2 of 2,,13,9
21,1,7:45.0,,S. Dinwiddie makes 3-pt jump shot from 24 ft (assist by R. Hollis-Jefferson),13,12
22,1,7:32.0,Shooting foul by S. Dinwiddie (drawn by J. Jerebko),,13,12
23,1,7:32.0,J. Jerebko makes free throw 1 of 2,,14,12
24,1,7:32.0,J. Jerebko makes free throw 2 of 2,,15,12
25,1,7:21.0,,R. Hollis-Jefferson misses 2-pt layup from 4 ft (block by D. Favors),15,12
26,1,7:16.0,,Offensive rebound by D. Carroll,15,12
27,1,7:06.0,,D. Carroll makes 2-pt jump shot from 9 ft (assist by T. Booker),15,14
28,1,6:51.0,Turnover by J. Ingles (bad pass; steal by D. Carroll),,15,14
29,1,6:46.0,,R. Hollis-Jefferson makes 2-pt layup from 1 ft (assist by D. Carroll),15,16
30,1,6:46.0,Utah full timeout,,15,16
31,1,6:46.0,A. Burks enters the game for J. Jerebko,,15,16
32,1,6:35.0,D. Mitchell makes 2-pt layup from 1 ft,,17,16
33,1,6:25.0,,Def 3 sec tech foul by J. Ingles,17,16
34,1,6:25.0,,A. Crabbe makes technical free throw,17,17
35,1,6:14.0,,S. Dinwiddie misses 3-pt jump shot from 26 ft,17,17
36,1,6:11.0,Defensive rebound by J. Ingles,,17,17
37,1,6:04.0,J. Ingles makes 3-pt jump shot from 25 ft (assist by A. Burks),,20,17
38,1,5:48.0,,A. Crabbe makes 3-pt jump shot from 25 ft,20,20
39,1,5:26.0,D. Mitchell misses 2-pt jump shot from 14 ft,,20,20
40,1,5:23.0,,Defensive rebound by T. Booker,20,20
41,1,5:21.0,,Personal block foul by D. Mitchell (drawn by D. Carroll),20,20
42,1,5:21.0,,C. LeVert enters the game for A. Crabbe,20,20
43,1,5:21.0,,Q. Acy enters the game for T. Booker,20,20
44,1,5:21.0,R. O'Neale enters the game for R. Hood,,20,20
45,1,5:04.0,,S. Dinwiddie makes 3-pt jump shot from 25 ft (assist by D. Carroll),20,23
46,1,4:44.0,R. O'Neale misses 3-pt jump shot from 24 ft,,20,23
