,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,MINNESOTA_ACTION,MEMPHIS_SCORE,MINNESOTA_SCORE
0,1,11:43.0,M. Gasol misses 2-pt jump shot from 22 ft,,0,0
1,1,11:40.0,,Defensive rebound by A. Wiggins,0,0
2,1,11:20.0,,K. Towns misses 2-pt hook shot from 7 ft,0,0
3,1,11:17.0,Defensive rebound by M. Gasol,,0,0
4,1,11:14.0,Turnover by A. Harrison (out of bounds lost ball),,0,0
5,1,11:02.0,,T. Gibson misses 2-pt layup from 5 ft (block by M. Gasol),0,0
6,1,11:00.0,Defensive rebound by M. Gasol,,0,0
7,1,10:56.0,J. Martin misses 3-pt jump shot from 23 ft,,0,0
8,1,10:52.0,,Defensive rebound by K. Towns,0,0
9,1,10:46.0,,A. Wiggins misses 2-pt layup from 2 ft,0,0
10,1,10:44.0,Defensive rebound by M. Gasol,,0,0
11,1,10:38.0,J. Martin misses 3-pt jump shot from 23 ft,,0,0
12,1,10:35.0,,Defensive rebound by N. Bjelica,0,0
13,1,10:20.0,,K. Towns makes 2-pt layup from 2 ft,0,2
14,1,10:04.0,A. Harrison misses 3-pt jump shot from 23 ft,,0,2
15,1,10:02.0,,Defensive rebound by N. Bjelica,0,2
16,1,9:51.0,,Turnover by T. Gibson (turnover),0,2
17,1,9:38.0,M. Gasol makes 3-pt jump shot from 25 ft (assist by D. Brooks),,3,2
18,1,9:22.0,,Shooting foul by A. Harrison (drawn by A. Wiggins),3,2
19,1,9:22.0,,A. Wiggins makes free throw 1 of 2,3,3
20,1,9:22.0,,A. Wiggins makes free throw 2 of 2,3,4
21,1,9:03.0,A. Harrison makes 2-pt layup from 1 ft (assist by M. Gasol),,5,4
22,1,8:56.0,,Personal foul by D. Brooks (drawn by J. Teague),5,4
23,1,8:49.0,,N. Bjelica misses 3-pt jump shot from 23 ft,5,4
24,1,8:48.0,,Offensive rebound by Team,5,4
25,1,8:48.0,Loose ball foul by D. Brooks (drawn by K. Towns),,5,4
26,1,8:48.0,C. Parsons enters the game for D. Brooks,,5,4
27,1,8:34.0,,A. Wiggins misses 2-pt jump shot from 14 ft,5,4
28,1,8:32.0,Defensive rebound by M. Gasol,,5,4
29,1,8:23.0,Shooting foul by K. Towns (drawn by J. Green),,5,4
30,1,8:23.0,J. Green misses free throw 1 of 2,,5,4
31,1,8:23.0,Offensive rebound by Team,,5,4
32,1,8:23.0,J. Green makes free throw 2 of 2,,6,4
33,1,8:20.0,,Personal foul by J. Martin (drawn by A. Wiggins),6,4
34,1,8:10.0,,A. Wiggins makes 2-pt dunk from 2 ft (assist by K. Towns),6,6
35,1,7:44.0,J. Martin makes 2-pt layup from 1 ft (assist by J. Green),,8,6
36,1,7:18.0,,J. Teague misses 2-pt jump shot from 17 ft,8,6
37,1,7:16.0,,Offensive rebound by T. Gibson,8,6
38,1,7:14.0,,A. Wiggins misses 3-pt jump shot from 26 ft,8,6
39,1,7:14.0,Defensive rebound by Team,,8,6
40,1,7:14.0,,Loose ball foul by N. Bjelica (drawn by A. Harrison),8,6
41,1,7:01.0,M. Gasol makes 3-pt jump shot from 24 ft (assist by C. Parsons),,11,6
42,1,6:43.0,,T. Gibson makes 2-pt layup from 1 ft (assist by K. Towns),11,8
43,1,6:24.0,Personal foul by J. Teague (drawn by A. Harrison),,11,8
44,1,6:24.0,,Minnesota full timeout,11,8
45,1,6:11.0,C. Parsons misses 2-pt jump shot from 21 ft,,11,8
46,1,6:08.0,,Defensive rebound by A. Wiggins,11,8
47,1,6:03.0,,Shooting foul by C. Parsons (drawn by A. Wiggins),11,8
48,1,6:03.0,,A. Wiggins makes free throw 1 of 2,11,9
49,1,6:03.0,,A. Wiggins misses free throw 2 of 2,11,9
50,1,6:01.0,Defensive rebound by J. Green,,11,9
51,1,5:51.0,Personal foul by K. Towns (drawn by M. Gasol),,11,9
52,1,5:51.0,,G. Dieng enters the game for K. Towns,11,9
53,1,5:51.0,W. Selden enters the game for J. Martin,,11,9
54,1,5:42.0,Turnover by J. Green (bad pass),,11,9
