,QUARTER,TIME_REMAINING,DENVER_ACTION,SACRAMENTO_ACTION,DENVER_SCORE,SACRAMENTO_SCORE
0,1,11:47.0,,Shooting foul by K. Faried (drawn by S. Labissière),0,0
1,1,11:47.0,,S. Labissière makes free throw 1 of 2,0,1
2,1,11:47.0,,S. Labissière misses free throw 2 of 2,0,1
3,1,11:44.0,Defensive rebound by N. Jokić,,0,1
4,1,11:36.0,J. Murray makes 2-pt layup from 2 ft,,2,1
5,1,11:23.0,,S. Labissière makes 2-pt jump shot from 10 ft,2,3
6,1,11:01.0,J. Murray misses 2-pt jump shot from 17 ft,,2,3
7,1,10:57.0,,Defensive rebound by G. Hill,2,3
8,1,10:49.0,,D. Fox misses 2-pt layup from 2 ft,2,3
9,1,10:45.0,Defensive rebound by N. Jokić,,2,3
10,1,10:39.0,G. Harris makes 2-pt layup from 1 ft,,4,3
11,1,10:21.0,,G. Temple misses 2-pt jump shot from 21 ft,4,3
12,1,10:21.0,Defensive rebound by K. Faried,,4,3
13,1,10:14.0,K. Faried misses 2-pt layup from 1 ft,,4,3
14,1,10:14.0,Offensive rebound by K. Faried,,4,3
15,1,10:14.0,Shooting foul by Z. Randolph (drawn by K. Faried),,4,3
16,1,10:14.0,K. Faried makes free throw 1 of 2,,5,3
17,1,10:14.0,K. Faried makes free throw 2 of 2,,6,3
18,1,9:58.0,,G. Temple misses 3-pt jump shot from 24 ft,6,3
19,1,9:55.0,Defensive rebound by K. Faried,,6,3
20,1,9:44.0,G. Harris makes 2-pt layup from 1 ft,,8,3
21,1,9:33.0,,Z. Randolph makes 2-pt jump shot from 15 ft (assist by S. Labissière),8,5
22,1,9:23.0,W. Barton makes 3-pt jump shot from 25 ft,,11,5
23,1,9:21.0,,Sacramento full timeout,11,5
24,1,9:02.0,,Turnover by Z. Randolph (lost ball; steal by K. Faried),11,5
25,1,8:58.0,Shooting foul by D. Fox (drawn by W. Barton),,11,5
26,1,8:58.0,W. Barton misses free throw 1 of 2,,11,5
27,1,8:58.0,Offensive rebound by Team,,11,5
28,1,8:58.0,W. Barton makes free throw 2 of 2,,12,5
29,1,8:50.0,,D. Fox makes 2-pt layup from 2 ft,12,7
30,1,8:38.0,,Violation by Z. Randolph (kicked ball),12,7
31,1,8:34.0,Shooting foul by S. Labissière (drawn by J. Murray),,12,7
32,1,8:34.0,J. Murray makes free throw 1 of 2,,13,7
33,1,8:34.0,J. Murray makes free throw 2 of 2,,14,7
34,1,8:24.0,,S. Labissière misses 2-pt jump shot from 20 ft,14,7
35,1,8:21.0,Defensive rebound by K. Faried,,14,7
36,1,8:21.0,Personal foul by S. Labissière (drawn by N. Jokić),,14,7
37,1,8:21.0,,K. Koufos enters the game for S. Labissière,14,7
38,1,8:21.0,,W. Cauley-Stein enters the game for Z. Randolph,14,7
39,1,8:04.0,G. Harris misses 3-pt jump shot from 23 ft,,14,7
40,1,7:59.0,,Defensive rebound by D. Fox,14,7
41,1,7:46.0,,G. Hill makes 2-pt jump shot from 21 ft,14,9
42,1,7:30.0,W. Barton misses 3-pt jump shot from 25 ft,,14,9
43,1,7:28.0,,Defensive rebound by W. Cauley-Stein,14,9
44,1,7:25.0,,D. Fox makes 2-pt layup from 2 ft,14,11
45,1,7:25.0,,Shooting foul by J. Murray (drawn by D. Fox),14,11
46,1,7:25.0,,D. Fox makes free throw 1 of 1,14,12
47,1,7:02.0,G. Harris makes 3-pt jump shot from 24 ft (assist by J. Murray),,17,12
48,1,6:38.0,,D. Fox misses 2-pt jump shot from 15 ft,17,12
49,1,6:38.0,Defensive rebound by K. Faried,,17,12
50,1,6:23.0,J. Murray misses 3-pt jump shot from 25 ft,,17,12
51,1,6:20.0,,Defensive rebound by W. Cauley-Stein,17,12
52,1,6:15.0,,G. Temple misses 2-pt jump shot from 16 ft,17,12
53,1,6:11.0,Defensive rebound by G. Harris,,17,12
54,1,5:55.0,Turnover by W. Barton (bad pass; steal by D. Fox),,17,12
55,1,5:50.0,,K. Koufos makes 2-pt hook shot from 7 ft,17,14
56,1,5:49.0,Denver full timeout,,17,14
57,1,5:49.0,T. Lyles enters the game for J. Murray,,17,14
58,1,5:49.0,E. Mudiay enters the game for K. Faried,,17,14
59,1,5:25.0,T. Lyles misses 2-pt jump shot from 18 ft,,17,14
60,1,5:22.0,,Defensive rebound by K. Koufos,17,14
61,1,5:09.0,,G. Hill misses 2-pt jump shot from 8 ft (block by N. Jokić),17,14
62,1,5:06.0,Defensive rebound by N. Jokić,,17,14
63,1,5:06.0,W. Barton makes 2-pt dunk from 2 ft,,19,14
64,1,5:06.0,Shooting foul by G. Temple (drawn by W. Barton),,19,14
65,1,5:06.0,M. Plumlee enters the game for N. Jokić,,19,14
66,1,5:06.0,W. Barton makes free throw 1 of 1,,20,14
67,1,4:56.0,,G. Temple misses 3-pt jump shot from 22 ft,20,14
68,1,4:52.0,,Offensive rebound by W. Cauley-Stein,20,14
69,1,4:45.0,,K. Koufos makes 2-pt layup from 2 ft (assist by D. Fox),20,16
70,1,4:30.0,E. Mudiay misses 3-pt jump shot from 25 ft,,20,16
71,1,4:26.0,,Defensive rebound by W. Cauley-Stein,20,16
72,1,4:20.0,,K. Koufos makes 2-pt jump shot from 16 ft (assist by G. Hill),20,18
73,1,4:02.0,E. Mudiay misses 2-pt layup from 1 ft,,20,18
74,1,3:58.0,,Defensive rebound by K. Koufos,20,18
75,1,3:56.0,,D. Fox misses 2-pt layup from 5 ft,20,18
76,1,3:56.0,Defensive rebound by M. Plumlee,,20,18
77,1,3:49.0,Turnover by M. Plumlee (bad pass; steal by G. Hill),,20,18
78,1,3:43.0,,W. Cauley-Stein makes 2-pt layup from 2 ft (assist by G. Hill),20,20
79,1,3:26.0,G. Harris misses 3-pt jump shot from 25 ft,,20,20
80,1,3:26.0,,Defensive rebound by D. Fox,20,20
81,1,3:14.0,,W. Cauley-Stein misses 2-pt jump shot from 15 ft,20,20
82,1,3:11.0,Defensive rebound by W. Barton,,20,20
83,1,3:05.0,E. Mudiay misses 3-pt jump shot from 26 ft,,20,20
84,1,3:05.0,,Defensive rebound by G. Temple,20,20
85,1,2:51.0,,K. Koufos misses 2-pt hook shot from 10 ft,20,20
86,1,2:50.0,,Offensive rebound by Team,20,20
87,1,2:50.0,Loose ball foul by G. Harris (drawn by G. Hill),,20,20
88,1,2:50.0,,B. Bogdanović enters the game for G. Temple,20,20
89,1,2:50.0,J. Hernangómez enters the game for W. Barton,,20,20
90,1,2:44.0,,Turnover by D. Fox (bad pass; steal by G. Harris),20,20
