,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,SACRAMENTO_ACTION,MILWAUKEE_SCORE,SACRAMENTO_SCORE
0,1,11:35.0,,Z. Randolph makes 2-pt hook shot from 6 ft,0,2
1,1,11:14.0,J. Henson misses 2-pt hook shot from 8 ft,,0,2
2,1,11:12.0,,Defensive rebound by Z. Randolph,0,2
3,1,10:57.0,,G. Temple makes 2-pt layup from 2 ft,0,4
4,1,10:42.0,J. Henson makes 2-pt dunk from 1 ft (assist by E. Bledsoe),,2,4
5,1,10:20.0,,D. Fox misses 3-pt jump shot from 25 ft,2,4
6,1,10:16.0,Defensive rebound by E. Bledsoe,,2,4
7,1,10:13.0,E. Bledsoe misses 2-pt jump shot from 18 ft,,2,4
8,1,10:10.0,,Defensive rebound by S. Labissière,2,4
9,1,10:00.0,,Z. Randolph makes 2-pt jump shot from 21 ft (assist by G. Hill),2,6
10,1,9:50.0,T. Snell makes 3-pt jump shot from 24 ft (assist by G. Antetokounmpo),,5,6
11,1,9:32.0,,G. Temple makes 3-pt jump shot from 23 ft,5,9
12,1,9:24.0,G. Antetokounmpo makes 2-pt layup from 3 ft,,7,9
13,1,9:24.0,Shooting foul by S. Labissière (drawn by G. Antetokounmpo),,7,9
14,1,9:24.0,G. Antetokounmpo makes free throw 1 of 1,,8,9
15,1,9:12.0,,Personal foul by E. Bledsoe (drawn by S. Labissière),8,9
16,1,9:05.0,,D. Fox misses 2-pt jump shot from 21 ft,8,9
17,1,8:59.0,Defensive rebound by J. Henson,,8,9
18,1,8:57.0,G. Antetokounmpo makes 2-pt layup from 1 ft (assist by J. Henson),,10,9
19,1,8:46.0,,S. Labissière misses 2-pt jump shot from 10 ft,10,9
20,1,8:42.0,Defensive rebound by K. Middleton,,10,9
21,1,8:38.0,J. Henson misses 2-pt jump shot from 20 ft,,10,9
22,1,8:35.0,,Defensive rebound by Z. Randolph,10,9
23,1,8:18.0,,G. Temple makes 3-pt jump shot from 23 ft (assist by G. Hill),10,12
24,1,8:00.0,G. Antetokounmpo makes 2-pt jump shot from 20 ft,,12,12
25,1,7:42.0,,D. Fox makes 2-pt dunk from 1 ft,12,14
26,1,7:29.0,J. Henson makes 2-pt dunk at rim (assist by E. Bledsoe),,14,14
27,1,7:28.0,Technical foul by J. Henson,,14,14
28,1,7:28.0,,G. Temple makes technical free throw,14,15
29,1,7:28.0,D. Liggins enters the game for K. Middleton,,14,15
30,1,7:13.0,,Turnover by Z. Randolph (bad pass; steal by E. Bledsoe),14,15
31,1,7:09.0,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by E. Bledsoe),,16,15
32,1,6:46.0,,Personal foul by J. Henson (drawn by G. Hill),16,15
33,1,6:46.0,,Sacramento full timeout,16,15
34,1,6:46.0,T. Maker enters the game for J. Henson,,16,15
35,1,6:35.0,,S. Labissière misses 2-pt hook shot from 2 ft,16,15
36,1,6:31.0,Defensive rebound by T. Maker,,16,15
37,1,6:22.0,E. Bledsoe misses 2-pt jump shot from 21 ft,,16,15
38,1,6:18.0,,Defensive rebound by G. Temple,16,15
39,1,6:11.0,,Turnover by Z. Randolph (lost ball; steal by G. Antetokounmpo),16,15
40,1,6:08.0,Shooting foul by G. Temple (drawn by G. Antetokounmpo),,16,15
41,1,6:08.0,G. Antetokounmpo makes free throw 1 of 2,,17,15
42,1,6:08.0,G. Antetokounmpo makes free throw 2 of 2,,18,15
43,1,5:55.0,,Shooting foul by G. Antetokounmpo (drawn by G. Hill),18,15
44,1,5:55.0,,G. Hill makes free throw 1 of 2,18,16
45,1,5:55.0,,W. Cauley-Stein enters the game for S. Labissière,18,16
46,1,5:55.0,,G. Hill makes free throw 2 of 2,18,17
47,1,5:41.0,E. Bledsoe makes 2-pt layup from 2 ft,,20,17
48,1,5:29.0,,Turnover by W. Cauley-Stein (lost ball; steal by G. Antetokounmpo),20,17
49,1,5:21.0,E. Bledsoe makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo),,23,17
50,1,5:04.0,,Z. Randolph makes 2-pt jump shot from 20 ft,23,19
51,1,4:49.0,G. Antetokounmpo misses 2-pt jump shot from 22 ft,,23,19
52,1,4:44.0,,Defensive rebound by W. Cauley-Stein,23,19
53,1,4:34.0,,Turnover by W. Cauley-Stein (bad pass; steal by E. Bledsoe),23,19
54,1,4:29.0,D. Liggins misses 3-pt jump shot from 22 ft,,23,19
55,1,4:25.0,,Defensive rebound by Z. Randolph,23,19
56,1,4:08.0,,Personal foul by T. Maker (drawn by Z. Randolph),23,19
57,1,4:08.0,,K. Koufos enters the game for G. Hill,23,19
58,1,4:08.0,,B. Hield enters the game for Z. Randolph,23,19
59,1,4:08.0,M. Brogdon enters the game for E. Bledsoe,,23,19
60,1,3:56.0,,W. Cauley-Stein misses 2-pt dunk from 2 ft (block by G. Antetokounmpo),23,19
61,1,3:51.0,,Offensive rebound by W. Cauley-Stein,23,19
62,1,3:47.0,,W. Cauley-Stein makes 2-pt dunk from 2 ft,23,21
63,1,3:40.0,T. Maker makes 2-pt jump shot from 21 ft (assist by G. Antetokounmpo),,25,21
64,1,3:27.0,,Personal foul by G. Antetokounmpo (drawn by K. Koufos),25,21
65,1,3:27.0,,K. Koufos makes free throw 1 of 2,25,22
66,1,3:27.0,,B. Bogdanović enters the game for D. Fox,25,22
67,1,3:27.0,,F. Mason enters the game for G. Temple,25,22
68,1,3:27.0,K. Middleton enters the game for T. Snell,,25,22
69,1,3:27.0,J. Terry enters the game for G. Antetokounmpo,,25,22
70,1,3:27.0,,K. Koufos misses free throw 2 of 2,25,22
71,1,3:24.0,Defensive rebound by D. Liggins,,25,22
72,1,3:13.0,T. Maker makes 2-pt jump shot from 22 ft (assist by K. Middleton),,27,22
73,1,2:54.0,,Turnover by B. Bogdanović (bad pass; steal by K. Middleton),27,22
74,1,2:47.0,K. Middleton misses 3-pt jump shot from 25 ft,,27,22
75,1,2:44.0,,Defensive rebound by F. Mason,27,22
76,1,2:30.0,Milwaukee full timeout,,27,22
77,1,2:24.0,,B. Hield misses 3-pt jump shot from 25 ft,27,22
78,1,2:22.0,Defensive rebound by T. Maker,,27,22
79,1,2:11.0,M. Brogdon misses 3-pt jump shot from 25 ft,,27,22
80,1,2:06.0,,Defensive rebound by W. Cauley-Stein,27,22
81,1,1:58.0,,W. Cauley-Stein misses 2-pt layup from 4 ft,27,22
82,1,1:58.0,,Offensive rebound by K. Koufos,27,22
83,1,1:57.0,,Shooting foul by K. Middleton (drawn by K. Koufos),27,22
84,1,1:57.0,,K. Koufos misses free throw 1 of 2,27,22
85,1,1:57.0,,Offensive rebound by Team,27,22
86,1,1:57.0,,K. Koufos misses free throw 2 of 2,27,22
87,1,1:53.0,Defensive rebound by M. Brogdon,,27,22
88,1,1:35.0,K. Middleton makes 3-pt jump shot from 25 ft (assist by M. Brogdon),,30,22
89,1,1:19.0,,B. Hield makes 2-pt jump shot from 15 ft (assist by F. Mason),30,24
90,1,1:03.0,K. Middleton makes 2-pt jump shot from 16 ft (assist by M. Brogdon),,32,24
91,1,0:39.0,,B. Hield misses 2-pt layup from 3 ft,32,24
92,1,0:37.0,Defensive rebound by M. Brogdon,,32,24
93,1,0:30.0,Turnover by K. Middleton (traveling),,32,24
94,1,0:07.0,,B. Hield makes 2-pt jump shot from 14 ft,32,26
95,1,0:02.0,K. Middleton misses 3-pt jump shot from 24 ft,,32,26
96,1,0:02.0,,Defensive rebound by K. Koufos,32,26
97,2,11:46.0,J. Terry misses 3-pt jump shot from 22 ft,,32,26
98,2,11:42.0,,Defensive rebound by W. Cauley-Stein,32,26
99,2,11:23.0,,F. Mason misses 2-pt jump shot from 22 ft,32,26
100,2,11:19.0,Defensive rebound by J. Henson,,32,26
101,2,11:06.0,Personal foul by F. Mason (drawn by K. Middleton),,32,26
102,2,11:06.0,,V. Carter enters the game for K. Koufos,32,26
103,2,11:01.0,M. Brogdon makes 2-pt layup from 3 ft,,34,26
104,2,10:44.0,,Offensive foul by W. Cauley-Stein (drawn by J. Henson),34,26
105,2,10:44.0,,Turnover by W. Cauley-Stein (offensive foul),34,26
106,2,10:19.0,M. Brogdon misses 2-pt jump shot from 19 ft,,34,26
107,2,10:16.0,,Defensive rebound by B. Hield,34,26
108,2,10:05.0,,Turnover by F. Mason (lost ball; steal by M. Brogdon),34,26
109,2,9:58.0,T. Snell makes 2-pt layup from 3 ft (assist by M. Brogdon),,36,26
110,2,9:55.0,,Sacramento full timeout,36,26
111,2,9:32.0,,F. Mason misses 2-pt layup from 2 ft,36,26
112,2,9:30.0,Defensive rebound by J. Henson,,36,26
113,2,9:19.0,Shooting foul by V. Carter (drawn by J. Henson),,36,26
114,2,9:19.0,J. Henson misses free throw 1 of 2,,36,26
115,2,9:19.0,Offensive rebound by Team,,36,26
116,2,9:19.0,J. Henson makes free throw 2 of 2,,37,26
117,2,9:06.0,,B. Bogdanović makes 2-pt jump shot from 21 ft (assist by F. Mason),37,28
118,2,8:40.0,Turnover by T. Snell (bad pass; steal by B. Bogdanović),,37,28
119,2,8:29.0,,W. Cauley-Stein makes 2-pt dunk from 2 ft (assist by B. Bogdanović),37,30
120,2,8:14.0,Personal foul by B. Bogdanović (drawn by K. Middleton),,37,30
121,2,8:14.0,,K. Koufos enters the game for W. Cauley-Stein,37,30
122,2,8:11.0,M. Brogdon misses 2-pt jump shot from 10 ft,,37,30
123,2,8:08.0,,Defensive rebound by V. Carter,37,30
124,2,8:03.0,,B. Hield misses 2-pt jump shot from 22 ft (block by T. Snell),37,30
125,2,8:03.0,Defensive rebound by J. Terry,,37,30
126,2,8:02.0,Turnover by J. Terry (step out of bounds),,37,30
127,2,7:52.0,,V. Carter misses 2-pt jump shot from 19 ft,37,30
128,2,7:48.0,Defensive rebound by M. Brogdon,,37,30
129,2,7:45.0,K. Middleton makes 2-pt layup from 3 ft (assist by M. Brogdon),,39,30
130,2,7:37.0,,B. Hield misses 2-pt layup from 3 ft,39,30
131,2,7:37.0,Defensive rebound by J. Terry,,39,30
132,2,7:32.0,,Violation by V. Carter (kicked ball),39,30
133,2,7:21.0,K. Middleton makes 3-pt jump shot from 24 ft (assist by T. Snell),,42,30
134,2,6:55.0,,F. Mason misses 2-pt jump shot from 22 ft,42,30
135,2,6:53.0,Defensive rebound by K. Middleton,,42,30
136,2,6:49.0,,Offensive charge foul by K. Middleton (drawn by V. Carter),42,30
137,2,6:49.0,Turnover by K. Middleton (offensive foul),,42,30
138,2,6:49.0,,G. Temple enters the game for F. Mason,42,30
139,2,6:49.0,,D. Fox enters the game for B. Hield,42,30
140,2,6:49.0,E. Bledsoe enters the game for M. Brogdon,,42,30
141,2,6:34.0,,Personal foul by J. Terry (drawn by B. Bogdanović),42,30
142,2,6:34.0,G. Antetokounmpo enters the game for K. Middleton,,42,30
143,2,6:25.0,,Def 3 sec tech foul by G. Antetokounmpo,42,30
144,2,6:25.0,,B. Bogdanović misses technical free throw,42,30
145,2,6:25.0,,Offensive rebound by Team,42,30
146,2,6:16.0,,Turnover by B. Bogdanović (bad pass; steal by T. Snell),42,30
147,2,6:11.0,J. Terry misses 2-pt jump shot from 21 ft,,42,30
148,2,6:07.0,,Defensive rebound by K. Koufos,42,30
149,2,6:00.0,,K. Koufos misses 2-pt hook shot from 5 ft,42,30
150,2,5:56.0,Defensive rebound by T. Snell,,42,30
151,2,5:49.0,G. Antetokounmpo makes 2-pt layup from 2 ft (assist by T. Snell),,44,30
152,2,5:31.0,,Turnover by D. Fox (bad pass; steal by G. Antetokounmpo),44,30
153,2,5:31.0,Personal foul by K. Koufos (drawn by J. Henson),,44,30
154,2,5:21.0,E. Bledsoe makes 2-pt layup from 1 ft,,46,30
155,2,5:15.0,,Sacramento full timeout,46,30
156,2,5:15.0,,W. Cauley-Stein enters the game for B. Bogdanović,46,30
157,2,5:15.0,,Z. Randolph enters the game for K. Koufos,46,30
