,QUARTER,TIME_REMAINING,BOSTON_ACTION,UTAH_ACTION,BOSTON_SCORE,UTAH_SCORE
0,1,11:47.0,,R. Rubio misses 2-pt jump shot from 9 ft,0,0
1,1,11:44.0,Defensive rebound by T. Rozier,,0,0
2,1,11:33.0,Turnover by J. Brown (bad pass; steal by D. Mitchell),,0,0
3,1,11:30.0,,D. Mitchell makes 2-pt layup from 2 ft,0,2
4,1,11:30.0,Violation by J. Tatum (def goaltending),,0,2
5,1,11:14.0,J. Brown misses 2-pt jump shot from 18 ft,,0,2
6,1,11:08.0,,Defensive rebound by J. Ingles,0,2
7,1,11:02.0,,Turnover by D. Mitchell (lost ball; steal by J. Tatum),0,2
8,1,10:46.0,J. Tatum makes 3-pt jump shot from 24 ft (assist by A. Baynes),,3,2
9,1,10:31.0,,J. Ingles misses 3-pt jump shot from 25 ft,3,2
10,1,10:28.0,Defensive rebound by J. Tatum,,3,2
11,1,10:22.0,J. Brown makes 2-pt layup from 2 ft (assist by J. Tatum),,5,2
12,1,10:04.0,,R. Rubio makes 3-pt jump shot from 23 ft (assist by D. Mitchell),5,5
13,1,9:43.0,Shooting foul by R. Rubio (drawn by T. Rozier),,5,5
14,1,9:43.0,T. Rozier makes free throw 1 of 2,,6,5
15,1,9:43.0,T. Rozier makes free throw 2 of 2,,7,5
16,1,9:27.0,,R. Rubio misses 3-pt jump shot from 24 ft,7,5
17,1,9:25.0,Defensive rebound by G. Yabusele,,7,5
18,1,9:16.0,J. Tatum makes 2-pt jump shot from 19 ft,,9,5
19,1,9:01.0,,J. Ingles misses 2-pt jump shot from 6 ft,9,5
20,1,9:00.0,Defensive rebound by A. Baynes,,9,5
21,1,8:54.0,G. Yabusele makes 3-pt jump shot from 25 ft (assist by T. Rozier),,12,5
22,1,8:53.0,,Utah full timeout,12,5
23,1,8:38.0,,R. Gobert makes 2-pt layup at rim (assist by D. Mitchell),12,7
24,1,8:22.0,T. Rozier misses 2-pt jump shot from 14 ft,,12,7
25,1,8:19.0,,Defensive rebound by D. Favors,12,7
26,1,8:08.0,,R. Gobert makes 2-pt dunk from 3 ft (assist by R. Rubio),12,9
27,1,7:45.0,J. Tatum misses 2-pt jump shot from 15 ft,,12,9
28,1,7:42.0,,Defensive rebound by R. Rubio,12,9
29,1,7:37.0,,Turnover by R. Gobert (out of bounds lost ball),12,9
30,1,7:21.0,J. Tatum misses 2-pt jump shot from 14 ft,,12,9
31,1,7:19.0,,Defensive rebound by R. Gobert,12,9
32,1,7:15.0,,J. Ingles makes 3-pt jump shot from 23 ft (assist by R. Rubio),12,12
33,1,6:54.0,J. Brown misses 2-pt hook shot from 5 ft,,12,12
34,1,6:52.0,,Defensive rebound by R. Gobert,12,12
35,1,6:43.0,,R. Gobert makes 2-pt layup from 1 ft (assist by J. Ingles),12,14
36,1,6:26.0,T. Rozier misses 2-pt layup from 3 ft,,12,14
37,1,6:23.0,,Defensive rebound by J. Ingles,12,14
38,1,6:16.0,,D. Favors makes 2-pt dunk from 1 ft (assist by J. Ingles),12,16
39,1,6:16.0,Boston full timeout,,12,16
40,1,6:16.0,S. Larkin enters the game for J. Tatum,,12,16
41,1,6:16.0,S. Ojeleye enters the game for G. Yabusele,,12,16
42,1,6:02.0,T. Rozier misses 2-pt jump shot from 11 ft,,12,16
43,1,5:59.0,,Defensive rebound by R. Gobert,12,16
44,1,5:36.0,,Turnover by R. Gobert (lost ball; steal by J. Brown),12,16
45,1,5:14.0,S. Larkin misses 2-pt layup from 5 ft (block by R. Gobert),,12,16
46,1,5:11.0,,Defensive rebound by R. Rubio,12,16
47,1,5:07.0,,D. Favors makes 2-pt jump shot from 16 ft (assist by R. Rubio),12,18
48,1,4:51.0,T. Rozier misses 3-pt jump shot from 23 ft,,12,18
49,1,4:48.0,,Defensive rebound by R. Gobert,12,18
50,1,4:37.0,,R. Rubio misses 2-pt jump shot from 20 ft,12,18
51,1,4:33.0,Defensive rebound by T. Rozier,,12,18
52,1,4:21.0,A. Baynes makes 2-pt jump shot from 14 ft (assist by T. Rozier),,14,18
53,1,4:04.0,,D. Favors misses 3-pt jump shot from 22 ft,14,18
54,1,4:01.0,Defensive rebound by S. Larkin,,14,18
55,1,3:51.0,J. Brown misses 2-pt jump shot from 13 ft,,14,18
56,1,3:48.0,,Defensive rebound by R. Gobert,14,18
57,1,3:38.0,,Personal foul by S. Larkin (drawn by J. Ingles),14,18
58,1,3:38.0,G. Monroe enters the game for A. Baynes,,14,18
59,1,3:38.0,,J. Jerebko enters the game for J. Ingles,14,18
60,1,3:38.0,,J. Crowder enters the game for R. Rubio,14,18
61,1,3:38.0,,R. O'Neale enters the game for D. Favors,14,18
62,1,3:38.0,A. Nader enters the game for J. Brown,,14,18
63,1,3:30.0,,J. Jerebko misses 2-pt layup from 3 ft,14,18
64,1,3:28.0,,Offensive rebound by R. Gobert,14,18
65,1,3:27.0,,Turnover by R. Gobert (out of bounds lost ball),14,18
66,1,3:07.0,A. Nader makes 2-pt jump shot from 12 ft,,16,18
67,1,2:44.0,,D. Mitchell misses 2-pt jump shot from 20 ft,16,18
68,1,2:41.0,Defensive rebound by S. Larkin,,16,18
69,1,2:21.0,G. Monroe misses 2-pt jump shot from 19 ft (block by R. Gobert),,16,18
70,1,2:18.0,,Defensive rebound by R. O'Neale,16,18
71,1,2:15.0,,D. Mitchell makes 3-pt jump shot from 22 ft (assist by R. O'Neale),16,21
72,1,1:55.0,A. Nader misses 2-pt jump shot from 18 ft,,16,21
73,1,1:51.0,,Defensive rebound by J. Jerebko,16,21
74,1,1:40.0,,J. Crowder misses 3-pt jump shot from 25 ft,16,21
75,1,1:35.0,,Offensive rebound by J. Jerebko,16,21
76,1,1:34.0,,D. Mitchell misses 3-pt jump shot from 25 ft,16,21
77,1,1:30.0,,Offensive rebound by J. Jerebko,16,21
78,1,1:26.0,,J. Crowder misses 3-pt jump shot from 24 ft,16,21
79,1,1:23.0,Defensive rebound by T. Rozier,,16,21
80,1,1:13.0,G. Monroe misses 2-pt layup from 4 ft,,16,21
81,1,1:12.0,,Defensive rebound by J. Crowder,16,21
82,1,1:09.0,Offensive charge foul by J. Crowder (drawn by S. Ojeleye),,16,21
83,1,1:09.0,,Turnover by J. Crowder (offensive foul),16,21
84,1,1:09.0,,D. Favors enters the game for R. Gobert,16,21
85,1,1:09.0,,D. Exum enters the game for D. Mitchell,16,21
86,1,1:09.0,J. Tatum enters the game for T. Rozier,,16,21
87,1,0:49.0,S. Larkin misses 2-pt layup from 4 ft,,16,21
88,1,0:48.0,Offensive rebound by G. Monroe,,16,21
89,1,0:48.0,G. Monroe makes 2-pt layup from 2 ft,,18,21
90,1,0:36.0,,Turnover by D. Exum (bad pass; steal by G. Monroe),18,21
91,1,0:31.0,Turnover by A. Nader (lost ball; steal by J. Crowder),,18,21
92,1,0:13.0,,J. Jerebko makes 3-pt jump shot from 23 ft (assist by D. Exum),18,24
93,1,0:06.0,Personal foul by D. Exum (drawn by S. Larkin),,18,24
94,1,0:00.0,J. Tatum misses 2-pt jump shot from 17 ft (block by R. O'Neale),,18,24
95,1,0:00.0,Offensive rebound by Team,,18,24
96,2,11:37.0,G. Monroe misses 2-pt hook shot from 8 ft,,18,24
97,2,11:35.0,,Defensive rebound by J. Jerebko,18,24
98,2,11:19.0,,Turnover by J. Ingles (bad pass; steal by G. Monroe),18,24
99,2,11:07.0,Turnover by J. Tatum (bad pass; steal by J. Crowder),,18,24
100,2,10:53.0,,Turnover by D. Favors (out of bounds lost ball),18,24
101,2,10:39.0,J. Tatum misses 2-pt layup from 3 ft,,18,24
102,2,10:38.0,,Defensive rebound by J. Jerebko,18,24
103,2,10:32.0,,D. Exum misses 2-pt layup from 2 ft,18,24
104,2,10:30.0,Defensive rebound by G. Monroe,,18,24
105,2,10:21.0,Shooting foul by D. Favors (drawn by G. Monroe),,18,24
106,2,10:21.0,G. Monroe makes free throw 1 of 2,,19,24
107,2,10:21.0,G. Monroe makes free throw 2 of 2,,20,24
108,2,10:06.0,,J. Jerebko misses 3-pt jump shot from 22 ft,20,24
109,2,10:03.0,,Offensive rebound by D. Favors,20,24
110,2,9:55.0,,J. Crowder misses 3-pt jump shot from 24 ft,20,24
111,2,9:51.0,,Offensive rebound by D. Favors,20,24
112,2,9:50.0,,D. Favors makes 2-pt hook shot from 2 ft,20,26
113,2,9:33.0,,R. O'Neale enters the game for J. Crowder,20,26
114,2,9:27.0,G. Monroe misses 2-pt layup from 3 ft,,20,26
115,2,9:25.0,,Defensive rebound by J. Jerebko,20,26
116,2,9:19.0,,J. Jerebko misses 2-pt layup from 3 ft,20,26
117,2,9:15.0,,Offensive rebound by D. Exum,20,26
118,2,9:15.0,,D. Exum makes 2-pt layup at rim,20,28
119,2,9:05.0,S. Larkin makes 3-pt jump shot from 25 ft (assist by G. Monroe),,23,28
120,2,8:48.0,,J. Ingles misses 2-pt layup from 1 ft,23,28
121,2,8:46.0,Defensive rebound by S. Ojeleye,,23,28
122,2,8:46.0,Personal foul by R. O'Neale (drawn by A. Nader),,23,28
123,2,8:46.0,,R. Gobert enters the game for D. Exum,23,28
124,2,8:46.0,,R. Rubio enters the game for D. Favors,23,28
125,2,8:30.0,J. Tatum makes 3-pt jump shot from 25 ft (assist by G. Monroe),,26,28
126,2,8:07.0,,J. Jerebko misses 2-pt hook shot from 5 ft,26,28
127,2,8:03.0,Defensive rebound by G. Monroe,,26,28
128,2,7:51.0,J. Tatum makes 2-pt layup from 4 ft,,28,28
129,2,7:51.0,,Utah full timeout,28,28
130,2,7:51.0,,D. Favors enters the game for J. Ingles,28,28
131,2,7:51.0,,D. Mitchell enters the game for J. Jerebko,28,28
132,2,7:41.0,,D. Mitchell misses 3-pt jump shot from 26 ft,28,28
133,2,7:39.0,Defensive rebound by G. Monroe,,28,28
134,2,7:16.0,Turnover by Team (shot clock),,28,28
135,2,7:01.0,,R. Rubio makes 2-pt jump shot from 16 ft (assist by D. Mitchell),28,30
136,2,6:45.0,Personal foul by R. O'Neale (drawn by J. Tatum),,28,30
137,2,6:30.0,G. Monroe misses 2-pt hook shot from 7 ft,,28,30
138,2,6:29.0,,Defensive rebound by R. Rubio,28,30
139,2,6:25.0,,Turnover by R. Rubio (bad pass; steal by S. Ojeleye),28,30
140,2,6:20.0,A. Nader makes 2-pt layup from 3 ft (assist by S. Larkin),,30,30
141,2,6:02.0,,R. Rubio makes 2-pt jump shot from 10 ft (assist by R. Gobert),30,32
142,2,5:47.0,Turnover by J. Tatum (traveling),,30,32
143,2,5:47.0,,J. Crowder enters the game for D. Favors,30,32
144,2,5:47.0,A. Baynes enters the game for J. Tatum,,30,32
145,2,5:47.0,J. Brown enters the game for G. Monroe,,30,32
146,2,5:33.0,,Turnover by D. Mitchell (lost ball; steal by A. Nader),30,32
147,2,5:29.0,A. Nader makes 2-pt layup from 2 ft,,32,32
148,2,5:16.0,,Personal foul by S. Larkin (drawn by R. Rubio),32,32
149,2,5:06.0,,R. Rubio misses 3-pt jump shot from 25 ft,32,32
150,2,5:03.0,Defensive rebound by J. Brown,,32,32
151,2,4:52.0,A. Baynes makes 2-pt jump shot from 13 ft (assist by J. Brown),,34,32
152,2,4:38.0,,D. Mitchell misses 2-pt jump shot from 11 ft,34,32
153,2,4:35.0,Defensive rebound by S. Ojeleye,,34,32
154,2,4:22.0,S. Larkin misses 2-pt layup at rim,,34,32
155,2,4:21.0,Offensive rebound by S. Larkin,,34,32
156,2,4:21.0,S. Larkin makes 2-pt layup at rim,,36,32
157,2,4:21.0,,Utah full timeout,36,32
158,2,4:21.0,,J. Ingles enters the game for R. O'Neale,36,32
159,2,4:02.0,,R. Rubio misses 3-pt jump shot from 24 ft,36,32
160,2,3:59.0,Defensive rebound by J. Brown,,36,32
161,2,3:47.0,J. Brown makes 3-pt jump shot from 26 ft (assist by S. Larkin),,39,32
162,2,3:28.0,,R. Gobert misses 2-pt layup from 3 ft,39,32
163,2,3:25.0,Defensive rebound by S. Ojeleye,,39,32
164,2,3:17.0,J. Brown makes 2-pt layup from 2 ft,,41,32
165,2,2:57.0,,J. Ingles makes 2-pt jump shot from 15 ft,41,34
166,2,2:40.0,S. Larkin misses 3-pt jump shot from 25 ft,,41,34
167,2,2:38.0,,Defensive rebound by J. Ingles,41,34
168,2,2:26.0,,R. Rubio misses 2-pt layup from 1 ft,41,34
169,2,2:26.0,Defensive rebound by S. Larkin,,41,34
170,2,2:26.0,Personal foul by J. Crowder (drawn by J. Brown),,41,34
171,2,2:26.0,T. Rozier enters the game for A. Nader,,41,34
172,2,2:13.0,A. Baynes makes 2-pt jump shot from 17 ft (assist by S. Larkin),,43,34
173,2,1:55.0,,J. Ingles misses 3-pt jump shot from 25 ft,43,34
174,2,1:52.0,Defensive rebound by T. Rozier,,43,34
175,2,1:35.0,J. Brown makes 3-pt jump shot from 25 ft (assist by T. Rozier),,46,34
176,2,1:14.0,,J. Ingles makes 2-pt layup from 1 ft,46,36
177,2,1:14.0,,Shooting foul by J. Brown (drawn by J. Ingles),46,36
178,2,1:14.0,,J. Ingles makes free throw 1 of 1,46,37
179,2,1:01.0,A. Baynes misses 2-pt jump shot from 9 ft,,46,37
180,2,1:00.0,,Defensive rebound by J. Ingles,46,37
181,2,0:51.0,,J. Crowder makes 2-pt dunk from 1 ft (assist by J. Ingles),46,39
182,2,0:51.0,Boston full timeout,,46,39
183,2,0:51.0,G. Monroe enters the game for S. Larkin,,46,39
184,2,0:51.0,J. Tatum enters the game for A. Baynes,,46,39
185,2,0:30.0,J. Tatum makes 2-pt jump shot from 10 ft,,48,39
186,2,0:08.0,,D. Mitchell misses 2-pt jump shot from 19 ft,48,39
187,2,0:05.0,,Offensive rebound by R. Gobert,48,39
188,2,0:00.0,,R. Rubio misses 2-pt jump shot from 19 ft,48,39
189,2,0:00.0,,Offensive rebound by Team,48,39
190,3,11:42.0,Shooting foul by D. Mitchell (drawn by J. Brown),,48,39
191,3,11:42.0,J. Brown makes free throw 1 of 2,,49,39
192,3,11:42.0,J. Brown misses free throw 2 of 2,,49,39
193,3,11:39.0,Offensive rebound by J. Brown,,49,39
194,3,11:31.0,Turnover by G. Yabusele (traveling),,49,39
195,3,11:14.0,,J. Ingles makes 3-pt jump shot from 23 ft (assist by R. Rubio),49,42
196,3,11:02.0,Turnover by J. Brown (turnover),,49,42
197,3,10:56.0,,Personal foul by J. Brown (drawn by D. Mitchell),49,42
198,3,10:50.0,,J. Ingles misses 3-pt jump shot from 25 ft,49,42
199,3,10:49.0,Defensive rebound by Team,,49,42
200,3,10:32.0,G. Yabusele misses 3-pt jump shot from 25 ft,,49,42
201,3,10:28.0,Offensive rebound by J. Brown,,49,42
202,3,10:28.0,Turnover by J. Brown (step out of bounds),,49,42
203,3,10:06.0,,D. Mitchell misses 2-pt jump shot from 10 ft,49,42
204,3,10:05.0,,Offensive rebound by Team,49,42
205,3,10:05.0,Loose ball foul by A. Baynes (drawn by D. Mitchell),,49,42
206,3,10:02.0,,Shooting foul by J. Tatum (drawn by D. Mitchell),49,42
