,QUARTER,TIME_REMAINING,BOSTON_ACTION,DALLAS_ACTION,BOSTON_SCORE,DALLAS_SCORE
0,1,11:47.0,Turnover by A. Horford (out of bounds lost ball),,0,0
1,1,11:23.0,,D. Smith makes 2-pt layup from 2 ft,0,2
2,1,11:07.0,K. Irving makes 2-pt jump shot from 7 ft (assist by M. Morris),,2,2
3,1,10:52.0,,D. Nowitzki misses 2-pt jump shot from 21 ft,2,2
4,1,10:51.0,Defensive rebound by J. Brown,,2,2
5,1,10:51.0,,Loose ball foul by M. Kleber (drawn by J. Brown),2,2
6,1,10:37.0,J. Tatum misses 3-pt jump shot from 25 ft,,2,2
7,1,10:32.0,,Defensive rebound by W. Matthews,2,2
8,1,10:28.0,Violation by M. Morris (kicked ball),,2,2
9,1,10:17.0,,D. Nowitzki makes 2-pt jump shot from 12 ft (assist by D. Smith),2,4
10,1,10:01.0,J. Brown misses 3-pt jump shot from 23 ft,,2,4
11,1,9:58.0,,Defensive rebound by D. Smith,2,4
12,1,9:53.0,,D. Smith makes 2-pt jump shot from 16 ft,2,6
13,1,9:38.0,M. Morris misses 2-pt jump shot from 2 ft,,2,6
14,1,9:36.0,,Defensive rebound by D. Nowitzki,2,6
15,1,9:30.0,,D. Smith makes 2-pt jump shot from 15 ft,2,8
16,1,9:15.0,J. Tatum makes 2-pt dunk from 1 ft (assist by A. Horford),,4,8
17,1,8:54.0,,Shooting foul by J. Tatum (drawn by W. Matthews),4,8
18,1,8:54.0,,W. Matthews misses free throw 1 of 2,4,8
19,1,8:54.0,,Offensive rebound by Team,4,8
20,1,8:54.0,,W. Matthews makes free throw 2 of 2,4,9
21,1,8:42.0,M. Morris makes 2-pt jump shot from 19 ft,,6,9
22,1,8:20.0,,D. Smith misses 2-pt jump shot from 2 ft,6,9
23,1,8:18.0,,Offensive rebound by D. Smith,6,9
24,1,8:18.0,,W. Matthews misses 3-pt jump shot from 24 ft,6,9
25,1,8:18.0,Defensive rebound by M. Morris,,6,9
26,1,8:13.0,K. Irving makes 2-pt layup from 1 ft,,8,9
27,1,7:55.0,,H. Barnes makes 2-pt layup from 1 ft,8,11
28,1,7:44.0,K. Irving makes 2-pt jump shot from 19 ft,,10,11
29,1,7:44.0,Shooting foul by D. Smith (drawn by K. Irving),,10,11
30,1,7:44.0,K. Irving makes free throw 1 of 1,,11,11
31,1,7:26.0,,D. Smith misses 3-pt jump shot from 25 ft,11,11
32,1,7:26.0,Defensive rebound by J. Brown,,11,11
33,1,7:20.0,J. Brown makes 2-pt jump shot from 18 ft,,13,11
34,1,7:17.0,,Dallas full timeout,13,11
35,1,7:17.0,,Y. Ferrell enters the game for D. Nowitzki,13,11
36,1,6:58.0,,H. Barnes misses 2-pt jump shot from 18 ft,13,11
37,1,6:55.0,Defensive rebound by J. Brown,,13,11
38,1,6:49.0,M. Morris misses 3-pt jump shot from 25 ft,,13,11
39,1,6:46.0,,Defensive rebound by W. Matthews,13,11
40,1,6:39.0,,D. Smith misses 2-pt layup from 2 ft (block by J. Tatum),13,11
41,1,6:36.0,Defensive rebound by J. Tatum,,13,11
42,1,6:21.0,K. Irving makes 3-pt jump shot from 29 ft (assist by A. Horford),,16,11
43,1,5:55.0,,D. Smith misses 2-pt jump shot from 12 ft,16,11
44,1,5:52.0,Defensive rebound by A. Horford,,16,11
45,1,5:47.0,J. Brown makes 3-pt jump shot from 22 ft (assist by K. Irving),,19,11
46,1,5:34.0,,Personal foul by M. Morris (drawn by H. Barnes),19,11
47,1,5:34.0,,D. Powell enters the game for D. Smith,19,11
48,1,5:34.0,,J. Barea enters the game for M. Kleber,19,11
49,1,5:34.0,,D. Harris enters the game for Y. Ferrell,19,11
50,1,5:34.0,M. Smart enters the game for J. Tatum,,19,11
51,1,5:34.0,A. Baynes enters the game for M. Morris,,19,11
52,1,5:27.0,,W. Matthews makes 3-pt jump shot from 22 ft (assist by J. Barea),19,14
53,1,5:08.0,Turnover by J. Brown (lost ball; steal by W. Matthews),,19,14
54,1,5:01.0,,H. Barnes misses 2-pt jump shot from 14 ft,19,14
55,1,4:57.0,Defensive rebound by A. Horford,,19,14
56,1,4:46.0,J. Brown makes 3-pt jump shot from 26 ft (assist by M. Smart),,22,14
57,1,4:23.0,,H. Barnes makes 2-pt hook shot from 5 ft,22,16
58,1,4:11.0,K. Irving makes 3-pt jump shot from 25 ft,,25,16
59,1,4:09.0,,Dallas full timeout,25,16
60,1,3:58.0,,Personal foul by J. Brown (drawn by D. Harris),25,16
61,1,3:50.0,,H. Barnes misses 2-pt layup from 2 ft (block by A. Horford),25,16
62,1,3:50.0,Defensive rebound by A. Horford,,25,16
63,1,3:36.0,J. Brown makes 2-pt layup from 1 ft (assist by M. Smart),,27,16
64,1,3:25.0,,D. Powell misses 2-pt jump shot from 11 ft,27,16
65,1,3:25.0,Defensive rebound by A. Horford,,27,16
66,1,3:14.0,K. Irving makes 3-pt jump shot from 23 ft (assist by M. Smart),,30,16
67,1,2:57.0,,H. Barnes makes 2-pt jump shot from 16 ft (assist by J. Barea),30,18
68,1,2:40.0,Shooting foul by D. Powell (drawn by K. Irving),,30,18
69,1,2:40.0,K. Irving makes free throw 1 of 2,,31,18
70,1,2:40.0,,D. Nowitzki enters the game for W. Matthews,31,18
71,1,2:40.0,,Y. Ferrell enters the game for H. Barnes,31,18
72,1,2:40.0,D. Theis enters the game for A. Horford,,31,18
73,1,2:40.0,S. Ojeleye enters the game for A. Baynes,,31,18
