,QUARTER,TIME_REMAINING,PORTLAND_ACTION,DALLAS_ACTION,PORTLAND_SCORE,DALLAS_SCORE
0,1,11:39.0,,M. Kleber makes 3-pt jump shot from 25 ft (assist by H. Barnes),0,3
1,1,11:19.0,C. McCollum makes 2-pt jump shot from 16 ft (assist by J. Nurkić),,2,3
2,1,11:01.0,,W. Matthews makes 2-pt jump shot from 11 ft,2,5
3,1,10:47.0,J. Nurkić misses 2-pt layup from 1 ft,,2,5
4,1,10:47.0,Offensive rebound by Team,,2,5
5,1,10:43.0,C. McCollum makes 3-pt jump shot from 25 ft (assist by D. Lillard),,5,5
6,1,10:27.0,,H. Barnes misses 3-pt jump shot from 24 ft,5,5
7,1,10:24.0,Defensive rebound by A. Aminu,,5,5
8,1,10:19.0,D. Lillard misses 3-pt jump shot from 26 ft,,5,5
9,1,10:15.0,,Defensive rebound by H. Barnes,5,5
10,1,10:06.0,,D. Nowitzki misses 2-pt jump shot from 14 ft,5,5
11,1,10:02.0,Defensive rebound by J. Nurkić,,5,5
12,1,9:54.0,C. McCollum misses 2-pt jump shot from 5 ft,,5,5
13,1,9:51.0,,Defensive rebound by D. Smith,5,5
14,1,9:29.0,,M. Kleber misses 2-pt layup from 3 ft,5,5
15,1,9:29.0,Defensive rebound by J. Nurkić,,5,5
16,1,9:22.0,M. Harkless misses 3-pt jump shot from 25 ft,,5,5
17,1,9:22.0,Offensive rebound by J. Nurkić,,5,5
18,1,9:18.0,J. Nurkić misses 2-pt layup from 1 ft,,5,5
19,1,9:18.0,,Defensive rebound by D. Nowitzki,5,5
20,1,9:09.0,,Turnover by H. Barnes (lost ball; steal by A. Aminu),5,5
21,1,9:01.0,Turnover by D. Lillard (bad pass; steal by M. Kleber),,5,5
22,1,8:45.0,,W. Matthews misses 2-pt jump shot from 6 ft,5,5
23,1,8:43.0,Defensive rebound by A. Aminu,,5,5
24,1,8:26.0,J. Nurkić makes 2-pt hook shot from 1 ft,,7,5
25,1,8:09.0,,W. Matthews makes 2-pt jump shot from 13 ft,7,7
26,1,7:55.0,C. McCollum misses 3-pt jump shot from 23 ft,,7,7
27,1,7:53.0,,Defensive rebound by D. Nowitzki,7,7
28,1,7:46.0,,H. Barnes misses 2-pt layup from 2 ft,7,7
29,1,7:44.0,,Offensive rebound by H. Barnes,7,7
30,1,7:36.0,,D. Nowitzki makes 3-pt jump shot from 25 ft (assist by H. Barnes),7,10
31,1,7:18.0,A. Aminu misses 3-pt jump shot from 25 ft,,7,10
32,1,7:15.0,,Defensive rebound by H. Barnes,7,10
33,1,7:05.0,,D. Nowitzki misses 2-pt jump shot from 19 ft,7,10
34,1,7:02.0,Defensive rebound by A. Aminu,,7,10
35,1,6:53.0,J. Nurkić makes 2-pt dunk from 1 ft (assist by D. Lillard),,9,10
36,1,6:53.0,,Dallas full timeout,9,10
37,1,6:53.0,,S. Mejri enters the game for D. Nowitzki,9,10
38,1,6:42.0,,W. Matthews misses 2-pt jump shot from 19 ft,9,10
39,1,6:38.0,Defensive rebound by A. Aminu,,9,10
40,1,6:33.0,Personal foul by S. Mejri (drawn by D. Lillard),,9,10
41,1,6:26.0,C. McCollum makes 2-pt jump shot from 19 ft,,11,10
42,1,6:10.0,,D. Smith makes 3-pt jump shot from 24 ft (assist by W. Matthews),11,13
43,1,5:53.0,J. Nurkić misses 2-pt jump shot from 18 ft,,11,13
44,1,5:50.0,,Defensive rebound by M. Kleber,11,13
45,1,5:43.0,,H. Barnes makes 2-pt layup from 2 ft (assist by W. Matthews),11,15
46,1,5:23.0,C. McCollum makes 2-pt jump shot from 6 ft,,13,15
47,1,5:06.0,Violation by J. Nurkić (kicked ball),,13,15
48,1,5:06.0,E. Davis enters the game for M. Harkless,,13,15
49,1,5:06.0,Z. Collins enters the game for J. Nurkić,,13,15
50,1,4:58.0,,D. Smith misses 2-pt jump shot from 17 ft,13,15
51,1,4:55.0,Defensive rebound by C. McCollum,,13,15
52,1,4:41.0,Turnover by E. Davis (turnover),,13,15
53,1,4:41.0,P. Connaughton enters the game for C. McCollum,,13,15
54,1,4:23.0,,M. Kleber misses 2-pt jump shot from 13 ft,13,15
55,1,4:21.0,Defensive rebound by A. Aminu,,13,15
56,1,4:12.0,D. Lillard misses 2-pt jump shot from 18 ft,,13,15
57,1,4:09.0,,Defensive rebound by M. Kleber,13,15
58,1,4:02.0,,D. Smith misses 3-pt jump shot from 24 ft,13,15
59,1,3:57.0,Defensive rebound by D. Lillard,,13,15
60,1,3:46.0,Z. Collins misses 2-pt hook shot from 8 ft,,13,15
61,1,3:44.0,,Defensive rebound by D. Smith,13,15
62,1,3:37.0,,D. Smith makes 2-pt jump shot from 11 ft,13,17
63,1,3:21.0,Turnover by D. Lillard (bad pass),,13,17
64,1,3:21.0,,Y. Ferrell enters the game for M. Kleber,13,17
65,1,3:09.0,,W. Matthews misses 2-pt jump shot from 14 ft,13,17
66,1,3:05.0,Defensive rebound by E. Davis,,13,17
67,1,2:59.0,D. Lillard misses 3-pt jump shot from 26 ft,,13,17
68,1,2:56.0,,Defensive rebound by H. Barnes,13,17
69,1,2:48.0,,Personal block foul by P. Connaughton (drawn by Y. Ferrell),13,17
70,1,2:48.0,Portland full timeout,,13,17
71,1,2:48.0,,J. Barea enters the game for D. Smith,13,17
72,1,2:48.0,S. Napier enters the game for A. Aminu,,13,17
73,1,2:34.0,,H. Barnes makes 2-pt hook shot from 7 ft (assist by J. Barea),13,19
74,1,2:07.0,D. Lillard misses 2-pt jump shot from 3 ft,,13,19
75,1,2:04.0,,Defensive rebound by S. Mejri,13,19
76,1,1:51.0,,Y. Ferrell makes 2-pt layup from 1 ft,13,21
77,1,1:26.0,E. Davis misses 2-pt jump shot from 10 ft,,13,21
78,1,1:24.0,,Defensive rebound by H. Barnes,13,21
79,1,1:14.0,,H. Barnes misses 2-pt layup from 1 ft,13,21
80,1,1:08.0,,Offensive rebound by S. Mejri,13,21
81,1,1:08.0,,S. Mejri makes 2-pt layup at rim,13,23
82,1,1:01.0,Offensive foul by Z. Collins (drawn by W. Matthews),,13,23
83,1,1:01.0,Turnover by Z. Collins (offensive foul),,13,23
84,1,1:01.0,,D. Nowitzki enters the game for H. Barnes,13,23
85,1,1:01.0,,D. Powell enters the game for S. Mejri,13,23
86,1,1:01.0,C. McCollum enters the game for D. Lillard,,13,23
87,1,0:42.0,,W. Matthews makes 2-pt jump shot from 15 ft,13,25
88,1,0:33.0,E. Davis makes 2-pt dunk at rim (assist by C. McCollum),,15,25
89,1,0:11.0,,Y. Ferrell misses 2-pt jump shot from 13 ft,15,25
90,1,0:08.0,Defensive rebound by Z. Collins,,15,25
91,1,0:04.0,Personal take foul by Y. Ferrell (drawn by C. McCollum),,15,25
92,1,0:04.0,,M. Kleber enters the game for D. Nowitzki,15,25
93,1,0:04.0,D. Lillard enters the game for Z. Collins,,15,25
94,1,0:04.0,,K. Collinsworth enters the game for J. Barea,15,25
95,1,0:00.0,C. McCollum makes 2-pt jump shot from 14 ft,,17,25
96,2,11:50.0,E. Davis makes 2-pt dunk from 1 ft (assist by C. McCollum),,19,25
97,2,11:50.0,Shooting foul by D. Nowitzki (drawn by E. Davis),,19,25
98,2,11:50.0,E. Davis makes free throw 1 of 1,,20,25
99,2,11:39.0,,Y. Ferrell misses 2-pt layup from 2 ft (block by Z. Collins),20,25
100,2,11:35.0,Defensive rebound by Z. Collins,,20,25
101,2,11:23.0,E. Davis makes 2-pt hook shot at rim (assist by C. McCollum),,22,25
102,2,11:11.0,,Personal foul by Z. Collins (drawn by Y. Ferrell),22,25
103,2,11:00.0,,D. Nowitzki misses 2-pt jump shot from 13 ft,22,25
104,2,10:56.0,Defensive rebound by E. Davis,,22,25
105,2,10:45.0,Offensive foul by Z. Collins (drawn by J. Barea),,22,25
106,2,10:45.0,Turnover by Z. Collins (offensive foul),,22,25
107,2,10:45.0,M. Harkless enters the game for Z. Collins,,22,25
108,2,10:24.0,,D. Powell misses 2-pt dunk at rim (block by E. Davis),22,25
109,2,10:21.0,,Offensive rebound by K. Collinsworth,22,25
110,2,10:20.0,,J. Barea misses 3-pt jump shot from 25 ft,22,25
111,2,10:20.0,,Offensive rebound by K. Collinsworth,22,25
112,2,10:18.0,,Y. Ferrell misses 3-pt jump shot from 25 ft,22,25
113,2,10:18.0,Defensive rebound by E. Davis,,22,25
114,2,10:16.0,Turnover by E. Davis (lost ball; steal by D. Powell),,22,25
115,2,10:13.0,,D. Powell makes 2-pt layup from 3 ft,22,27
116,2,9:53.0,P. Connaughton makes 3-pt jump shot from 24 ft,,25,27
117,2,9:42.0,,J. Barea makes 2-pt jump shot from 5 ft,25,29
118,2,9:25.0,S. Napier misses 2-pt layup from 3 ft (block by D. Powell),,25,29
119,2,9:25.0,,Defensive rebound by D. Powell,25,29
120,2,9:16.0,,D. Powell misses 3-pt jump shot from 24 ft,25,29
121,2,9:16.0,Defensive rebound by C. McCollum,,25,29
122,2,9:02.0,M. Harkless misses 3-pt jump shot from 24 ft,,25,29
123,2,9:00.0,,Defensive rebound by D. Nowitzki,25,29
124,2,8:53.0,,D. Nowitzki misses 3-pt jump shot from 24 ft,25,29
125,2,8:52.0,Defensive rebound by Team,,25,29
126,2,8:52.0,,Loose ball foul by D. Powell (drawn by E. Davis),25,29
127,2,8:36.0,Turnover by C. McCollum (lost ball; steal by K. Collinsworth),,25,29
128,2,8:27.0,,K. Collinsworth makes 2-pt layup from 1 ft,25,31
129,2,8:08.0,C. McCollum makes 2-pt jump shot from 15 ft,,27,31
130,2,7:51.0,,D. Nowitzki misses 2-pt dunk from 2 ft (block by M. Harkless),27,31
131,2,7:51.0,,Offensive rebound by Team,27,31
