,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,CHARLOTTE_ACTION,MEMPHIS_SCORE,CHARLOTTE_SCORE
0,1,11:39.0,,W. Hernangómez misses 2-pt layup from 3 ft (block by D. Davis),0,0
1,1,11:36.0,Defensive rebound by J. Green,,0,0
2,1,11:32.0,Turnover by T. Evans (bad pass),,0,0
3,1,11:15.0,,M. Kidd-Gilchrist misses 2-pt jump shot from 12 ft,0,0
4,1,11:13.0,Defensive rebound by T. Evans,,0,0
5,1,11:05.0,J. Martin misses 2-pt layup from 3 ft (block by W. Hernangómez),,0,0
6,1,11:01.0,,Defensive rebound by M. Williams,0,0
7,1,10:44.0,,W. Hernangómez misses 2-pt jump shot from 4 ft,0,0
8,1,10:42.0,Defensive rebound by T. Evans,,0,0
9,1,10:35.0,J. Green misses 3-pt jump shot from 25 ft,,0,0
10,1,10:31.0,,Defensive rebound by M. Kidd-Gilchrist,0,0
11,1,10:12.0,,M. Williams makes 2-pt jump shot from 8 ft,0,2
12,1,9:58.0,J. Martin makes 2-pt jump shot from 11 ft (assist by T. Evans),,2,2
13,1,9:42.0,,M. Williams misses 3-pt jump shot from 26 ft,2,2
14,1,9:40.0,,Offensive rebound by W. Hernangómez,2,2
15,1,9:38.0,,K. Walker makes 3-pt jump shot from 28 ft,2,5
16,1,9:20.0,Turnover by J. Martin (bad pass; steal by M. Williams),,2,5
17,1,9:07.0,,J. Lamb makes 2-pt jump shot from 9 ft,2,7
18,1,8:50.0,Personal foul by M. Kidd-Gilchrist (drawn by T. Evans),,2,7
19,1,8:40.0,D. Davis misses 2-pt jump shot from 15 ft,,2,7
20,1,8:36.0,,Defensive rebound by W. Hernangómez,2,7
21,1,8:20.0,,W. Hernangómez misses 2-pt layup from 2 ft,2,7
22,1,8:18.0,Defensive rebound by T. Evans,,2,7
23,1,8:12.0,T. Evans misses 2-pt jump shot from 17 ft,,2,7
24,1,8:07.0,Offensive rebound by D. Brooks,,2,7
25,1,8:06.0,D. Brooks misses 2-pt layup from 1 ft,,2,7
26,1,8:03.0,,Defensive rebound by W. Hernangómez,2,7
27,1,8:00.0,,Personal foul by T. Evans (drawn by W. Hernangómez),2,7
28,1,7:53.0,,M. Williams makes 3-pt jump shot from 25 ft (assist by J. Lamb),2,10
29,1,7:38.0,D. Brooks misses 3-pt jump shot from 23 ft,,2,10
30,1,7:35.0,,Defensive rebound by J. Lamb,2,10
31,1,7:29.0,,W. Hernangómez makes 2-pt layup from 2 ft (assist by J. Lamb),2,12
32,1,7:29.0,Memphis full timeout,,2,12
33,1,7:18.0,Personal foul by J. Lamb (drawn by J. Martin),,2,12
34,1,7:05.0,J. Green misses 2-pt layup from 1 ft,,2,12
35,1,7:02.0,,Defensive rebound by M. Williams,2,12
36,1,6:59.0,,J. Lamb misses 3-pt jump shot from 28 ft,2,12
37,1,6:56.0,,Offensive rebound by W. Hernangómez,2,12
38,1,6:46.0,,W. Hernangómez misses 2-pt layup from 5 ft (block by T. Evans),2,12
