,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,LA CLIPPERS_ACTION,NEW ORLEANS_SCORE,LA CLIPPERS_SCORE
0,1,11:46.0,Turnover by E. Moore (bad pass),,0,0
1,1,11:36.0,,T. Harris misses 3-pt jump shot from 25 ft,0,0
2,1,11:33.0,Defensive rebound by E. Moore,,0,0
3,1,11:27.0,A. Davis makes 2-pt hook shot from 7 ft (assist by E. Moore),,2,0
4,1,11:20.0,,Turnover by M. Teodosić (bad pass; steal by R. Rondo),2,0
5,1,11:15.0,J. Holiday makes 2-pt layup from 1 ft (assist by R. Rondo),,4,0
6,1,10:56.0,,Turnover by D. Jordan (lost ball; steal by R. Rondo),4,0
7,1,10:48.0,E. Moore makes 2-pt jump shot from 22 ft (assist by R. Rondo),,6,0
8,1,10:34.0,,T. Harris makes 2-pt jump shot from 15 ft (assist by W. Johnson),6,2
9,1,10:18.0,R. Rondo makes 3-pt jump shot from 24 ft,,9,2
10,1,10:08.0,,A. Rivers misses 3-pt jump shot from 24 ft,9,2
11,1,10:04.0,Defensive rebound by A. Davis,,9,2
12,1,10:04.0,J. Holiday makes 2-pt layup at rim (assist by R. Rondo),,11,2
13,1,10:04.0,Shooting foul by T. Harris (drawn by J. Holiday),,11,2
14,1,10:04.0,,LA Clippers full timeout,11,2
15,1,10:04.0,J. Holiday makes free throw 1 of 1,,12,2
16,1,9:39.0,,T. Harris makes 3-pt jump shot from 24 ft (assist by M. Teodosić),12,5
17,1,9:20.0,A. Davis misses 2-pt hook shot from 7 ft,,12,5
18,1,9:18.0,,Defensive rebound by T. Harris,12,5
19,1,9:10.0,,T. Harris misses 2-pt layup from 3 ft,12,5
20,1,9:08.0,Defensive rebound by E. Okafor,,12,5
21,1,8:57.0,R. Rondo misses 3-pt jump shot from 23 ft,,12,5
22,1,8:54.0,,Defensive rebound by D. Jordan,12,5
23,1,8:44.0,,A. Rivers misses 2-pt jump shot from 8 ft,12,5
24,1,8:38.0,,Offensive rebound by D. Jordan,12,5
25,1,8:38.0,,D. Jordan misses 2-pt layup at rim,12,5
26,1,8:37.0,Defensive rebound by E. Okafor,,12,5
27,1,8:35.0,J. Holiday misses 2-pt layup from 2 ft,,12,5
28,1,8:33.0,,Defensive rebound by D. Jordan,12,5
29,1,8:31.0,,M. Teodosić misses 3-pt jump shot from 25 ft,12,5
30,1,8:26.0,Defensive rebound by Team,,12,5
31,1,8:26.0,,Loose ball foul by A. Rivers (drawn by A. Davis),12,5
32,1,8:09.0,Turnover by A. Davis (bad pass; steal by T. Harris),,12,5
33,1,8:03.0,,D. Jordan misses 2-pt hook shot from 8 ft,12,5
