,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,TORONTO_ACTION,WASHINGTON_SCORE,TORONTO_SCORE
0,1,11:38.0,O. Porter misses 3-pt jump shot from 28 ft,,0,0
1,1,11:34.0,Offensive rebound by M. Morris,,0,0
2,1,11:29.0,B. Beal makes 3-pt jump shot from 25 ft (assist by O. Porter),,3,0
3,1,11:06.0,,Turnover by N. Powell (bad pass; steal by O. Porter),3,0
4,1,11:02.0,O. Porter makes 2-pt dunk from 1 ft,,5,0
5,1,10:46.0,,Personal foul by M. Morris (drawn by S. Ibaka),5,0
6,1,10:37.0,,S. Ibaka misses 2-pt jump shot from 13 ft,5,0
7,1,10:35.0,Defensive rebound by M. Gortat,,5,0
8,1,10:22.0,M. Gortat misses 2-pt jump shot from 10 ft,,5,0
9,1,10:20.0,,Defensive rebound by S. Ibaka,5,0
10,1,10:14.0,,D. DeRozan misses 3-pt jump shot from 54 ft,5,0
11,1,10:14.0,Defensive rebound by Team,,5,0
12,1,10:03.0,Shooting foul by D. DeRozan (drawn by M. Gortat),,5,0
13,1,10:03.0,M. Gortat makes free throw 1 of 2,,6,0
14,1,10:03.0,M. Gortat makes free throw 2 of 2,,7,0
15,1,9:48.0,,J. Valančiūnas makes 2-pt hook shot from 2 ft (assist by D. DeRozan),7,2
16,1,9:33.0,M. Morris misses 2-pt jump shot from 14 ft,,7,2
17,1,9:31.0,,Defensive rebound by K. Lowry,7,2
18,1,9:18.0,,D. DeRozan misses 3-pt jump shot from 22 ft,7,2
19,1,9:17.0,,Offensive rebound by J. Valančiūnas,7,2
20,1,9:13.0,,N. Powell misses 2-pt layup from 1 ft,7,2
21,1,9:13.0,Defensive rebound by M. Morris,,7,2
22,1,9:08.0,B. Beal misses 3-pt jump shot from 23 ft,,7,2
23,1,9:04.0,,Defensive rebound by S. Ibaka,7,2
24,1,9:00.0,,Personal foul by T. Frazier (drawn by K. Lowry),7,2
25,1,8:56.0,,Personal foul by T. Frazier (drawn by K. Lowry),7,2
26,1,8:56.0,T. Satoranský enters the game for T. Frazier,,7,2
27,1,8:48.0,,D. DeRozan misses 2-pt jump shot from 4 ft,7,2
28,1,8:47.0,Defensive rebound by O. Porter,,7,2
