,QUARTER,TIME_REMAINING,DALLAS_ACTION,TORONTO_ACTION,DALLAS_SCORE,TORONTO_SCORE
0,1,11:37.0,,D. DeRozan misses 3-pt jump shot from 25 ft,0,0
1,1,11:33.0,Defensive rebound by H. Barnes,,0,0
2,1,11:27.0,H. Barnes misses 2-pt jump shot from 10 ft,,0,0
3,1,11:24.0,,Defensive rebound by S. Ibaka,0,0
4,1,11:16.0,,J. Valančiūnas makes 2-pt jump shot from 13 ft (assist by D. Wright),0,2
5,1,11:02.0,D. Smith makes 2-pt jump shot from 2 ft (assist by D. Powell),,2,2
6,1,10:45.0,,J. Valančiūnas misses 2-pt layup from 3 ft (block by D. Nowitzki),2,2
7,1,10:45.0,,Offensive rebound by Team,2,2
8,1,10:36.0,,D. Wright misses 3-pt jump shot from 23 ft,2,2
9,1,10:34.0,Defensive rebound by D. Powell,,2,2
10,1,10:14.0,D. Smith misses 2-pt jump shot from 18 ft,,2,2
11,1,10:11.0,,Defensive rebound by J. Valančiūnas,2,2
12,1,10:06.0,,Personal foul by D. Smith (drawn by D. Wright),2,2
13,1,9:58.0,,S. Ibaka misses 3-pt jump shot from 23 ft,2,2
14,1,9:57.0,Defensive rebound by Team,,2,2
15,1,9:40.0,D. Powell makes 2-pt layup from 2 ft (assist by H. Barnes),,4,2
16,1,9:25.0,,O. Anunoby makes 2-pt layup from 1 ft (assist by D. Wright),4,4
17,1,9:10.0,H. Barnes makes 2-pt dunk at rim,,6,4
18,1,8:55.0,,Shooting foul by D. Finney-Smith (drawn by D. DeRozan),6,4
19,1,8:55.0,,D. DeRozan makes free throw 1 of 2,6,5
20,1,8:55.0,,D. DeRozan makes free throw 2 of 2,6,6
21,1,8:40.0,D. Smith misses 2-pt dunk from 2 ft (block by O. Anunoby),,6,6
22,1,8:38.0,,Defensive rebound by D. Wright,6,6
23,1,8:35.0,,D. DeRozan makes 2-pt layup at rim (assist by D. Wright),6,8
24,1,8:21.0,D. Nowitzki misses 3-pt jump shot from 25 ft,,6,8
25,1,8:19.0,,Defensive rebound by O. Anunoby,6,8
26,1,8:14.0,,Shooting foul by D. Powell (drawn by D. DeRozan),6,8
27,1,8:14.0,,D. DeRozan makes free throw 1 of 2,6,9
28,1,8:14.0,,D. DeRozan makes free throw 2 of 2,6,10
29,1,7:57.0,H. Barnes makes 2-pt jump shot from 11 ft (assist by D. Finney-Smith),,8,10
30,1,7:42.0,,D. Wright makes 3-pt jump shot from 26 ft (assist by D. DeRozan),8,13
31,1,7:40.0,Dallas full timeout,,8,13
32,1,7:40.0,N. Noel enters the game for D. Nowitzki,,8,13
33,1,7:26.0,N. Noel makes 2-pt layup from 1 ft (assist by H. Barnes),,10,13
34,1,7:03.0,,Turnover by O. Anunoby (bad pass; steal by N. Noel),10,13
35,1,6:56.0,D. Smith misses 2-pt layup from 2 ft,,10,13
36,1,6:54.0,,Defensive rebound by D. Wright,10,13
37,1,6:38.0,,Turnover by D. DeRozan (lost ball; steal by N. Noel),10,13
38,1,6:33.0,D. Smith makes 2-pt dunk at rim,,12,13
39,1,6:13.0,,S. Ibaka misses 3-pt jump shot from 26 ft,12,13
40,1,6:11.0,Defensive rebound by N. Noel,,12,13
41,1,5:51.0,D. Finney-Smith misses 3-pt jump shot from 24 ft,,12,13
42,1,5:49.0,,Defensive rebound by J. Valančiūnas,12,13
43,1,5:38.0,,O. Anunoby makes 2-pt layup at rim (assist by J. Valančiūnas),12,15
44,1,5:23.0,D. Smith makes 2-pt jump shot from 19 ft,,14,15
45,1,5:00.0,,D. Wright misses 2-pt jump shot from 4 ft,14,15
46,1,4:58.0,Defensive rebound by D. Finney-Smith,,14,15
47,1,4:51.0,H. Barnes makes 3-pt jump shot from 23 ft (assist by D. Smith),,17,15
48,1,4:27.0,,J. Valančiūnas makes 2-pt layup from 2 ft,17,17
