,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,DALLAS_ACTION,WASHINGTON_SCORE,DALLAS_SCORE
0,1,11:40.0,O. Porter makes 2-pt jump shot from 20 ft (assist by B. Beal),,2,0
1,1,11:18.0,,D. Nowitzki makes 2-pt jump shot from 13 ft (assist by D. Smith),2,2
2,1,10:55.0,J. Wall makes 2-pt jump shot from 18 ft,,4,2
3,1,10:40.0,,M. Kleber misses 2-pt layup from 1 ft (block by J. Wall),4,2
4,1,10:37.0,Defensive rebound by M. Morris,,4,2
5,1,10:30.0,M. Gortat misses 2-pt hook shot from 8 ft,,4,2
6,1,10:28.0,,Defensive rebound by Team,4,2
7,1,10:13.0,,W. Matthews makes 2-pt jump shot from 3 ft,4,4
8,1,9:58.0,Turnover by O. Porter (lost ball; steal by H. Barnes),,4,4
9,1,9:54.0,,D. Smith makes 2-pt dunk from 1 ft (assist by M. Kleber),4,6
10,1,9:40.0,B. Beal misses 2-pt jump shot from 12 ft,,4,6
11,1,9:36.0,,Defensive rebound by M. Kleber,4,6
12,1,9:23.0,,D. Smith misses 3-pt jump shot from 25 ft,4,6
13,1,9:20.0,Defensive rebound by O. Porter,,4,6
14,1,9:10.0,J. Wall makes 2-pt jump shot from 15 ft,,6,6
15,1,8:49.0,,M. Kleber misses 3-pt jump shot from 22 ft,6,6
16,1,8:45.0,Defensive rebound by B. Beal,,6,6
17,1,8:38.0,M. Gortat makes 2-pt layup from 1 ft (assist by J. Wall),,8,6
18,1,8:15.0,,H. Barnes makes 2-pt jump shot from 20 ft,8,8
19,1,8:02.0,Shooting foul by D. Smith (drawn by J. Wall),,8,8
20,1,8:02.0,J. Wall makes free throw 1 of 2,,9,8
21,1,8:02.0,J. Wall misses free throw 2 of 2,,9,8
22,1,7:59.0,,Defensive rebound by M. Kleber,9,8
23,1,7:44.0,,D. Nowitzki misses 3-pt jump shot from 25 ft,9,8
24,1,7:42.0,Defensive rebound by M. Morris,,9,8
25,1,7:35.0,M. Morris misses 3-pt jump shot from 25 ft,,9,8
26,1,7:32.0,Offensive rebound by M. Gortat,,9,8
27,1,7:26.0,M. Gortat misses 2-pt layup from 1 ft (block by M. Kleber),,9,8
28,1,7:24.0,Offensive rebound by M. Gortat,,9,8
29,1,7:23.0,M. Gortat misses 2-pt layup from 1 ft (block by H. Barnes),,9,8
30,1,7:21.0,,Defensive rebound by D. Nowitzki,9,8
31,1,7:13.0,,M. Kleber makes 2-pt dunk from 1 ft (assist by D. Smith),9,10
32,1,6:58.0,B. Beal makes 3-pt jump shot from 25 ft (assist by J. Wall),,12,10
33,1,6:56.0,,Dallas full timeout,12,10
34,1,6:56.0,,S. Mejri enters the game for D. Nowitzki,12,10
35,1,6:46.0,,Turnover by W. Matthews (bad pass; steal by O. Porter),12,10
36,1,6:38.0,B. Beal makes 2-pt jump shot from 14 ft,,14,10
37,1,6:19.0,,W. Matthews makes 3-pt jump shot from 26 ft (assist by D. Smith),14,13
38,1,6:10.0,B. Beal misses 3-pt jump shot from 25 ft,,14,13
