,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,PHOENIX_ACTION,MILWAUKEE_SCORE,PHOENIX_SCORE
0,1,11:42.0,,M. Chriss misses 3-pt jump shot from 23 ft,0,0
1,1,11:38.0,Defensive rebound by G. Payton,,0,0
2,1,11:25.0,E. Bledsoe makes 2-pt jump shot from 14 ft (assist by G. Payton),,2,0
3,1,11:11.0,,Turnover by T. Warren (traveling),2,0
4,1,11:03.0,G. Payton misses 2-pt jump shot from 10 ft,,2,0
5,1,11:01.0,,Defensive rebound by T. Chandler,2,0
6,1,10:56.0,,M. Chriss makes 2-pt dunk at rim (assist by T. Ulis),2,2
7,1,10:45.0,T. Maker misses 2-pt layup at rim,,2,2
8,1,10:43.0,,Defensive rebound by T. Chandler,2,2
9,1,10:36.0,,Turnover by T. Chandler (bad pass; steal by M. Brogdon),2,2
10,1,10:33.0,E. Bledsoe makes 3-pt jump shot from 24 ft (assist by G. Payton),,5,2
11,1,10:23.0,,Personal foul by G. Payton (drawn by D. Booker),5,2
12,1,10:15.0,,D. Booker makes 2-pt jump shot from 16 ft,5,4
13,1,9:59.0,G. Payton misses 2-pt layup from 1 ft (block by D. Booker),,5,4
14,1,9:54.0,Offensive rebound by G. Payton,,5,4
15,1,9:54.0,G. Payton makes 2-pt layup from 1 ft,,7,4
16,1,9:35.0,,D. Booker makes 2-pt jump shot from 19 ft,7,6
17,1,9:30.0,Turnover by E. Bledsoe (lost ball; steal by T. Ulis),,7,6
18,1,9:26.0,,T. Warren makes 2-pt dunk at rim (assist by D. Booker),7,8
19,1,9:14.0,K. Middleton misses 3-pt jump shot from 26 ft,,7,8
20,1,9:11.0,Offensive rebound by E. Bledsoe,,7,8
21,1,9:08.0,Shooting block foul by T. Chandler (drawn by T. Maker),,7,8
22,1,9:08.0,T. Maker makes free throw 1 of 2,,8,8
23,1,9:08.0,T. Maker makes free throw 2 of 2,,9,8
24,1,8:54.0,,T. Warren misses 2-pt jump shot from 20 ft,9,8
25,1,8:50.0,Defensive rebound by T. Maker,,9,8
26,1,8:42.0,G. Payton misses 3-pt jump shot from 22 ft,,9,8
27,1,8:39.0,,Defensive rebound by M. Chriss,9,8
28,1,8:29.0,,Personal foul by E. Bledsoe (drawn by M. Chriss),9,8
29,1,8:25.0,,D. Booker misses 3-pt jump shot from 25 ft,9,8
30,1,8:21.0,Defensive rebound by K. Middleton,,9,8
31,1,8:15.0,K. Middleton makes 2-pt jump shot from 19 ft,,11,8
32,1,7:54.0,,Personal foul by M. Brogdon (drawn by T. Chandler),11,8
33,1,7:54.0,D. Liggins enters the game for G. Payton,,11,8
34,1,7:50.0,,T. Ulis makes 3-pt jump shot from 25 ft,11,11
35,1,7:30.0,M. Brogdon misses 2-pt layup at rim (block by T. Chandler),,11,11
36,1,7:28.0,Offensive rebound by T. Maker,,11,11
37,1,7:27.0,T. Maker misses 2-pt hook shot from 1 ft,,11,11
38,1,7:25.0,,Defensive rebound by T. Ulis,11,11
39,1,7:16.0,,T. Chandler misses 2-pt layup at rim,11,11
40,1,7:13.0,,Offensive rebound by T. Chandler,11,11
41,1,6:58.0,,D. Booker misses 2-pt jump shot from 13 ft,11,11
42,1,6:56.0,Defensive rebound by M. Brogdon,,11,11
43,1,6:52.0,E. Bledsoe misses 2-pt layup from 1 ft,,11,11
44,1,6:49.0,,Defensive rebound by T. Warren,11,11
45,1,6:45.0,,T. Warren makes 2-pt layup at rim,11,13
46,1,6:31.0,T. Maker makes 2-pt layup from 1 ft (assist by E. Bledsoe),,13,13
47,1,6:24.0,,Phoenix full timeout,13,13
48,1,6:24.0,,G. Monroe enters the game for T. Chandler,13,13
49,1,6:20.0,,Turnover by T. Warren (bad pass; steal by K. Middleton),13,13
50,1,6:16.0,Turnover by K. Middleton (lost ball; steal by T. Warren),,13,13
51,1,6:11.0,,Turnover by G. Monroe (traveling),13,13
52,1,5:55.0,K. Middleton makes 2-pt jump shot from 19 ft,,15,13
53,1,5:34.0,,Turnover by M. Chriss (bad pass; steal by K. Middleton),15,13
54,1,5:30.0,K. Middleton makes 2-pt dunk at rim (assist by M. Brogdon),,17,13
