,QUARTER,TIME_REMAINING,DETROIT_ACTION,BROOKLYN_ACTION,DETROIT_SCORE,BROOKLYN_SCORE
0,1,11:37.0,,Shooting foul by A. Drummond (drawn by J. Allen),0,0
1,1,11:37.0,,J. Allen misses free throw 1 of 2,0,0
2,1,11:37.0,,Offensive rebound by Team,0,0
3,1,11:37.0,,J. Allen makes free throw 2 of 2,0,1
4,1,11:17.0,Turnover by R. Jackson (bad pass; steal by D. Russell),,0,1
5,1,11:12.0,,J. Allen makes 2-pt dunk from 1 ft (assist by D. Carroll),0,3
6,1,10:57.0,S. Johnson makes 2-pt layup from 2 ft (assist by R. Jackson),,2,3
7,1,10:57.0,Shooting foul by J. Allen (drawn by S. Johnson),,2,3
8,1,10:57.0,S. Johnson makes free throw 1 of 1,,3,3
9,1,10:49.0,,A. Crabbe misses 3-pt jump shot from 25 ft,3,3
10,1,10:46.0,Defensive rebound by R. Jackson,,3,3
11,1,10:40.0,Turnover by R. Jackson (lost ball; steal by A. Crabbe),,3,3
12,1,10:35.0,,R. Hollis-Jefferson makes 2-pt layup from 1 ft (assist by D. Russell),3,5
13,1,10:09.0,R. Jackson misses 2-pt jump shot from 13 ft,,3,5
14,1,10:06.0,,Defensive rebound by D. Russell,3,5
15,1,10:03.0,,J. Allen misses 2-pt layup from 1 ft,3,5
16,1,10:00.0,,Offensive rebound by R. Hollis-Jefferson,3,5
17,1,9:58.0,,Shooting foul by A. Tolliver (drawn by D. Carroll),3,5
18,1,9:58.0,,D. Carroll makes free throw 1 of 3,3,6
19,1,9:58.0,,D. Carroll makes free throw 2 of 3,3,7
20,1,9:58.0,,D. Carroll misses free throw 3 of 3,3,7
21,1,9:54.0,Defensive rebound by A. Drummond,,3,7
22,1,9:51.0,Detroit full timeout,,3,7
23,1,9:42.0,R. Jackson makes 2-pt jump shot from 13 ft,,5,7
24,1,9:32.0,,A. Crabbe makes 2-pt layup from 1 ft (assist by D. Russell),5,9
25,1,9:13.0,R. Bullock misses 2-pt jump shot from 13 ft (block by A. Crabbe),,5,9
26,1,9:07.0,Offensive rebound by A. Drummond,,5,9
27,1,9:07.0,A. Drummond makes 2-pt layup at rim,,7,9
28,1,8:54.0,,R. Hollis-Jefferson makes 2-pt jump shot from 14 ft,7,11
29,1,8:36.0,R. Jackson misses 2-pt jump shot from 8 ft,,7,11
30,1,8:33.0,Offensive rebound by A. Drummond,,7,11
31,1,8:31.0,R. Jackson makes 2-pt hook shot from 8 ft (assist by A. Drummond),,9,11
32,1,8:16.0,,Turnover by D. Carroll (lost ball; steal by S. Johnson),9,11
33,1,8:11.0,R. Bullock makes 2-pt layup from 1 ft (assist by S. Johnson),,11,11
34,1,8:01.0,,Personal foul by R. Jackson (drawn by D. Russell),11,11
35,1,7:55.0,,J. Allen makes 2-pt dunk from 1 ft (assist by D. Russell),11,13
36,1,7:36.0,A. Tolliver makes 2-pt layup from 2 ft (assist by R. Jackson),,13,13
37,1,7:24.0,,Turnover by D. Russell (turnover; steal by S. Johnson),13,13
38,1,7:09.0,R. Bullock misses 2-pt layup from 6 ft,,13,13
39,1,7:09.0,Offensive rebound by A. Drummond,,13,13
40,1,7:09.0,Shooting foul by D. Carroll (drawn by A. Drummond),,13,13
41,1,7:09.0,A. Drummond makes free throw 1 of 2,,14,13
42,1,7:09.0,A. Drummond makes free throw 2 of 2,,15,13
43,1,6:56.0,,R. Hollis-Jefferson misses 3-pt jump shot from 22 ft,15,13
44,1,6:53.0,Defensive rebound by A. Tolliver,,15,13
45,1,6:50.0,R. Jackson misses 2-pt jump shot from 16 ft,,15,13
46,1,6:45.0,,Defensive rebound by J. Allen,15,13
47,1,6:41.0,,D. Russell misses 3-pt jump shot from 27 ft,15,13
48,1,6:38.0,,Offensive rebound by D. Carroll,15,13
49,1,6:36.0,,D. Carroll misses 2-pt hook shot from 5 ft,15,13
50,1,6:34.0,Defensive rebound by R. Bullock,,15,13
51,1,6:31.0,S. Johnson makes 2-pt layup from 2 ft,,17,13
52,1,6:31.0,Shooting foul by J. Allen (drawn by S. Johnson),,17,13
53,1,6:31.0,S. Johnson makes free throw 1 of 1,,18,13
54,1,6:16.0,,A. Crabbe makes 2-pt jump shot from 10 ft (assist by D. Carroll),18,15
55,1,5:56.0,A. Drummond misses 2-pt layup from 3 ft,,18,15
56,1,5:53.0,Offensive rebound by A. Drummond,,18,15
57,1,5:53.0,A. Drummond misses 2-pt layup at rim,,18,15
58,1,5:53.0,,Defensive rebound by J. Allen,18,15
59,1,5:36.0,,D. Russell misses 3-pt jump shot from 25 ft,18,15
60,1,5:34.0,Defensive rebound by R. Bullock,,18,15
61,1,5:24.0,Turnover by R. Jackson (bad pass; steal by D. Russell),,18,15
62,1,5:21.0,,D. Russell makes 2-pt dunk at rim,18,17
63,1,5:05.0,R. Jackson misses 2-pt layup from 2 ft,,18,17
64,1,5:05.0,Offensive rebound by Team,,18,17
65,1,5:05.0,Turnover by A. Drummond (offensive goaltending),,18,17
66,1,5:05.0,,D. Cunningham enters the game for D. Carroll,18,17
67,1,5:05.0,,S. Dinwiddie enters the game for J. Allen,18,17
68,1,5:05.0,H. Ellenson enters the game for A. Tolliver,,18,17
69,1,5:05.0,I. Smith enters the game for R. Jackson,,18,17
70,1,4:53.0,,R. Hollis-Jefferson makes 2-pt layup from 1 ft (assist by D. Russell),18,19
71,1,4:41.0,R. Bullock misses 3-pt jump shot from 25 ft,,18,19
72,1,4:38.0,,Defensive rebound by R. Hollis-Jefferson,18,19
73,1,4:33.0,,D. Cunningham misses 3-pt jump shot from 22 ft,18,19
74,1,4:28.0,Defensive rebound by H. Ellenson,,18,19
75,1,4:26.0,Personal foul by R. Hollis-Jefferson (drawn by A. Drummond),,18,19
76,1,4:26.0,,J. Harris enters the game for A. Crabbe,18,19
77,1,4:26.0,L. Kennard enters the game for R. Bullock,,18,19
78,1,4:17.0,I. Smith makes 2-pt jump shot from 14 ft,,20,19
79,1,4:02.0,,Turnover by J. Harris (bad pass; steal by I. Smith),20,19
80,1,4:02.0,Personal foul by D. Russell (drawn by I. Smith),,20,19
81,1,4:02.0,I. Smith makes free throw 1 of 2,,21,19
82,1,4:02.0,,C. LeVert enters the game for D. Russell,21,19
83,1,4:02.0,I. Smith misses free throw 2 of 2,,21,19
84,1,4:00.0,,Defensive rebound by R. Hollis-Jefferson,21,19
85,1,3:51.0,,D. Cunningham misses 3-pt jump shot from 23 ft,21,19
86,1,3:48.0,Defensive rebound by A. Drummond,,21,19
