,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,SAN ANTONIO_ACTION,SACRAMENTO_SCORE,SAN ANTONIO_SCORE
0,1,11:43.0,Turnover by D. Fox (bad pass),,0,0
1,1,11:36.0,,P. Mills misses 3-pt jump shot from 24 ft,0,0
2,1,11:34.0,Defensive rebound by Team,,0,0
3,1,11:34.0,,Loose ball foul by P. Gasol (drawn by W. Cauley-Stein),0,0
4,1,11:20.0,W. Cauley-Stein makes 2-pt layup from 1 ft (assist by D. Fox),,2,0
5,1,11:06.0,,D. Green misses 3-pt jump shot from 25 ft,2,0
6,1,11:00.0,Defensive rebound by J. Sampson,,2,0
7,1,10:53.0,D. Fox makes 2-pt jump shot from 6 ft,,4,0
8,1,10:40.0,,Turnover by P. Mills (step out of bounds),4,0
9,1,10:20.0,W. Cauley-Stein makes 2-pt layup from 1 ft,,6,0
10,1,9:57.0,,L. Aldridge misses 3-pt jump shot from 23 ft,6,0
11,1,9:55.0,Defensive rebound by Team,,6,0
12,1,9:42.0,B. Bogdanović misses 2-pt jump shot from 16 ft,,6,0
13,1,9:37.0,,Defensive rebound by P. Gasol,6,0
14,1,9:20.0,,P. Mills misses 3-pt jump shot from 23 ft,6,0
15,1,9:16.0,,Offensive rebound by L. Aldridge,6,0
16,1,9:10.0,,L. Aldridge makes 2-pt hook shot from 6 ft,6,2
17,1,9:10.0,,Shooting foul by J. Sampson (drawn by L. Aldridge),6,2
18,1,9:10.0,,L. Aldridge makes free throw 1 of 1,6,3
19,1,8:51.0,W. Cauley-Stein misses 2-pt jump shot from 7 ft,,6,3
20,1,8:46.0,Offensive rebound by J. Sampson,,6,3
21,1,8:46.0,J. Sampson makes 2-pt dunk at rim,,8,3
22,1,8:39.0,,Personal foul by J. Sampson (drawn by L. Aldridge),8,3
23,1,8:39.0,N. Hayes enters the game for J. Sampson,,8,3
24,1,8:29.0,,D. Murray makes 2-pt jump shot from 5 ft (assist by L. Aldridge),8,5
25,1,8:14.0,N. Hayes makes 2-pt jump shot from 13 ft (assist by D. Fox),,10,5
