,QUARTER,TIME_REMAINING,DETROIT_ACTION,CHICAGO_ACTION,DETROIT_SCORE,CHICAGO_SCORE
0,1,11:43.0,,D. Nwaba makes 2-pt jump shot from 5 ft (assist by L. Markkanen),0,2
1,1,11:19.0,Turnover by R. Jackson (bad pass),,0,2
2,1,11:08.0,,L. Markkanen misses 3-pt jump shot from 27 ft,0,2
3,1,11:02.0,Defensive rebound by E. Moreland,,0,2
4,1,10:57.0,S. Johnson misses 2-pt jump shot from 9 ft,,0,2
5,1,10:53.0,,Defensive rebound by S. Kilpatrick,0,2
6,1,10:48.0,,L. Markkanen makes 3-pt jump shot from 24 ft (assist by S. Kilpatrick),0,5
7,1,10:19.0,A. Tolliver makes 2-pt layup at rim (assist by E. Moreland),,2,5
8,1,10:09.0,,D. Nwaba misses 3-pt jump shot from 24 ft,2,5
9,1,10:09.0,Defensive rebound by L. Kennard,,2,5
10,1,9:59.0,A. Tolliver makes 3-pt jump shot from 26 ft (assist by L. Kennard),,5,5
11,1,9:46.0,,S. Kilpatrick makes 3-pt jump shot from 22 ft (assist by C. Felício),5,8
12,1,9:24.0,S. Johnson misses 2-pt layup from 2 ft,,5,8
13,1,9:20.0,Offensive rebound by E. Moreland,,5,8
14,1,9:20.0,E. Moreland makes 2-pt dunk at rim,,7,8
15,1,9:14.0,,D. Nwaba makes 2-pt layup from 1 ft (assist by C. Payne),7,10
16,1,8:45.0,E. Moreland misses 2-pt jump shot from 16 ft,,7,10
17,1,8:42.0,,Defensive rebound by C. Payne,7,10
18,1,8:34.0,,C. Felício makes 2-pt jump shot from 5 ft (assist by S. Kilpatrick),7,12
19,1,8:16.0,A. Tolliver makes 3-pt jump shot from 24 ft (assist by R. Jackson),,10,12
20,1,7:59.0,,D. Nwaba misses 2-pt jump shot from 4 ft,10,12
21,1,7:56.0,Defensive rebound by E. Moreland,,10,12
22,1,7:52.0,A. Tolliver makes 3-pt jump shot from 25 ft (assist by S. Johnson),,13,12
23,1,7:40.0,,D. Nwaba misses 2-pt jump shot from 5 ft,13,12
24,1,7:38.0,Defensive rebound by E. Moreland,,13,12
