,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,HOUSTON_ACTION,LA LAKERS_SCORE,HOUSTON_SCORE
0,1,11:34.0,,C. Paul misses 2-pt jump shot from 18 ft,0,0
1,1,11:28.0,Defensive rebound by J. Randle,,0,0
2,1,11:17.0,B. Ingram makes 2-pt jump shot from 20 ft,,2,0
3,1,11:08.0,,Shooting foul by T. Ennis (drawn by C. Capela),2,0
4,1,11:08.0,,C. Capela makes free throw 1 of 2,2,1
5,1,11:08.0,,C. Capela misses free throw 2 of 2,2,1
6,1,11:06.0,Defensive rebound by J. Randle,,2,1
7,1,10:55.0,J. Randle makes 2-pt dunk from 1 ft (assist by B. Ingram),,4,1
8,1,10:43.0,,J. Harden makes 2-pt jump shot from 12 ft,4,3
9,1,10:33.0,Turnover by J. Randle (out of bounds lost ball),,4,3
10,1,10:23.0,,R. Anderson misses 3-pt jump shot from 25 ft,4,3
11,1,10:21.0,Defensive rebound by J. Randle,,4,3
12,1,10:15.0,J. Randle misses 2-pt jump shot from 6 ft (block by C. Capela),,4,3
13,1,10:11.0,Offensive rebound by B. Ingram,,4,3
14,1,10:11.0,Turnover by B. Ingram (bad pass),,4,3
15,1,10:06.0,,J. Harden makes 3-pt jump shot from 25 ft (assist by C. Paul),4,6
16,1,10:06.0,,Shooting foul by J. Hart (drawn by J. Harden),4,6
17,1,10:06.0,,J. Harden makes free throw 1 of 1,4,7
18,1,9:50.0,J. Hart makes 3-pt jump shot from 24 ft (assist by T. Ennis),,7,7
19,1,9:38.0,,T. Ariza misses 3-pt jump shot from 25 ft,7,7
20,1,9:36.0,Defensive rebound by J. Randle,,7,7
21,1,9:29.0,T. Ennis makes 2-pt layup at rim,,9,7
22,1,9:21.0,,R. Anderson makes 3-pt jump shot from 25 ft (assist by J. Harden),9,10
23,1,9:09.0,K. Kuzma makes 2-pt layup from 1 ft (assist by J. Randle),,11,10
24,1,8:51.0,,T. Ariza makes 2-pt layup from 4 ft,11,12
25,1,8:38.0,J. Randle misses 2-pt layup at rim,,11,12
26,1,8:36.0,Offensive rebound by J. Randle,,11,12
27,1,8:35.0,J. Randle makes 2-pt layup at rim,,13,12
28,1,8:11.0,,Turnover by Team (shot clock),13,12
29,1,8:03.0,Personal foul by R. Anderson (drawn by K. Kuzma),,13,12
30,1,8:02.0,Offensive foul by J. Randle (drawn by T. Ariza),,13,12
