,QUARTER,TIME_REMAINING,NEW YORK_ACTION,WASHINGTON_ACTION,NEW YORK_SCORE,WASHINGTON_SCORE
0,1,11:40.0,,M. Morris misses 2-pt jump shot from 16 ft,0,0
1,1,11:35.0,Defensive rebound by E. Freedom,,0,0
2,1,11:18.0,E. Freedom misses 2-pt layup from 2 ft,,0,0
3,1,11:16.0,,Defensive rebound by M. Gortat,0,0
4,1,11:08.0,,M. Morris makes 2-pt jump shot from 10 ft,0,2
5,1,10:54.0,E. Freedom makes 2-pt layup from 2 ft (assist by F. Ntilikina),,2,2
6,1,10:36.0,,B. Beal misses 3-pt jump shot from 25 ft,2,2
7,1,10:34.0,Defensive rebound by T. Hardaway,,2,2
8,1,10:23.0,Turnover by M. Beasley (bad pass; steal by B. Beal),,2,2
9,1,10:17.0,,O. Porter misses 2-pt layup from 2 ft,2,2
10,1,10:14.0,Defensive rebound by F. Ntilikina,,2,2
11,1,9:58.0,T. Burke makes 2-pt layup from 6 ft,,4,2
12,1,9:39.0,,M. Morris makes 2-pt hook shot from 6 ft (assist by M. Gortat),4,4
13,1,9:25.0,Turnover by T. Hardaway (bad pass),,4,4
14,1,9:05.0,,M. Morris misses 2-pt layup from 5 ft (block by M. Beasley),4,4
15,1,9:03.0,Defensive rebound by M. Beasley,,4,4
16,1,8:59.0,T. Burke misses 3-pt jump shot from 27 ft,,4,4
17,1,8:56.0,,Defensive rebound by M. Gortat,4,4
18,1,8:49.0,,Turnover by T. Satoranský (bad pass; steal by T. Burke),4,4
19,1,8:43.0,T. Hardaway makes 2-pt layup from 1 ft (assist by M. Beasley),,6,4
20,1,8:37.0,,B. Beal makes 2-pt dunk from 1 ft (assist by T. Satoranský),6,6
21,1,8:37.0,New York full timeout,,6,6
22,1,8:27.0,Turnover by T. Burke (bad pass; steal by T. Satoranský),,6,6
23,1,8:02.0,,M. Gortat misses 2-pt jump shot from 10 ft,6,6
24,1,7:59.0,Defensive rebound by E. Freedom,,6,6
