,QUARTER,TIME_REMAINING,BOSTON_ACTION,MILWAUKEE_ACTION,BOSTON_SCORE,MILWAUKEE_SCORE
0,1,11:32.0,J. Brown misses 3-pt jump shot from 23 ft,,0,0
1,1,11:30.0,,Defensive rebound by E. Bledsoe,0,0
2,1,11:16.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by K. Middleton),0,2
3,1,10:55.0,T. Rozier misses 3-pt jump shot from 26 ft,,0,2
4,1,10:53.0,,Defensive rebound by K. Middleton,0,2
5,1,10:47.0,,Personal foul by J. Brown (drawn by E. Bledsoe),0,2
6,1,10:37.0,,G. Antetokounmpo misses 2-pt jump shot from 12 ft,0,2
7,1,10:35.0,Defensive rebound by T. Rozier,,0,2
8,1,10:25.0,Turnover by T. Rozier (bad pass),,0,2
9,1,10:10.0,,M. Brogdon misses 2-pt jump shot from 5 ft,0,2
10,1,10:08.0,,Offensive rebound by M. Brogdon,0,2
11,1,10:07.0,,Turnover by K. Middleton (traveling),0,2
12,1,9:57.0,A. Horford makes 3-pt jump shot from 25 ft (assist by T. Rozier),,3,2
13,1,9:37.0,,K. Middleton makes 2-pt jump shot from 12 ft,3,4
14,1,9:29.0,Personal foul by E. Bledsoe (drawn by J. Brown),,3,4
15,1,9:23.0,A. Horford misses 3-pt jump shot from 26 ft,,3,4
16,1,9:23.0,Offensive rebound by Team,,3,4
17,1,9:23.0,,Loose ball foul by T. Zeller (drawn by A. Baynes),3,4
18,1,9:11.0,J. Tatum makes 2-pt jump shot from 6 ft,,5,4
19,1,8:56.0,,E. Bledsoe makes 2-pt jump shot from 17 ft (assist by K. Middleton),5,6
20,1,8:45.0,Personal foul by E. Bledsoe (drawn by A. Horford),,5,6
21,1,8:45.0,,M. Dellavedova enters the game for E. Bledsoe,5,6
22,1,8:33.0,A. Horford misses 2-pt hook shot from 8 ft,,5,6
23,1,8:31.0,Offensive rebound by A. Baynes,,5,6
24,1,8:30.0,Shooting foul by K. Middleton (drawn by J. Tatum),,5,6
25,1,8:30.0,J. Tatum makes free throw 1 of 2,,6,6
26,1,8:30.0,J. Tatum misses free throw 2 of 2,,6,6
27,1,8:27.0,,Defensive rebound by K. Middleton,6,6
28,1,8:19.0,,K. Middleton makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),6,9
29,1,8:06.0,Turnover by T. Rozier (out of bounds lost ball),,6,9
30,1,7:59.0,,G. Antetokounmpo misses 2-pt dunk from 2 ft,6,9
31,1,7:56.0,Defensive rebound by A. Baynes,,6,9
32,1,7:52.0,T. Rozier misses 3-pt jump shot from 25 ft,,6,9
33,1,7:50.0,Offensive rebound by A. Baynes,,6,9
34,1,7:34.0,J. Tatum misses 3-pt jump shot from 26 ft,,6,9
35,1,7:32.0,Offensive rebound by A. Horford,,6,9
36,1,7:30.0,A. Horford misses 2-pt jump shot from 1 ft,,6,9
37,1,7:28.0,,Defensive rebound by M. Dellavedova,6,9
38,1,7:14.0,,G. Antetokounmpo makes 3-pt jump shot from 25 ft (assist by M. Brogdon),6,12
39,1,6:52.0,J. Brown misses 3-pt jump shot from 27 ft,,6,12
40,1,6:49.0,,Defensive rebound by T. Zeller,6,12
41,1,6:35.0,,K. Middleton makes 2-pt jump shot from 15 ft,6,14
42,1,6:08.0,Turnover by T. Rozier (bad pass; steal by G. Antetokounmpo),,6,14
43,1,6:05.0,,M. Brogdon makes 2-pt dunk from 1 ft (assist by G. Antetokounmpo),6,16
44,1,6:05.0,Boston full timeout,,6,16
45,1,6:05.0,G. Monroe enters the game for J. Tatum,,6,16
46,1,6:05.0,M. Morris enters the game for A. Baynes,,6,16
47,1,5:48.0,Turnover by T. Rozier (bad pass; steal by G. Antetokounmpo),,6,16
48,1,5:44.0,,G. Antetokounmpo misses 2-pt layup at rim,6,16
49,1,5:41.0,Defensive rebound by M. Morris,,6,16
50,1,5:35.0,M. Morris misses 2-pt layup from 3 ft,,6,16
51,1,5:33.0,,Defensive rebound by K. Middleton,6,16
52,1,5:23.0,,K. Middleton misses 2-pt jump shot from 9 ft,6,16
53,1,5:21.0,Defensive rebound by A. Horford,,6,16
54,1,5:20.0,Personal foul by M. Dellavedova (drawn by G. Monroe),,6,16
55,1,5:20.0,G. Monroe makes free throw 1 of 2,,7,16
56,1,5:20.0,,J. Parker enters the game for K. Middleton,7,16
57,1,5:20.0,G. Monroe makes free throw 2 of 2,,8,16
58,1,5:10.0,,Turnover by G. Antetokounmpo (bad pass; steal by T. Rozier),8,16
59,1,5:07.0,Personal foul by M. Brogdon (drawn by J. Brown),,8,16
60,1,5:07.0,J. Brown makes free throw 1 of 2,,9,16
61,1,5:07.0,J. Brown makes free throw 2 of 2,,10,16
62,1,4:47.0,,G. Antetokounmpo makes 2-pt jump shot from 10 ft,10,18
63,1,4:25.0,G. Monroe misses 2-pt layup from 4 ft,,10,18
64,1,4:25.0,Offensive rebound by G. Monroe,,10,18
65,1,4:25.0,Personal foul by T. Zeller (drawn by G. Monroe),,10,18
66,1,4:25.0,G. Monroe makes free throw 1 of 2,,11,18
67,1,4:25.0,,T. Maker enters the game for T. Zeller,11,18
68,1,4:25.0,G. Monroe misses free throw 2 of 2,,11,18
69,1,4:22.0,,Defensive rebound by G. Antetokounmpo,11,18
70,1,4:10.0,,M. Dellavedova makes 2-pt jump shot from 12 ft (assist by G. Antetokounmpo),11,20
71,1,3:55.0,J. Brown misses 2-pt layup from 6 ft (block by T. Maker),,11,20
72,1,3:51.0,,Defensive rebound by G. Antetokounmpo,11,20
73,1,3:51.0,,G. Antetokounmpo makes 2-pt layup at rim,11,22
74,1,3:51.0,Violation by A. Horford (def goaltending),,11,22
75,1,3:31.0,Turnover by M. Morris (out of bounds lost ball),,11,22
76,1,3:31.0,S. Ojeleye enters the game for A. Horford,,11,22
77,1,3:16.0,,J. Parker misses 3-pt jump shot from 24 ft,11,22
78,1,3:13.0,Defensive rebound by S. Ojeleye,,11,22
79,1,3:03.0,Turnover by G. Monroe (lost ball; steal by T. Maker),,11,22
80,1,2:49.0,,Shooting foul by M. Morris (drawn by J. Parker),11,22
81,1,2:49.0,,Milwaukee full timeout,11,22
82,1,2:49.0,,K. Middleton enters the game for M. Brogdon,11,22
83,1,2:49.0,,T. Snell enters the game for G. Antetokounmpo,11,22
84,1,2:49.0,J. Tatum enters the game for J. Brown,,11,22
85,1,2:49.0,S. Larkin enters the game for T. Rozier,,11,22
86,1,2:49.0,,J. Parker makes free throw 1 of 2,11,23
87,1,2:49.0,,J. Parker misses free throw 2 of 2,11,23
88,1,2:44.0,Defensive rebound by M. Morris,,11,23
89,1,2:31.0,M. Morris misses 2-pt jump shot from 13 ft,,11,23
90,1,2:30.0,Offensive rebound by Team,,11,23
91,1,2:30.0,,Loose ball foul by T. Maker (drawn by G. Monroe),11,23
92,1,2:30.0,G. Monroe misses free throw 1 of 2,,11,23
93,1,2:30.0,Offensive rebound by Team,,11,23
94,1,2:30.0,G. Monroe makes free throw 2 of 2,,12,23
95,1,2:12.0,Offensive charge foul by M. Dellavedova (drawn by S. Larkin),,12,23
96,1,2:12.0,,Turnover by M. Dellavedova (offensive foul),12,23
97,1,2:12.0,,E. Bledsoe enters the game for M. Dellavedova,12,23
98,1,1:52.0,G. Monroe misses 2-pt layup from 3 ft,,12,23
99,1,1:49.0,,Defensive rebound by K. Middleton,12,23
100,1,1:46.0,,E. Bledsoe misses 3-pt jump shot from 25 ft,12,23
101,1,1:43.0,Defensive rebound by M. Morris,,12,23
102,1,1:32.0,Turnover by M. Morris (lost ball; steal by K. Middleton),,12,23
103,1,1:27.0,,K. Middleton misses 2-pt layup from 1 ft,12,23
104,1,1:23.0,Defensive rebound by M. Morris,,12,23
105,1,1:15.0,Turnover by G. Monroe (turnover),,12,23
106,1,1:03.0,,Shooting foul by S. Ojeleye (drawn by T. Maker),12,23
107,1,1:03.0,,T. Maker makes free throw 1 of 2,12,24
108,1,1:03.0,,T. Maker misses free throw 2 of 2,12,24
109,1,1:00.0,Defensive rebound by G. Monroe,,12,24
110,1,0:44.0,J. Tatum misses 2-pt layup from 2 ft (block by T. Maker),,12,24
111,1,0:44.0,Offensive rebound by Team,,12,24
112,1,0:41.0,G. Monroe misses 2-pt layup from 4 ft (block by T. Maker),,12,24
113,1,0:37.0,Offensive rebound by S. Ojeleye,,12,24
