,QUARTER,TIME_REMAINING,PHOENIX_ACTION,MIAMI_ACTION,PHOENIX_SCORE,MIAMI_SCORE
0,1,11:40.0,,H. Whiteside makes 2-pt layup from 1 ft (assist by J. Johnson),0,2
1,1,11:22.0,D. Booker misses 3-pt jump shot from 24 ft,,0,2
2,1,11:19.0,,Defensive rebound by G. Dragić,0,2
3,1,11:12.0,,L. Babbitt misses 3-pt jump shot from 22 ft,0,2
4,1,11:06.0,,Offensive rebound by J. Richardson,0,2
5,1,10:54.0,,J. Johnson misses 3-pt jump shot from 25 ft,0,2
6,1,10:51.0,Defensive rebound by E. Payton,,0,2
7,1,10:42.0,D. Bender misses 3-pt jump shot from 25 ft,,0,2
8,1,10:39.0,,Defensive rebound by H. Whiteside,0,2
9,1,10:31.0,,H. Whiteside makes 2-pt jump shot from 17 ft (assist by G. Dragić),0,4
10,1,10:16.0,D. Booker makes 3-pt jump shot from 25 ft (assist by E. Payton),,3,4
11,1,10:01.0,,J. Richardson makes 2-pt layup at rim (assist by G. Dragić),3,6
12,1,9:57.0,Shooting block foul by J. Richardson (drawn by D. Booker),,3,6
13,1,9:57.0,D. Booker makes free throw 1 of 2,,4,6
14,1,9:57.0,D. Booker makes free throw 2 of 2,,5,6
15,1,9:47.0,,L. Babbitt misses 3-pt jump shot from 26 ft,5,6
16,1,9:44.0,Defensive rebound by T. Chandler,,5,6
17,1,9:30.0,Shooting foul by L. Babbitt (drawn by E. Payton),,5,6
18,1,9:30.0,E. Payton makes free throw 1 of 2,,6,6
19,1,9:30.0,E. Payton misses free throw 2 of 2,,6,6
20,1,9:28.0,,Defensive rebound by L. Babbitt,6,6
21,1,9:17.0,,G. Dragić makes 2-pt layup from 1 ft (assist by H. Whiteside),6,8
22,1,9:09.0,D. Booker makes 2-pt layup from 1 ft (assist by T. Chandler),,8,8
23,1,9:09.0,Shooting foul by J. Richardson (drawn by D. Booker),,8,8
24,1,9:09.0,,R. McGruder enters the game for J. Richardson,8,8
25,1,9:09.0,D. Booker misses free throw 1 of 1,,8,8
26,1,9:08.0,,Defensive rebound by H. Whiteside,8,8
27,1,8:50.0,,L. Babbitt misses 3-pt jump shot from 25 ft,8,8
28,1,8:48.0,,Offensive rebound by H. Whiteside,8,8
