,QUARTER,TIME_REMAINING,DENVER_ACTION,UTAH_ACTION,DENVER_SCORE,UTAH_SCORE
0,1,11:44.0,,D. Mitchell misses 2-pt jump shot from 8 ft,0,0
1,1,11:40.0,Defensive rebound by G. Harris,,0,0
2,1,11:38.0,G. Harris misses 2-pt layup from 2 ft,,0,0
3,1,11:30.0,Offensive rebound by K. Faried,,0,0
4,1,11:30.0,K. Faried misses 2-pt layup at rim,,0,0
5,1,11:30.0,,Defensive rebound by D. Favors,0,0
6,1,11:25.0,,D. Favors makes 2-pt layup from 1 ft (assist by R. Rubio),0,2
7,1,11:07.0,G. Harris makes 3-pt jump shot from 25 ft (assist by N. Jokić),,3,2
8,1,10:42.0,,J. Ingles misses 3-pt jump shot from 24 ft,3,2
9,1,10:40.0,Defensive rebound by Team,,3,2
10,1,10:28.0,,Violation by R. Rubio (kicked ball),3,2
11,1,10:22.0,Shooting foul by D. Mitchell (drawn by G. Harris),,3,2
12,1,10:22.0,G. Harris makes free throw 1 of 2,,4,2
13,1,10:22.0,G. Harris makes free throw 2 of 2,,5,2
14,1,10:14.0,,Offensive foul by D. Favors (drawn by G. Harris),5,2
15,1,10:14.0,,Turnover by D. Favors (offensive foul),5,2
16,1,10:07.0,Turnover by N. Jokić (bad pass; steal by D. Mitchell),,5,2
17,1,9:50.0,,J. Jerebko makes 2-pt jump shot from 10 ft,5,4
18,1,9:34.0,J. Hernangómez makes 2-pt layup from 1 ft (assist by N. Jokić),,7,4
19,1,9:16.0,,Personal foul by J. Hernangómez (drawn by J. Ingles),7,4
20,1,9:08.0,,D. Favors misses 2-pt layup from 1 ft,7,4
21,1,9:07.0,,Offensive rebound by D. Favors,7,4
22,1,9:05.0,,D. Favors makes 2-pt dunk from 1 ft,7,6
23,1,8:57.0,J. Murray misses 3-pt jump shot from 24 ft,,7,6
24,1,8:55.0,,Defensive rebound by J. Jerebko,7,6
25,1,8:41.0,,Personal foul by N. Jokić (drawn by D. Favors),7,6
26,1,8:33.0,,R. Rubio makes 3-pt jump shot from 26 ft (assist by J. Ingles),7,9
