,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,ATLANTA_ACTION,MILWAUKEE_SCORE,ATLANTA_SCORE
0,1,11:38.0,,K. Bazemore misses 2-pt jump shot from 15 ft,0,0
1,1,11:35.0,Defensive rebound by T. Maker,,0,0
2,1,11:21.0,G. Antetokounmpo makes 2-pt jump shot from 20 ft (assist by K. Middleton),,2,0
3,1,10:58.0,,Turnover by D. Dedmon (out of bounds lost ball),2,0
4,1,10:53.0,G. Antetokounmpo makes 3-pt jump shot from 25 ft (assist by T. Maker),,5,0
5,1,10:41.0,,T. Prince makes 2-pt jump shot from 20 ft (assist by D. Schröder),5,2
6,1,10:25.0,K. Middleton misses 2-pt jump shot from 18 ft,,5,2
7,1,10:22.0,,Defensive rebound by D. Dedmon,5,2
8,1,10:17.0,,D. Schröder misses 2-pt layup from 1 ft,5,2
9,1,10:14.0,Defensive rebound by M. Brogdon,,5,2
10,1,10:06.0,M. Brogdon misses 3-pt jump shot from 26 ft,,5,2
11,1,10:02.0,,Defensive rebound by D. Dedmon,5,2
12,1,9:53.0,,Personal foul by T. Snell (drawn by D. Schröder),5,2
13,1,9:45.0,,T. Prince misses 3-pt jump shot from 22 ft,5,2
14,1,9:42.0,Defensive rebound by T. Maker,,5,2
15,1,9:23.0,G. Antetokounmpo makes 2-pt layup from 2 ft,,7,2
16,1,9:10.0,,Turnover by K. Bazemore (bad pass; steal by K. Middleton),7,2
17,1,9:06.0,K. Middleton misses 2-pt layup from 2 ft,,7,2
18,1,9:00.0,Offensive rebound by G. Antetokounmpo,,7,2
19,1,9:00.0,G. Antetokounmpo makes 2-pt layup at rim,,9,2
20,1,8:51.0,,Turnover by D. Schröder (bad pass; steal by M. Brogdon),9,2
21,1,8:44.0,T. Snell makes 3-pt jump shot from 24 ft (assist by G. Antetokounmpo),,12,2
22,1,8:43.0,,Atlanta full timeout,12,2
23,1,8:28.0,,D. Schröder makes 2-pt layup at rim,12,4
24,1,8:08.0,K. Middleton misses 2-pt jump shot from 12 ft (block by M. Muscala),,12,4
25,1,8:04.0,,Defensive rebound by K. Bazemore,12,4
26,1,8:00.0,,Turnover by T. Prince (bad pass; steal by K. Middleton),12,4
27,1,7:55.0,G. Antetokounmpo makes 2-pt layup from 2 ft (assist by K. Middleton),,14,4
28,1,7:43.0,,Personal foul by M. Brogdon (drawn by D. Schröder),14,4
29,1,7:43.0,R. Vaughn enters the game for K. Middleton,,14,4
30,1,7:35.0,,D. Schröder misses 2-pt jump shot from 18 ft,14,4
31,1,7:32.0,Defensive rebound by G. Antetokounmpo,,14,4
32,1,7:21.0,G. Antetokounmpo misses 3-pt jump shot from 24 ft,,14,4
33,1,7:18.0,,Defensive rebound by D. Schröder,14,4
34,1,7:12.0,,K. Bazemore misses 2-pt jump shot from 17 ft,14,4
35,1,7:09.0,,Offensive rebound by Team,14,4
36,1,7:02.0,,T. Prince makes 3-pt jump shot from 23 ft (assist by D. Schröder),14,7
37,1,6:43.0,Shooting foul by D. Dedmon (drawn by G. Antetokounmpo),,14,7
38,1,6:43.0,G. Antetokounmpo misses free throw 1 of 2,,14,7
39,1,6:43.0,Offensive rebound by Team,,14,7
40,1,6:43.0,,M. Belinelli enters the game for K. Bazemore,14,7
41,1,6:43.0,G. Antetokounmpo misses free throw 2 of 2,,14,7
42,1,6:41.0,,Defensive rebound by D. Dedmon,14,7
43,1,6:29.0,,M. Muscala makes 2-pt jump shot from 15 ft (assist by D. Schröder),14,9
44,1,6:16.0,M. Brogdon makes 2-pt layup from 2 ft,,16,9
45,1,6:03.0,,M. Muscala misses 2-pt jump shot from 5 ft,16,9
46,1,5:58.0,Defensive rebound by R. Vaughn,,16,9
47,1,5:55.0,Shooting foul by M. Belinelli (drawn by M. Brogdon),,16,9
48,1,5:55.0,M. Brogdon makes free throw 1 of 2,,17,9
49,1,5:55.0,,J. Collins enters the game for D. Dedmon,17,9
50,1,5:55.0,J. Henson enters the game for T. Maker,,17,9
51,1,5:55.0,M. Brogdon makes free throw 2 of 2,,18,9
52,1,5:42.0,,J. Collins makes 2-pt jump shot from 16 ft (assist by M. Belinelli),18,11
53,1,5:18.0,G. Antetokounmpo misses 2-pt jump shot from 14 ft,,18,11
54,1,5:14.0,,Defensive rebound by M. Muscala,18,11
55,1,5:10.0,,M. Belinelli misses 3-pt jump shot from 27 ft,18,11
56,1,5:10.0,Defensive rebound by J. Henson,,18,11
57,1,5:00.0,G. Antetokounmpo makes 2-pt layup from 3 ft,,20,11
58,1,4:45.0,,J. Collins misses 2-pt layup from 2 ft,20,11
59,1,4:42.0,Defensive rebound by J. Henson,,20,11
60,1,4:42.0,Personal take foul by D. Schröder (drawn by G. Antetokounmpo),,20,11
61,1,4:42.0,,M. Delaney enters the game for D. Schröder,20,11
62,1,4:42.0,,L. Babbitt enters the game for M. Muscala,20,11
63,1,4:42.0,M. Dellavedova enters the game for M. Brogdon,,20,11
64,1,4:34.0,T. Snell misses 3-pt jump shot from 25 ft,,20,11
65,1,4:31.0,,Defensive rebound by T. Prince,20,11
66,1,4:25.0,,T. Prince misses 2-pt jump shot from 18 ft,20,11
67,1,4:24.0,Defensive rebound by Team,,20,11
68,1,4:24.0,Personal foul by J. Collins (drawn by J. Henson),,20,11
69,1,4:15.0,T. Snell misses 2-pt layup from 4 ft (block by J. Collins),,20,11
70,1,4:14.0,,Defensive rebound by Team,20,11
71,1,4:07.0,,Personal foul by M. Dellavedova (drawn by M. Delaney),20,11
72,1,4:07.0,K. Middleton enters the game for T. Snell,,20,11
73,1,4:04.0,,Personal foul by R. Vaughn (drawn by M. Belinelli),20,11
74,1,3:52.0,,T. Prince misses 3-pt jump shot from 23 ft,20,11
75,1,3:49.0,Defensive rebound by G. Antetokounmpo,,20,11
76,1,3:44.0,R. Vaughn makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo),,23,11
77,1,3:32.0,,Turnover by M. Delaney (bad pass),23,11
78,1,3:23.0,Turnover by M. Dellavedova (bad pass; steal by T. Prince),,23,11
79,1,3:18.0,,T. Prince misses 2-pt layup from 3 ft,23,11
80,1,3:13.0,,Offensive rebound by M. Delaney,23,11
81,1,3:13.0,,M. Delaney misses 2-pt layup at rim,23,11
82,1,3:10.0,Defensive rebound by K. Middleton,,23,11
83,1,3:07.0,Turnover by K. Middleton (bad pass; steal by T. Prince),,23,11
84,1,3:01.0,,Turnover by T. Prince (bad pass; steal by J. Henson),23,11
85,1,2:52.0,R. Vaughn makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo),,26,11
86,1,2:43.0,,Atlanta full timeout,26,11
87,1,2:43.0,,K. Bazemore enters the game for T. Prince,26,11
88,1,2:43.0,M. Teletović enters the game for G. Antetokounmpo,,26,11
89,1,2:35.0,,L. Babbitt makes 2-pt jump shot from 12 ft (assist by M. Belinelli),26,13
90,1,2:19.0,K. Middleton misses 3-pt jump shot from 25 ft,,26,13
91,1,2:17.0,,Defensive rebound by L. Babbitt,26,13
92,1,2:09.0,,M. Belinelli makes 3-pt jump shot from 26 ft (assist by M. Delaney),26,16
93,1,1:56.0,M. Dellavedova makes 2-pt jump shot from 12 ft,,28,16
94,1,1:41.0,,L. Babbitt misses 3-pt jump shot from 23 ft,28,16
95,1,1:36.0,Defensive rebound by M. Dellavedova,,28,16
96,1,1:31.0,K. Middleton misses 2-pt jump shot from 12 ft,,28,16
97,1,1:30.0,,Defensive rebound by Team,28,16
98,1,1:19.0,,M. Belinelli misses 3-pt jump shot from 25 ft,28,16
99,1,1:19.0,Defensive rebound by M. Dellavedova,,28,16
100,1,1:01.0,K. Middleton misses 2-pt jump shot from 1 ft,,28,16
101,1,1:00.0,,Defensive rebound by Team,28,16
102,1,0:44.0,,M. Delaney misses 3-pt jump shot from 23 ft,28,16
103,1,0:41.0,Defensive rebound by M. Teletović,,28,16
104,1,0:34.0,M. Dellavedova misses 2-pt jump shot from 12 ft,,28,16
105,1,0:30.0,Offensive rebound by M. Dellavedova,,28,16
106,1,0:19.0,K. Middleton misses 3-pt jump shot from 24 ft,,28,16
107,1,0:17.0,,Defensive rebound by Team,28,16
108,1,0:02.0,,L. Babbitt misses 3-pt jump shot from 22 ft,28,16
109,1,0:02.0,Defensive rebound by J. Henson,,28,16
110,2,11:45.0,J. Henson makes 2-pt jump shot from 4 ft (assist by K. Middleton),,30,16
111,2,11:33.0,,Shooting foul by J. Henson (drawn by K. Bazemore),30,16
112,2,11:33.0,,K. Bazemore makes free throw 1 of 2,30,17
113,2,11:33.0,,K. Bazemore makes free throw 2 of 2,30,18
114,2,11:15.0,K. Middleton makes 2-pt jump shot from 16 ft,,32,18
115,2,10:58.0,,D. Schröder makes 2-pt jump shot from 14 ft (assist by M. Delaney),32,20
116,2,10:35.0,M. Teletović makes 3-pt jump shot from 26 ft (assist by M. Dellavedova),,35,20
117,2,10:29.0,,L. Babbitt misses 3-pt jump shot from 24 ft,35,20
118,2,10:25.0,Defensive rebound by R. Vaughn,,35,20
119,2,10:22.0,Personal foul by J. Collins (drawn by J. Henson),,35,20
120,2,10:22.0,,M. Muscala enters the game for L. Babbitt,35,20
121,2,10:22.0,,D. Dedmon enters the game for J. Collins,35,20
122,2,10:10.0,R. Vaughn misses 3-pt jump shot from 25 ft,,35,20
123,2,10:09.0,,Defensive rebound by Team,35,20
124,2,10:09.0,,Loose ball foul by M. Muscala (drawn by J. Henson),35,20
125,2,10:02.0,M. Teletović makes 2-pt jump shot from 18 ft (assist by J. Henson),,37,20
126,2,9:46.0,,D. Schröder misses 2-pt layup from 2 ft (block by J. Henson),37,20
127,2,9:38.0,Defensive rebound by J. Henson,,37,20
128,2,9:35.0,R. Vaughn makes 3-pt jump shot from 23 ft (assist by J. Henson),,40,20
129,2,9:33.0,,Atlanta full timeout,40,20
130,2,9:33.0,,T. Prince enters the game for M. Delaney,40,20
131,2,9:33.0,,I. Taylor enters the game for M. Muscala,40,20
132,2,9:19.0,,D. Dedmon misses 2-pt hook shot from 4 ft (block by J. Henson),40,20
133,2,9:14.0,Defensive rebound by K. Middleton,,40,20
134,2,9:10.0,K. Middleton misses 2-pt jump shot from 10 ft,,40,20
135,2,9:05.0,,Defensive rebound by D. Dedmon,40,20
136,2,8:57.0,,Turnover by K. Bazemore (bad pass; steal by M. Teletović),40,20
137,2,8:56.0,Turnover by M. Teletović (bad pass; steal by D. Schröder),,40,20
138,2,8:53.0,,T. Prince makes 3-pt jump shot from 25 ft (assist by I. Taylor),40,23
139,2,8:29.0,R. Vaughn makes 3-pt jump shot from 22 ft (assist by K. Middleton),,43,23
140,2,8:16.0,,I. Taylor makes 3-pt jump shot from 25 ft (assist by D. Schröder),43,26
141,2,8:02.0,Shooting foul by T. Prince (drawn by K. Middleton),,43,26
142,2,8:02.0,K. Middleton makes free throw 1 of 2,,44,26
143,2,8:02.0,M. Brogdon enters the game for M. Dellavedova,,44,26
144,2,8:02.0,K. Middleton makes free throw 2 of 2,,45,26
145,2,7:46.0,,K. Bazemore misses 2-pt layup from 2 ft (block by J. Henson),45,26
146,2,7:43.0,Defensive rebound by J. Henson,,45,26
147,2,7:36.0,R. Vaughn misses 3-pt jump shot from 22 ft,,45,26
148,2,7:27.0,Offensive rebound by M. Teletović,,45,26
149,2,7:27.0,J. Henson makes 2-pt dunk at rim (assist by M. Teletović),,47,26
150,2,7:12.0,,T. Prince misses 2-pt jump shot from 20 ft,47,26
151,2,7:09.0,Defensive rebound by K. Middleton,,47,26
152,2,7:09.0,Personal foul by I. Taylor (drawn by J. Henson),,47,26
153,2,7:03.0,K. Middleton makes 2-pt jump shot from 20 ft,,49,26
154,2,6:46.0,,D. Dedmon makes 2-pt layup from 1 ft (assist by K. Bazemore),49,28
155,2,6:34.0,Turnover by R. Vaughn (traveling),,49,28
156,2,6:34.0,,M. Muscala enters the game for I. Taylor,49,28
157,2,6:34.0,T. Maker enters the game for R. Vaughn,,49,28
158,2,6:34.0,T. Snell enters the game for J. Henson,,49,28
159,2,6:34.0,G. Antetokounmpo enters the game for M. Teletović,,49,28
160,2,6:13.0,,Personal take foul by M. Brogdon (drawn by D. Dedmon),49,28
161,2,6:12.0,,Personal foul by M. Brogdon (drawn by D. Dedmon),49,28
162,2,6:02.0,,D. Schröder makes 2-pt layup from 2 ft,49,30
163,2,5:44.0,G. Antetokounmpo misses 2-pt jump shot from 17 ft,,49,30
164,2,5:39.0,,Defensive rebound by T. Prince,49,30
165,2,5:35.0,,T. Prince makes 3-pt jump shot from 25 ft (assist by K. Bazemore),49,33
166,2,5:23.0,T. Snell misses 3-pt jump shot from 25 ft,,49,33
167,2,5:18.0,,Defensive rebound by T. Prince,49,33
168,2,5:13.0,,Turnover by D. Schröder (lost ball; steal by T. Maker),49,33
169,2,5:05.0,M. Brogdon makes 3-pt jump shot from 24 ft (assist by T. Snell),,52,33
170,2,4:54.0,,Atlanta full timeout,52,33
171,2,4:54.0,,J. Collins enters the game for D. Dedmon,52,33
172,2,4:54.0,,I. Taylor enters the game for K. Bazemore,52,33
173,2,4:42.0,,T. Prince misses 2-pt jump shot from 9 ft,52,33
174,2,4:40.0,Defensive rebound by K. Middleton,,52,33
175,2,4:40.0,Turnover by K. Middleton (step out of bounds),,52,33
176,2,4:28.0,,J. Collins makes 2-pt jump shot from 3 ft (assist by T. Prince),52,35
177,2,4:06.0,T. Maker makes 3-pt jump shot from 23 ft (assist by G. Antetokounmpo),,55,35
178,2,3:50.0,,T. Prince makes 2-pt jump shot from 14 ft (assist by D. Schröder),55,37
179,2,3:31.0,K. Middleton misses 2-pt jump shot from 19 ft,,55,37
180,2,3:27.0,,Defensive rebound by J. Collins,55,37
181,2,3:20.0,,J. Collins makes 2-pt layup from 3 ft (assist by I. Taylor),55,39
182,2,3:03.0,Personal foul by T. Prince (drawn by M. Brogdon),,55,39
183,2,3:03.0,M. Brogdon makes free throw 1 of 2,,56,39
184,2,3:03.0,M. Dellavedova enters the game for K. Middleton,,56,39
185,2,3:03.0,M. Brogdon makes free throw 2 of 2,,57,39
186,2,2:44.0,,T. Prince makes 2-pt jump shot from 8 ft,57,41
187,2,2:23.0,G. Antetokounmpo makes 2-pt dunk from 2 ft (assist by M. Brogdon),,59,41
188,2,2:04.0,,Personal foul by G. Antetokounmpo (drawn by J. Collins),59,41
189,2,2:04.0,,M. Belinelli enters the game for D. Schröder,59,41
190,2,1:58.0,,J. Collins makes 2-pt layup from 1 ft (assist by M. Belinelli),59,43
191,2,1:58.0,,Shooting foul by T. Maker (drawn by J. Collins),59,43
192,2,1:58.0,,J. Collins makes free throw 1 of 1,59,44
193,2,1:46.0,M. Dellavedova misses 2-pt jump shot from 18 ft,,59,44
194,2,1:43.0,Offensive rebound by T. Maker,,59,44
195,2,1:37.0,T. Snell misses 2-pt jump shot from 9 ft,,59,44
196,2,1:33.0,,Defensive rebound by J. Collins,59,44
197,2,1:27.0,,Personal foul by T. Maker (drawn by J. Collins),59,44
198,2,1:27.0,,J. Collins makes free throw 1 of 2,59,45
199,2,1:27.0,K. Middleton enters the game for M. Brogdon,,59,45
200,2,1:27.0,,J. Collins misses free throw 2 of 2,59,45
201,2,1:25.0,Defensive rebound by G. Antetokounmpo,,59,45
