,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,PORTLAND_ACTION,NEW ORLEANS_SCORE,PORTLAND_SCORE
0,1,11:42.0,,C. McCollum misses 2-pt jump shot from 7 ft,0,0
1,1,11:39.0,Defensive rebound by E. Moore,,0,0
2,1,11:31.0,A. Davis makes 2-pt jump shot from 21 ft (assist by J. Holiday),,2,0
3,1,11:14.0,,J. Nurkić makes 2-pt layup from 1 ft (assist by D. Lillard),2,2
4,1,11:03.0,J. Holiday makes 2-pt layup at rim,,4,2
5,1,10:48.0,,E. Turner misses 2-pt jump shot from 14 ft,4,2
6,1,10:46.0,Defensive rebound by A. Davis,,4,2
7,1,10:31.0,E. Moore misses 2-pt jump shot from 12 ft (block by C. McCollum),,4,2
8,1,10:28.0,Offensive rebound by E. Moore,,4,2
9,1,10:26.0,Turnover by A. Davis (lost ball; steal by J. Nurkić),,4,2
10,1,10:08.0,,J. Nurkić misses 2-pt layup from 2 ft (block by N. Mirotić),4,2
11,1,10:08.0,,Offensive rebound by A. Aminu,4,2
12,1,10:08.0,,Personal foul by R. Rondo (drawn by A. Aminu),4,2
13,1,10:01.0,,Turnover by D. Lillard (bad pass),4,2
14,1,9:49.0,E. Moore makes 3-pt jump shot from 24 ft (assist by R. Rondo),,7,2
15,1,9:34.0,,Turnover by J. Nurkić (out of bounds lost ball),7,2
16,1,9:21.0,A. Davis makes 2-pt jump shot from 19 ft (assist by R. Rondo),,9,2
17,1,9:21.0,,Portland full timeout,9,2
18,1,9:09.0,,A. Aminu misses 3-pt jump shot from 25 ft,9,2
19,1,9:05.0,,Offensive rebound by D. Lillard,9,2
20,1,9:04.0,,D. Lillard misses 3-pt jump shot from 26 ft,9,2
21,1,9:01.0,,Offensive rebound by J. Nurkić,9,2
22,1,9:01.0,,J. Nurkić misses 2-pt layup from 1 ft (block by A. Davis),9,2
23,1,8:55.0,,Offensive rebound by J. Nurkić,9,2
24,1,8:55.0,,J. Nurkić makes 2-pt layup at rim,9,4
25,1,8:49.0,Turnover by R. Rondo (turnover),,9,4
26,1,8:32.0,,J. Nurkić misses 2-pt hook shot from 2 ft,9,4
27,1,8:31.0,,Offensive rebound by Team,9,4
28,1,8:29.0,,D. Lillard makes 2-pt jump shot from 20 ft (assist by E. Turner),9,6
29,1,8:05.0,R. Rondo misses 2-pt jump shot from 8 ft,,9,6
30,1,8:03.0,,Defensive rebound by E. Turner,9,6
31,1,7:52.0,,J. Nurkić makes 2-pt hook shot from 6 ft,9,8
32,1,7:40.0,J. Holiday misses 2-pt layup from 1 ft,,9,8
33,1,7:38.0,,Defensive rebound by E. Turner,9,8
34,1,7:33.0,,J. Nurkić misses 2-pt jump shot from 20 ft,9,8
35,1,7:30.0,Defensive rebound by R. Rondo,,9,8
36,1,7:23.0,J. Holiday makes 2-pt dunk from 1 ft (assist by R. Rondo),,11,8
37,1,7:09.0,,D. Lillard misses 2-pt jump shot from 21 ft,11,8
38,1,7:04.0,Defensive rebound by R. Rondo,,11,8
39,1,7:01.0,Personal foul by C. McCollum (drawn by A. Davis),,11,8
40,1,6:50.0,R. Rondo misses 2-pt jump shot from 22 ft,,11,8
41,1,6:49.0,,Defensive rebound by C. McCollum,11,8
42,1,6:42.0,,C. McCollum misses 2-pt layup from 1 ft,11,8
43,1,6:38.0,,Offensive rebound by A. Aminu,11,8
44,1,6:38.0,,A. Aminu misses 2-pt dunk at rim,11,8
45,1,6:37.0,Defensive rebound by R. Rondo,,11,8
46,1,6:29.0,Turnover by R. Rondo (bad pass; steal by C. McCollum),,11,8
47,1,6:26.0,,C. McCollum makes 2-pt dunk at rim,11,10
48,1,6:12.0,J. Holiday misses 2-pt jump shot from 6 ft,,11,10
49,1,6:10.0,Offensive rebound by A. Davis,,11,10
50,1,6:09.0,A. Davis misses 2-pt layup from 2 ft (block by J. Nurkić),,11,10
51,1,6:07.0,Offensive rebound by A. Davis,,11,10
52,1,6:06.0,J. Holiday makes 2-pt dunk at rim (assist by A. Davis),,13,10
53,1,5:53.0,,J. Nurkić misses 2-pt hook shot from 1 ft (block by N. Mirotić),13,10
54,1,5:51.0,Defensive rebound by E. Moore,,13,10
55,1,5:47.0,E. Moore misses 3-pt jump shot from 22 ft,,13,10
56,1,5:43.0,Offensive rebound by J. Holiday,,13,10
57,1,5:41.0,R. Rondo makes 2-pt layup from 1 ft (assist by J. Holiday),,15,10
58,1,5:17.0,,Turnover by D. Lillard (lost ball; steal by J. Holiday),15,10
59,1,5:11.0,N. Mirotić misses 3-pt jump shot from 24 ft,,15,10
60,1,5:09.0,,Defensive rebound by A. Aminu,15,10
61,1,5:03.0,,D. Lillard misses 2-pt jump shot from 13 ft,15,10
62,1,5:03.0,Defensive rebound by A. Davis,,15,10
63,1,4:53.0,Shooting foul by E. Turner (drawn by A. Davis),,15,10
64,1,4:53.0,A. Davis makes free throw 1 of 2,,16,10
65,1,4:53.0,,E. Davis enters the game for E. Turner,16,10
66,1,4:53.0,,M. Harkless enters the game for J. Nurkić,16,10
67,1,4:53.0,I. Clark enters the game for E. Moore,,16,10
68,1,4:53.0,S. Hill enters the game for R. Rondo,,16,10
69,1,4:53.0,A. Davis makes free throw 2 of 2,,17,10
70,1,4:40.0,,Personal foul by N. Mirotić (drawn by C. McCollum),17,10
71,1,4:30.0,,A. Aminu makes 3-pt jump shot from 24 ft (assist by C. McCollum),17,13
72,1,4:17.0,Turnover by A. Davis (out of bounds lost ball),,17,13
73,1,4:17.0,C. Diallo enters the game for A. Davis,,17,13
74,1,4:01.0,,C. McCollum misses 3-pt jump shot from 25 ft,17,13
75,1,3:59.0,Defensive rebound by Team,,17,13
76,1,3:42.0,J. Holiday misses 3-pt jump shot from 24 ft,,17,13
77,1,3:38.0,Offensive rebound by C. Diallo,,17,13
78,1,3:18.0,S. Hill makes 2-pt jump shot from 8 ft,,19,13
79,1,3:01.0,,M. Harkless makes 2-pt layup from 2 ft (assist by A. Aminu),19,15
80,1,2:42.0,N. Mirotić misses 2-pt jump shot from 18 ft,,19,15
81,1,2:39.0,,Defensive rebound by E. Davis,19,15
82,1,2:32.0,,D. Lillard misses 3-pt jump shot from 24 ft,19,15
83,1,2:28.0,Defensive rebound by S. Hill,,19,15
84,1,2:22.0,N. Mirotić misses 3-pt jump shot from 27 ft,,19,15
85,1,2:20.0,,Defensive rebound by A. Aminu,19,15
86,1,2:08.0,,C. McCollum makes 2-pt jump shot from 15 ft,19,17
87,1,1:53.0,J. Holiday makes 2-pt hook shot from 2 ft,,21,17
88,1,1:40.0,,C. McCollum makes 2-pt layup from 2 ft,21,19
89,1,1:19.0,I. Clark misses 2-pt jump shot from 4 ft,,21,19
90,1,1:18.0,,Defensive rebound by E. Davis,21,19
91,1,1:09.0,,C. McCollum makes 2-pt layup at rim (assist by D. Lillard),21,21
92,1,0:55.0,S. Hill misses 2-pt jump shot from 16 ft (block by M. Harkless),,21,21
93,1,0:52.0,,Defensive rebound by C. McCollum,21,21
94,1,0:51.0,,M. Harkless makes 2-pt dunk from 1 ft (assist by C. McCollum),21,23
95,1,0:34.0,J. Holiday makes 2-pt layup from 1 ft,,23,23
96,1,0:29.0,,E. Davis misses 2-pt hook shot from 12 ft,23,23
97,1,0:27.0,Defensive rebound by N. Mirotić,,23,23
98,1,0:08.0,J. Holiday makes 2-pt layup at rim,,25,23
99,1,0:00.0,,C. McCollum misses 3-pt jump shot from 25 ft,25,23
100,1,0:00.0,,Offensive rebound by Team,25,23
101,2,11:45.0,I. Clark misses 2-pt jump shot from 15 ft (block by P. Connaughton),,25,23
102,2,11:42.0,,Defensive rebound by M. Harkless,25,23
103,2,11:32.0,,D. Lillard makes 2-pt jump shot from 15 ft,25,25
104,2,11:15.0,D. Miller makes 3-pt jump shot from 24 ft (assist by S. Hill),,28,25
105,2,10:52.0,,M. Harkless makes 2-pt jump shot from 16 ft,28,27
106,2,10:49.0,Personal foul by E. Davis (drawn by R. Rondo),,28,27
107,2,10:39.0,R. Rondo misses 2-pt layup from 2 ft,,28,27
108,2,10:36.0,,Defensive rebound by E. Davis,28,27
109,2,10:29.0,,E. Davis makes 2-pt dunk at rim (assist by P. Connaughton),28,29
110,2,10:14.0,I. Clark misses 2-pt jump shot from 15 ft,,28,29
111,2,10:12.0,,Defensive rebound by Z. Collins,28,29
112,2,10:03.0,Violation by A. Davis (kicked ball),,28,29
113,2,9:56.0,,Z. Collins makes 2-pt hook shot from 2 ft,28,31
114,2,9:32.0,R. Rondo misses 2-pt layup from 1 ft,,28,31
115,2,9:31.0,,Defensive rebound by E. Davis,28,31
116,2,9:22.0,,E. Davis makes 2-pt dunk at rim (assist by D. Lillard),28,33
117,2,9:16.0,New Orleans full timeout,,28,33
118,2,9:07.0,Personal foul by M. Harkless (drawn by A. Davis),,28,33
119,2,9:02.0,D. Miller makes 2-pt jump shot from 20 ft (assist by R. Rondo),,30,33
120,2,8:43.0,,Z. Collins makes 2-pt jump shot from 4 ft,30,35
121,2,8:22.0,A. Davis misses 2-pt jump shot from 19 ft,,30,35
122,2,8:21.0,,Defensive rebound by Z. Collins,30,35
123,2,8:20.0,,Turnover by Z. Collins (bad pass),30,35
124,2,8:20.0,,C. McCollum enters the game for D. Lillard,30,35
125,2,8:20.0,,E. Turner enters the game for M. Harkless,30,35
126,2,8:20.0,J. Holiday enters the game for I. Clark,,30,35
127,2,8:20.0,N. Mirotić enters the game for S. Hill,,30,35
128,2,8:13.0,A. Davis misses 2-pt hook shot from 4 ft,,30,35
129,2,8:11.0,,Defensive rebound by E. Davis,30,35
130,2,8:03.0,,E. Turner misses 2-pt layup from 2 ft (block by A. Davis),30,35
131,2,8:01.0,Defensive rebound by R. Rondo,,30,35
132,2,7:58.0,N. Mirotić makes 2-pt layup from 1 ft (assist by R. Rondo),,32,35
133,2,7:42.0,Violation by A. Davis (kicked ball),,32,35
134,2,7:34.0,,P. Connaughton misses 3-pt jump shot from 26 ft,32,35
135,2,7:31.0,Defensive rebound by N. Mirotić,,32,35
136,2,7:11.0,A. Davis misses 2-pt layup from 2 ft,,32,35
137,2,7:10.0,,Defensive rebound by Z. Collins,32,35
138,2,6:57.0,,P. Connaughton makes 2-pt layup at rim (assist by E. Turner),32,37
139,2,6:43.0,N. Mirotić makes 3-pt jump shot from 22 ft (assist by J. Holiday),,35,37
140,2,6:22.0,,Turnover by C. McCollum (lost ball; steal by A. Davis),35,37
141,2,6:19.0,A. Davis makes 2-pt layup at rim (assist by R. Rondo),,37,37
142,2,6:19.0,Shooting foul by P. Connaughton (drawn by A. Davis),,37,37
143,2,6:19.0,E. Moore enters the game for R. Rondo,,37,37
144,2,6:19.0,A. Davis makes free throw 1 of 1,,38,37
