,QUARTER,TIME_REMAINING,UTAH_ACTION,OKLAHOMA CITY_ACTION,UTAH_SCORE,OKLAHOMA CITY_SCORE
0,1,11:39.0,,Turnover by R. Westbrook (bad pass; steal by D. Mitchell),0,0
1,1,11:37.0,D. Mitchell makes 2-pt layup from 1 ft,,2,0
2,1,11:13.0,,C. Brewer misses 2-pt layup from 2 ft,2,0
3,1,11:11.0,Defensive rebound by R. Rubio,,2,0
4,1,11:02.0,D. Favors misses 2-pt jump shot from 8 ft,,2,0
5,1,10:58.0,Offensive rebound by R. Gobert,,2,0
6,1,10:58.0,R. Gobert makes 2-pt layup at rim,,4,0
7,1,10:37.0,,Turnover by S. Adams (bad pass),4,0
8,1,10:18.0,D. Favors makes 3-pt jump shot from 22 ft (assist by R. Rubio),,7,0
9,1,9:59.0,,Turnover by P. George (bad pass; steal by R. Gobert),7,0
10,1,9:55.0,R. Gobert makes 2-pt dunk at rim (assist by D. Favors),,9,0
11,1,9:54.0,,Oklahoma City full timeout,9,0
12,1,9:44.0,,R. Westbrook makes 2-pt layup from 1 ft,9,2
13,1,9:25.0,D. Mitchell misses 2-pt jump shot from 5 ft,,9,2
14,1,9:22.0,,Defensive rebound by C. Anthony,9,2
15,1,9:19.0,,C. Anthony misses 3-pt jump shot from 26 ft,9,2
16,1,9:16.0,,Offensive rebound by S. Adams,9,2
17,1,9:16.0,,Personal foul by R. Rubio (drawn by S. Adams),9,2
18,1,9:06.0,,C. Anthony makes 3-pt jump shot from 23 ft (assist by R. Westbrook),9,5
19,1,8:54.0,Personal foul by R. Westbrook (drawn by R. Rubio),,9,5
20,1,8:45.0,Turnover by R. Gobert (bad pass; steal by C. Brewer),,9,5
21,1,8:41.0,,R. Westbrook makes 2-pt layup from 1 ft (assist by C. Brewer),9,7
22,1,8:26.0,J. Ingles misses 3-pt jump shot from 23 ft,,9,7
23,1,8:23.0,,Defensive rebound by Team,9,7
24,1,8:14.0,,R. Westbrook misses 2-pt jump shot from 15 ft,9,7
25,1,8:13.0,,Offensive rebound by Team,9,7
26,1,8:13.0,Loose ball foul by R. Gobert (drawn by S. Adams),,9,7
27,1,8:13.0,J. Crowder enters the game for J. Ingles,,9,7
28,1,8:06.0,,R. Westbrook makes 2-pt jump shot from 11 ft,9,9
29,1,7:57.0,Personal foul by C. Brewer (drawn by D. Mitchell),,9,9
30,1,7:51.0,D. Favors misses 3-pt jump shot from 23 ft,,9,9
31,1,7:47.0,,Defensive rebound by P. George,9,9
32,1,7:37.0,,Turnover by P. George (lost ball; steal by J. Crowder),9,9
33,1,7:36.0,Personal foul by S. Adams (drawn by R. Gobert),,9,9
34,1,7:30.0,D. Mitchell makes 2-pt layup at rim,,11,9
35,1,7:21.0,,P. George makes 3-pt jump shot from 25 ft (assist by S. Adams),11,12
36,1,7:21.0,,Shooting foul by J. Crowder (drawn by P. George),11,12
37,1,7:21.0,,P. George misses free throw 1 of 1,11,12
38,1,7:18.0,Defensive rebound by D. Favors,,11,12
39,1,7:03.0,D. Favors makes 2-pt hook shot from 6 ft (assist by R. Rubio),,13,12
40,1,6:51.0,,P. George misses 2-pt jump shot from 17 ft,13,12
41,1,6:50.0,Defensive rebound by Team,,13,12
42,1,6:50.0,,Loose ball foul by S. Adams (drawn by R. Gobert),13,12
43,1,6:50.0,,J. Grant enters the game for S. Adams,13,12
44,1,6:37.0,D. Mitchell misses 2-pt layup from 1 ft,,13,12
45,1,6:33.0,,Defensive rebound by P. George,13,12
46,1,6:20.0,,C. Brewer misses 3-pt jump shot from 23 ft,13,12
47,1,6:16.0,,Offensive rebound by R. Westbrook,13,12
48,1,6:16.0,,R. Westbrook misses 2-pt layup at rim,13,12
49,1,6:16.0,Defensive rebound by D. Favors,,13,12
50,1,6:06.0,Turnover by R. Gobert (turnover),,13,12
51,1,6:06.0,R. O'Neale enters the game for D. Favors,,13,12
52,1,5:53.0,,J. Grant misses 2-pt jump shot from 2 ft (block by R. Gobert),13,12
53,1,5:49.0,Defensive rebound by R. Rubio,,13,12
54,1,5:45.0,R. Rubio misses 2-pt jump shot from 11 ft,,13,12
55,1,5:43.0,,Defensive rebound by P. George,13,12
56,1,5:25.0,,C. Anthony misses 2-pt jump shot from 7 ft,13,12
57,1,5:21.0,,Offensive rebound by J. Grant,13,12
58,1,5:20.0,,Turnover by J. Grant (lost ball; steal by R. Rubio),13,12
59,1,5:17.0,Offensive foul by J. Crowder (drawn by R. Westbrook),,13,12
60,1,5:17.0,Turnover by J. Crowder (offensive foul),,13,12
61,1,5:17.0,,Á. Abrines enters the game for P. George,13,12
62,1,5:08.0,,R. Westbrook misses 2-pt jump shot from 11 ft,13,12
63,1,5:06.0,Defensive rebound by R. Gobert,,13,12
64,1,5:01.0,Shooting block foul by J. Grant (drawn by R. Rubio),,13,12
65,1,5:01.0,R. Rubio makes free throw 1 of 2,,14,12
66,1,5:01.0,R. Rubio makes free throw 2 of 2,,15,12
67,1,4:46.0,,R. Westbrook makes 3-pt jump shot from 25 ft,15,15
68,1,4:32.0,J. Crowder misses 3-pt jump shot from 24 ft,,15,15
69,1,4:29.0,,Defensive rebound by R. Westbrook,15,15
70,1,4:19.0,,J. Grant makes 2-pt layup at rim,15,17
71,1,4:19.0,Utah full timeout,,15,17
72,1,4:07.0,D. Mitchell makes 2-pt layup at rim (assist by R. Rubio),,17,17
73,1,3:54.0,,Shooting foul by R. Gobert (drawn by R. Westbrook),17,17
