,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,DALLAS_ACTION,LA LAKERS_SCORE,DALLAS_SCORE
0,1,11:36.0,B. Ingram makes 2-pt jump shot from 20 ft,,2,0
1,1,11:07.0,,D. Smith misses 3-pt jump shot from 25 ft,2,0
2,1,11:04.0,Defensive rebound by J. Randle,,2,0
3,1,10:58.0,B. Lopez misses 2-pt hook shot from 8 ft,,2,0
4,1,10:55.0,,Defensive rebound by D. Nowitzki,2,0
5,1,10:43.0,,H. Barnes makes 3-pt jump shot from 25 ft (assist by D. Smith),2,3
6,1,10:29.0,Shooting foul by D. Nowitzki (drawn by B. Lopez),,2,3
7,1,10:29.0,B. Lopez makes free throw 1 of 2,,3,3
8,1,10:29.0,B. Lopez misses free throw 2 of 2,,3,3
9,1,10:27.0,,Defensive rebound by H. Barnes,3,3
10,1,10:18.0,,D. Nowitzki makes 3-pt jump shot from 24 ft (assist by W. Matthews),3,6
11,1,10:01.0,B. Lopez misses 3-pt jump shot from 22 ft,,3,6
12,1,9:59.0,,Defensive rebound by H. Barnes,3,6
13,1,9:46.0,,Turnover by J. Barea (bad pass; steal by K. Caldwell-Pope),3,6
14,1,9:37.0,K. Caldwell-Pope makes 2-pt jump shot from 18 ft (assist by B. Lopez),,5,6
15,1,9:23.0,,H. Barnes misses 3-pt jump shot from 24 ft,5,6
16,1,9:20.0,Defensive rebound by K. Caldwell-Pope,,5,6
17,1,9:15.0,B. Lopez misses 2-pt hook shot from 8 ft,,5,6
18,1,9:13.0,,Defensive rebound by D. Nowitzki,5,6
19,1,9:09.0,,Personal foul by B. Ingram (drawn by J. Barea),5,6
20,1,8:58.0,,J. Barea makes 2-pt jump shot from 9 ft,5,8
21,1,8:58.0,LA Lakers full timeout,,5,8
22,1,8:36.0,J. Hart makes 3-pt jump shot from 23 ft (assist by K. Caldwell-Pope),,8,8
23,1,8:13.0,,J. Barea makes 2-pt jump shot from 18 ft,8,10
24,1,7:59.0,J. Randle misses 2-pt hook shot from 2 ft,,8,10
25,1,7:57.0,,Defensive rebound by D. Nowitzki,8,10
