,QUARTER,TIME_REMAINING,INDIANA_ACTION,UTAH_ACTION,INDIANA_SCORE,UTAH_SCORE
0,1,11:44.0,,Turnover by R. Rubio (bad pass; steal by V. Oladipo),0,0
1,1,11:40.0,D. Collison makes 2-pt layup from 1 ft (assist by V. Oladipo),,2,0
2,1,11:20.0,,Turnover by D. Favors (bad pass),2,0
3,1,11:02.0,Turnover by D. Sabonis (bad pass; steal by D. Mitchell),,2,0
4,1,10:58.0,,D. Mitchell makes 2-pt layup from 2 ft,2,2
5,1,10:34.0,D. Sabonis misses 2-pt layup from 2 ft,,2,2
6,1,10:31.0,,Defensive rebound by J. Jerebko,2,2
7,1,10:24.0,,D. Favors misses 2-pt layup from 1 ft,2,2
8,1,10:18.0,,Offensive rebound by D. Favors,2,2
9,1,10:18.0,,D. Favors makes 2-pt layup at rim,2,4
10,1,10:10.0,,Violation by D. Favors (kicked ball),2,4
11,1,10:04.0,Shooting foul by J. Jerebko (drawn by D. Sabonis),,2,4
12,1,10:04.0,D. Sabonis makes free throw 1 of 2,,3,4
13,1,10:04.0,D. Sabonis makes free throw 2 of 2,,4,4
14,1,9:49.0,,J. Jerebko makes 2-pt layup from 3 ft,4,6
15,1,9:33.0,T. Young makes 3-pt jump shot from 23 ft (assist by B. Bogdanović),,7,6
16,1,9:18.0,,R. Rubio misses 2-pt layup from 1 ft,7,6
17,1,9:16.0,,Offensive rebound by D. Favors,7,6
18,1,9:15.0,,D. Favors makes 2-pt dunk from 1 ft,7,8
19,1,9:05.0,Def 3 sec tech foul by D. Favors,,7,8
20,1,9:05.0,B. Bogdanović makes technical free throw,,8,8
21,1,8:58.0,B. Bogdanović misses 3-pt jump shot from 28 ft,,8,8
22,1,8:54.0,,Defensive rebound by D. Favors,8,8
23,1,8:42.0,,D. Favors misses 2-pt jump shot from 4 ft,8,8
24,1,8:39.0,Defensive rebound by V. Oladipo,,8,8
25,1,8:36.0,V. Oladipo misses 2-pt jump shot from 8 ft,,8,8
26,1,8:32.0,,Defensive rebound by R. Rubio,8,8
27,1,8:24.0,,Turnover by R. Rubio (bad pass; steal by B. Bogdanović),8,8
28,1,8:10.0,D. Sabonis makes 2-pt jump shot from 8 ft,,10,8
29,1,7:51.0,,R. Rubio misses 2-pt layup from 1 ft (block by T. Young),10,8
30,1,7:48.0,Defensive rebound by B. Bogdanović,,10,8
31,1,7:47.0,V. Oladipo makes 2-pt layup from 1 ft (assist by B. Bogdanović),,12,8
32,1,7:33.0,,Personal foul by B. Bogdanović (drawn by J. Ingles),12,8
33,1,7:25.0,,D. Favors makes 2-pt dunk from 1 ft (assist by J. Jerebko),12,10
34,1,6:59.0,T. Young makes 2-pt jump shot from 23 ft,,14,10
35,1,6:43.0,,J. Jerebko misses 3-pt jump shot from 26 ft,14,10
36,1,6:41.0,,Offensive rebound by D. Favors,14,10
37,1,6:40.0,,D. Favors makes 2-pt dunk from 2 ft,14,12
38,1,6:25.0,B. Bogdanović makes 3-pt jump shot from 23 ft,,17,12
39,1,6:24.0,,Utah full timeout,17,12
40,1,6:24.0,,R. Hood enters the game for R. Rubio,17,12
41,1,6:07.0,,D. Mitchell misses 3-pt jump shot from 24 ft,17,12
42,1,6:02.0,Defensive rebound by T. Young,,17,12
43,1,6:00.0,V. Oladipo misses 2-pt jump shot from 18 ft,,17,12
44,1,5:57.0,Offensive rebound by D. Sabonis,,17,12
45,1,5:50.0,Shooting foul by J. Ingles (drawn by B. Bogdanović),,17,12
46,1,5:50.0,B. Bogdanović misses free throw 1 of 2,,17,12
47,1,5:50.0,Offensive rebound by Team,,17,12
48,1,5:50.0,,J. Johnson enters the game for J. Jerebko,17,12
49,1,5:50.0,B. Bogdanović makes free throw 2 of 2,,18,12
50,1,5:39.0,,R. Hood misses 2-pt jump shot from 11 ft,18,12
51,1,5:35.0,Defensive rebound by D. Sabonis,,18,12
52,1,5:25.0,D. Sabonis misses 2-pt layup from 3 ft,,18,12
53,1,5:23.0,,Defensive rebound by J. Johnson,18,12
54,1,5:17.0,,D. Favors makes 2-pt layup from 2 ft (assist by J. Ingles),18,14
55,1,5:17.0,,Shooting foul by D. Collison (drawn by D. Favors),18,14
56,1,5:17.0,,D. Favors misses free throw 1 of 1,18,14
57,1,5:15.0,Defensive rebound by D. Sabonis,,18,14
58,1,5:05.0,D. Collison makes 2-pt jump shot from 19 ft,,20,14
59,1,4:45.0,,R. Hood makes 3-pt jump shot from 25 ft (assist by D. Mitchell),20,17
60,1,4:23.0,T. Young misses 2-pt layup from 1 ft (block by D. Favors),,20,17
61,1,4:23.0,Offensive rebound by D. Sabonis,,20,17
62,1,4:23.0,D. Sabonis misses 2-pt layup from 3 ft,,20,17
63,1,4:22.0,Offensive rebound by D. Sabonis,,20,17
64,1,4:20.0,D. Sabonis misses 2-pt layup from 2 ft,,20,17
65,1,4:20.0,Offensive rebound by D. Sabonis,,20,17
66,1,4:17.0,D. Sabonis misses 2-pt layup from 2 ft,,20,17
67,1,4:17.0,Offensive rebound by D. Sabonis,,20,17
68,1,4:17.0,Turnover by D. Sabonis (lost ball; steal by J. Ingles),,20,17
69,1,4:03.0,,R. O'Neale enters the game for J. Ingles,20,17
70,1,4:03.0,C. Joseph enters the game for B. Bogdanović,,20,17
