,QUARTER,TIME_REMAINING,DENVER_ACTION,PORTLAND_ACTION,DENVER_SCORE,PORTLAND_SCORE
0,1,11:38.0,,J. Nurkić makes 2-pt hook shot from 5 ft (assist by C. McCollum),0,2
1,1,11:28.0,Personal foul by A. Aminu (drawn by N. Jokić),,0,2
2,1,11:21.0,G. Harris makes 2-pt layup from 2 ft,,2,2
3,1,11:04.0,,J. Nurkić makes 2-pt hook shot from 8 ft (assist by E. Turner),2,4
4,1,10:53.0,Personal foul by J. Layman (drawn by W. Chandler),,2,4
5,1,10:47.0,J. Murray misses 2-pt layup from 2 ft,,2,4
6,1,10:44.0,,Defensive rebound by A. Aminu,2,4
7,1,10:36.0,,A. Aminu misses 3-pt jump shot from 24 ft,2,4
8,1,10:34.0,Defensive rebound by J. Murray,,2,4
9,1,10:26.0,W. Chandler makes 2-pt hook shot from 3 ft,,4,4
10,1,10:10.0,,J. Nurkić misses 2-pt hook shot from 6 ft,4,4
11,1,10:10.0,Defensive rebound by N. Jokić,,4,4
12,1,9:59.0,M. Plumlee misses 2-pt hook shot from 4 ft (block by A. Aminu),,4,4
13,1,9:58.0,Offensive rebound by M. Plumlee,,4,4
14,1,9:56.0,M. Plumlee makes 2-pt jump shot from 2 ft,,6,4
15,1,9:39.0,,C. McCollum misses 2-pt jump shot from 14 ft,6,4
16,1,9:39.0,Defensive rebound by W. Chandler,,6,4
17,1,9:22.0,N. Jokić misses 2-pt hook shot from 5 ft,,6,4
18,1,9:22.0,N. Jokić misses 2-pt layup from 5 ft,,6,4
19,1,9:22.0,Offensive rebound by N. Jokić,,6,4
20,1,9:22.0,Offensive rebound by N. Jokić,,6,4
21,1,9:19.0,M. Plumlee makes 2-pt layup at rim,,8,4
22,1,9:03.0,,A. Aminu makes 3-pt jump shot from 23 ft (assist by J. Layman),8,7
23,1,8:41.0,J. Murray makes 2-pt jump shot from 11 ft (assist by M. Plumlee),,10,7
24,1,8:29.0,,C. McCollum misses 2-pt jump shot from 5 ft (block by N. Jokić),10,7
25,1,8:29.0,Defensive rebound by W. Chandler,,10,7
26,1,8:13.0,G. Harris misses 3-pt jump shot from 27 ft,,10,7
27,1,8:13.0,,Defensive rebound by J. Layman,10,7
28,1,7:59.0,,Turnover by E. Turner (bad pass),10,7
29,1,7:47.0,W. Chandler makes 2-pt hook shot from 8 ft,,12,7
30,1,7:47.0,Shooting foul by J. Layman (drawn by W. Chandler),,12,7
31,1,7:47.0,W. Chandler makes free throw 1 of 1,,13,7
32,1,7:30.0,,J. Nurkić misses 2-pt hook shot from 10 ft,13,7
33,1,7:28.0,Defensive rebound by W. Chandler,,13,7
34,1,7:25.0,Turnover by W. Chandler (out of bounds lost ball),,13,7
35,1,7:05.0,,A. Aminu misses 2-pt layup from 1 ft (block by M. Plumlee),13,7
36,1,7:05.0,,Offensive rebound by Team,13,7
37,1,7:01.0,,J. Layman misses 2-pt jump shot from 13 ft,13,7
38,1,6:57.0,Defensive rebound by M. Plumlee,,13,7
39,1,6:38.0,M. Plumlee misses 2-pt dunk from 18 ft,,13,7
40,1,6:35.0,,Defensive rebound by A. Aminu,13,7
41,1,6:28.0,,J. Nurkić makes 2-pt layup from 1 ft,13,9
42,1,6:10.0,N. Jokić makes 2-pt jump shot from 4 ft,,15,9
43,1,6:09.0,,Portland full timeout,15,9
44,1,6:09.0,,S. Napier enters the game for J. Layman,15,9
45,1,5:53.0,,C. McCollum makes 2-pt jump shot from 12 ft,15,11
46,1,5:27.0,G. Harris misses 2-pt jump shot from 16 ft,,15,11
47,1,5:23.0,,Defensive rebound by A. Aminu,15,11
48,1,5:15.0,,C. McCollum misses 3-pt jump shot from 25 ft,15,11
49,1,5:13.0,Defensive rebound by J. Murray,,15,11
50,1,5:09.0,W. Chandler makes 2-pt layup from 1 ft (assist by J. Murray),,17,11
51,1,4:46.0,Offensive charge foul by A. Aminu (drawn by M. Plumlee),,17,11
52,1,4:46.0,,Turnover by A. Aminu (offensive foul),17,11
53,1,4:46.0,,Z. Collins enters the game for A. Aminu,17,11
54,1,4:46.0,,E. Davis enters the game for J. Nurkić,17,11
55,1,4:37.0,Turnover by G. Harris (bad pass; steal by E. Turner),,17,11
56,1,4:31.0,,E. Turner makes 2-pt jump shot from 15 ft,17,13
57,1,4:15.0,N. Jokić makes 2-pt layup from 1 ft (assist by M. Plumlee),,19,13
58,1,3:58.0,,Z. Collins makes 2-pt jump shot from 16 ft (assist by E. Turner),19,15
59,1,3:47.0,Turnover by J. Murray (bad pass),,19,15
60,1,3:47.0,W. Barton enters the game for W. Chandler,,19,15
61,1,3:47.0,T. Lyles enters the game for M. Plumlee,,19,15
62,1,3:34.0,,S. Napier misses 3-pt jump shot from 26 ft,19,15
63,1,3:34.0,Defensive rebound by W. Barton,,19,15
64,1,3:27.0,J. Murray misses 3-pt jump shot from 26 ft,,19,15
65,1,3:27.0,Offensive rebound by Team,,19,15
66,1,3:24.0,,M. Harkless enters the game for E. Turner,19,15
67,1,3:24.0,,P. Connaughton enters the game for C. McCollum,19,15
