,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,BROOKLYN_ACTION,LA LAKERS_SCORE,BROOKLYN_SCORE
0,1,11:38.0,,Shooting foul by J. Hart (drawn by J. Allen),0,0
1,1,11:38.0,,J. Allen makes free throw 1 of 2,0,1
2,1,11:38.0,,J. Allen misses free throw 2 of 2,0,1
3,1,11:35.0,Defensive rebound by J. Randle,,0,1
4,1,11:21.0,B. Ingram makes 2-pt dunk from 1 ft (assist by J. Randle),,2,1
5,1,11:01.0,,J. Allen makes 2-pt dunk at rim (assist by S. Dinwiddie),2,3
6,1,10:50.0,J. Randle makes 2-pt jump shot from 5 ft (assist by B. Ingram),,4,3
7,1,10:31.0,,J. Allen makes 2-pt hook shot from 6 ft (assist by Q. Acy),4,5
8,1,10:01.0,B. Lopez makes 3-pt jump shot from 23 ft (assist by K. Caldwell-Pope),,7,5
9,1,9:36.0,,D. Carroll misses 3-pt jump shot from 24 ft,7,5
10,1,9:32.0,Defensive rebound by J. Randle,,7,5
11,1,9:30.0,Personal foul by J. Allen (drawn by B. Lopez),,7,5
12,1,9:25.0,Turnover by K. Caldwell-Pope (turnover),,7,5
13,1,9:09.0,,A. Crabbe misses 2-pt jump shot from 10 ft,7,5
14,1,9:07.0,Defensive rebound by J. Hart,,7,5
15,1,8:45.0,B. Lopez misses 3-pt jump shot from 25 ft,,7,5
16,1,8:43.0,,Defensive rebound by S. Dinwiddie,7,5
17,1,8:35.0,,Turnover by D. Carroll (bad pass; steal by J. Hart),7,5
18,1,8:31.0,J. Hart makes 2-pt layup from 1 ft,,9,5
19,1,8:10.0,,S. Dinwiddie misses 3-pt jump shot from 24 ft,9,5
20,1,8:07.0,Defensive rebound by J. Hart,,9,5
21,1,7:55.0,Shooting foul by J. Allen (drawn by B. Ingram),,9,5
22,1,7:55.0,B. Ingram makes free throw 1 of 2,,10,5
23,1,7:55.0,B. Ingram makes free throw 2 of 2,,11,5
24,1,7:45.0,,Shooting foul by B. Ingram (drawn by J. Allen),11,5
25,1,7:45.0,,J. Allen misses free throw 1 of 2,11,5
26,1,7:45.0,,Offensive rebound by Team,11,5
27,1,7:45.0,,J. Allen makes free throw 2 of 2,11,6
28,1,7:34.0,B. Ingram misses 2-pt jump shot from 17 ft,,11,6
29,1,7:32.0,Offensive rebound by J. Hart,,11,6
30,1,7:24.0,J. Randle makes 2-pt hook shot from 7 ft,,13,6
31,1,7:13.0,,Turnover by D. Carroll (bad pass),13,6
32,1,7:04.0,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,,13,6
33,1,7:01.0,,Defensive rebound by Q. Acy,13,6
34,1,6:46.0,,A. Crabbe makes 3-pt jump shot from 25 ft (assist by Q. Acy),13,9
35,1,6:28.0,B. Lopez makes 2-pt hook shot from 6 ft,,15,9
36,1,6:26.0,,Brooklyn full timeout,15,9
37,1,6:14.0,,Shooting foul by B. Ingram (drawn by J. Allen),15,9
38,1,6:14.0,,J. Allen makes free throw 1 of 2,15,10
39,1,6:14.0,,J. Allen makes free throw 2 of 2,15,11
40,1,5:59.0,Turnover by J. Randle (bad pass),,15,11
41,1,5:59.0,,J. Okafor enters the game for J. Allen,15,11
42,1,5:59.0,,J. Harris enters the game for Q. Acy,15,11
43,1,5:41.0,,A. Crabbe misses 2-pt jump shot from 18 ft,15,11
44,1,5:40.0,Defensive rebound by Team,,15,11
45,1,5:40.0,A. Caruso enters the game for B. Ingram,,15,11
46,1,5:26.0,B. Lopez misses 2-pt hook shot from 5 ft,,15,11
47,1,5:22.0,,Defensive rebound by D. Carroll,15,11
48,1,5:20.0,,Turnover by D. Carroll (out of bounds lost ball),15,11
49,1,5:07.0,Turnover by B. Lopez (lost ball; steal by A. Crabbe),,15,11
50,1,4:58.0,,Shooting foul by K. Caldwell-Pope (drawn by J. Okafor),15,11
