,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,PHOENIX_ACTION,WASHINGTON_SCORE,PHOENIX_SCORE
0,1,11:45.0,M. Gortat misses 2-pt hook shot from 5 ft,,0,0
1,1,11:42.0,,Defensive rebound by G. Monroe,0,0
2,1,11:30.0,,M. Chriss makes 3-pt jump shot from 23 ft (assist by J. Jackson),0,3
3,1,11:07.0,M. Morris makes 2-pt layup at rim (assist by B. Beal),,2,3
4,1,10:51.0,,T. Warren makes 2-pt jump shot from 18 ft (assist by J. Jackson),2,5
5,1,10:30.0,M. Morris misses 2-pt jump shot from 19 ft,,2,5
6,1,10:27.0,,Defensive rebound by T. Warren,2,5
7,1,10:17.0,,G. Monroe makes 2-pt hook shot from 4 ft,2,7
8,1,10:00.0,M. Gortat makes 2-pt dunk from 1 ft (assist by O. Porter),,4,7
9,1,9:45.0,,Personal foul by T. Frazier (drawn by M. Chriss),4,7
10,1,9:38.0,,J. Jackson misses 2-pt jump shot from 17 ft,4,7
11,1,9:35.0,,Offensive rebound by G. Monroe,4,7
12,1,9:32.0,,M. Chriss makes 2-pt jump shot from 19 ft (assist by G. Monroe),4,9
13,1,9:13.0,B. Beal makes 2-pt layup at rim,,6,9
14,1,8:57.0,,T. Ulis makes 3-pt jump shot from 25 ft,6,12
15,1,8:41.0,T. Frazier misses 2-pt jump shot from 21 ft,,6,12
16,1,8:37.0,,Defensive rebound by T. Warren,6,12
17,1,8:32.0,,T. Warren misses 2-pt layup at rim,6,12
18,1,8:30.0,,Offensive rebound by J. Jackson,6,12
19,1,8:30.0,,J. Jackson makes 2-pt dunk at rim,6,14
20,1,8:30.0,Washington full timeout,,6,14
21,1,8:14.0,M. Morris misses 3-pt jump shot from 24 ft,,6,14
22,1,8:11.0,Offensive rebound by M. Gortat,,6,14
23,1,8:10.0,M. Gortat misses 2-pt layup from 1 ft,,6,14
24,1,8:10.0,Offensive rebound by M. Morris,,6,14
25,1,8:06.0,B. Beal misses 3-pt jump shot from 22 ft,,6,14
26,1,8:06.0,Offensive rebound by M. Morris,,6,14
27,1,7:49.0,M. Gortat misses 2-pt jump shot from 12 ft,,6,14
28,1,7:45.0,,Defensive rebound by J. Jackson,6,14
29,1,7:41.0,,J. Jackson misses 2-pt layup from 1 ft,6,14
30,1,7:38.0,,Offensive rebound by T. Warren,6,14
31,1,7:37.0,,T. Warren makes 2-pt layup from 1 ft,6,16
32,1,7:33.0,O. Porter makes 2-pt dunk at rim (assist by B. Beal),,8,16
33,1,7:09.0,,J. Jackson makes 3-pt jump shot from 25 ft (assist by G. Monroe),8,19
34,1,6:47.0,M. Morris misses 3-pt jump shot from 22 ft,,8,19
35,1,6:42.0,,Defensive rebound by G. Monroe,8,19
36,1,6:37.0,,Turnover by T. Ulis (traveling),8,19
