,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,OKLAHOMA CITY_ACTION,MINNESOTA_SCORE,OKLAHOMA CITY_SCORE
0,1,11:44.0,,R. Westbrook misses 2-pt layup from 1 ft,0,0
1,1,11:42.0,,Offensive rebound by S. Adams,0,0
2,1,11:42.0,,S. Adams makes 2-pt layup at rim,0,2
3,1,11:20.0,J. Teague makes 3-pt jump shot from 26 ft,,3,2
4,1,11:02.0,,P. George misses 2-pt jump shot from 8 ft,3,2
5,1,10:59.0,Defensive rebound by Team,,3,2
6,1,10:44.0,T. Gibson misses 2-pt hook shot from 3 ft,,3,2
7,1,10:43.0,,Defensive rebound by S. Adams,3,2
8,1,10:39.0,,R. Westbrook makes 2-pt layup at rim,3,4
9,1,10:29.0,K. Towns misses 3-pt jump shot from 25 ft,,3,4
10,1,10:27.0,,Defensive rebound by P. George,3,4
11,1,10:21.0,,A. Roberson misses 3-pt jump shot from 25 ft,3,4
12,1,10:16.0,Defensive rebound by A. Wiggins,,3,4
13,1,10:09.0,A. Wiggins misses 2-pt layup from 2 ft (block by S. Adams),,3,4
14,1,10:06.0,Offensive rebound by K. Towns,,3,4
15,1,10:05.0,K. Towns makes 2-pt dunk from 2 ft,,5,4
16,1,9:55.0,,C. Anthony misses 2-pt jump shot from 15 ft,5,4
17,1,9:55.0,Defensive rebound by A. Wiggins,,5,4
18,1,9:44.0,K. Towns misses 3-pt jump shot from 24 ft,,5,4
19,1,9:41.0,,Defensive rebound by R. Westbrook,5,4
20,1,9:38.0,,S. Adams makes 2-pt layup from 1 ft (assist by R. Westbrook),5,6
21,1,9:38.0,Violation by K. Towns (def goaltending),,5,6
22,1,9:22.0,T. Gibson makes 2-pt hook shot from 4 ft (assist by J. Teague),,7,6
23,1,8:55.0,,C. Anthony misses 2-pt jump shot from 11 ft,7,6
24,1,8:52.0,Defensive rebound by J. Butler,,7,6
25,1,8:39.0,Turnover by K. Towns (lost ball; steal by P. George),,7,6
26,1,8:33.0,,A. Roberson misses 2-pt layup at rim,7,6
27,1,8:29.0,Defensive rebound by K. Towns,,7,6
28,1,8:23.0,J. Teague misses 2-pt layup from 2 ft (block by S. Adams),,7,6
29,1,8:21.0,Offensive rebound by Team,,7,6
30,1,8:12.0,A. Wiggins makes 2-pt jump shot from 4 ft (assist by J. Teague),,9,6
31,1,8:00.0,,P. George makes 2-pt layup at rim (assist by C. Anthony),9,8
32,1,7:43.0,T. Gibson makes 2-pt jump shot from 4 ft (assist by A. Wiggins),,11,8
33,1,7:13.0,,P. George misses 3-pt jump shot from 25 ft,11,8
34,1,7:09.0,Defensive rebound by K. Towns,,11,8
35,1,7:04.0,Personal foul by A. Roberson (drawn by K. Towns),,11,8
36,1,6:53.0,J. Butler misses 2-pt jump shot from 16 ft,,11,8
37,1,6:50.0,,Defensive rebound by P. George,11,8
38,1,6:44.0,,S. Adams misses 2-pt layup from 1 ft,11,8
39,1,6:43.0,,S. Adams makes 2-pt layup from 1 ft,11,10
40,1,6:40.0,,Offensive rebound by S. Adams,11,10
41,1,6:28.0,J. Teague makes 2-pt jump shot from 19 ft,,13,10
42,1,6:14.0,,P. George misses 2-pt jump shot from 20 ft,13,10
43,1,6:14.0,Defensive rebound by J. Teague,,13,10
44,1,6:03.0,T. Gibson makes 2-pt jump shot from 5 ft,,15,10
45,1,5:49.0,,P. George makes 2-pt layup at rim (assist by S. Adams),15,12
46,1,5:38.0,Turnover by J. Teague (bad pass; steal by S. Adams),,15,12
47,1,5:36.0,,Turnover by S. Adams (bad pass; steal by J. Teague),15,12
48,1,5:32.0,J. Butler makes 2-pt jump shot from 1 ft,,17,12
49,1,5:24.0,,Oklahoma City full timeout,17,12
50,1,5:24.0,,J. Grant enters the game for C. Anthony,17,12
51,1,5:24.0,G. Dieng enters the game for K. Towns,,17,12
52,1,5:18.0,,R. Westbrook misses 2-pt jump shot from 13 ft,17,12
53,1,5:13.0,Defensive rebound by T. Gibson,,17,12
54,1,4:55.0,A. Wiggins makes 2-pt jump shot from 14 ft,,19,12
55,1,4:38.0,,S. Adams makes 2-pt dunk at rim (assist by P. George),19,14
56,1,4:16.0,G. Dieng makes 3-pt jump shot from 22 ft (assist by A. Wiggins),,22,14
57,1,3:58.0,,R. Westbrook misses 2-pt layup from 1 ft,22,14
58,1,3:56.0,Defensive rebound by J. Butler,,22,14
59,1,3:45.0,A. Wiggins misses 3-pt jump shot from 25 ft,,22,14
60,1,3:42.0,,Defensive rebound by S. Adams,22,14
61,1,3:37.0,,R. Westbrook misses 2-pt jump shot from 3 ft,22,14
62,1,3:33.0,Defensive rebound by A. Wiggins,,22,14
63,1,3:19.0,A. Wiggins makes 3-pt jump shot from 28 ft (assist by G. Dieng),,25,14
64,1,3:04.0,Offensive charge foul by A. Roberson (drawn by J. Teague),,25,14
65,1,3:04.0,,Turnover by A. Roberson (offensive foul),25,14
66,1,3:04.0,,Á. Abrines enters the game for P. George,25,14
67,1,3:04.0,N. Bjelica enters the game for J. Butler,,25,14
68,1,3:04.0,J. Crawford enters the game for T. Gibson,,25,14
69,1,2:49.0,A. Wiggins makes 2-pt jump shot from 22 ft,,27,14
70,1,2:29.0,,J. Grant makes 2-pt layup from 1 ft (assist by R. Westbrook),27,16
71,1,2:29.0,,Shooting foul by J. Crawford (drawn by J. Grant),27,16
72,1,2:29.0,Minnesota full timeout,,27,16
73,1,2:29.0,,C. Anthony enters the game for R. Westbrook,27,16
74,1,2:29.0,,R. Felton enters the game for S. Adams,27,16
75,1,2:29.0,T. Jones enters the game for J. Teague,,27,16
76,1,2:29.0,,J. Grant makes free throw 1 of 1,27,17
77,1,2:11.0,Turnover by N. Bjelica (traveling),,27,17
78,1,2:01.0,,C. Anthony misses 3-pt jump shot from 24 ft,27,17
79,1,2:01.0,,Offensive rebound by Team,27,17
80,1,2:01.0,Loose ball foul by T. Jones (drawn by J. Grant),,27,17
81,1,1:50.0,,C. Anthony makes 2-pt jump shot from 13 ft,27,19
82,1,1:20.0,Turnover by G. Dieng (lost ball; steal by C. Anthony),,27,19
83,1,1:11.0,,C. Anthony makes 2-pt jump shot from 13 ft,27,21
84,1,0:54.0,Personal foul by C. Anthony (drawn by G. Dieng),,27,21
85,1,0:54.0,,J. Huestis enters the game for A. Roberson,27,21
