,QUARTER,TIME_REMAINING,NEW YORK_ACTION,HOUSTON_ACTION,NEW YORK_SCORE,HOUSTON_SCORE
0,1,11:35.0,M. Beasley misses 2-pt jump shot from 17 ft,,0,0
1,1,11:29.0,,Defensive rebound by C. Capela,0,0
2,1,11:26.0,,C. Capela makes 2-pt dunk at rim (assist by J. Harden),0,2
3,1,11:14.0,T. Hardaway misses 3-pt jump shot from 26 ft,,0,2
4,1,11:14.0,,Defensive rebound by P. Tucker,0,2
5,1,11:03.0,,C. Paul misses 2-pt jump shot from 8 ft,0,2
6,1,11:03.0,Defensive rebound by K. O'Quinn,,0,2
7,1,10:57.0,C. Lee makes 3-pt jump shot from 25 ft (assist by M. Beasley),,3,2
8,1,10:30.0,,Turnover by Team (shot clock),3,2
9,1,10:14.0,M. Beasley makes 2-pt jump shot from 10 ft,,5,2
10,1,10:14.0,Shooting foul by P. Tucker (drawn by M. Beasley),,5,2
11,1,10:14.0,M. Beasley misses free throw 1 of 1,,5,2
12,1,10:07.0,,Defensive rebound by P. Tucker,5,2
13,1,10:05.0,,T. Ariza misses 3-pt jump shot from 25 ft,5,2
14,1,10:03.0,Defensive rebound by K. O'Quinn,,5,2
15,1,9:53.0,Turnover by C. Lee (bad pass; steal by C. Paul),,5,2
16,1,9:48.0,,T. Ariza misses 3-pt jump shot from 26 ft,5,2
17,1,9:44.0,Defensive rebound by T. Hardaway,,5,2
18,1,9:39.0,M. Beasley makes 2-pt jump shot from 15 ft (assist by T. Hardaway),,7,2
19,1,9:29.0,,Turnover by P. Tucker (step out of bounds),7,2
20,1,9:17.0,C. Lee makes 2-pt jump shot from 19 ft (assist by J. Jack),,9,2
21,1,9:04.0,,J. Harden misses 3-pt jump shot from 26 ft,9,2
22,1,9:01.0,Defensive rebound by K. O'Quinn,,9,2
23,1,8:54.0,K. O'Quinn makes 2-pt dunk at rim (assist by J. Jack),,11,2
24,1,8:35.0,,C. Paul misses 2-pt layup from 2 ft,11,2
25,1,8:34.0,,Offensive rebound by C. Capela,11,2
26,1,8:34.0,,Shooting foul by K. O'Quinn (drawn by C. Capela),11,2
27,1,8:34.0,,C. Capela misses free throw 1 of 2,11,2
28,1,8:34.0,,Offensive rebound by Team,11,2
29,1,8:34.0,,C. Capela makes free throw 2 of 2,11,3
30,1,8:15.0,T. Hardaway makes 2-pt jump shot from 19 ft (assist by M. Beasley),,13,3
31,1,8:05.0,,Personal foul by C. Lee (drawn by J. Harden),13,3
32,1,8:00.0,,J. Harden misses 2-pt layup from 2 ft,13,3
33,1,7:58.0,Defensive rebound by K. O'Quinn,,13,3
34,1,7:52.0,M. Beasley makes 2-pt layup from 2 ft (assist by J. Jack),,15,3
35,1,7:52.0,,Houston full timeout,15,3
36,1,7:40.0,,J. Harden misses 3-pt jump shot from 25 ft,15,3
37,1,7:40.0,,Offensive rebound by Team,15,3
38,1,7:40.0,Loose ball foul by K. O'Quinn (drawn by C. Capela),,15,3
39,1,7:40.0,W. Hernangómez enters the game for K. O'Quinn,,15,3
40,1,7:23.0,,Turnover by J. Harden (lost ball; steal by C. Lee),15,3
41,1,7:18.0,C. Lee makes 3-pt jump shot from 26 ft (assist by T. Hardaway),,18,3
42,1,7:07.0,,C. Paul misses 2-pt jump shot from 4 ft,18,3
43,1,7:05.0,Defensive rebound by W. Hernangómez,,18,3
44,1,6:57.0,C. Lee makes 3-pt jump shot from 23 ft (assist by T. Hardaway),,21,3
45,1,6:44.0,,Shooting foul by W. Hernangómez (drawn by J. Harden),21,3
46,1,6:44.0,,J. Harden makes free throw 1 of 2,21,4
47,1,6:44.0,,E. Gordon enters the game for C. Paul,21,4
48,1,6:44.0,,J. Harden makes free throw 2 of 2,21,5
49,1,6:25.0,M. Beasley makes 2-pt dunk at rim (assist by W. Hernangómez),,23,5
50,1,6:01.0,,T. Ariza misses 3-pt jump shot from 23 ft,23,5
51,1,5:59.0,Defensive rebound by J. Jack,,23,5
52,1,5:55.0,C. Lee misses 3-pt jump shot from 24 ft,,23,5
53,1,5:51.0,Offensive rebound by M. Beasley,,23,5
54,1,5:51.0,M. Beasley makes 2-pt dunk from 1 ft,,25,5
55,1,5:38.0,,C. Capela makes 2-pt layup from 2 ft (assist by J. Harden),25,7
56,1,5:38.0,Violation by M. Beasley (def goaltending),,25,7
57,1,5:19.0,M. Beasley misses 2-pt jump shot from 19 ft,,25,7
58,1,5:18.0,Offensive rebound by Team,,25,7
59,1,5:18.0,,R. Anderson enters the game for T. Ariza,25,7
60,1,5:18.0,,N. Hilário enters the game for P. Tucker,25,7
61,1,5:18.0,,L. Mbah a Moute enters the game for C. Capela,25,7
62,1,5:07.0,M. Beasley makes 2-pt layup from 3 ft (assist by C. Lee),,27,7
63,1,4:49.0,,E. Gordon misses 2-pt jump shot from 4 ft,27,7
64,1,4:46.0,Defensive rebound by C. Lee,,27,7
65,1,4:36.0,M. Beasley makes 2-pt layup from 2 ft,,29,7
66,1,4:21.0,,E. Gordon misses 3-pt jump shot from 26 ft,29,7
67,1,4:19.0,Defensive rebound by J. Jack,,29,7
68,1,4:09.0,J. Jack misses 2-pt layup from 2 ft,,29,7
69,1,4:07.0,,Defensive rebound by L. Mbah a Moute,29,7
70,1,4:04.0,,J. Harden makes 2-pt jump shot from 9 ft,29,9
71,1,4:04.0,,Shooting foul by M. Beasley (drawn by J. Harden),29,9
72,1,4:04.0,,J. Harden makes free throw 1 of 1,29,10
73,1,4:01.0,New York full timeout,,29,10
74,1,4:01.0,L. Thomas enters the game for T. Hardaway,,29,10
75,1,4:01.0,D. McDermott enters the game for M. Beasley,,29,10
76,1,3:47.0,J. Jack misses 2-pt jump shot from 14 ft,,29,10
77,1,3:41.0,,Defensive rebound by R. Anderson,29,10
78,1,3:38.0,,E. Gordon makes 3-pt jump shot from 26 ft (assist by J. Harden),29,13
79,1,3:20.0,Shooting foul by N. Hilário (drawn by C. Lee),,29,13
80,1,3:20.0,C. Lee makes free throw 1 of 2,,30,13
81,1,3:20.0,C. Lee makes free throw 2 of 2,,31,13
82,1,3:03.0,,Turnover by L. Mbah a Moute (lost ball; steal by J. Jack),31,13
83,1,2:52.0,Turnover by J. Jack (lost ball; steal by L. Mbah a Moute),,31,13
84,1,2:42.0,,J. Harden makes 2-pt layup at rim,31,15
85,1,2:22.0,W. Hernangómez misses 2-pt jump shot from 11 ft,,31,15
86,1,2:19.0,,Defensive rebound by R. Anderson,31,15
87,1,2:17.0,,N. Hilário makes 2-pt dunk at rim (assist by J. Harden),31,17
88,1,1:57.0,C. Lee makes 2-pt layup from 1 ft (assist by J. Jack),,33,17
89,1,1:52.0,,E. Gordon misses 3-pt jump shot from 27 ft,33,17
