,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,PORTLAND_ACTION,WASHINGTON_SCORE,PORTLAND_SCORE
0,1,11:46.0,Turnover by B. Beal (bad pass; steal by M. Harkless),,0,0
1,1,11:38.0,,D. Lillard makes 2-pt layup from 3 ft (assist by J. Nurkić),0,2
2,1,11:18.0,B. Beal makes 2-pt layup from 2 ft,,2,2
3,1,10:58.0,,A. Aminu misses 3-pt jump shot from 25 ft,2,2
4,1,10:56.0,Defensive rebound by O. Porter,,2,2
5,1,10:47.0,M. Morris misses 2-pt jump shot from 11 ft (block by A. Aminu),,2,2
6,1,10:44.0,,Defensive rebound by A. Aminu,2,2
7,1,10:32.0,,Turnover by A. Aminu (bad pass; steal by O. Porter),2,2
8,1,10:10.0,Shooting foul by M. Harkless (drawn by M. Morris),,2,2
9,1,10:10.0,M. Morris misses free throw 1 of 2,,2,2
10,1,10:10.0,Offensive rebound by Team,,2,2
11,1,10:10.0,M. Morris makes free throw 2 of 2,,3,2
12,1,9:56.0,,M. Harkless makes 3-pt jump shot from 23 ft (assist by D. Lillard),3,5
13,1,9:35.0,M. Gortat misses 2-pt layup from 2 ft (block by M. Harkless),,3,5
14,1,9:31.0,,Defensive rebound by A. Aminu,3,5
15,1,9:28.0,,C. McCollum makes 3-pt jump shot from 22 ft (assist by M. Harkless),3,8
16,1,9:05.0,B. Beal misses 3-pt jump shot from 26 ft,,3,8
17,1,9:01.0,,Defensive rebound by A. Aminu,3,8
18,1,8:53.0,,Personal foul by O. Porter (drawn by M. Harkless),3,8
19,1,8:41.0,,J. Nurkić misses 2-pt layup from 4 ft,3,8
20,1,8:37.0,,Offensive rebound by J. Nurkić,3,8
21,1,8:36.0,,J. Nurkić misses 2-pt layup from 1 ft,3,8
22,1,8:36.0,Defensive rebound by M. Gortat,,3,8
23,1,8:25.0,M. Gortat misses 2-pt jump shot from 11 ft,,3,8
24,1,8:22.0,,Defensive rebound by D. Lillard,3,8
25,1,8:16.0,,C. McCollum misses 2-pt jump shot from 10 ft,3,8
26,1,8:13.0,Defensive rebound by M. Morris,,3,8
27,1,8:00.0,B. Beal makes 2-pt jump shot from 19 ft,,5,8
28,1,7:37.0,,J. Nurkić makes 2-pt jump shot from 9 ft (assist by D. Lillard),5,10
29,1,7:25.0,O. Porter misses 3-pt jump shot from 26 ft,,5,10
30,1,7:22.0,Offensive rebound by M. Gortat,,5,10
31,1,7:20.0,M. Gortat makes 2-pt hook shot from 5 ft,,7,10
32,1,6:59.0,,J. Nurkić makes 2-pt hook shot from 8 ft,7,12
33,1,6:45.0,O. Porter misses 2-pt layup from 5 ft,,7,12
34,1,6:43.0,Offensive rebound by O. Porter,,7,12
35,1,6:43.0,O. Porter misses 2-pt layup at rim,,7,12
36,1,6:43.0,Offensive rebound by Team,,7,12
37,1,6:43.0,,Portland full timeout,7,12
38,1,6:40.0,Personal foul by C. McCollum (drawn by B. Beal),,7,12
39,1,6:30.0,B. Beal makes 2-pt layup from 2 ft (assist by M. Gortat),,9,12
40,1,6:17.0,,C. McCollum misses 2-pt layup from 1 ft (block by O. Porter),9,12
41,1,6:13.0,Defensive rebound by T. Frazier,,9,12
42,1,6:04.0,O. Porter misses 2-pt jump shot from 9 ft,,9,12
43,1,6:01.0,Offensive rebound by O. Porter,,9,12
44,1,5:45.0,T. Frazier makes 3-pt jump shot from 26 ft (assist by M. Gortat),,12,12
45,1,5:25.0,,J. Nurkić makes 2-pt hook shot from 7 ft,12,14
